Date,Open,High,Low,Close,Volume,Adj Close
2016-04-19,13.94,14.22,13.89,14.16,109800,14.16
2016-04-18,14.08,14.161,13.84,14.01,175700,14.01
2016-04-15,13.97,14.27,13.95,13.99,71300,13.99
2016-04-14,13.51,14.00,13.51,13.91,71600,13.91
2016-04-13,13.90,13.90,13.13,13.88,68300,13.88
2016-04-12,13.84,14.00,12.92,13.90,49800,13.90
2016-04-11,13.93,14.00,13.71,13.91,53200,13.91
2016-04-08,13.90,14.00,13.80,13.85,38800,13.85
2016-04-07,13.90,13.94,13.73,13.82,42000,13.82
2016-04-06,13.75,13.95,13.20,13.91,70200,13.91
2016-04-05,13.80,13.95,13.62,13.65,40400,13.65
2016-04-04,13.94,13.95,13.58,13.89,51100,13.89
2016-04-01,13.88,13.95,13.665,13.94,33200,13.94
2016-03-31,13.87,13.95,13.81,13.94,48400,13.94
2016-03-30,13.94,13.95,13.76,13.92,43400,13.92
2016-03-29,13.95,13.95,13.71,13.95,48100,13.95
2016-03-28,13.99,14.02,13.80,13.93,29300,13.93
2016-03-24,13.90,13.95,13.75,13.94,34900,13.94
2016-03-23,13.77,14.00,13.47,13.90,34100,13.90
2016-03-22,13.76,13.95,12.892,13.76,34600,13.76
2016-03-21,13.59,14.00,13.53,13.96,57200,13.96
2016-03-18,13.50,13.714,13.40,13.69,54900,13.69
2016-03-17,13.30,13.50,13.24,13.37,61300,13.37
2016-03-16,13.34,13.62,13.29,13.50,51700,13.50
2016-03-15,13.30,13.50,13.21,13.30,8200,13.30
2016-03-14,13.36,13.45,13.24,13.40,33200,13.40
2016-03-11,13.23,13.37,12.63,13.32,17100,13.32
2016-03-10,13.245,13.46,13.23,13.32,44100,13.32
2016-03-09,13.18,13.275,13.18,13.23,29800,13.23
2016-03-08,13.08,13.24,13.08,13.21,23100,13.21
2016-03-07,13.25,13.25,12.76,13.24,21100,13.24
2016-03-04,12.66,13.29,12.60,13.29,364000,13.29
2016-03-03,13.13,13.14,12.56,12.65,16900,12.65
2016-03-02,13.35,13.35,12.65,13.16,18700,13.16
2016-03-01,13.06,13.39,12.51,13.39,18200,13.39
2016-02-29,12.62,13.10,12.60,13.01,34100,13.01
2016-02-26,12.55,12.75,11.93,12.55,52800,12.55
2016-02-25,12.51,12.52,12.436,12.48,52200,12.48
2016-02-24,12.27,12.50,12.14,12.47,29600,12.47
2016-02-23,11.94,12.55,11.85,12.35,50300,12.35
2016-02-22,11.81,12.55,11.81,11.97,45500,11.97
2016-02-19,11.87,12.14,11.79,11.89,51000,11.89
2016-02-18,11.85,12.41,11.55,11.88,27900,11.88
2016-02-17,12.25,12.30,11.78,11.88,14300,11.88
2016-02-16,12.40,12.49,11.97,12.15,36700,12.15
2016-02-12,12.06,12.715,12.06,12.23,17600,12.23
2016-02-11,12.26,12.28,11.68,11.87,32100,11.87
2016-02-10,12.55,12.55,12.33,12.42,41200,12.42
2016-02-09,12.58,12.70,12.47,12.55,20500,12.55
2016-02-08,13.00,13.00,12.34,12.74,98100,12.74
2016-02-05,13.29,13.29,12.393,13.12,22400,13.12
2016-02-04,13.25,13.30,12.26,13.25,29300,13.25
2016-02-03,13.35,13.35,13.165,13.20,11500,13.20
2016-02-02,13.23,13.27,13.12,13.22,8700,13.22
2016-02-01,13.27,13.35,13.05,13.34,6800,13.34
2016-01-29,13.40,13.40,13.30,13.35,82300,13.35
2016-01-28,13.47,13.47,13.30,13.36,20500,13.36
2016-01-27,13.32,13.43,13.31,13.40,34400,13.40
2016-01-26,13.48,13.48,13.09,13.40,30500,13.40
2016-01-25,13.45,13.64,13.00,13.37,18500,13.37
2016-01-22,13.67,13.67,13.50,13.50,5600,13.50
2016-01-21,13.42,13.62,13.38,13.54,59800,13.54
2016-01-20,13.37,13.62,12.58,13.46,23100,13.46
2016-01-19,13.70,13.70,12.975,13.52,36000,13.52
2016-01-15,13.52,13.80,13.52,13.76,29200,13.76
2016-01-14,13.79,13.80,13.60,13.79,8100,13.79
2016-01-13,13.99,13.99,13.62,13.64,12900,13.64
2016-01-12,14.05,14.10,13.85,14.01,46700,14.01
2016-01-11,14.15,14.15,13.27,13.98,48100,13.98
2016-01-08,14.47,14.47,14.16,14.16,42800,14.16
2016-01-07,14.30,14.45,14.30,14.41,160400,14.41
2016-01-06,14.26,14.49,14.25,14.49,422700,14.49
2016-01-05,14.82,14.85,14.36,14.47,58200,14.47
2016-01-04,14.88,14.90,14.60,14.85,32900,14.85
2015-12-31,14.87,15.00,14.69,14.98,11200,14.98
2015-12-30,14.52,14.84,14.52,14.84,1300,14.84
2015-12-29,14.60,14.99,14.60,14.93,23400,14.93
2015-12-28,14.83,14.87,14.47,14.52,20700,14.52
2015-12-24,14.85,14.96,14.50,14.78,8100,14.78
2015-12-23,14.74,14.90,14.70,14.89,183200,14.89
2015-12-22,14.60,14.70,14.60,14.69,8600,14.69
2015-12-21,14.74,14.74,14.575,14.70,13700,14.70
2015-12-18,14.70,14.74,14.31,14.65,927100,14.65
2015-12-17,14.74,14.97,14.43,14.64,87500,14.64
2015-12-16,14.49,14.75,14.31,14.75,78300,14.75
2015-12-15,14.24,14.64,14.18,14.48,45400,14.48
2015-12-14,14.50,14.69,14.17,14.21,596100,14.21
2015-12-11,14.69,14.69,14.36,14.53,38900,14.53
2015-12-10,14.62,14.65,14.55,14.64,17300,14.64
2015-12-09,14.55,14.70,14.54,14.68,31800,14.68
2015-12-08,14.74,14.75,14.37,14.67,60600,14.67
2015-12-07,14.36,14.75,14.36,14.69,41900,14.69
2015-12-04,14.37,14.60,14.36,14.40,15100,14.40
2015-12-03,14.48,14.75,14.36,14.37,11500,14.37
2015-12-02,14.70,14.75,14.40,14.52,53100,14.52
2015-12-01,14.35,14.67,14.35,14.53,24700,14.53
2015-11-30,14.44,14.45,14.35,14.43,18900,14.43
2015-11-27,14.30,14.44,14.30,14.35,8200,14.35
2015-11-25,14.45,14.45,14.32,14.32,600,14.32
2015-11-24,14.20,14.45,14.20,14.45,24400,14.45
2015-11-23,14.30,14.45,14.30,14.36,34000,14.36
