Date,Open,High,Low,Close,Volume,Adj Close
2016-04-19,18.01,18.01,17.52,17.940001,19800,17.940001
2016-04-18,17.940001,18.030001,17.40,17.85,44100,17.85
2016-04-15,18.379999,18.40,17.99,18.059999,18300,18.059999
2016-04-14,18.780001,18.93,18.360001,18.50,27400,18.50
2016-04-13,18.25,18.940001,18.120001,18.75,35200,18.75
2016-04-12,17.709999,18.299999,17.709999,18.190001,29200,18.190001
2016-04-11,17.33,18.110001,17.299999,17.74,82500,17.74
2016-04-08,17.23,17.35,16.85,17.25,55000,17.25
2016-04-07,17.469999,17.52,16.90,17.02,33300,17.02
2016-04-06,17.549999,17.700001,17.24,17.629999,39900,17.629999
2016-04-05,17.709999,17.85,17.35,17.540001,63200,17.540001
2016-04-04,18.639999,18.700001,17.76,17.959999,64600,17.959999
2016-04-01,17.700001,18.77,17.700001,18.77,67300,18.77
2016-03-31,17.700001,18.030001,16.84,18.00,161500,18.00
2016-03-30,17.98,17.98,16.950001,17.02,115600,17.02
2016-03-29,17.030001,18.190001,16.92,17.92,95400,17.92
2016-03-28,17.309999,17.440001,16.84,17.07,94700,17.07
2016-03-24,17.200001,17.65,17.07,17.48,36300,17.48
2016-03-23,17.549999,17.60,17.059999,17.27,81000,17.27
2016-03-22,18.07,18.610001,17.530001,17.629999,90600,17.629999
2016-03-21,18.209999,18.68,18.040001,18.120001,87600,18.120001
2016-03-18,17.99,18.58,17.870001,18.389999,71300,18.389999
2016-03-17,17.559999,17.98,16.950001,17.860001,55100,17.860001
2016-03-16,16.92,17.82,16.799999,17.52,72800,17.52
2016-03-15,17.629999,17.66,16.51,16.879999,86300,16.879999
2016-03-14,18.639999,18.639999,17.549999,17.83,73300,17.83
2016-03-11,17.52,19.209999,17.360001,18.75,73100,18.725
2016-03-10,17.50,17.50,15.49,17.309999,313800,17.286919
2016-03-09,20.25,20.690001,19.25,20.440001,78300,20.412747
2016-03-08,21.49,21.610001,20.120001,20.17,101400,20.143106
2016-03-07,20.92,21.93,20.92,21.60,34400,21.5712
2016-03-04,20.73,21.309999,20.459999,20.98,59800,20.952026
2016-03-03,19.889999,20.90,19.84,20.73,44700,20.702359
2016-03-02,19.24,19.940001,19.00,19.809999,30800,19.783586
2016-03-01,18.690001,19.49,18.540001,19.18,55200,19.154427
2016-02-29,18.68,18.93,18.219999,18.459999,33900,18.435385
2016-02-26,18.620001,19.120001,18.48,18.75,50300,18.725
2016-02-25,18.889999,18.889999,18.219999,18.370001,21500,18.345507
2016-02-24,17.99,18.950001,17.77,18.700001,67900,18.675067
2016-02-23,18.35,18.67,18.059999,18.15,87600,18.125799
2016-02-22,18.40,18.82,17.959999,18.43,90600,18.405427
2016-02-19,17.93,18.370001,17.620001,18.26,61300,18.235653
2016-02-18,17.700001,18.17,17.41,18.08,96000,18.055893
2016-02-17,17.209999,17.74,17.10,17.709999,53300,17.686385
2016-02-16,17.27,17.450001,16.879999,16.969999,87400,16.947372
2016-02-12,16.77,17.10,16.389999,16.879999,52500,16.857492
2016-02-11,16.209999,16.60,16.02,16.540001,60600,16.517947
2016-02-10,16.66,17.16,16.17,16.620001,58300,16.59784
2016-02-09,15.62,16.639999,15.46,16.43,57600,16.408093
2016-02-08,17.030001,17.24,15.63,15.89,156800,15.868813
2016-02-05,17.68,17.84,17.00,17.049999,75700,17.027266
2016-02-04,17.17,18.33,17.17,17.93,54900,17.906093
2016-02-03,17.50,17.67,16.66,17.18,81500,17.157093
2016-02-02,18.139999,18.33,17.059999,17.24,70100,17.217013
2016-02-01,19.379999,19.48,18.25,18.42,110100,18.39544
2016-01-29,19.43,20.34,19.43,19.540001,71300,19.513947
2016-01-28,19.85,20.09,18.799999,19.27,115400,19.244307
2016-01-27,19.709999,20.40,19.23,19.59,61100,19.56388
2016-01-26,19.389999,20.75,19.26,19.76,127400,19.733653
2016-01-25,19.25,19.74,19.190001,19.26,92500,19.23432
2016-01-22,19.469999,19.50,18.90,19.34,92100,19.314213
2016-01-21,19.629999,20.129999,18.93,18.98,80800,18.954692
2016-01-20,18.139999,20.219999,17.76,19.700001,124000,19.673734
2016-01-19,20.110001,20.110001,17.99,18.540001,84100,18.51528
2016-01-15,19.620001,20.129999,18.780001,19.68,164100,19.65376
2016-01-14,19.299999,20.73,18.639999,20.389999,99900,20.362812
2016-01-13,20.309999,20.35,19.02,19.23,155300,19.204359
2016-01-12,20.23,20.889999,19.41,20.16,101600,20.133119
2016-01-11,21.389999,21.389999,19.57,19.969999,133700,19.943372
2016-01-08,22.08,22.790001,21.07,21.15,103300,21.121799
2016-01-07,23.469999,23.780001,21.719999,21.950001,215200,21.920734
2016-01-06,24.15,24.440001,23.51,23.99,195800,23.958013
2016-01-05,24.950001,25.00,24.280001,24.559999,258400,24.527252
2016-01-04,25.66,25.93,24.290001,24.969999,198000,24.936705
2015-12-31,26.76,27.209999,25.99,26.18,477300,26.145093
2015-12-30,26.10,27.43,26.00,27.09,97800,27.05388
2015-12-29,26.139999,26.790001,25.469999,26.25,80300,26.214999
2015-12-28,27.00,27.00,25.139999,25.83,190200,25.795559
2015-12-24,22.10,27.700001,21.59,27.27,227200,27.23364
2015-12-23,21.530001,21.629999,21.25,21.51,65800,21.48132
2015-12-22,21.870001,21.870001,20.92,21.440001,107900,21.411413
2015-12-21,21.65,22.02,21.09,21.75,88300,21.721
2015-12-18,22.07,22.40,21.370001,21.52,97100,21.491307
2015-12-17,20.219999,22.10,20.00,22.07,95100,22.040573
2015-12-16,19.799999,20.27,19.629999,20.200001,74200,20.173067
2015-12-15,20.08,20.32,19.58,19.719999,102100,19.693706
2015-12-14,20.00,20.040001,19.48,19.90,91100,19.873466
2015-12-11,20.16,20.610001,19.91,20.030001,120800,20.003294
2015-12-10,20.41,20.76,20.09,20.540001,41600,20.512614
2015-12-09,20.59,21.18,20.129999,20.57,77300,20.542573
2015-12-08,20.90,21.77,20.26,20.50,122200,20.472666
2015-12-07,21.32,21.40,20.389999,21.23,66900,21.201692
2015-12-04,21.18,21.66,19.49,21.540001,194000,21.51128
2015-12-03,22.82,22.82,21.200001,21.27,195200,21.24164
2015-12-02,22.76,23.610001,21.91,22.610001,41600,22.579853
2015-12-01,23.959999,24.139999,22.59,22.91,183200,22.879453
2015-11-30,23.200001,24.190001,23.09,23.879999,62500,23.848159
2015-11-27,23.299999,23.299999,22.74,23.17,19400,23.139106
2015-11-25,22.799999,23.209999,22.379999,23.129999,39400,23.099159
2015-11-24,21.280001,23.02,21.280001,22.91,67900,22.879453
2015-11-23,20.82,21.469999,20.639999,21.299999,47800,21.271599
2015-11-20,20.59,20.91,20.469999,20.73,67600,20.702359
2015-11-19,20.90,20.90,20.030001,20.50,67500,20.472666
2015-11-18,20.25,20.959999,20.200001,20.90,42600,20.872132
2015-11-17,20.280001,20.82,19.75,20.129999,109000,20.103159
2015-11-16,19.98,20.469999,19.24,20.299999,63800,20.272932
2015-11-13,20.219999,20.50,19.799999,20.049999,133000,19.998299
2015-11-12,20.33,20.75,19.84,20.389999,213700,20.337423
2015-11-11,20.92,21.00,20.15,20.59,117500,20.536908
2015-11-10,20.75,21.23,20.299999,20.860001,113500,20.806212
2015-11-09,20.52,21.01,20.40,20.889999,169600,20.836133
2015-11-06,19.700001,20.74,19.129999,20.52,156800,20.467088
2015-11-05,19.60,20.950001,19.379999,19.60,110800,19.549461
2015-11-04,20.10,20.379999,19.27,19.49,92900,19.439744
2015-11-03,19.98,20.370001,19.85,20.030001,49300,19.978352
2015-11-02,19.379999,20.09,19.379999,19.959999,151200,19.908531
2015-10-30,20.389999,20.65,18.60,19.290001,137800,19.240261
2015-10-29,20.60,21.440001,20.049999,20.379999,45600,20.327448
2015-10-28,19.51,20.98,19.51,20.76,108100,20.706469
2015-10-27,23.09,23.09,19.33,19.540001,135900,19.489616
2015-10-26,22.58,22.58,21.049999,21.610001,82300,21.554278
2015-10-23,22.77,22.959999,22.190001,22.549999,133300,22.491853
2015-10-22,21.27,22.530001,21.27,22.32,99800,22.262446
2015-10-21,21.43,22.10,20.92,21.17,120500,21.115412
2015-10-20,20.190001,21.700001,19.879999,21.290001,73200,21.235103
2015-10-19,20.030001,20.50,19.85,20.139999,37100,20.088067
2015-10-16,21.23,21.469999,19.83,20.219999,73300,20.167861
2015-10-15,20.23,21.299999,20.00,21.280001,56800,21.225129
2015-10-14,20.33,20.92,19.889999,20.24,102500,20.18781
2015-10-13,19.57,20.969999,19.57,20.26,41700,20.207759
2015-10-12,21.00,21.00,19.68,19.790001,100500,19.738971
2015-10-09,21.879999,21.879999,20.65,20.940001,81700,20.886006
2015-10-08,20.42,21.889999,20.02,21.66,81900,21.604148
2015-10-07,19.75,20.77,19.370001,20.440001,165800,20.387295
2015-10-06,19.68,19.780001,18.92,19.620001,130900,19.56941
2015-10-05,18.629999,19.790001,18.629999,19.76,73400,19.709048
2015-10-02,17.450001,18.50,17.309999,18.469999,71300,18.422373
2015-10-01,17.83,17.91,17.200001,17.74,89700,17.694256
2015-09-30,16.92,18.049999,16.860001,17.77,116900,17.72418
2015-09-29,16.790001,17.10,16.41,16.709999,99800,16.666911
2015-09-28,17.620001,17.75,16.43,16.709999,140000,16.666911
2015-09-25,18.17,18.43,17.49,17.73,186000,17.684282
2015-09-24,17.99,18.17,17.379999,17.950001,185500,17.903716
