Date,Open,High,Low,Close,Volume,Adj Close
2016-04-19,10.97,11.41,10.97,11.30,213200,11.30
2016-04-18,10.65,11.22,10.07,10.92,140200,10.92
2016-04-15,10.89,11.40,10.72,10.75,160200,10.75
2016-04-14,11.23,11.37,10.41,11.08,146300,11.08
2016-04-13,11.37,11.40,10.88,11.12,252700,11.12
2016-04-12,11.07,11.37,10.84,11.20,154400,11.20
2016-04-11,10.94,11.40,10.94,11.09,157000,11.09
2016-04-08,10.27,11.09,10.20,10.90,122200,10.90
2016-04-07,10.15,10.46,9.85,10.08,82200,10.08
2016-04-06,10.05,10.64,10.05,10.23,161600,10.23
2016-04-05,9.74,10.25,9.61,10.01,63300,10.01
2016-04-04,10.23,10.64,9.84,9.95,162400,9.95
2016-04-01,10.74,11.04,10.21,10.35,233300,10.35
2016-03-31,10.51,11.26,10.30,11.08,319100,11.08
2016-03-30,10.46,10.99,10.22,10.67,178500,10.67
2016-03-29,9.89,10.52,9.77,10.37,129900,10.37
2016-03-28,10.12,10.33,9.73,10.10,48000,10.10
2016-03-24,10.20,10.77,9.92,10.18,240900,10.18
2016-03-23,10.89,11.20,10.68,10.90,268600,10.90
2016-03-22,10.80,11.44,10.77,11.31,198200,11.31
2016-03-21,11.17,11.27,10.53,10.97,319200,10.97
2016-03-18,11.35,11.48,10.37,11.17,2194300,11.17
2016-03-17,10.15,11.49,10.15,10.91,575600,10.91
2016-03-16,8.51,10.20,8.50,10.08,334100,10.08
2016-03-15,8.55,8.89,8.43,8.65,278100,8.65
2016-03-14,7.94,9.09,7.78,8.89,366900,8.89
2016-03-11,7.31,8.01,7.31,7.83,303200,7.83
2016-03-10,7.73,7.73,7.06,7.19,258300,7.19
2016-03-09,7.82,8.49,7.36,7.56,171200,7.56
2016-03-08,8.22,8.39,7.31,7.57,323900,7.57
2016-03-07,7.85,8.22,7.85,8.22,227000,8.22
2016-03-04,7.88,8.44,7.70,7.84,188700,7.84
2016-03-03,7.49,7.99,7.22,7.65,313200,7.65
2016-03-02,7.07,7.34,6.77,7.21,1065500,7.21
2016-03-01,6.84,7.70,6.76,7.00,693000,7.00
2016-02-29,6.68,6.98,6.48,6.84,535200,6.84
2016-02-26,6.64,7.22,6.53,6.68,613300,6.68
2016-02-25,6.41,6.83,6.21,6.50,552100,6.50
2016-02-24,7.01,7.24,6.18,6.94,196900,6.94
2016-02-23,7.07,7.49,7.00,7.30,235200,7.30
2016-02-22,6.57,7.20,6.50,7.10,108600,7.10
2016-02-19,6.63,6.85,6.31,6.60,113400,6.60
2016-02-18,6.80,6.99,6.56,6.79,293600,6.79
2016-02-17,6.50,7.15,6.41,6.92,228100,6.92
2016-02-16,6.13,6.82,6.09,6.79,221700,6.79
2016-02-12,6.31,6.69,5.51,6.20,185700,6.20
2016-02-11,6.32,6.96,5.36,5.88,489500,5.88
2016-02-10,6.69,7.00,6.40,6.57,334500,6.57
2016-02-09,7.39,7.50,6.25,6.60,400300,6.60
2016-02-08,7.65,8.31,7.40,7.54,200200,7.54
2016-02-05,8.34,8.45,7.94,8.04,245100,8.04
2016-02-04,8.71,9.22,8.71,9.02,466800,8.447
2016-02-03,8.50,8.72,8.20,8.59,481900,8.044316
2016-02-02,8.75,8.76,7.92,8.40,561000,7.866385
2016-02-01,9.99,9.99,8.62,9.10,339000,8.521918
2016-01-29,9.98,10.42,9.74,10.10,173300,9.458393
2016-01-28,9.70,10.10,9.20,10.06,329800,9.420934
2016-01-27,8.85,9.56,8.65,9.12,242100,8.540647
2016-01-26,8.48,9.44,8.20,8.98,372500,8.409541
2016-01-25,9.11,9.28,8.60,8.66,371700,8.109869
2016-01-22,8.13,9.36,8.13,9.29,483400,8.699848
2016-01-21,7.76,8.19,7.57,7.99,583800,7.482431
2016-01-20,7.39,8.15,7.08,7.96,338500,7.454337
2016-01-19,9.10,9.52,8.05,8.19,595900,7.669726
2016-01-15,9.30,9.45,8.96,9.13,156200,8.550012
2016-01-14,9.56,10.00,9.05,9.66,195900,9.046344
2016-01-13,10.00,10.12,9.39,9.57,202400,8.962061
2016-01-12,9.95,10.26,9.02,9.90,263700,9.271097
2016-01-11,10.09,10.37,9.62,9.72,360000,9.102532
2016-01-08,11.12,11.12,10.08,10.19,345900,9.542675
2016-01-07,11.31,11.33,10.58,10.62,195600,9.945359
2016-01-06,12.17,12.33,11.18,11.50,239200,10.769457
2016-01-05,12.68,12.72,12.22,12.40,108000,11.612283
2016-01-04,12.39,13.12,12.12,12.69,189700,11.883861
2015-12-31,11.51,12.34,11.51,12.31,177200,11.528002
2015-12-30,11.59,12.14,11.50,11.66,158400,10.919293
2015-12-29,11.62,12.19,11.45,11.79,231800,11.041034
2015-12-28,11.64,11.83,11.40,11.60,219600,10.863105
2015-12-24,12.03,12.16,11.83,11.94,80600,11.181505
2015-12-23,11.95,12.34,11.64,12.09,246600,11.321977
2015-12-22,10.93,11.89,10.58,11.74,278600,10.99421
2015-12-21,11.00,11.31,10.83,10.93,252200,10.235667
2015-12-18,11.35,11.72,10.92,11.15,478700,10.44169
2015-12-17,12.00,12.13,10.78,11.37,618200,10.647715
2015-12-16,11.71,12.38,11.71,11.94,409900,11.181505
2015-12-15,12.14,12.74,11.66,11.84,1026400,11.087858
2015-12-14,12.02,12.49,11.19,12.14,428300,11.368801
2015-12-11,12.38,12.64,12.07,12.13,192300,11.359436
2015-12-10,12.36,13.89,12.34,12.66,294600,11.855767
2015-12-09,12.10,13.44,12.02,12.89,327900,12.071157
2015-12-08,12.02,12.75,12.02,12.10,370400,11.331342
2015-12-07,13.08,13.43,11.74,12.40,448400,11.612283
2015-12-04,14.50,14.74,13.39,13.93,361100,13.04509
2015-12-03,14.83,16.459999,14.55,14.62,275000,13.691257
2015-12-02,15.50,16.40,14.77,15.20,875600,14.234412
2015-12-01,15.86,16.530001,15.40,15.48,134700,14.496625
2015-11-30,15.92,17.50,15.85,16.07,104000,15.049145
2015-11-27,15.85,17.02,15.75,16.190001,70900,15.161523
2015-11-25,15.40,16.629999,15.40,15.99,175700,14.974227
2015-11-24,15.74,16.01,15.19,15.40,112800,14.421707
2015-11-23,16.450001,16.450001,15.42,15.55,212100,14.562179
2015-11-20,16.35,17.110001,15.90,16.07,143700,15.049145
2015-11-19,16.50,17.00,16.35,16.639999,134600,15.582935
2015-11-18,16.68,17.190001,16.51,16.99,96700,15.910702
2015-11-17,17.120001,17.120001,16.629999,16.93,90000,15.854514
2015-11-16,16.610001,17.200001,16.110001,16.98,174100,15.901337
2015-11-13,17.76,17.870001,15.95,16.860001,161600,15.788961
2015-11-12,15.89,16.92,15.82,16.370001,294300,15.330088
2015-11-11,17.00,17.459999,16.77,16.969999,113100,15.891972
2015-11-10,17.00,17.870001,17.00,17.52,142500,16.407034
2015-11-09,17.73,18.15,17.00,17.309999,196300,16.210373
2015-11-06,18.50,18.59,17.57,17.67,159200,16.547505
2015-11-05,19.48,19.780001,18.60,18.91,211000,17.708733
2015-11-04,20.959999,20.959999,19.01,20.040001,78400,18.23035
2015-11-03,19.889999,20.41,19.610001,20.02,361500,18.212156
2015-11-02,19.82,20.290001,19.66,20.16,214600,18.339513
2015-10-30,19.879999,20.33,19.620001,19.969999,192300,18.16667
2015-10-29,19.870001,19.870001,19.549999,19.870001,405300,18.075701
2015-10-28,19.43,19.870001,19.360001,19.780001,86400,17.993828
2015-10-27,19.879999,20.440001,18.90,19.139999,230900,17.41162
2015-10-26,19.09,20.200001,19.09,19.66,229800,17.884664
2015-10-23,19.110001,19.549999,18.610001,18.76,113400,17.065936
2015-10-22,19.280001,19.690001,18.93,19.18,78100,17.448009
2015-10-21,19.40,19.84,19.02,19.08,93200,17.357039
2015-10-20,18.690001,19.639999,18.639999,19.540001,82000,17.775501
2015-10-19,19.07,19.43,18.75,19.18,75800,17.448009
2015-10-16,19.35,19.549999,19.01,19.110001,107800,17.384331
2015-10-15,18.65,19.42,18.610001,19.299999,55400,17.557172
2015-10-14,18.030001,19.27,18.030001,18.90,92900,17.193293
2015-10-13,18.620001,19.27,18.10,18.15,196800,16.51102
2015-10-12,19.00,19.32,18.51,18.610001,430200,16.929482
2015-10-09,18.209999,19.02,18.030001,18.940001,347700,17.229682
2015-10-08,18.08,18.68,17.76,18.24,359500,16.592893
2015-10-07,18.209999,18.530001,17.639999,18.02,272900,16.39276
2015-10-06,16.66,18.33,16.41,18.00,559200,16.374565
2015-10-05,16.66,16.93,16.25,16.709999,114000,15.201054
2015-10-02,15.97,16.700001,15.88,16.450001,123700,14.964534
2015-10-01,16.51,17.08,15.91,16.219999,169600,14.755302
2015-09-30,15.25,16.90,14.85,16.43,356000,14.94634
2015-09-29,16.18,16.530001,14.72,15.21,395200,13.836508
2015-09-28,17.01,17.09,15.25,15.91,274500,14.473296
2015-09-25,17.35,18.290001,16.75,17.209999,289400,15.655903
2015-09-24,17.690001,18.65,16.540001,17.34,352500,15.774165
2015-09-23,18.719999,18.940001,17.73,17.76,131000,16.156238
2015-09-22,18.52,19.18,18.41,18.709999,130000,17.02045
2015-09-21,18.35,19.84,18.35,19.01,476900,17.293361
2015-09-18,19.200001,19.42,18.219999,18.219999,354800,16.574698
2015-09-17,18.959999,19.74,18.950001,19.530001,70100,17.766404
2015-09-16,18.139999,19.82,18.129999,19.190001,124700,17.457106
2015-09-15,18.07,18.360001,17.870001,18.18,114600,16.538311
2015-09-14,17.50,18.440001,17.450001,18.17,233100,16.529214
2015-09-11,17.83,18.120001,17.32,17.700001,113100,16.101657
2015-09-10,18.49,18.50,17.780001,18.129999,90700,16.492825
2015-09-09,18.549999,19.18,18.379999,18.65,270100,16.965869
2015-09-08,18.40,18.50,17.959999,18.32,111500,16.665668
2015-09-04,18.77,19.27,18.01,18.120001,96800,16.48373
2015-09-03,19.00,19.48,18.41,18.76,141700,17.065936
2015-09-02,20.360001,20.67,19.049999,19.139999,226000,17.41162
2015-09-01,21.120001,21.33,20.049999,20.280001,236200,18.448677
2015-08-31,20.389999,21.799999,19.73,21.74,453200,19.776836
