Date,Open,High,Low,Close,Volume,Adj Close
2016-04-19,23.50,24.15,23.50,23.860001,19900,23.860001
2016-04-18,23.59,24.040001,23.549999,23.700001,20300,23.700001
2016-04-15,24.25,24.25,23.389999,23.530001,25800,23.530001
2016-04-14,23.549999,24.459999,23.299999,24.200001,89700,24.200001
2016-04-13,22.959999,23.950001,22.65,23.50,68800,23.50
2016-04-12,24.389999,24.389999,22.540001,22.889999,43600,22.889999
2016-04-11,25.16,25.646999,22.90,23.280001,63500,23.280001
2016-04-08,25.77,26.90,24.01,24.98,42800,24.98
2016-04-07,27.18,27.26,24.530001,25.65,87600,25.65
2016-04-06,27.34,28.00,26.59,27.379999,51500,27.379999
2016-04-05,27.950001,28.00,26.57,27.309999,62100,27.309999
2016-04-04,25.969999,28.440001,25.610001,28.17,93800,28.17
2016-04-01,27.17,28.18,25.23,25.76,135500,25.76
2016-03-31,25.15,28.42,23.610001,27.24,524000,27.24
2016-03-30,28.610001,29.049999,25.190001,25.549999,96600,25.549999
2016-03-29,28.799999,29.190001,27.879999,28.639999,80500,28.639999
2016-03-28,27.610001,29.629999,27.610001,29.049999,85100,29.049999
2016-03-24,24.690001,27.50,24.49,27.41,75700,27.41
2016-03-23,24.23,24.780001,23.77,24.700001,100100,24.700001
2016-03-22,23.82,25.370001,23.60,24.23,82100,24.23
2016-03-21,24.40,27.24,23.18,24.030001,79000,24.030001
2016-03-18,22.879999,24.98,22.08,24.469999,180800,24.469999
2016-03-17,24.67,25.459999,21.120001,23.16,90300,23.16
2016-03-16,23.200001,24.639999,22.559999,24.48,52700,24.48
2016-03-15,22.559999,23.299999,20.487,22.84,50300,22.84
2016-03-14,20.969999,23.35,20.370001,22.76,72600,22.76
2016-03-11,20.700001,21.93,20.35,21.15,57300,21.15
2016-03-10,21.870001,23.49,19.254999,20.85,56000,20.85
2016-03-09,22.299999,22.459999,20.129999,21.33,117300,21.33
2016-03-08,20.83,22.18,19.99,21.68,59000,21.68
2016-03-07,19.799999,21.50,18.700001,20.870001,214100,20.870001
2016-03-04,23.93,24.018,19.379999,19.67,206900,19.67
2016-03-03,21.15,23.42,20.809999,23.23,191300,23.23
2016-03-02,20.200001,21.450001,19.60,21.26,284300,21.26
2016-03-01,19.26,20.58,19.26,20.129999,115000,20.129999
2016-02-29,19.889999,19.889999,19.25,19.41,35000,19.41
2016-02-26,20.01,20.01,19.25,19.49,106600,19.49
2016-02-25,18.75,20.370001,18.75,19.517,72200,19.517
2016-02-24,18.50,18.77,18.120001,18.77,31200,18.77
2016-02-23,18.58,18.629999,18.50,18.58,26200,18.58
2016-02-22,18.98,19.00,18.50,18.50,76100,18.50
2016-02-19,18.50,18.84,18.50,18.73,82400,18.73
2016-02-18,18.98,19.02,18.50,18.540001,55000,18.540001
2016-02-17,18.40,18.99,18.40,18.75,107800,18.75
2016-02-16,17.40,18.440001,17.40,18.26,69400,18.26
2016-02-12,17.870001,18.25,17.65,17.799999,158300,17.799999
