Date,Open,High,Low,Close,Volume,Adj Close
2016-04-19,10.07,10.42,9.75,10.01,12900,10.01
2016-04-18,9.85,10.48,9.85,10.04,7400,10.04
2016-04-15,10.19,10.78,9.68,9.84,23600,9.84
2016-04-14,9.62,10.04,9.42,9.86,12500,9.86
2016-04-13,9.65,10.22,9.11,9.79,25400,9.79
2016-04-12,9.42,10.18,8.834,9.43,24500,9.43
2016-04-11,10.34,10.80,9.30,9.33,16400,9.33
2016-04-08,9.70,10.68,9.47,10.16,12500,10.16
2016-04-07,9.74,10.145,9.63,9.87,14600,9.87
2016-04-06,9.35,9.98,8.90,9.52,19000,9.52
2016-04-05,8.95,9.35,8.57,9.30,9300,9.30
2016-04-04,9.24,9.98,8.84,9.29,39900,9.29
2016-04-01,8.60,9.30,7.93,8.95,18400,8.95
2016-03-31,9.15,9.15,7.173,8.60,52800,8.60
2016-03-30,7.84,8.75,6.935,8.70,38900,8.70
2016-03-29,8.21,8.75,7.52,7.85,20400,7.85
2016-03-28,8.49,8.79,8.01,8.15,7700,8.15
2016-03-24,8.94,9.54,8.43,8.50,30800,8.50
2016-03-23,8.78,9.12,8.45,9.06,22900,9.06
2016-03-22,8.68,9.31,8.31,8.86,27000,8.86
2016-03-21,8.46,9.00,8.46,8.70,16300,8.70
2016-03-18,9.17,10.00,8.315,8.54,233500,8.54
2016-03-17,10.74,10.781,8.02,8.97,34900,8.97
2016-03-16,10.26,10.99,10.26,10.75,120200,10.75
2016-03-15,9.56,12.09,9.00,10.20,69200,10.20
2016-03-14,7.50,9.75,7.04,9.65,37800,9.65
2016-03-11,7.28,7.41,7.10,7.14,16300,7.14
2016-03-10,7.10,7.15,6.96,6.97,7800,6.97
2016-03-09,7.05,7.47,6.95,7.02,11400,7.02
2016-03-08,7.11,7.36,6.825,6.98,14700,6.98
2016-03-07,7.31,7.83,6.75,7.25,44800,7.25
2016-03-04,8.23,8.328,6.55,7.10,40500,7.10
2016-03-03,8.29,8.37,7.62,8.30,16200,8.30
2016-03-02,8.20,8.44,8.01,8.44,4200,8.44
2016-03-01,8.03,8.24,7.65,8.18,16300,8.18
2016-02-29,8.42,8.50,7.77,7.77,17900,7.77
2016-02-26,7.87,8.60,7.77,8.40,16600,8.40
2016-02-25,8.36,8.36,7.22,7.89,54100,7.89
2016-02-24,8.62,8.62,8.00,8.38,15800,8.38
2016-02-23,8.55,8.71,7.77,8.65,14300,8.65
