Date,Open,High,Low,Close,Volume,Adj Close
2016-04-19,9.75,9.75,9.75,9.75,000,9.75
2016-04-18,9.75,9.75,9.75,9.75,000,9.75
2016-04-15,9.75,9.75,9.75,9.75,000,9.75
2016-04-14,9.75,9.75,9.75,9.75,000,9.75
2016-04-13,9.75,9.75,9.75,9.75,000,9.75
2016-04-12,9.75,9.75,9.75,9.75,000,9.75
2016-04-11,9.65,9.75,9.62,9.75,153900,9.75
2016-04-08,9.65,9.65,9.60,9.60,1900,9.60
2016-04-07,9.72,9.72,9.72,9.72,000,9.72
2016-04-06,9.72,9.72,9.72,9.72,000,9.72
2016-04-05,9.67,9.72,9.67,9.72,1400,9.72
2016-04-04,9.80,9.80,9.80,9.80,000,9.80
2016-04-01,9.80,9.80,9.80,9.80,1000,9.80
2016-03-31,9.75,9.75,9.75,9.75,100,9.75
2016-03-30,9.69,9.69,9.69,9.69,000,9.69
2016-03-29,9.68,9.69,9.68,9.69,800,9.69
2016-03-28,9.72,9.75,9.72,9.75,3000,9.75
2016-03-24,9.60,9.60,9.60,9.60,000,9.60
2016-03-23,9.64,9.64,9.60,9.60,10100,9.60
2016-03-22,9.68,9.68,9.67,9.67,400,9.67
2016-03-21,9.70,9.70,9.70,9.70,000,9.70
2016-03-18,9.70,9.70,9.70,9.70,200,9.70
2016-03-17,9.73,9.74,9.73,9.74,2000,9.74
2016-03-16,9.69,9.69,9.69,9.69,000,9.69
2016-03-15,9.69,9.69,9.69,9.69,000,9.69
2016-03-14,9.69,9.69,9.69,9.69,1000,9.69
2016-03-11,9.74,9.74,9.677,9.69,4000,9.69
2016-03-10,9.50,9.73,9.41,9.69,7700,9.69
2016-03-09,9.70,9.74,9.536,9.74,12700,9.74
2016-03-08,9.70,9.75,9.42,9.72,5500,9.72
2016-03-07,9.72,9.75,9.53,9.75,1100,9.75
2016-03-04,9.55,9.55,9.55,9.55,100,9.55
2016-03-03,12.00,12.00,9.95,9.95,2000,9.95
2016-03-02,9.47,9.70,9.469,9.70,6800,9.70
2016-03-01,9.40,9.75,9.40,9.70,2100,9.70
2016-02-29,9.68,9.68,9.48,9.48,2200,9.48
2016-02-26,9.70,9.70,9.70,9.70,000,9.70
2016-02-25,9.70,9.70,9.70,9.70,000,9.70
2016-02-24,9.47,9.70,9.47,9.70,1600,9.70
2016-02-23,9.75,9.75,9.75,9.75,000,9.75
2016-02-22,9.75,9.75,9.75,9.75,000,9.75
2016-02-19,9.75,9.75,9.75,9.75,000,9.75
2016-02-18,9.75,9.75,9.75,9.75,000,9.75
2016-02-17,9.75,9.75,9.75,9.75,000,9.75
2016-02-16,9.75,9.75,9.75,9.75,000,9.75
2016-02-12,9.40,9.75,9.40,9.75,2000,9.75
2016-02-11,9.67,9.67,9.67,9.67,000,9.67
2016-02-10,9.67,9.67,9.67,9.67,000,9.67
2016-02-09,9.67,9.67,9.67,9.67,000,9.67
2016-02-08,9.67,9.67,9.67,9.67,000,9.67
2016-02-05,9.69,9.70,9.67,9.67,1000,9.67
2016-02-04,9.65,9.65,9.65,9.65,000,9.65
2016-02-03,9.65,9.65,9.65,9.65,1000,9.65
2016-02-02,9.44,9.60,9.44,9.56,77100,9.56
2016-02-01,9.43,9.43,9.43,9.43,100,9.43
2016-01-29,9.60,9.65,9.60,9.65,1100,9.65
2016-01-28,9.58,9.58,9.58,9.58,000,9.58
2016-01-27,9.58,9.58,9.58,9.58,000,9.58
2016-01-26,9.58,9.58,9.58,9.58,000,9.58
2016-01-25,9.58,9.58,9.58,9.58,000,9.58
2016-01-22,9.58,9.60,9.44,9.58,4000,9.58
2016-01-21,9.57,9.57,9.41,9.41,338600,9.41
2016-01-20,9.62,9.62,9.62,9.62,100,9.62
2016-01-19,9.59,9.59,9.59,9.59,200,9.59
2016-01-15,9.53,9.60,9.52,9.52,57000,9.52
2016-01-14,9.58,9.58,9.46,9.56,1050400,9.56
2016-01-13,9.60,9.60,9.60,9.60,000,9.60
2016-01-12,9.60,9.60,9.60,9.60,000,9.60
2016-01-11,9.60,9.60,9.60,9.60,000,9.60
2016-01-08,9.60,9.60,9.60,9.60,000,9.60
2016-01-07,9.60,9.60,9.60,9.60,000,9.60
2016-01-06,9.60,9.60,9.60,9.60,200,9.60
2016-01-05,9.64,9.64,9.64,9.64,100,9.64
2016-01-04,9.85,9.85,9.85,9.85,000,9.85
2015-12-31,9.55,10.00,9.55,9.85,2200,9.85
2015-12-30,9.51,9.60,9.51,9.55,6700,9.55
2015-12-29,9.55,9.55,9.41,9.42,76900,9.42
2015-12-28,9.45,9.45,9.45,9.45,515000,9.45
2015-12-24,9.50,9.50,9.50,9.50,600,9.50
2015-12-23,9.51,9.51,9.50,9.50,507800,9.50
2015-12-22,9.59,9.60,9.50,9.50,109800,9.50
2015-12-21,9.56,9.60,9.55,9.55,4400,9.55
2015-12-18,9.55,9.55,9.50,9.50,14400,9.50
2015-12-17,9.55,9.55,9.55,9.55,000,9.55
2015-12-16,9.55,9.55,9.55,9.55,670000,9.55
2015-12-15,9.55,9.55,9.55,9.55,000,9.55
2015-12-14,9.55,9.55,9.55,9.55,000,9.55
2015-12-11,9.55,9.55,9.55,9.55,14000,9.55
2015-12-10,9.55,9.55,9.55,9.55,5000,9.55
2015-12-09,9.55,9.55,9.55,9.55,6000,9.55
2015-12-08,9.65,9.65,9.60,9.60,700200,9.60
2015-12-07,9.60,9.60,9.60,9.60,000,9.60
2015-12-04,9.65,9.65,9.60,9.60,3100,9.60
2015-12-03,9.60,9.60,9.60,9.60,1240800,9.60
2015-12-02,9.60,9.60,9.60,9.60,100,9.60
2015-12-01,9.55,9.55,9.55,9.55,000,9.55
2015-11-30,9.55,9.55,9.55,9.55,400,9.55
2015-11-27,9.55,9.55,9.55,9.55,000,9.55
2015-11-25,9.55,9.55,9.55,9.55,000,9.55
2015-11-24,9.60,9.60,9.55,9.55,400,9.55
