Date,Open,High,Low,Close,Volume,Adj Close
2016-04-19,24.10,24.25,23.75,24.049999,10400,24.049999
2016-04-18,23.25,24.35,23.15,24.34,21400,24.34
2016-04-15,23.51,23.790001,21.799999,23.25,58200,23.25
2016-04-14,25.299999,25.549999,23.35,23.799999,73800,23.799999
2016-04-13,25.452,25.50,25.450001,25.50,8200,25.50
2016-04-12,25.450001,25.450001,25.219999,25.450001,2800,25.450001
2016-04-11,25.309999,25.450001,25.25,25.450001,5500,25.450001
2016-04-08,25.164,25.25,25.160999,25.25,9800,25.25
2016-04-07,25.10,25.25,25.10,25.190001,8800,25.190001
2016-04-06,25.10,25.25,25.059999,25.15,64100,25.15
2016-04-05,25.200001,25.200001,25.055,25.07,22800,25.07
2016-04-04,25.200001,25.25,25.15,25.25,6600,25.25
2016-04-01,25.16,25.25,25.16,25.200001,7400,25.200001
2016-03-31,25.41,25.42,25.15,25.299999,15300,25.299999
2016-03-30,25.25,25.40,25.110001,25.25,12600,25.25
2016-03-29,25.200001,25.40,25.15,25.40,19900,25.40
2016-03-28,25.094999,25.190001,25.094999,25.17,11800,25.17
2016-03-24,25.18,25.190001,25.07,25.159,8700,25.159
2016-03-23,25.26,25.26,25.110001,25.17,20200,25.17
2016-03-22,25.139999,25.370001,25.139999,25.15,13700,25.15
2016-03-21,25.049999,25.280001,25.00,25.129999,57900,25.129999
2016-03-18,25.50,25.50,25.15,25.299999,20900,25.299999
