Date,Open,High,Low,Close,Volume,Adj Close
2016-04-19,24.690001,24.690001,24.50,24.610001,7700,24.610001
2016-04-18,24.49,24.620001,24.469999,24.540001,8600,24.540001
2016-04-15,24.52,24.799999,24.389999,24.49,14200,24.49
2016-04-14,24.65,24.84,24.42,24.57,13700,24.57
2016-04-13,24.24,24.799999,24.01,24.700001,33700,24.700001
2016-04-12,23.950001,24.309999,23.860001,24.15,8900,24.15
2016-04-11,24.23,24.469999,23.940001,24.049999,14900,24.049999
2016-04-08,24.51,24.85,24.16,24.190001,16900,24.190001
2016-04-07,24.360001,24.50,24.10,24.389999,22300,24.389999
2016-04-06,24.639999,24.99,24.200001,24.370001,30300,24.370001
2016-04-05,24.719999,24.92,24.549999,24.67,22900,24.67
2016-04-04,24.879999,24.950001,24.639999,24.709999,27600,24.709999
2016-04-01,24.610001,24.92,24.58,24.860001,21000,24.860001
2016-03-31,24.77,24.92,24.40,24.610001,32800,24.610001
2016-03-30,24.440001,24.870001,24.209999,24.50,26800,24.50
2016-03-29,24.08,24.459999,24.07,24.440001,32500,24.440001
2016-03-28,24.540001,24.540001,24.129999,24.139999,19500,24.139999
2016-03-24,24.27,24.360001,23.92,24.26,20500,24.26
2016-03-23,24.549999,24.65,24.209999,24.209999,15600,24.209999
2016-03-22,24.57,24.719999,24.52,24.66,7300,24.66
2016-03-21,24.75,24.91,24.60,24.719999,26000,24.719999
2016-03-18,24.780001,24.780001,24.450001,24.74,43100,24.74
2016-03-17,24.469999,24.75,24.469999,24.639999,9200,24.639999
2016-03-16,24.559999,24.75,24.299999,24.549999,15900,24.549999
2016-03-15,24.65,24.780001,24.559999,24.67,17300,24.67
2016-03-14,24.389999,24.91,24.059999,24.68,101900,24.68
2016-03-11,24.26,24.35,23.99,24.290001,12400,24.290001
2016-03-10,24.23,24.51,24.00,24.26,27300,24.26
2016-03-09,24.16,24.60,23.969999,24.280001,23600,24.280001
2016-03-08,24.25,24.66,23.969999,23.969999,21500,23.969999
2016-03-07,24.299999,24.65,24.299999,24.48,18100,24.48
2016-03-04,24.48,24.48,24.23,24.299999,11400,24.299999
2016-03-03,24.15,24.48,24.15,24.379999,24200,24.379999
2016-03-02,24.360001,24.370001,24.129999,24.299999,9500,24.299999
2016-03-01,24.200001,24.469999,24.07,24.290001,19700,24.290001
2016-02-29,24.32,24.469999,24.110001,24.35,35000,24.35
2016-02-26,24.190001,24.50,23.77,24.27,24100,24.27
2016-02-25,24.129999,24.299999,23.84,24.200001,16900,24.200001
2016-02-24,23.690001,24.280001,23.690001,24.129999,21000,24.129999
2016-02-23,23.879999,24.32,23.780001,23.99,25400,23.99
2016-02-22,24.01,24.450001,23.75,23.870001,21200,23.870001
2016-02-19,23.77,24.48,23.65,23.940001,22400,23.940001
2016-02-18,23.93,24.40,23.75,23.82,17100,23.82
2016-02-17,24.51,25.059999,23.92,24.25,21200,24.25
2016-02-16,24.50,25.10,24.379999,24.629999,68500,24.369999
2016-02-12,24.190001,24.50,23.950001,24.43,19400,24.172112
2016-02-11,23.84,24.07,23.629999,24.00,73800,23.746651
2016-02-10,23.90,24.24,23.459999,24.00,53900,23.746651
2016-02-09,23.540001,24.23,23.41,23.799999,31200,23.548761
2016-02-08,23.280001,23.93,22.76,23.66,18200,23.41024
2016-02-05,23.35,23.65,22.549999,23.299999,33300,23.054039
2016-02-04,23.77,23.99,23.309999,23.35,7300,23.103513
