Date,Open,High,Low,Close,Volume,Adj Close
2016-04-19,6.07,6.29,6.00,6.17,25500,6.17
2016-04-18,6.17,6.29,6.17,6.23,2900,6.23
2016-04-15,6.06,6.25,6.06,6.24,9700,6.24
2016-04-14,6.03,6.16,6.03,6.07,7700,6.07
2016-04-13,6.23,6.35,6.09,6.12,6500,6.12
2016-04-12,6.02,6.30,6.02,6.12,4800,6.12
2016-04-11,6.06,6.40,5.99,6.11,29500,6.11
2016-04-08,6.25,6.27,6.05,6.10,8400,6.10
2016-04-07,6.15,6.29,6.12,6.12,1200,6.12
2016-04-06,6.14,6.40,5.97,6.23,27600,6.23
2016-04-05,6.22,6.27,6.12,6.27,11900,6.27
2016-04-04,6.11,6.28,6.11,6.23,9300,6.23
2016-04-01,6.04,6.20,6.00,6.17,8600,6.17
2016-03-31,6.00,6.00,5.89,5.90,20700,5.90
2016-03-30,6.15,6.21,5.97,5.97,3700,5.97
2016-03-29,6.10,6.21,5.90,6.06,8200,6.06
2016-03-28,6.06,6.13,5.89,6.08,7400,6.08
2016-03-24,6.15,6.15,5.95,6.04,6600,6.04
2016-03-23,6.23,6.34,5.94,6.24,28600,6.24
2016-03-22,5.88,6.34,5.88,6.17,16800,6.17
2016-03-21,6.15,6.38,5.95,6.24,19500,6.24
2016-03-18,6.40,6.40,5.99,6.07,38500,6.07
2016-03-17,6.30,6.47,6.14,6.36,21100,6.36
2016-03-16,6.26,6.51,6.15,6.38,12100,6.38
2016-03-15,6.42,6.57,6.25,6.38,22700,6.38
2016-03-14,6.11,6.63,6.11,6.47,65100,6.47
2016-03-11,5.80,6.10,5.77,6.01,26800,6.01
2016-03-10,5.82,6.14,5.82,6.09,10500,5.97
2016-03-09,6.11,6.11,5.88,6.04,8200,5.920985
2016-03-08,6.10,6.15,5.94,6.01,42600,5.891576
2016-03-07,5.82,6.15,5.82,6.09,46900,5.97
2016-03-04,6.14,6.14,5.81,5.95,61400,5.832758
2016-03-03,5.91,6.15,5.46,6.06,37800,5.940591
2016-03-02,5.85,6.15,5.67,5.85,115500,5.734729
2016-03-01,5.55,5.99,5.55,5.89,96100,5.773941
2016-02-29,5.70,6.00,5.16,5.38,88000,5.27399
2016-02-26,5.45,5.81,5.45,5.67,74000,5.558276
2016-02-25,5.45,5.55,5.44,5.50,4500,5.391625
2016-02-24,5.28,5.53,5.24,5.42,10300,5.313202
2016-02-23,5.50,5.59,5.40,5.59,24500,5.479852
2016-02-22,5.45,5.58,5.38,5.45,14600,5.342611
2016-02-19,5.42,5.63,5.38,5.45,23300,5.342611
2016-02-18,5.56,5.59,5.40,5.46,14800,5.352414
2016-02-17,5.29,5.51,5.26,5.41,27400,5.303399
2016-02-16,5.35,5.35,5.20,5.24,17300,5.136748
2016-02-12,5.03,5.27,4.95,5.23,50700,5.126946
2016-02-11,5.00,5.29,4.81,5.29,29600,5.185763
2016-02-10,4.95,5.20,4.85,5.06,32600,4.960295
2016-02-09,5.13,5.13,4.94,4.98,22200,4.881872
2016-02-08,5.07,5.23,5.06,5.15,16500,5.048522
2016-02-05,5.05,5.14,4.97,5.14,14000,5.038719
2016-02-04,5.10,5.14,5.01,5.11,6600,5.00931
2016-02-03,5.05,5.15,5.00,5.15,5600,5.048522
2016-02-02,5.16,5.18,4.97,5.00,15300,4.901478
2016-02-01,5.14,5.24,5.08,5.12,9400,5.019113
2016-01-29,5.19,5.40,5.06,5.06,17100,4.960295
2016-01-28,5.15,5.43,5.05,5.35,22600,5.244581
2016-01-27,5.20,5.45,5.02,5.19,21400,5.087734
2016-01-26,5.16,5.29,5.02,5.19,18600,5.087734
2016-01-25,5.11,5.30,5.05,5.05,18500,4.950493
2016-01-22,5.12,5.13,5.02,5.13,9600,5.028916
2016-01-21,5.10,5.20,4.96,5.13,28600,5.028916
2016-01-20,5.26,5.27,5.05,5.12,24500,5.019113
2016-01-19,5.21,5.38,5.01,5.15,48800,5.048522
2016-01-15,5.19,5.31,5.13,5.25,9100,5.146552
2016-01-14,5.32,5.45,5.06,5.29,50400,5.185763
2016-01-13,5.30,5.44,5.05,5.25,48900,5.146552
2016-01-12,5.42,5.69,5.18,5.35,61800,5.244581
2016-01-11,5.45,5.75,5.37,5.40,43200,5.293596
2016-01-08,5.60,5.72,5.06,5.56,42300,5.450443
2016-01-07,5.54,5.70,5.47,5.64,22000,5.528867
2016-01-06,5.20,5.69,5.14,5.66,47500,5.548473
2016-01-05,5.43,5.43,5.08,5.27,27200,5.166157
2016-01-04,4.94,5.41,4.92,5.41,24300,5.303399
2015-12-31,4.97,5.09,4.81,4.95,28600,4.852463
2015-12-30,5.04,5.13,4.95,4.96,15100,4.862266
2015-12-29,5.35,5.46,5.04,5.04,19400,4.940689
2015-12-28,5.36,5.56,5.22,5.36,39600,5.254384
2015-12-24,5.44,5.75,5.36,5.43,21400,5.323005
2015-12-23,5.28,5.40,5.25,5.39,51800,5.283793
2015-12-22,5.10,5.35,5.10,5.30,58600,5.195567
2015-12-21,5.00,5.21,4.86,5.09,68400,4.989704
2015-12-18,5.02,5.24,4.95,5.04,237800,4.940689
2015-12-17,5.06,5.15,5.00,5.00,42200,4.901478
2015-12-16,4.85,5.09,4.84,5.00,37000,4.901478
2015-12-15,4.93,5.10,4.80,4.93,53100,4.832857
2015-12-14,4.80,4.99,4.71,4.79,108300,4.695616
2015-12-11,4.89,4.94,4.73,4.80,21700,4.705419
2015-12-10,4.98,5.02,4.97,4.98,30100,4.764236
2015-12-09,5.00,5.10,4.94,4.96,42900,4.745103
2015-12-08,5.04,5.10,4.95,5.05,22600,4.831204
2015-12-07,4.98,5.10,4.98,5.06,38100,4.84077
2015-12-04,4.94,5.08,4.89,4.90,34400,4.687703
2015-12-03,5.01,5.14,4.84,4.84,37400,4.630302
2015-12-02,4.83,5.14,4.83,5.02,102900,4.802503
2015-12-01,4.98,5.05,4.82,4.83,24300,4.620735
2015-11-30,4.98,5.00,4.91,4.97,8000,4.754669
2015-11-27,4.99,5.00,4.94,4.94,1400,4.72597
2015-11-25,4.80,5.00,4.80,4.99,16200,4.773803
2015-11-24,4.79,4.91,4.70,4.75,23700,4.544201
2015-11-23,4.79,4.90,4.72,4.76,20800,4.553768
2015-11-20,4.76,4.82,4.65,4.75,17400,4.544201
2015-11-19,4.70,4.82,4.68,4.70,39700,4.496368
2015-11-18,4.83,4.83,4.68,4.69,32200,4.486801
2015-11-17,4.80,4.89,4.70,4.78,31900,4.572902
2015-11-16,4.80,4.93,4.75,4.86,28100,4.649436
2015-11-13,4.77,4.88,4.76,4.81,15500,4.601602
2015-11-12,4.91,4.91,4.80,4.80,26000,4.592035
2015-11-11,4.86,4.98,4.85,4.86,24300,4.649436
2015-11-10,4.85,4.98,4.85,4.86,19600,4.649436
2015-11-09,4.80,4.93,4.76,4.83,19100,4.620735
2015-11-06,5.06,5.06,4.75,4.76,33400,4.553768
2015-11-05,5.02,5.10,5.02,5.06,4100,4.84077
2015-11-04,5.10,5.10,5.00,5.05,9200,4.831204
2015-11-03,5.04,5.15,4.98,5.08,9000,4.859904
2015-11-02,5.00,5.04,4.98,5.01,25900,4.792937
2015-10-30,4.99,5.16,4.97,4.97,10300,4.754669
2015-10-29,5.03,5.03,4.98,5.03,6400,4.81207
2015-10-28,5.00,5.14,4.97,5.09,5100,4.869471
2015-10-27,5.09,5.09,5.00,5.00,11300,4.78337
2015-10-26,5.05,5.07,5.00,5.01,19400,4.792937
2015-10-23,5.01,5.14,5.01,5.11,2900,4.888604
2015-10-22,5.04,5.05,5.00,5.00,4700,4.78337
2015-10-21,5.08,5.18,4.99,5.03,12000,4.81207
2015-10-20,4.98,5.10,4.98,5.04,5800,4.821637
2015-10-19,4.93,5.07,4.91,5.02,17100,4.802503
2015-10-16,5.00,5.14,4.93,5.03,27800,4.81207
2015-10-15,5.00,5.09,4.67,5.02,15500,4.802503
2015-10-14,5.02,5.20,5.00,5.00,3000,4.78337
2015-10-13,5.02,5.23,5.02,5.06,8500,4.84077
2015-10-12,5.20,5.20,5.03,5.07,14400,4.850337
2015-10-09,5.07,5.27,4.99,5.14,43100,4.917304
2015-10-08,5.13,5.29,5.00,5.01,23300,4.792937
2015-10-07,5.05,5.26,5.03,5.17,30100,4.946005
2015-10-06,4.98,5.13,4.96,5.09,33400,4.869471
2015-10-05,4.85,4.95,4.85,4.91,27600,4.697269
2015-10-02,4.75,4.90,4.71,4.89,26300,4.678136
2015-10-01,4.71,4.80,4.59,4.70,47300,4.496368
2015-09-30,4.72,4.82,4.70,4.72,10000,4.515501
2015-09-29,4.81,4.81,4.64,4.68,35700,4.477234
2015-09-28,4.85,4.85,4.75,4.77,80700,4.563335
2015-09-25,4.82,4.85,4.80,4.80,28600,4.592035
2015-09-24,4.83,4.92,4.80,4.81,31200,4.601602
2015-09-23,4.80,4.94,4.80,4.81,49600,4.601602
2015-09-22,4.80,4.85,4.78,4.80,96200,4.592035
2015-09-21,4.95,4.95,4.84,4.85,18000,4.639869
2015-09-18,4.90,5.06,4.88,4.95,21900,4.735536
2015-09-17,4.92,5.06,4.92,4.92,8000,4.706836
2015-09-16,4.92,5.00,4.92,4.96,40700,4.745103
2015-09-15,4.97,5.04,4.92,5.01,20800,4.792937
2015-09-14,5.08,5.08,4.97,4.98,30600,4.764236
2015-09-11,5.02,5.16,4.92,5.08,57900,4.859904
2015-09-10,5.18,5.21,5.15,5.17,30000,4.831204
2015-09-09,5.21,5.34,5.20,5.23,21200,4.887272
2015-09-08,5.27,5.36,5.23,5.29,16600,4.94334
2015-09-04,5.40,5.44,5.31,5.32,8400,4.971374
2015-09-03,5.36,5.43,5.02,5.41,11200,5.055476
2015-09-02,5.39,5.39,5.14,5.37,29800,5.018097
2015-09-01,5.38,5.96,5.32,5.44,46900,5.08351
2015-08-31,5.52,5.52,5.03,5.38,55900,5.027442
2015-08-28,4.62,5.79,4.60,5.46,118800,5.1022
2015-08-27,4.61,4.71,4.54,4.68,55200,4.373314
2015-08-26,5.00,5.05,4.61,4.61,90800,4.307901
2015-08-25,5.15,5.18,5.02,5.09,22400,4.756446
2015-08-24,5.07,5.22,5.07,5.12,47900,4.78448
2015-08-21,5.07,5.24,5.07,5.17,22200,4.831204
2015-08-20,5.08,5.32,5.08,5.14,19200,4.80317
2015-08-19,5.28,5.32,5.07,5.21,14400,4.868583
2015-08-18,5.05,5.26,5.05,5.25,17800,4.905961
2015-08-17,5.14,5.18,5.05,5.11,31200,4.775136
2015-08-14,5.08,5.40,5.05,5.10,25500,4.765791
2015-08-13,5.32,5.36,5.19,5.19,10500,4.849893
2015-08-12,5.48,5.48,5.33,5.37,1500,5.018097
2015-08-11,5.55,5.55,5.38,5.48,20300,5.120889
2015-08-10,5.28,5.43,5.28,5.38,3600,5.027442
2015-08-07,5.49,5.49,4.76,5.27,44500,4.924651
2015-08-06,5.60,5.60,5.39,5.45,7400,5.092855
2015-08-05,5.42,5.47,5.42,5.46,11500,5.1022
2015-08-04,5.36,5.62,5.35,5.36,39400,5.008753
2015-08-03,5.29,5.41,5.29,5.36,21700,5.008753
2015-07-31,5.54,5.54,5.35,5.35,10700,4.999408
2015-07-30,5.68,5.68,5.41,5.47,6400,5.111544
2015-07-29,5.41,5.60,5.41,5.44,74800,5.08351
2015-07-28,5.70,5.84,5.34,5.45,92900,5.092855
2015-07-27,6.00,6.00,5.63,5.75,65300,5.373196
2015-07-24,6.20,6.21,6.06,6.11,7700,5.709605
2015-07-23,6.31,6.39,6.21,6.25,12500,5.84043
2015-07-22,6.39,6.39,6.20,6.26,5300,5.849775
2015-07-21,6.32,6.39,6.12,6.38,9200,5.961911
2015-07-20,6.36,6.47,6.30,6.34,31900,5.924532
2015-07-17,6.39,6.42,6.24,6.42,32000,5.99929
2015-07-16,6.33,6.41,6.19,6.37,17700,5.952566
2015-07-15,6.29,6.39,6.15,6.39,20600,5.971256
2015-07-14,6.28,6.33,6.18,6.26,18700,5.849775
2015-07-13,6.17,6.28,6.12,6.24,7400,5.831085
2015-07-10,6.03,6.22,6.03,6.16,3100,5.756328
2015-07-09,6.08,6.10,6.03,6.10,4600,5.70026
2015-07-08,6.05,6.15,6.00,6.06,28200,5.662881
2015-07-07,6.09,6.13,6.00,6.04,16500,5.644192
2015-07-06,6.01,6.23,6.01,6.12,9300,5.718949
2015-07-02,6.15,6.23,6.10,6.13,29100,5.728294
2015-07-01,6.34,6.42,6.17,6.25,7400,5.84043
2015-06-30,6.31,6.50,6.12,6.20,46700,5.793706
2015-06-29,6.39,6.40,6.27,6.40,15700,5.9806
2015-06-26,6.30,6.44,6.26,6.41,16500,5.989945
2015-06-25,6.31,6.34,6.20,6.33,14300,5.915187
2015-06-24,6.27,6.37,6.12,6.31,16600,5.896498
2015-06-23,6.26,6.33,6.26,6.33,3500,5.915187
2015-06-22,6.16,6.34,6.15,6.24,21700,5.831085
2015-06-19,6.18,6.28,6.10,6.10,22000,5.70026
2015-06-18,6.21,6.35,6.17,6.22,14900,5.812396
2015-06-17,6.30,6.33,6.18,6.23,7000,5.821741
2015-06-16,6.36,6.36,6.26,6.28,3400,5.868464
2015-06-15,6.47,6.47,6.34,6.37,10900,5.952566
2015-06-12,6.47,6.47,6.37,6.42,13000,5.99929
2015-06-11,6.55,6.55,6.37,6.45,6400,6.027324
2015-06-10,6.57,6.58,6.51,6.58,14400,6.036668
