Date,Open,High,Low,Close,Volume,Adj Close
2016-04-19,9.75,9.75,9.75,9.75,000,9.75
2016-04-18,9.75,9.75,9.75,9.75,000,9.75
2016-04-15,9.75,9.75,9.75,9.75,000,9.75
2016-04-14,9.75,9.75,9.75,9.75,000,9.75
2016-04-13,9.75,9.75,9.75,9.75,000,9.75
2016-04-12,9.75,9.75,9.75,9.75,000,9.75
2016-04-11,9.75,9.75,9.75,9.75,000,9.75
2016-04-08,9.75,9.75,9.75,9.75,000,9.75
2016-04-07,9.75,9.75,9.75,9.75,1000,9.75
2016-04-06,9.80,9.80,9.80,9.80,000,9.80
2016-04-05,9.80,9.80,9.80,9.80,000,9.80
2016-04-04,9.80,9.80,9.80,9.80,1000,9.80
2016-04-01,9.73,9.73,9.73,9.73,000,9.73
2016-03-31,9.73,9.73,9.73,9.73,000,9.73
2016-03-30,9.73,9.73,9.73,9.73,000,9.73
2016-03-29,9.73,9.73,9.73,9.73,000,9.73
2016-03-28,9.73,9.73,9.73,9.73,000,9.73
2016-03-24,9.73,9.73,9.73,9.73,000,9.73
2016-03-23,9.73,9.73,9.73,9.73,000,9.73
2016-03-22,9.73,9.73,9.73,9.73,000,9.73
2016-03-21,9.73,9.73,9.73,9.73,000,9.73
2016-03-18,9.73,9.73,9.73,9.73,000,9.73
2016-03-17,9.54,9.74,9.52,9.73,4500,9.73
2016-03-16,9.74,9.74,9.74,9.74,100,9.74
2016-03-15,9.75,9.75,9.75,9.75,000,9.75
2016-03-14,9.75,9.75,9.75,9.75,000,9.75
2016-03-11,9.75,9.75,9.75,9.75,000,9.75
2016-03-10,9.75,9.75,9.75,9.75,000,9.75
2016-03-09,9.74,9.75,9.74,9.75,12500,9.75
2016-03-08,9.70,9.74,9.52,9.70,4600,9.70
2016-03-07,9.73,9.73,9.41,9.70,600,9.70
2016-03-04,9.49,9.75,9.49,9.50,10500,9.50
2016-03-03,9.73,9.73,9.73,9.73,000,9.73
2016-03-02,9.73,9.73,9.73,9.73,000,9.73
2016-03-01,9.73,9.73,9.73,9.73,000,9.73
2016-02-29,9.74,9.74,9.73,9.73,1100,9.73
2016-02-26,9.70,9.70,9.70,9.70,000,9.70
2016-02-25,9.65,9.70,9.65,9.70,1000,9.70
2016-02-24,9.533,9.533,9.533,9.533,000,9.533
2016-02-23,9.533,9.533,9.533,9.533,000,9.533
2016-02-22,9.533,9.533,9.533,9.533,000,9.533
2016-02-19,9.533,9.533,9.533,9.533,000,9.533
2016-02-18,9.533,9.533,9.533,9.533,000,9.533
2016-02-17,9.533,9.533,9.533,9.533,000,9.533
2016-02-16,9.533,9.533,9.533,9.533,000,9.533
2016-02-12,9.533,9.533,9.533,9.533,000,9.533
2016-02-11,9.533,9.533,9.533,9.533,200,9.533
2016-02-10,9.50,9.50,9.50,9.50,000,9.50
2016-02-09,9.50,9.50,9.50,9.50,200,9.50
2016-02-08,9.50,9.50,9.50,9.50,400,9.50
2016-02-05,9.60,9.60,9.60,9.60,000,9.60
2016-02-04,9.60,9.60,9.60,9.60,000,9.60
2016-02-03,9.57,9.645,9.57,9.60,1000,9.60
2016-02-02,9.57,9.57,9.50,9.50,1600,9.50
2016-02-01,9.57,9.57,9.57,9.57,100,9.57
2016-01-29,9.50,9.52,9.48,9.50,2013300,9.50
2016-01-28,9.56,9.56,9.48,9.48,1100,9.48
2016-01-27,9.52,9.54,9.40,9.54,30300,9.54
2016-01-26,9.53,9.53,9.53,9.53,000,9.53
2016-01-25,9.53,9.53,9.53,9.53,000,9.53
2016-01-22,9.55,9.55,9.50,9.53,1400,9.53
2016-01-21,9.53,9.53,9.48,9.50,360300,9.50
2016-01-20,9.52,9.52,9.52,9.52,000,9.52
2016-01-19,9.52,9.52,9.52,9.52,000,9.52
2016-01-15,9.52,9.52,9.52,9.52,200,9.52
2016-01-14,9.52,9.52,9.52,9.52,125000,9.52
2016-01-13,9.538,9.538,9.538,9.538,000,9.538
2016-01-12,9.538,9.538,9.538,9.538,000,9.538
2016-01-11,9.538,9.538,9.538,9.538,000,9.538
2016-01-08,9.538,9.538,9.538,9.538,000,9.538
2016-01-07,9.538,9.538,9.538,9.538,200,9.538
2016-01-06,9.565,9.589,9.565,9.589,200,9.589
2016-01-05,9.60,9.60,9.60,9.60,000,9.60
2016-01-04,9.60,9.60,9.60,9.60,000,9.60
2015-12-31,9.95,9.95,9.55,9.60,4100,9.60
2015-12-30,9.70,11.00,9.50,9.57,15600,9.57
2015-12-29,5.98,6.54,5.98,6.54,4700,6.54
2015-12-28,9.50,9.50,9.50,9.50,275000,9.50
2015-12-24,9.53,9.53,9.53,9.53,000,9.53
2015-12-23,9.55,9.55,9.53,9.53,275000,9.53
2015-12-22,9.96,9.96,9.96,9.96,000,9.96
2015-12-21,9.55,9.96,9.53,9.96,204500,9.96
2015-12-18,9.60,9.60,9.54,9.54,75400,9.54
