Date,Open,High,Low,Close,Volume,Adj Close
2016-04-19,39.00,39.50,39.00,39.50,16200,39.50
2016-04-18,38.900002,39.099998,38.900002,39.00,9300,39.00
2016-04-15,38.799999,38.990002,38.799999,38.950001,2400,38.950001
2016-04-14,39.049999,39.049999,38.950001,38.950001,1700,38.950001
2016-04-13,38.75,39.349998,38.75,39.049999,16400,39.049999
2016-04-12,39.00,39.189999,39.00,39.189999,3900,39.189999
2016-04-11,39.00,39.00,38.959999,38.959999,1500,38.959999
2016-04-08,38.91,39.049999,38.779999,38.779999,1400,38.779999
2016-04-07,38.779999,38.919998,38.759998,38.759998,1900,38.759998
2016-04-06,38.759998,39.00,38.759998,39.00,4500,39.00
2016-04-05,38.759998,39.00,38.75,38.75,2700,38.75
2016-04-04,39.00,39.00,38.75,38.799999,6900,38.799999
2016-04-01,39.00,39.00,38.799999,38.91,1000,38.91
2016-03-31,38.860001,39.049999,38.860001,38.91,4700,38.91
2016-03-30,39.00,39.00,38.959999,38.959999,2200,38.959999
2016-03-29,39.00,39.00,38.849998,38.849998,3400,38.849998
2016-03-28,39.00,39.099998,38.720001,38.720001,11400,38.720001
2016-03-24,38.599998,39.119999,38.599998,38.849998,4100,38.849998
2016-03-23,38.610001,38.610001,38.599998,38.610001,1800,38.610001
2016-03-22,39.00,39.029999,38.599998,38.610001,3200,38.610001
2016-03-21,38.849998,39.029999,38.75,38.759998,3800,38.759998
2016-03-18,39.470001,39.470001,38.799999,38.93,11300,38.93
2016-03-17,39.009998,39.369999,38.77,39.369999,7300,39.369999
2016-03-16,39.00,39.150002,38.799999,39.099998,5900,39.099998
2016-03-15,39.360001,39.400002,39.299999,39.400002,1600,39.400002
2016-03-14,39.880001,39.900002,39.599998,39.599998,600,39.599998
2016-03-11,38.82,40.00,38.82,40.00,5800,40.00
2016-03-10,39.869999,39.869999,39.50,39.50,1400,39.50
2016-03-09,39.639999,39.669998,39.529999,39.599998,1500,39.599998
2016-03-08,39.16,39.650002,38.939999,39.060001,3600,39.060001
2016-03-07,39.00,39.240002,38.990002,39.130001,2800,39.130001
2016-03-04,39.00,39.040001,38.799999,39.040001,5200,39.040001
2016-03-03,39.00,39.290001,38.599998,38.900002,6600,38.900002
2016-03-02,39.150002,39.959999,39.150002,39.450001,1500,39.450001
2016-03-01,39.50,39.709999,39.50,39.709999,1400,39.709999
2016-02-29,39.450001,39.450001,39.450001,39.450001,1600,39.450001
2016-02-26,39.799999,39.799999,39.310001,39.310001,1100,39.310001
2016-02-25,39.549999,40.189999,39.549999,40.189999,1000,40.189999
2016-02-24,39.330002,39.549999,39.330002,39.549999,1000,39.549999
2016-02-23,39.16,39.799999,39.150002,39.150002,1600,39.150002
2016-02-22,39.43,39.639999,39.259998,39.639999,3500,39.639999
2016-02-19,39.82,39.82,38.950001,39.599998,3500,39.599998
2016-02-18,40.099998,40.099998,39.540001,39.540001,2000,39.540001
2016-02-17,40.00,40.07,38.48,40.07,4100,40.07
2016-02-16,39.990002,40.00,39.310001,39.970001,3700,39.970001
2016-02-12,38.91,39.799999,38.849998,39.599998,3400,39.599998
2016-02-11,38.919998,38.990002,38.259998,38.75,3800,38.75
2016-02-10,39.889999,39.950001,39.299999,39.299999,1000,39.299999
2016-02-09,39.400002,39.400002,39.099998,39.099998,1200,39.099998
2016-02-08,39.779999,39.779999,39.41,39.41,2600,39.41
2016-02-05,39.400002,39.889999,39.299999,39.299999,5300,39.299999
2016-02-04,39.700001,39.869999,39.400002,39.869999,1800,39.869999
2016-02-03,40.299999,40.299999,39.830002,39.830002,2100,39.830002
2016-02-02,39.91,40.389999,39.459999,40.009998,3200,40.009998
2016-02-01,40.990002,40.990002,40.25,40.259998,5400,40.259998
2016-01-29,40.139999,40.50,40.00,40.50,6400,40.50
