Date,Open,High,Low,Close,Volume,Adj Close
2016-04-19,24.27,24.27,23.473,23.739,9000,23.739
2016-04-18,23.969999,24.200001,23.608999,24.039,6900,24.039
2016-04-15,23.752001,23.969999,23.65,23.936001,7000,23.936001
2016-04-14,24.17,24.17,23.768999,23.92,9200,23.92
2016-04-13,23.60,23.921,23.25,23.82,15900,23.82
2016-04-12,23.030001,23.200001,22.90,23.18,12200,23.18
2016-04-11,23.870001,23.870001,22.950001,23.01,6400,23.01
2016-04-08,24.040001,24.040001,23.32,23.440001,8200,23.440001
2016-04-07,23.950001,24.32,23.493,24.044001,6100,24.044001
2016-04-06,22.83,24.00,22.83,24.00,30000,24.00
2016-04-05,22.82,23.021999,22.60,22.65,6900,22.65
2016-04-04,22.530001,23.174,22.530001,22.683001,21400,22.683001
2016-04-01,21.950001,22.290001,21.90,22.25,9600,22.25
2016-03-31,21.26,22.108999,21.26,21.700001,9800,21.700001
2016-03-30,20.82,21.725,20.82,21.223,12500,21.223
2016-03-29,20.257999,20.889,20.257999,20.879999,1100,20.879999
2016-03-28,20.66,20.781,20.50,20.65,3000,20.65
2016-03-24,20.290001,20.992001,20.25,20.618999,4800,20.618999
2016-03-23,21.790001,21.791,20.65,20.65,3000,20.65
2016-03-22,21.542,21.889999,21.542,21.860001,27500,21.860001
2016-03-21,20.93,21.469999,20.907,21.290001,13300,21.290001
2016-03-18,20.01,20.85,20.01,20.709999,14000,20.709999
2016-03-17,20.02,20.280001,19.559999,20.18,9100,20.18
2016-03-16,20.15,20.51,19.98,20.209999,9300,20.209999
2016-03-15,21.059999,21.059999,20.207001,20.333,4700,20.333
2016-03-14,21.030001,21.618999,21.030001,21.48,25000,21.48
2016-03-11,21.58,21.58,20.67,21.32,11900,21.32
2016-03-10,21.379999,21.393,20.549999,20.690001,5300,20.690001
2016-03-09,21.52,21.52,21.15,21.35,8700,21.35
2016-03-08,22.82,22.82,21.700001,21.700001,16700,21.700001
2016-03-07,22.01,22.76,21.950001,22.363001,9300,22.363001
2016-03-04,22.08,22.540001,21.700001,22.091,8400,22.091
2016-03-03,22.33,22.33,21.662001,21.879999,13200,21.879999
2016-03-02,20.93,21.99,20.93,21.973,8900,21.973
2016-03-01,20.17,21.17,20.17,21.146,10100,21.146
2016-02-29,20.90,20.90,20.049999,20.056999,8000,20.056999
2016-02-26,20.393,20.691999,20.063999,20.691999,4300,20.691999
2016-02-25,20.35,20.35,20.01,20.01,1100,20.01
2016-02-24,19.59,20.120001,19.301001,20.049999,10600,20.049999
2016-02-23,20.67,20.67,19.93,19.93,7700,19.93
2016-02-22,21.690001,21.690001,20.589001,20.65,16200,20.65
2016-02-19,19.950001,20.52,19.950001,20.52,3100,20.52
2016-02-18,21.34,21.34,20.299,20.319,9700,20.319
2016-02-17,20.950001,20.986,20.507999,20.90,25300,20.90
2016-02-16,20.24,20.24,19.712,20.167999,13000,20.167999
2016-02-12,18.813999,19.200001,18.57,19.200001,4800,19.200001
2016-02-11,18.233999,18.778,18.233999,18.65,13600,18.65
2016-02-10,18.997,19.59,18.98,18.98,10400,18.98
2016-02-09,18.60,19.115999,18.377001,19.10,9600,19.10
2016-02-08,18.709999,19.110001,18.572001,18.85,15600,18.85
2016-02-05,20.15,20.15,19.669001,19.695,20300,19.695
2016-02-04,19.98,20.940001,19.98,20.438,3100,20.438
2016-02-03,20.559999,20.559999,19.49,19.985001,8300,19.985001
2016-02-02,21.08,21.08,20.132,20.370001,5400,20.370001
2016-02-01,20.90,21.106001,20.382,21.059999,10700,21.059999
