Date,Open,High,Low,Close,Volume,Adj Close
2016-04-19,9.02,9.03,8.55,8.75,87200,8.75
2016-04-18,9.03,9.132,8.93,9.03,91000,9.03
2016-04-15,8.90,9.30,8.55,9.12,149500,9.12
2016-04-14,9.28,9.28,8.91,8.98,145900,8.98
2016-04-13,8.83,9.67,8.64,9.22,242200,9.22
2016-04-12,8.56,8.79,8.51,8.64,101300,8.64
2016-04-11,8.80,9.04,8.50,8.62,84600,8.62
2016-04-08,9.13,9.13,8.60,8.77,66300,8.77
2016-04-07,8.88,9.395,8.79,9.03,107400,9.03
2016-04-06,9.01,9.15,8.80,8.95,169200,8.95
2016-04-05,8.70,9.08,8.61,8.75,123100,8.75
2016-04-04,9.20,9.29,8.68,8.78,117500,8.78
2016-04-01,9.07,9.75,9.004,9.23,126700,9.23
2016-03-31,9.60,9.948,8.52,9.15,191900,9.15
2016-03-30,8.52,9.56,8.52,9.50,273300,9.50
2016-03-29,7.83,8.86,7.60,8.44,465600,8.44
2016-03-28,7.50,8.28,7.15,7.84,425900,7.84
2016-03-24,6.90,7.54,6.90,6.97,95000,6.97
2016-03-23,7.53,7.70,6.52,6.87,109700,6.87
2016-03-22,7.38,7.73,7.29,7.49,51900,7.49
2016-03-21,7.50,8.08,7.30,7.42,248300,7.42
2016-03-18,7.38,7.66,7.24,7.31,147500,7.31
2016-03-17,7.44,7.44,7.21,7.29,78400,7.29
2016-03-16,7.50,8.03,7.20,7.52,130600,7.52
2016-03-15,7.44,8.417,7.036,7.31,138500,7.31
2016-03-14,7.42,7.77,7.13,7.42,74800,7.42
2016-03-11,7.90,7.98,6.83,7.48,639900,7.48
2016-03-10,8.37,8.37,7.80,7.89,60100,7.89
2016-03-09,9.74,10.283,8.07,8.37,83000,8.37
2016-03-08,9.74,10.79,9.04,9.25,49300,9.25
2016-03-07,9.94,10.19,9.46,9.75,50400,9.75
2016-03-04,9.00,10.47,8.971,9.99,103300,9.99
2016-03-03,8.005,9.00,8.005,8.88,69400,8.88
2016-03-02,7.72,8.17,7.31,7.94,69800,7.94
2016-03-01,7.67,7.67,7.181,7.24,43500,7.24
2016-02-29,7.15,7.585,7.15,7.16,25800,7.16
2016-02-26,6.98,7.43,6.87,7.09,38000,7.09
2016-02-25,6.80,7.169,6.75,7.04,16600,7.04
2016-02-24,6.83,7.395,6.232,6.73,251200,6.73
2016-02-23,6.94,7.46,6.67,6.96,241200,6.96
2016-02-22,6.81,8.25,6.65,7.05,138200,7.05
2016-02-19,6.93,6.93,6.46,6.61,66200,6.61
2016-02-18,6.62,7.00,6.62,6.87,61600,6.87
2016-02-17,6.98,7.40,6.25,6.69,190500,6.69
2016-02-16,7.05,7.49,6.66,6.99,70300,6.99
2016-02-12,7.26,7.26,6.795,6.90,204900,6.90
2016-02-11,7.21,7.22,6.60,6.66,131700,6.66
2016-02-10,6.98,9.00,6.98,7.39,87600,7.39
2016-02-09,7.15,7.33,6.45,6.80,60900,6.80
2016-02-08,9.01,9.27,7.019,7.31,155900,7.31
2016-02-05,10.30,10.70,9.00,9.07,41400,9.07
2016-02-04,9.58,10.29,9.50,10.05,34700,10.05
2016-02-03,9.91,10.89,9.38,9.67,26600,9.67
2016-02-02,9.76,10.39,9.72,9.77,18600,9.77
2016-02-01,10.94,10.94,9.26,9.93,96300,9.93
2016-01-29,10.51,12.00,10.51,11.11,84600,11.11
2016-01-28,10.76,11.01,9.89,10.00,18700,10.00
2016-01-27,10.49,11.05,10.10,10.35,32300,10.35
2016-01-26,9.69,10.81,9.52,10.60,45900,10.60
2016-01-25,9.68,10.76,9.49,9.57,49000,9.57
2016-01-22,9.81,10.07,9.41,9.80,59800,9.80
2016-01-21,9.97,10.45,9.27,9.64,166800,9.64
2016-01-20,10.04,10.51,9.52,10.11,59700,10.11
2016-01-19,11.07,11.07,9.71,10.27,70100,10.27
2016-01-15,11.25,11.65,9.42,10.90,224100,10.90
2016-01-14,12.01,12.17,11.35,11.42,42600,11.42
2016-01-13,12.36,12.64,11.75,11.83,48100,11.83
2016-01-12,12.25,12.65,11.89,12.44,52900,12.44
2016-01-11,12.89,13.265,11.84,12.15,75000,12.15
2016-01-08,12.64,13.40,12.29,12.85,29600,12.85
2016-01-07,13.48,13.48,12.08,12.61,48900,12.61
2016-01-06,13.16,13.86,12.68,13.76,30700,13.76
2016-01-05,12.40,13.86,12.09,13.43,46900,13.43
2016-01-04,12.29,12.70,11.75,12.40,75700,12.40
2015-12-31,12.71,13.07,12.26,12.50,114500,12.50
2015-12-30,12.75,13.06,12.30,12.65,96100,12.65
2015-12-29,13.08,13.38,12.29,12.86,92400,12.86
2015-12-28,13.74,13.80,12.94,13.22,68800,13.22
2015-12-24,13.19,13.19,12.66,13.01,20400,13.01
2015-12-23,12.85,13.59,12.11,13.25,87200,13.25
