Date,Open,High,Low,Close,Volume,Adj Close
2016-04-19,68.260002,68.50,68.07,68.290001,700,68.290001
2016-04-18,67.949997,68.199997,67.940002,68.059998,14200,68.059998
2016-04-15,67.860001,68.029999,67.860001,68.029999,500,68.029999
2016-04-14,67.739998,68.470001,67.739998,68.110001,6700,68.110001
2016-04-13,67.529999,67.529999,67.529999,67.529999,600,67.529999
2016-04-12,67.290001,67.690002,67.290001,67.410004,3300,67.410004
2016-04-11,67.230003,67.419998,67.040001,67.279999,3500,67.279999
2016-04-08,67.129997,67.169998,67.110001,67.169998,1900,67.169998
2016-04-07,67.129997,67.129997,67.129997,67.129997,700,67.129997
2016-04-06,67.110001,67.230003,66.720001,67.230003,1700,67.230003
2016-04-05,67.459999,67.459999,67.199997,67.220001,2600,67.220001
2016-04-04,67.269997,67.43,67.269997,67.43,1100,67.43
2016-04-01,67.25,67.269997,67.220001,67.269997,500,67.269997
2016-03-31,67.150002,67.169998,66.910004,67.160004,1300,67.160004
2016-03-30,67.019997,67.120003,66.949997,67.120003,1800,67.120003
2016-03-29,66.599998,66.949997,66.599998,66.949997,2000,66.949997
2016-03-28,66.739998,66.739998,66.739998,66.739998,400,66.739998
2016-03-24,67.07,67.07,66.610001,66.839996,1800,66.839996
2016-03-23,66.910004,66.940002,66.910004,66.940002,300,66.940002
2016-03-22,66.470001,66.849998,66.470001,66.809998,3900,66.809998
2016-03-21,66.540001,66.699997,66.540001,66.669998,3200,66.669998
2016-03-18,66.760002,67.110001,66.669998,66.779999,5000,66.549999
2016-03-17,66.50,66.639999,66.50,66.589996,6800,66.360651
2016-03-16,66.220001,66.790001,66.029999,66.410004,6900,66.181279
2016-03-15,66.07,66.419998,66.010002,66.410004,3700,66.181279
2016-03-14,66.050003,66.199997,66.050003,66.160004,6800,65.93214
2016-03-11,66.300003,66.300003,65.550003,65.550003,1200,65.32424
2016-03-10,65.910004,66.209999,65.309998,65.93,15500,65.702928
2016-03-09,66.110001,66.18,65.959999,66.059998,8100,65.832478
2016-03-08,66.099998,66.099998,65.970001,66.050003,1500,65.822518
2016-03-07,65.93,66.129997,65.860001,65.940002,1700,65.712896
2016-03-04,65.830002,66.010002,65.370003,65.830002,7800,65.603274
2016-03-03,65.459999,65.919998,65.220001,65.669998,7100,65.443822
2016-03-02,65.260002,65.349998,64.989998,65.32,5100,65.095029
2016-03-01,65.010002,65.379997,65.010002,65.239998,1100,65.015302
2016-02-29,64.839996,65.010002,64.790001,64.82,600,64.596751
2016-02-26,65.169998,65.169998,64.669998,64.669998,1300,64.447266
2016-02-25,65.190002,65.190002,64.800003,64.800003,900,64.576823
2016-02-24,64.900002,64.919998,64.769997,64.889999,800,64.666509
2016-02-23,64.889999,65.230003,64.760002,65.080002,4700,64.855858
2016-02-22,64.760002,64.949997,64.68,64.910004,29500,64.686445
2016-02-19,64.699997,65.150002,64.699997,65.029999,5500,64.541937
2016-02-18,65.199997,65.199997,64.709999,64.919998,1800,64.432762
2016-02-17,64.510002,64.739998,64.419998,64.730003,8900,64.244193
2016-02-16,64.589996,64.660004,64.449997,64.510002,2400,64.025843
2016-02-12,64.57,64.580002,64.150002,64.580002,23300,64.095317
2016-02-11,64.169998,64.75,64.169998,64.190002,26800,63.708245
2016-02-10,64.639999,64.860001,64.470001,64.57,48100,64.08539
2016-02-09,64.650002,64.959999,64.599998,64.959999,7300,64.472463
2016-02-08,64.379997,64.900002,64.379997,64.709999,42700,64.224339
2016-02-05,64.400002,65.080002,64.400002,64.410004,30900,63.926595
2016-02-04,64.690002,64.989998,64.389999,64.989998,26300,64.502236
2016-02-03,64.599998,64.809998,64.309998,64.809998,30700,64.323587
2016-02-02,64.900002,64.900002,64.440002,64.610001,34900,64.125091
2016-02-01,64.379997,64.870003,64.379997,64.610001,58500,64.125091
2016-01-29,64.779999,64.93,64.379997,64.599998,54800,64.115164
2016-01-28,64.169998,64.610001,64.139999,64.300003,66400,63.81742
2016-01-27,63.869999,64.400002,63.650002,64.370003,65300,63.886894
2016-01-26,64.00,64.00,63.75,63.799999,1800,63.321169
2016-01-25,63.73,64.209999,63.700001,63.810001,3600,63.331096
2016-01-22,64.330002,64.330002,63.77,64.00,3900,63.25666
2016-01-21,63.50,63.990002,63.50,63.740002,2000,62.999682
2016-01-20,64.510002,64.669998,64.019997,64.019997,2200,63.276425
2016-01-19,64.360001,64.809998,64.349998,64.730003,6800,63.978185
2016-01-15,64.650002,64.760002,64.25,64.330002,10300,63.582829
2016-01-14,65.099998,65.099998,64.309998,64.57,30600,63.82004
2016-01-13,65.029999,65.160004,64.919998,65.080002,34600,64.324118
2016-01-12,65.089996,65.589996,64.709999,65.099998,116300,64.343883
2016-01-11,65.489998,65.610001,65.220001,65.220001,49100,64.462492
2016-01-08,65.349998,65.760002,65.339996,65.760002,67400,64.996221
2016-01-07,65.639999,65.699997,65.349998,65.419998,19600,64.660166
2016-01-06,65.400002,65.980003,65.379997,65.739998,56300,64.976449
2016-01-05,65.25,65.940002,65.25,65.940002,9900,65.17413
2016-01-04,65.129997,65.650002,65.129997,65.389999,27200,64.630515
2015-12-31,65.440002,65.580002,65.110001,65.580002,4000,64.818311
2015-12-30,65.150002,65.580002,65.00,65.279999,37700,64.521792
2015-12-29,65.220001,65.50,64.980003,65.099998,4000,64.343883
2015-12-28,65.18,65.360001,65.110001,65.110001,5400,64.353769
2015-12-24,65.150002,65.150002,65.040001,65.040001,700,64.284582
2015-12-23,65.599998,65.599998,65.00,65.120003,2100,64.363655
2015-12-22,65.099998,65.599998,65.099998,65.550003,22700,64.788661
2015-12-21,65.199997,65.440002,65.110001,65.110001,18500,64.353769
2015-12-18,65.690002,65.690002,65.370003,65.370003,1400,64.348826
2015-12-17,65.629997,65.830002,65.459999,65.519997,5600,64.496477
2015-12-16,65.239998,65.540001,65.239998,65.279999,1100,64.260228
2015-12-15,65.470001,65.480003,65.160004,65.470001,6400,64.447263
2015-12-14,65.449997,65.610001,65.269997,65.300003,11000,64.27992
2015-12-11,66.199997,66.300003,65.730003,65.730003,17100,64.703203
2015-12-10,66.209999,66.349998,66.050003,66.25,14200,65.215077
2015-12-09,66.349998,66.529999,66.190002,66.260002,4500,65.224923
2015-12-08,66.599998,66.860001,66.410004,66.410004,15400,65.372581
2015-12-07,66.639999,66.910004,66.410004,66.75,68300,65.707266
2015-12-04,66.75,66.839996,66.68,66.769997,19900,65.72695
2015-12-03,67.07,67.190002,66.790001,66.959999,62900,65.913985
2015-12-02,67.519997,67.540001,67.239998,67.25,3900,66.199455
2015-12-01,67.190002,67.580002,67.190002,67.419998,43900,66.366798
2015-11-30,67.839996,67.839996,67.25,67.529999,4100,66.47508
2015-11-27,67.889999,67.949997,67.57,67.699997,64600,66.642423
2015-11-25,67.669998,68.040001,67.639999,67.800003,29800,66.740866
2015-11-24,67.519997,67.720001,67.510002,67.519997,6500,66.465234
2015-11-23,67.919998,68.120003,67.620003,67.620003,4500,66.563678
2015-11-20,67.779999,68.440002,67.739998,68.300003,69400,66.972198
2015-11-19,67.580002,68.059998,67.550003,67.75,76500,66.432888
2015-11-18,67.459999,67.57,67.389999,67.559998,62600,66.246579
2015-11-17,67.339996,67.440002,67.32,67.43,12100,66.119109
2015-11-16,67.330002,67.550003,67.00,67.190002,189800,65.883777
2015-11-13,67.910004,68.029999,67.589996,67.800003,34700,66.481919
2015-11-12,67.779999,68.25,67.690002,67.690002,13900,66.374057
2015-11-11,68.199997,68.199997,67.769997,67.839996,3600,66.521135
2015-11-10,67.949997,68.300003,67.910004,68.099998,35200,66.776082
2015-11-09,68.099998,68.349998,67.82,67.82,1500,66.501527
2015-11-06,68.50,68.50,68.309998,68.309998,1500,66.981999
2015-11-05,68.50,68.959999,68.32,68.589996,42800,67.256554
2015-11-04,68.419998,68.889999,68.290001,68.43,27700,67.099668
2015-11-03,68.25,68.620003,67.849998,68.620003,4200,67.285977
2015-11-02,68.080002,68.370003,68.080002,68.339996,4100,67.011414
