Date,Open,High,Low,Close,Volume,Adj Close
2016-04-19,10.91,11.00,10.91,10.98,4100,10.98
2016-04-18,10.85,11.00,10.77,10.90,23100,10.90
2016-04-15,11.03,11.19,10.77,10.91,14000,10.91
2016-04-14,11.29,11.90,10.83,11.06,23700,11.06
2016-04-13,11.04,11.23,10.86,11.16,32800,11.16
2016-04-12,10.82,11.27,10.77,10.96,23300,10.96
2016-04-11,11.04,11.32,10.89,10.95,15200,10.95
2016-04-08,11.04,11.23,10.91,10.96,10900,10.96
2016-04-07,11.13,11.42,10.87,10.92,20900,10.92
2016-04-06,11.21,11.67,11.00,11.22,22400,11.22
2016-04-05,10.91,11.75,10.75,11.21,49500,11.21
2016-04-04,11.71,11.86,10.90,11.05,22400,11.05
2016-04-01,11.72,11.75,11.67,11.71,10500,11.71
2016-03-31,11.83,12.00,11.67,11.77,14800,11.77
2016-03-30,12.08,12.08,11.80,11.91,7700,11.91
2016-03-29,11.94,12.34,11.62,12.00,23300,12.00
2016-03-28,11.99,12.00,11.60,11.90,8600,11.90
2016-03-24,12.11,12.20,11.93,11.97,9800,11.97
2016-03-23,12.58,12.58,12.05,12.10,10200,12.10
2016-03-22,12.63,12.75,12.51,12.62,3000,12.62
2016-03-21,12.67,12.81,12.66,12.74,23600,12.74
2016-03-18,12.57,12.77,12.17,12.60,45100,12.60
2016-03-17,12.59,12.59,12.19,12.46,8300,12.46
2016-03-16,12.73,12.95,12.48,12.58,11100,12.58
2016-03-15,13.03,13.10,12.49,12.56,10000,12.56
2016-03-14,12.78,13.27,12.52,12.73,15000,12.73
2016-03-11,12.89,12.95,12.57,12.90,25100,12.90
2016-03-10,12.48,13.00,12.12,12.88,38100,12.88
2016-03-09,13.55,13.55,12.70,12.89,18200,12.78
2016-03-08,13.71,13.71,13.30,13.39,18700,13.275733
2016-03-07,13.36,13.82,13.36,13.69,17000,13.573172
2016-03-04,13.60,13.64,13.26,13.30,11300,13.186501
2016-03-03,13.04,13.50,13.04,13.45,13200,13.335221
2016-03-02,12.89,13.11,12.89,13.10,14700,12.988208
2016-03-01,12.93,13.15,12.64,13.07,20200,12.958463
2016-02-29,12.60,12.69,12.53,12.60,15600,12.492475
2016-02-26,12.56,12.58,12.50,12.51,9700,12.403243
2016-02-25,12.40,12.52,11.88,12.43,9200,12.323925
2016-02-24,12.25,12.44,12.25,12.33,4300,12.224778
2016-02-23,12.76,12.84,12.07,12.26,13300,12.155376
2016-02-22,12.24,12.40,12.10,12.26,13900,12.155376
2016-02-19,12.06,13.37,12.04,12.12,48800,12.016571
2016-02-18,11.68,12.03,11.68,12.02,7400,11.917424
2016-02-17,11.89,11.90,11.59,11.66,16100,11.560496
2016-02-16,11.16,11.59,10.98,11.55,16700,11.451435
2016-02-12,11.12,11.16,10.96,11.07,5200,10.975531
2016-02-11,11.18,11.18,10.93,11.04,13900,10.945787
2016-02-10,11.63,11.68,11.26,11.28,11600,11.183739
2016-02-09,11.48,11.89,10.97,11.31,11300,11.213483
2016-02-08,11.25,11.73,10.95,11.64,13900,11.540667
2016-02-05,12.05,12.09,11.30,11.30,28300,11.203569
2016-02-04,11.80,12.18,11.67,12.12,17600,12.016571
2016-02-03,12.03,12.31,11.79,12.10,15400,11.996742
2016-02-02,12.36,12.61,11.60,11.99,19400,11.88768
2016-02-01,12.14,12.88,11.75,12.51,17300,12.403243
2016-01-29,11.85,12.64,11.84,12.10,15900,11.996742
2016-01-28,12.87,13.32,11.82,11.83,12700,11.729045
2016-01-27,12.66,13.05,12.66,12.75,7800,12.641194
2016-01-26,12.94,13.10,12.72,13.03,11000,12.918805
2016-01-25,12.85,13.05,12.77,12.84,9300,12.730426
2016-01-22,13.03,13.03,12.59,12.94,16600,12.829573
2016-01-21,13.00,13.15,12.80,12.87,12400,12.76017
2016-01-20,12.55,13.00,12.32,12.95,27600,12.839487
2016-01-19,12.84,13.24,12.56,13.08,34000,12.968378
2016-01-15,12.80,13.15,12.56,12.71,29100,12.601536
2016-01-14,12.97,13.28,12.87,13.12,12700,13.008037
2016-01-13,12.15,13.39,12.15,12.98,46100,12.869231
2016-01-12,11.22,11.90,11.16,11.80,26100,11.699302
2016-01-11,11.57,11.75,11.50,11.52,66500,11.421691
2016-01-08,12.16,12.16,11.51,11.51,40600,11.411776
2016-01-07,12.51,12.51,12.03,12.15,12200,12.046314
2016-01-06,12.80,12.85,12.60,12.61,20300,12.502389
2016-01-05,13.10,13.10,12.80,12.86,18700,12.750255
2016-01-04,12.73,13.06,12.69,13.02,46000,12.908891
2015-12-31,13.19,13.36,13.19,13.25,20600,13.136927
2015-12-30,13.30,13.40,12.86,13.27,13400,13.156757
2015-12-29,13.02,13.46,13.02,13.35,18400,13.236074
2015-12-28,13.01,13.09,12.76,13.02,10600,12.908891
2015-12-24,13.24,13.36,13.03,13.18,12700,13.067525
2015-12-23,13.13,13.46,13.13,13.34,10800,13.22616
2015-12-22,13.00,13.45,12.84,13.15,16300,13.03778
2015-12-21,12.47,12.80,12.18,12.74,34200,12.631279
2015-12-18,12.15,12.48,12.10,12.34,44000,12.234693
2015-12-17,12.45,12.63,12.12,12.22,9100,12.115718
2015-12-16,12.24,12.45,12.07,12.44,8200,12.333839
2015-12-15,11.84,12.22,11.84,12.08,10500,11.976912
2015-12-14,11.83,12.01,11.71,11.88,23900,11.778619
2015-12-11,10.82,12.16,10.82,12.03,112200,11.927338
2015-12-10,11.24,11.30,10.70,11.00,55100,10.906128
2015-12-09,11.14,12.00,10.81,10.89,26900,10.688007
2015-12-08,12.08,12.09,11.01,11.14,49600,10.93337
2015-12-07,12.18,12.46,11.80,12.14,19500,11.914821
2015-12-04,12.03,12.70,12.03,12.10,13700,11.875563
2015-12-03,12.18,12.40,11.96,12.02,10000,11.797047
2015-12-02,12.34,12.40,12.12,12.15,8000,11.924635
2015-12-01,12.00,12.34,12.00,12.21,9400,11.983522
2015-11-30,11.99,12.09,11.90,12.00,14300,11.777417
2015-11-27,11.91,12.00,11.91,11.98,24100,11.757788
2015-11-25,11.98,12.05,11.95,11.99,27100,11.767603
2015-11-24,12.00,12.33,11.91,11.93,17200,11.708716
2015-11-23,12.01,12.20,11.90,12.00,14500,11.777417
2015-11-20,12.12,12.30,11.82,12.01,22700,11.787232
2015-11-19,12.14,12.17,11.90,11.98,24200,11.757788
2015-11-18,12.29,12.31,12.06,12.19,12300,11.963893
2015-11-17,12.71,13.10,12.03,12.28,24500,12.052224
2015-11-16,12.84,13.20,12.55,12.62,10800,12.385917
2015-11-13,12.90,13.80,12.74,12.83,16400,12.592022
2015-11-12,13.18,13.89,13.00,13.01,18800,12.768684
2015-11-11,14.10,14.10,13.22,13.24,14100,12.994417
2015-11-10,13.73,13.77,13.27,13.77,17200,13.514587
2015-11-09,13.78,13.95,13.75,13.81,17300,13.553845
2015-11-06,13.57,13.78,13.50,13.78,22600,13.524401
2015-11-05,13.99,13.99,13.50,13.60,19300,13.34774
2015-11-04,14.03,14.17,13.81,13.95,47900,13.691248
2015-11-03,14.32,14.50,14.16,14.27,66000,14.005313
2015-11-02,14.59,14.73,13.92,14.52,28400,14.250676
2015-10-30,17.27,17.27,14.50,14.83,57700,14.554925
2015-10-29,17.959999,18.26,17.57,17.700001,10300,17.371691
2015-10-28,17.790001,18.17,17.790001,18.08,13500,17.744642
2015-10-27,18.66,18.90,17.780001,17.799999,13800,17.469835
2015-10-26,18.34,18.75,18.139999,18.67,34300,18.323699
2015-10-23,18.299999,18.40,18.00,18.389999,11600,18.048892
