Date,Open,High,Low,Close,Volume,Adj Close
2016-04-19,37.18,37.290001,37.150002,37.290001,2400,37.290001
2016-04-18,36.32,36.650002,36.32,36.540001,86800,36.540001
2016-04-15,36.439999,36.439999,36.32,36.34,3400,36.34
2016-04-14,36.599998,36.700001,36.599998,36.689999,1100,36.689999
2016-04-13,36.669998,36.669998,36.529999,36.66,5200,36.66
2016-04-12,36.040001,36.279999,35.91,36.25,4100,36.25
2016-04-11,36.380001,36.380001,35.950001,35.970001,12900,35.970001
2016-04-08,35.959999,35.959999,35.880001,35.939999,4300,35.939999
2016-04-07,35.619999,35.619999,35.279999,35.349998,10400,35.349998
2016-04-06,35.889999,36.049999,35.860001,36.049999,2800,36.049999
2016-04-05,35.619999,35.669998,35.470001,35.549999,8100,35.549999
2016-04-04,36.68,36.68,36.369999,36.50,11200,36.50
2016-04-01,36.25,36.639999,36.16,36.599998,13700,36.599998
2016-03-31,36.779999,36.869999,36.599998,36.599998,40100,36.599998
2016-03-30,36.610001,36.93,36.610001,36.82,12000,36.82
2016-03-29,35.43,36.189999,35.43,36.189999,17800,36.189999
2016-03-28,35.73,35.73,35.619999,35.700001,8300,35.700001
2016-03-24,35.470001,35.59,35.439999,35.59,1200,35.59
2016-03-23,35.98,35.990002,35.810001,35.810001,36400,35.810001
2016-03-22,35.66,35.889999,35.66,35.82,6400,35.807999
2016-03-21,35.939999,35.939999,35.73,35.82,11000,35.807999
2016-03-18,36.080002,36.240002,36.07,36.169998,2400,36.15788
2016-03-17,35.889999,36.09,35.889999,36.060001,20300,36.04792
2016-03-16,35.490002,36.139999,35.490002,36.02,27300,36.007932
2016-03-15,35.25,35.389999,35.25,35.330002,26700,35.318165
2016-03-14,35.50,35.57,35.50,35.57,900,35.558082
2016-03-11,35.009998,35.389999,35.009998,35.389999,12700,35.378142
2016-03-10,34.419998,34.419998,33.77,34.060001,26000,34.04859
2016-03-09,34.330002,34.330002,34.119999,34.18,14400,34.168549
2016-03-08,34.630001,34.630001,34.220001,34.220001,8300,34.208536
2016-03-07,34.48,35.00,34.48,34.900002,8100,34.888309
2016-03-04,34.919998,35.119999,34.919998,34.990002,5900,34.978279
2016-03-03,34.470001,34.700001,34.470001,34.700001,2600,34.688375
2016-03-02,34.200001,34.27,34.07,34.27,10100,34.258519
2016-03-01,34.18,34.599998,34.18,34.599998,46200,34.588406
2016-02-29,33.200001,33.439999,33.200001,33.27,20100,33.258854
2016-02-26,33.48,33.48,33.23,33.279999,6500,33.268849
2016-02-25,33.110001,33.189999,32.98,33.169998,5200,33.158885
2016-02-24,32.330002,32.73,32.119999,32.66,30000,32.649058
2016-02-23,33.240002,33.240002,33.009998,33.040001,47900,33.028931
2016-02-22,33.290001,33.470001,33.290001,33.459999,4800,33.448789
2016-02-19,32.950001,33.139999,32.860001,33.119999,22500,33.108902
2016-02-18,33.34,33.41,33.200001,33.25,12200,33.23886
2016-02-17,32.720001,33.029999,32.720001,32.950001,27000,32.938961
2016-02-16,32.400002,32.41,32.040001,32.360001,217700,32.349159
2016-02-12,31.57,31.68,31.379999,31.68,24800,31.669386
2016-02-11,31.48,31.620001,31.35,31.559999,53900,31.549426
2016-02-10,31.790001,31.950001,31.610001,31.620001,42500,31.609407
2016-02-09,30.65,31.52,30.65,31.34,123300,31.3295
2016-02-08,31.60,31.60,31.16,31.389999,23400,31.379483
2016-02-05,33.220001,33.23,32.68,32.720001,20400,32.709039
2016-02-04,32.91,33.25,32.830002,33.169998,10400,33.158885
2016-02-03,33.209999,33.349998,32.880001,33.34,58600,33.32883
2016-02-02,33.400002,33.400002,32.869999,32.869999,55800,32.858986
2016-02-01,33.549999,33.810001,33.549999,33.77,5600,33.758686
2016-01-29,33.23,33.560001,33.23,33.48,458300,33.468782
2016-01-28,33.450001,33.50,33.209999,33.209999,14700,33.198872
2016-01-27,33.66,33.810001,33.32,33.41,11400,33.398806
2016-01-26,33.48,33.619999,33.450001,33.619999,24600,33.608735
2016-01-25,33.150002,33.240002,33.029999,33.099998,37400,33.088909
2016-01-22,33.080002,33.18,33.00,33.130001,10200,33.118901
2016-01-21,32.119999,32.59,32.119999,32.529999,15600,32.5191
2016-01-20,32.369999,32.380001,31.67,32.169998,28400,32.15922
2016-01-19,32.880001,33.119999,32.73,32.919998,38400,32.908969
2016-01-15,32.419998,32.419998,31.959999,31.98,35400,31.969285
2016-01-14,33.169998,33.57,33.139999,33.400002,41900,33.388811
2016-01-13,34.220001,34.220001,33.240002,33.299999,70000,33.288842
2016-01-12,34.32,34.32,33.880001,34.220001,11000,34.208536
2016-01-11,33.889999,33.93,33.48,33.73,28900,33.718699
2016-01-08,34.189999,34.189999,33.48,33.560001,21300,33.548758
2016-01-07,33.939999,34.25,33.84,33.959999,42600,33.948621
2016-01-06,34.400002,34.709999,34.330002,34.650002,14400,34.638392
2016-01-05,35.150002,35.200001,34.84,35.169998,52900,35.158215
2016-01-04,35.380001,35.400002,35.02,35.349998,13000,35.338155
2015-12-31,36.450001,36.490002,36.09,36.209999,16100,36.197867
2015-12-30,36.939999,36.939999,36.630001,36.759998,14800,36.747682
2015-12-29,36.759998,37.09,36.759998,36.98,21200,36.96761
2015-12-28,36.50,36.700001,36.470001,36.68,18500,36.667711
2015-12-24,36.369999,36.66,36.369999,36.599998,4400,36.587736
2015-12-23,36.369999,36.59,36.369999,36.59,5000,36.577741
2015-12-22,36.16,36.360001,36.049999,36.360001,46000,36.347819
2015-12-21,36.32,36.32,35.93,36.09,9200,36.077909
2015-12-18,36.119999,36.119999,35.82,35.82,387000,35.807999
2015-12-17,36.16,36.259998,36.150002,36.150002,1800,36.13789
2015-12-16,36.099998,36.43,35.709999,36.310001,12000,36.297836
2015-12-15,35.889999,35.889999,35.700001,35.720001,19400,35.708034
2015-12-14,35.630001,35.669998,35.349998,35.580002,19100,35.568081
2015-12-11,35.810001,35.810001,35.549999,35.580002,5600,35.568081
2015-12-10,36.43,36.459999,36.290001,36.34,4900,36.327825
2015-12-09,36.619999,36.75,36.209999,36.41,15100,36.397801
2015-12-08,36.529999,36.529999,36.330002,36.439999,3000,36.42779
2015-12-07,36.93,36.990002,36.93,36.990002,2100,36.977609
2015-12-04,36.50,36.889999,36.50,36.860001,11300,36.847651
2015-12-03,36.48,36.540001,36.139999,36.279999,12600,36.267844
2015-12-02,36.439999,36.439999,36.139999,36.169998,64800,36.15788
2015-12-01,36.709999,36.709999,36.43,36.669998,22300,36.657712
2015-11-30,36.34,36.490002,36.34,36.360001,16300,36.347819
2015-11-27,35.650002,35.650002,35.650002,35.650002,000,35.638057
2015-11-25,35.389999,35.720001,35.380001,35.650002,13100,35.638057
2015-11-24,34.919998,35.16,34.849998,35.060001,16200,35.048255
2015-11-23,35.50,35.50,35.189999,35.360001,10800,35.348154
2015-11-20,35.700001,35.700001,35.52,35.52,19000,35.5081
2015-11-19,35.720001,35.84,35.700001,35.73,132000,35.718029
2015-11-18,35.240002,35.419998,35.169998,35.369999,157400,35.358149
2015-11-17,35.310001,35.310001,35.009998,35.080002,6500,35.068249
2015-11-16,34.939999,35.18,34.889999,35.18,12900,35.168214
2015-11-13,34.91,34.91,34.720001,34.82,15500,34.808334
2015-11-12,35.080002,35.200001,35.060001,35.130001,13200,35.118231
2015-11-11,35.639999,35.639999,35.369999,35.52,16900,35.5081
2015-11-10,35.27,35.490002,35.27,35.459999,3700,35.448119
2015-11-09,35.709999,35.709999,35.34,35.43,32300,35.41813
2015-11-06,35.84,35.919998,35.73,35.919998,55600,35.907964
2015-11-05,36.040001,36.040001,35.849998,35.970001,79600,35.95795
2015-11-04,36.150002,36.150002,35.720001,35.82,8100,35.807999
2015-11-03,36.299999,36.439999,36.139999,36.330002,19000,36.31783
2015-11-02,36.509998,36.549999,36.470001,36.540001,7000,36.527759
2015-10-30,36.099998,36.16,35.970001,35.970001,5200,35.95795
2015-10-29,35.779999,35.91,35.700001,35.889999,12200,35.877975
2015-10-28,36.23,36.470001,35.799999,36.110001,4600,36.097902
2015-10-27,36.02,36.02,35.720001,35.810001,2700,35.798004
2015-10-26,36.119999,36.209999,36.080002,36.169998,4300,36.15788
2015-10-23,36.189999,36.360001,36.09,36.310001,4700,36.297836
2015-10-22,35.470001,35.860001,35.470001,35.700001,6600,35.68804
2015-10-21,35.59,35.700001,35.349998,35.349998,7500,35.338155
2015-10-20,35.040001,35.220001,35.040001,35.18,6700,35.168214
2015-10-19,35.119999,35.130001,35.09,35.130001,1100,35.118231
2015-10-16,35.099998,35.119999,34.959999,35.119999,10400,35.108232
2015-10-15,34.919998,35.200001,34.900002,35.18,8800,35.168214
2015-10-14,34.75,34.779999,34.639999,34.740002,23000,34.728362
2015-10-13,34.59,34.700001,34.490002,34.529999,23200,34.51843
2015-10-12,35.189999,35.209999,35.110001,35.110001,3700,35.098237
2015-10-09,35.16,35.16,34.990002,35.07,7700,35.05825
2015-10-08,34.48,34.93,34.48,34.93,9200,34.918297
2015-10-07,34.689999,34.689999,34.34,34.529999,13300,34.51843
2015-10-06,34.560001,34.560001,34.290001,34.369999,12500,34.358484
2015-10-05,34.110001,34.139999,33.950001,34.130001,30900,34.118566
2015-10-02,33.59,33.799999,33.59,33.799999,14700,33.788675
2015-10-01,33.619999,33.619999,33.189999,33.470001,13900,33.458788
2015-09-30,33.779999,33.779999,33.490002,33.630001,26100,33.618734
2015-09-29,33.209999,33.34,33.130001,33.34,19200,33.32883
2015-09-28,33.32,33.400002,33.18,33.25,12600,33.23886
2015-09-25,34.009998,34.009998,33.599998,33.720001,107900,33.708704
2015-09-24,33.209999,33.639999,33.200001,33.610001,38800,33.59874
2015-09-23,33.529999,33.790001,33.529999,33.610001,6300,33.59874
2015-09-22,33.709999,33.73,33.209999,33.400002,46200,33.388811
2015-09-21,35.049999,35.049999,34.650002,34.779999,16800,34.768346
2015-09-18,36.00,36.169998,35.790001,35.830002,10600,35.817997
2015-09-17,36.77,37.139999,36.580002,36.919998,12500,36.907629
2015-09-16,36.48,36.580002,36.34,36.439999,14200,36.42779
2015-09-15,36.220001,36.349998,36.09,36.330002,15600,36.31783
