Date,Open,High,Low,Close,Volume,Adj Close
2016-04-19,50.439999,50.740002,50.279999,50.48,30000,50.48
2016-04-18,49.869999,50.380001,49.869999,50.34,79700,50.34
2016-04-15,49.900002,50.200001,49.869999,50.200001,71400,50.200001
2016-04-14,50.099998,50.189999,49.849998,50.049999,40600,50.049999
2016-04-13,49.459999,50.189999,49.459999,50.189999,45200,50.189999
2016-04-12,48.73,49.310001,48.689999,49.240002,55800,49.240002
2016-04-11,49.099998,49.360001,48.740002,48.740002,68600,48.740002
2016-04-08,48.68,49.200001,48.68,48.91,98600,48.91
2016-04-07,49.029999,49.099998,48.380001,48.59,31900,48.59
2016-04-06,48.759998,49.299999,48.639999,49.279999,77200,49.279999
2016-04-05,48.919998,49.130001,48.689999,48.709999,43600,48.709999
2016-04-04,49.82,49.82,49.25,49.310001,54400,49.310001
2016-04-01,49.27,49.830002,49.080002,49.82,304600,49.82
2016-03-31,49.509998,49.77,49.490002,49.630001,87800,49.630001
2016-03-30,49.830002,49.939999,49.389999,49.490002,53500,49.490002
2016-03-29,48.470001,49.580002,48.360001,49.580002,58700,49.580002
2016-03-28,48.709999,48.779999,48.32,48.639999,62800,48.639999
2016-03-24,48.23,48.549999,47.950001,48.549999,74600,48.549999
2016-03-23,49.07,49.150002,48.439999,48.439999,121900,48.439999
2016-03-22,48.990002,49.450001,48.93,49.27,59000,49.169999
2016-03-21,49.310001,49.349998,49.029999,49.25,41300,49.150039
2016-03-18,49.16,49.630001,49.16,49.34,61600,49.239857
2016-03-17,48.509998,49.240002,48.41,49.119999,52600,49.020302
2016-03-16,47.849998,48.630001,47.849998,48.529999,53000,48.4315
2016-03-15,47.990002,48.040001,47.700001,47.919998,123500,47.822737
2016-03-14,48.27,48.380001,48.049999,48.259998,45000,48.162047
2016-03-11,48.009998,48.52,48.009998,48.50,160800,48.401562
2016-03-10,47.830002,48.00,47.060001,47.50,33500,47.403591
2016-03-09,47.830002,47.830002,47.459999,47.689999,64600,47.593204
2016-03-08,48.27,48.27,47.41,47.439999,67600,47.343712
2016-03-07,47.919998,48.580002,47.919998,48.549999,48900,48.451459
2016-03-04,47.700001,48.299999,47.549999,48.080002,189000,47.982416
2016-03-03,46.869999,47.639999,46.790001,47.639999,83900,47.543307
2016-03-02,46.290001,46.900002,46.16,46.900002,100800,46.804811
2016-03-01,45.790001,46.360001,45.700001,46.360001,71900,46.265906
2016-02-29,45.549999,45.82,45.380001,45.400002,59100,45.307855
2016-02-26,45.580002,45.73,45.349998,45.540001,70800,45.44757
2016-02-25,45.00,45.32,44.759998,45.32,188000,45.228016
2016-02-24,44.110001,44.970001,43.880001,44.919998,375300,44.828826
2016-02-23,44.790001,44.950001,44.48,44.529999,88600,44.439618
2016-02-22,44.790001,45.110001,44.790001,44.970001,90500,44.878728
2016-02-19,44.240002,44.34,43.830002,44.330002,136400,44.240027
2016-02-18,44.529999,44.740002,44.25,44.439999,250100,44.349801
2016-02-17,44.18,44.790001,44.18,44.630001,56800,44.539417
2016-02-16,43.52,43.91,43.200001,43.869999,48800,43.780958
2016-02-12,42.669998,43.07,42.50,43.00,148400,42.912725
2016-02-11,42.099998,42.50,41.830002,42.209999,232500,42.124327
2016-02-10,43.07,43.619999,42.799999,42.810001,58800,42.723112
2016-02-09,42.400002,43.099998,42.279999,42.779999,108900,42.69317
2016-02-08,43.130001,43.169998,42.290001,42.91,355400,42.822907
2016-02-05,44.459999,44.50,43.580002,43.580002,372600,43.491549
2016-02-04,44.16,45.060001,44.16,44.68,76000,44.589315
2016-02-03,44.43,44.470001,43.23,44.279999,255900,44.190126
2016-02-02,44.52,44.52,43.939999,44.040001,75200,43.950615
2016-02-01,44.950001,45.360001,44.709999,45.16,131600,45.068341
2016-01-29,44.02,45.330002,44.02,45.330002,172800,45.237997
2016-01-28,44.259998,44.290001,43.700001,43.830002,114600,43.741042
2016-01-27,44.060001,44.459999,43.50,43.77,81800,43.681162
2016-01-26,43.290001,44.209999,43.290001,44.209999,125800,44.120268
2016-01-25,43.869999,43.869999,43.02,43.049999,129200,42.962622
2016-01-22,43.759998,44.200001,43.639999,44.130001,50100,44.040432
2016-01-21,42.98,43.75,42.689999,43.040001,118500,42.952644
2016-01-20,42.48,43.259998,41.360001,42.900002,202200,42.812929
2016-01-19,43.919998,43.970001,42.77,43.150002,235500,43.062422
2016-01-15,43.119999,43.59,42.57,43.50,383200,43.41171
2016-01-14,43.709999,44.52,43.200001,44.220001,289700,44.13025
2016-01-13,45.119999,45.209999,43.380001,43.549999,502900,43.461608
2016-01-12,45.110001,45.299999,44.240002,44.93,276800,44.838808
2016-01-11,45.02,45.099998,44.25,44.700001,100600,44.609275
2016-01-08,45.68,45.77,44.82,44.860001,166300,44.76895
2016-01-07,45.77,46.169998,45.349998,45.419998,193400,45.327811
2016-01-06,46.68,46.970001,46.34,46.580002,185100,46.48546
2016-01-05,47.48,47.48,47.119999,47.34,68400,47.243916
2016-01-04,47.259998,47.380001,46.880001,47.380001,81400,47.283836
2015-12-31,48.310001,48.599998,48.060001,48.060001,94400,47.962456
2015-12-30,48.900002,48.900002,48.48,48.48,83100,48.381602
2015-12-29,48.919998,49.029999,48.580002,48.939999,146300,48.840667
2015-12-28,48.52,48.529999,48.060001,48.490002,99300,48.391584
2015-12-24,48.73,48.91,48.529999,48.759998,52200,48.661032
2015-12-23,48.290001,48.75,48.25,48.75,53700,48.651054
2015-12-22,47.689999,48.220001,47.470001,48.130001,101600,47.871642
2015-12-21,47.549999,47.68,47.189999,47.529999,96400,47.274861
2015-12-18,47.830002,47.830002,47.220001,47.220001,78600,46.966527
2015-12-17,48.810001,48.810001,47.939999,47.939999,77300,47.68266
2015-12-16,48.490002,48.799999,48.099998,48.689999,118800,48.428634
2015-12-15,48.060001,48.419998,48.009998,48.279999,73000,48.020835
2015-12-14,48.040001,48.23,47.41,47.709999,103800,47.453895
2015-12-11,48.400002,48.68,47.98,48.080002,120500,47.821912
2015-12-10,48.73,49.27,48.73,48.950001,67200,48.68724
2015-12-09,49.130001,49.77,48.560001,48.700001,65600,48.438582
2015-12-08,49.200001,49.450001,48.950001,49.259998,51800,48.995574
2015-12-07,50.259998,50.259998,49.41,49.630001,63800,49.36359
2015-12-04,49.900002,50.400002,49.759998,50.360001,49900,50.089671
2015-12-03,50.950001,50.959999,49.700001,49.889999,89800,49.622193
2015-12-02,51.400002,51.400002,50.68,50.709999,35900,50.437791
2015-12-01,51.27,51.459999,51.139999,51.450001,50800,51.173821
2015-11-30,51.41,51.419998,50.959999,51.060001,38100,50.785915
2015-11-27,51.150002,51.349998,51.02,51.25,29600,50.974893
2015-11-25,51.02,51.279999,50.869999,51.18,102600,50.905269
2015-11-24,50.41,51.119999,50.34,51.02,61900,50.746128
2015-11-23,50.360001,50.779999,50.360001,50.59,107000,50.318436
2015-11-20,50.439999,50.68,50.349998,50.400002,79200,50.129458
2015-11-19,50.41,50.419998,50.150002,50.299999,67200,50.029992
2015-11-18,49.639999,50.459999,49.639999,50.450001,49000,50.179188
2015-11-17,49.860001,50.139999,49.459999,49.529999,89500,49.264125
2015-11-16,49.02,49.799999,48.959999,49.790001,73300,49.522731
2015-11-13,49.360001,49.540001,48.950001,49.07,41900,48.806595
2015-11-12,50.310001,50.310001,49.509998,49.529999,55500,49.264125
2015-11-11,51.25,51.25,50.669998,50.669998,81100,50.398005
2015-11-10,50.66,51.110001,50.66,51.099998,39800,50.825697
2015-11-09,51.23,51.240002,50.529999,50.799999,39000,50.527308
2015-11-06,51.169998,51.459999,50.830002,51.27,30400,50.994786
2015-11-05,51.380001,51.450001,50.939999,51.349998,54300,51.074355
2015-11-04,51.68,51.68,51.23,51.32,68600,51.044517
2015-11-03,51.200001,51.720001,51.200001,51.459999,95500,51.183765
2015-11-02,50.400002,51.299999,50.400002,51.23,131500,50.955
2015-10-30,50.330002,50.66,50.23,50.369999,62300,50.099616
2015-10-29,50.439999,50.700001,50.200001,50.299999,71400,50.029992
2015-10-28,49.700001,50.669998,49.580002,50.669998,49100,50.398005
2015-10-27,50.029999,50.029999,49.369999,49.57,62700,49.303911
2015-10-26,50.470001,50.50,50.200001,50.290001,55500,50.020047
2015-10-23,50.57,50.669998,50.16,50.509998,43400,50.238864
2015-10-22,50.25,50.580002,50.00,50.330002,30300,50.059834
2015-10-21,50.82,50.82,50.00,50.029999,57000,49.761441
2015-10-20,50.50,50.98,50.48,50.700001,42200,50.427846
2015-10-19,50.400002,50.689999,50.200001,50.580002,61200,50.308492
2015-10-16,50.799999,50.799999,50.279999,50.619999,46700,50.348274
2015-10-15,50.16,50.68,49.75,50.669998,32900,50.398005
2015-10-14,50.490002,50.66,50.029999,50.119999,155100,49.850958
2015-10-13,50.73,51.240002,50.48,50.48,39500,50.209026
2015-10-12,51.259998,51.259998,50.900002,51.029999,52600,50.756073
2015-10-09,51.299999,51.380001,51.07,51.259998,37400,50.984838
2015-10-08,50.349998,51.299999,50.349998,51.220001,111400,50.945056
2015-10-07,50.150002,50.52,49.799999,50.450001,54700,50.179188
2015-10-06,49.849998,50.060001,49.630001,49.810001,70700,49.542625
2015-10-05,49.080002,49.93,49.080002,49.880001,137000,49.612248
2015-10-02,47.439999,48.73,47.23,48.73,84500,48.46842
2015-10-01,48.16,48.16,47.470001,47.900002,213200,47.642877
2015-09-30,47.869999,48.16,47.580002,48.09,55900,47.831856
2015-09-29,47.580002,47.790001,47.200001,47.450001,191500,47.195292
2015-09-28,48.619999,48.619999,47.439999,47.50,64700,47.245023
2015-09-25,49.32,49.32,48.650002,48.810001,29200,48.547992
2015-09-24,48.709999,48.98,48.349998,48.919998,27600,48.657399
2015-09-23,49.389999,49.419998,48.950001,49.02,63400,48.756864
2015-09-22,49.48,49.709999,49.110001,49.400002,41100,49.025415
2015-09-21,50.16,50.650002,50.009998,50.07,44500,49.690333
2015-09-18,50.130001,50.439999,49.799999,49.880001,58800,49.501775
2015-09-17,50.830002,51.52,50.68,50.790001,52700,50.404874
2015-09-16,50.310001,50.91,50.279999,50.889999,48100,50.504115
2015-09-15,49.779999,50.34,49.740002,50.290001,37000,49.908666
2015-09-14,50.00,50.00,49.599998,49.66,64700,49.283442
2015-09-11,49.57,49.93,49.369999,49.919998,52600,49.541469
2015-09-10,49.709999,50.209999,49.630001,49.790001,44100,49.412457
2015-09-09,50.630001,50.790001,49.619999,49.68,62500,49.303291
2015-09-08,49.759998,50.310001,49.610001,50.310001,70600,49.928515
2015-09-04,49.040001,49.380001,48.34,49.060001,184100,48.687993
2015-09-03,49.48,50.099998,49.459999,49.610001,66400,49.233822
2015-09-02,49.310001,49.400002,48.610001,49.330002,112300,48.955946
2015-09-01,49.73,49.73,48.57,48.73,258800,48.360493
2015-08-31,50.119999,50.560001,49.889999,50.200001,80000,49.819348
2015-08-28,49.939999,50.48,49.939999,50.349998,95200,49.968208
2015-08-27,49.220001,50.130001,49.049999,50.009998,295800,49.630786
2015-08-26,48.330002,48.740002,47.27,48.599998,1109000,48.231478
2015-08-25,48.919998,49.59,47.380001,47.380001,243200,47.020732
2015-08-24,48.849998,49.419998,31.059999,47.970001,432700,47.606258
2015-08-21,50.509998,50.689999,49.790001,49.790001,143300,49.412457
2015-08-20,51.860001,51.860001,50.98,51.02,104100,50.63313
2015-08-19,52.549999,52.549999,51.959999,52.189999,48300,51.794256
2015-08-18,53.139999,53.139999,52.720001,52.82,53700,52.41948
2015-08-17,52.669998,53.189999,52.450001,53.130001,50500,52.727131
2015-08-14,52.380001,52.790001,52.330002,52.759998,71700,52.359934
2015-08-13,52.540001,52.66,52.349998,52.450001,59900,52.052287
2015-08-12,52.299999,52.669998,51.77,52.57,97300,52.171376
2015-08-11,52.82,52.860001,52.48,52.66,71100,52.260694
2015-08-10,52.529999,53.209999,52.529999,53.189999,170200,52.786674
2015-08-07,52.389999,52.529999,52.080002,52.209999,45600,51.814105
2015-08-06,52.860001,52.98,52.119999,52.459999,51900,52.062209
2015-08-05,52.900002,53.299999,52.669998,52.799999,83500,52.399631
2015-08-04,52.720001,52.959999,52.419998,52.580002,51100,52.181302
2015-08-03,52.959999,52.959999,52.439999,52.66,88500,52.260694
2015-07-31,53.049999,53.310001,52.919998,52.939999,94100,52.538569
2015-07-30,52.810001,53.00,52.59,52.93,69600,52.528647
2015-07-29,52.369999,52.990002,52.209999,52.919998,75500,52.51872
2015-07-28,51.84,52.34,51.459999,52.23,81300,51.833954
2015-07-27,51.91,51.91,51.50,51.59,171800,51.198807
2015-07-24,52.779999,52.919998,51.959999,52.080002,103400,51.685094
2015-07-23,53.169998,53.310001,52.689999,52.720001,77200,52.32024
2015-07-22,52.830002,53.119999,52.759998,53.049999,233000,52.647736
2015-07-21,53.34,53.57,52.939999,53.009998,63000,52.608038
2015-07-20,53.639999,53.639999,53.310001,53.450001,67800,53.044704
2015-07-17,54.150002,54.150002,53.48,53.560001,87400,53.153871
2015-07-16,54.23,54.259998,53.990002,54.119999,79900,53.709622
2015-07-15,54.389999,54.580002,53.880001,53.959999,89300,53.550835
2015-07-14,54.060001,54.48,54.060001,54.419998,136900,54.007346
2015-07-13,53.900002,54.18,53.900002,54.150002,75000,53.739397
2015-07-10,53.639999,53.900002,53.389999,53.66,75600,53.253111
2015-07-09,53.549999,53.77,53.080002,53.110001,55300,52.707282
2015-07-08,53.470001,53.68,52.779999,53.02,101000,52.617964
2015-07-07,53.549999,53.93,52.759998,53.889999,65900,53.481366
2015-07-06,53.27,53.91,53.139999,53.509998,114300,53.104247
2015-07-02,54.049999,54.07,53.619999,53.82,77100,53.411897
2015-07-01,54.240002,54.470001,53.73,53.880001,303400,53.471444
2015-06-30,54.240002,54.299999,53.740002,53.889999,48900,53.481366
2015-06-29,54.57,54.84,53.779999,53.779999,59800,53.3722
2015-06-26,55.009998,55.099998,54.779999,55.09,56200,54.672268
2015-06-25,55.16,55.32,54.880001,54.990002,40600,54.573028
2015-06-24,55.52,55.639999,55.080002,55.130001,70100,54.711965
2015-06-23,55.580002,55.77,55.549999,55.709999,48700,55.167484
2015-06-22,55.639999,55.639999,55.48,55.560001,37600,55.018947
2015-06-19,55.419998,55.540001,55.290001,55.290001,62300,54.751575
2015-06-18,55.220001,55.59,55.209999,55.41,47200,54.870406
2015-06-17,55.310001,55.41,54.900002,55.119999,65700,54.583229
2015-06-16,54.639999,55.150002,54.639999,55.110001,43700,54.573328
2015-06-15,54.740002,54.880001,54.369999,54.779999,57900,54.24654
2015-06-12,55.150002,55.27,55.060001,55.169998,48100,54.632741
2015-06-11,55.279999,55.41,55.209999,55.389999,83900,54.8506
2015-06-10,54.790001,55.34,54.790001,55.150002,141000,54.612939
2015-06-09,54.529999,54.709999,54.290001,54.48,58100,53.949462
2015-06-08,54.84,55.02,54.50,54.610001,48700,54.078197
2015-06-05,54.610001,55.02,54.349998,54.959999,1002800,54.424787
2015-06-04,55.189999,55.32,54.720001,54.720001,136800,54.187127
2015-06-03,55.259998,55.57,55.00,55.279999,80800,54.741671
2015-06-02,54.669998,55.209999,54.599998,55.02,78300,54.484204
2015-06-01,54.959999,54.98,54.540001,54.790001,68100,54.256445
2015-05-29,55.110001,55.110001,54.59,54.77,38300,54.236639
2015-05-28,55.130001,55.240002,54.880001,55.150002,50400,54.612939
2015-05-27,54.91,55.279999,54.77,55.27,52000,54.73177
2015-05-26,55.310001,55.34,54.650002,54.810001,103900,54.27625
2015-05-22,55.549999,55.700001,55.450001,55.560001,123600,55.018947
2015-05-21,55.599998,55.779999,55.48,55.66,52400,55.117971
2015-05-20,55.490002,55.639999,55.34,55.490002,52700,54.949629
2015-05-19,55.77,55.77,55.310001,55.450001,61700,54.910017
2015-05-18,55.200001,55.709999,55.07,55.689999,55200,55.147678
2015-05-15,55.34,55.369999,55.009998,55.259998,50900,54.721865
2015-05-14,55.369999,55.369999,55.040001,55.259998,48900,54.721865
2015-05-13,55.049999,55.130001,54.73,54.860001,43800,54.325763
2015-05-12,54.900002,54.959999,54.349998,54.84,46900,54.305957
2015-05-11,54.880001,55.16,54.860001,54.959999,34100,54.424787
2015-05-08,54.759998,55.189999,54.759998,54.919998,37100,54.385176
2015-05-07,54.279999,54.490002,54.029999,54.360001,47100,53.830632
2015-05-06,54.450001,54.650002,54.02,54.27,45100,53.741508
2015-05-05,54.959999,55.209999,54.220001,54.310001,42600,53.781119
