Date,Open,High,Low,Close,Volume,Adj Close
2016-04-19,25.32,25.40,25.18,25.290001,5100,25.290001
2016-04-18,24.790001,25.299999,24.73,24.969999,4500,24.969999
2016-04-15,24.50,25.24,24.50,24.780001,4500,24.780001
2016-04-14,24.99,25.17,24.950001,25.00,4000,25.00
2016-04-13,24.84,25.190001,24.84,25.10,6000,25.10
2016-04-12,24.65,24.73,24.57,24.73,4000,24.73
2016-04-11,24.610001,24.950001,24.610001,24.809999,6700,24.809999
2016-04-08,24.85,24.870001,24.50,24.620001,7600,24.620001
2016-04-07,25.32,25.32,24.66,24.66,1400,24.66
2016-04-06,25.00,25.34,25.00,25.25,3400,25.25
2016-04-05,25.00,25.10,25.00,25.00,2800,25.00
2016-04-04,25.40,25.40,24.620001,24.620001,7800,24.620001
2016-04-01,25.139999,25.40,25.139999,25.40,3600,25.40
2016-03-31,25.10,25.35,25.10,25.190001,2500,25.190001
2016-03-30,25.00,25.15,25.00,25.15,900,25.15
2016-03-29,25.00,25.00,25.00,25.00,200,25.00
2016-03-28,25.09,25.10,25.09,25.10,400,25.10
2016-03-24,25.00,25.00,25.00,25.00,400,25.00
2016-03-23,25.25,25.25,24.969999,24.969999,500,24.969999
2016-03-22,25.129999,25.35,25.129999,25.35,4400,25.35
2016-03-21,25.23,25.35,25.200001,25.35,4000,25.35
2016-03-18,25.10,25.50,25.10,25.50,38700,25.50
2016-03-17,24.629999,25.42,24.629999,25.42,11600,25.42
2016-03-16,24.530001,24.66,24.52,24.52,1400,24.52
2016-03-15,24.92,24.950001,24.92,24.950001,1200,24.950001
2016-03-14,25.09,25.09,25.08,25.08,400,25.08
2016-03-11,25.120001,25.190001,25.120001,25.120001,4000,25.120001
2016-03-10,25.389999,25.389999,25.32,25.32,900,25.32
2016-03-09,25.360001,25.639999,25.360001,25.389999,4600,25.389999
2016-03-08,25.60,25.60,25.26,25.26,3800,25.26
2016-03-07,25.549999,25.549999,25.48,25.48,1400,25.48
2016-03-04,25.540001,26.48,25.219999,25.57,8200,25.57
2016-03-03,25.17,25.92,24.719999,25.25,2600,25.25
2016-03-02,24.559999,25.719999,24.559999,25.24,8500,25.24
2016-03-01,24.33,24.57,23.60,24.559999,12400,24.559999
2016-02-29,24.32,24.530001,24.25,24.40,7200,24.40
2016-02-26,24.209999,24.299999,24.209999,24.290001,2800,24.290001
2016-02-25,24.40,24.40,24.18,24.299999,7700,24.299999
2016-02-24,24.040001,24.40,24.040001,24.40,5600,24.40
2016-02-23,24.040001,24.23,24.040001,24.209999,6600,24.209999
2016-02-22,24.09,24.27,23.75,24.24,10000,24.24
2016-02-19,23.860001,23.90,23.85,23.90,600,23.90
2016-02-18,23.83,24.08,23.75,24.08,2100,24.08
2016-02-17,24.15,24.24,23.99,24.24,6900,24.24
2016-02-16,23.83,24.40,23.82,24.09,25900,24.09
2016-02-12,24.00,24.40,24.00,24.40,4600,24.40
2016-02-11,23.50,24.17,23.50,24.00,6100,24.00
2016-02-10,24.08,24.129999,24.08,24.129999,300,24.129999
2016-02-09,24.15,24.26,24.15,24.200001,4900,24.200001
2016-02-08,24.00,24.50,23.35,24.00,54800,24.00
2016-02-05,24.02,24.73,23.75,23.809999,11100,23.74
2016-02-04,23.870001,24.58,23.870001,24.290001,7300,24.21859
2016-02-03,24.10,24.50,24.10,24.25,4000,24.178706
2016-02-02,24.17,24.17,24.17,24.17,700,24.098942
2016-02-01,24.950001,25.07,24.50,24.50,38400,24.427971
2016-01-29,23.950001,24.98,23.799999,24.75,9800,24.677236
2016-01-28,23.459999,23.790001,23.459999,23.77,1500,23.700118
2016-01-27,23.51,23.51,23.280001,23.280001,3800,23.211559
2016-01-26,23.389999,23.389999,23.120001,23.370001,2600,23.301294
2016-01-25,23.50,23.52,22.48,23.52,6300,23.450853
2016-01-22,23.40,23.549999,23.25,23.530001,4100,23.460824
2016-01-21,23.07,23.469999,23.02,23.35,4500,23.281353
2016-01-20,23.75,23.75,23.030001,23.360001,6600,23.291324
2016-01-19,24.00,24.639999,23.370001,24.00,9400,23.929441
2016-01-15,24.26,25.26,22.049999,24.50,19000,24.427971
2016-01-14,24.84,24.84,24.02,24.82,2400,24.74703
2016-01-13,25.00,25.00,24.50,24.90,4500,24.826795
2016-01-12,25.32,25.32,25.00,25.00,6000,24.926502
2016-01-11,25.370001,25.450001,25.35,25.35,2200,25.275473
2016-01-08,25.360001,25.629999,25.360001,25.620001,5800,25.54468
2016-01-07,25.940001,26.00,25.57,25.57,1000,25.494825
2016-01-06,26.25,26.360001,26.00,26.360001,4500,26.282504
2016-01-05,25.40,26.00,25.32,26.00,15400,25.923562
2016-01-04,25.75,25.780001,25.00,25.370001,15900,25.295415
2015-12-31,25.780001,26.00,25.780001,26.00,600,25.923562
2015-12-30,25.50,26.00,25.50,25.940001,25200,25.863739
2015-12-29,25.58,25.58,25.58,25.58,600,25.504796
2015-12-28,25.75,25.75,25.65,25.65,800,25.57459
2015-12-24,25.25,25.50,25.25,25.50,200,25.425032
2015-12-23,25.00,25.25,25.00,25.25,600,25.175767
2015-12-22,25.16,25.73,25.15,25.18,18800,25.105973
2015-12-21,24.85,25.799999,24.85,25.50,7300,25.425032
2015-12-18,25.040001,25.49,25.00,25.209999,2700,25.135883
2015-12-17,25.02,25.25,24.65,25.25,1500,25.175767
2015-12-16,25.25,25.75,25.00,25.389999,3200,25.315354
2015-12-15,25.76,25.76,25.76,25.76,100,25.684267
2015-12-14,25.76,25.76,25.76,25.76,200,25.684267
2015-12-11,25.52,25.52,25.50,25.50,3400,25.425032
2015-12-10,25.610001,25.610001,25.50,25.50,1400,25.425032
2015-12-09,25.65,25.799999,25.51,25.51,1900,25.435002
2015-12-08,25.74,25.74,25.50,25.66,15400,25.584561
2015-12-07,25.84,25.950001,25.77,25.940001,7500,25.863739
2015-12-04,26.00,26.00,25.76,26.00,6100,25.923562
2015-12-03,25.719999,25.950001,25.719999,25.77,10800,25.694238
2015-12-02,25.76,25.91,25.76,25.91,1700,25.833826
2015-12-01,25.940001,25.940001,25.76,25.76,1000,25.684267
2015-11-30,26.00,26.00,26.00,26.00,300,25.923562
2015-11-27,25.99,25.99,25.99,25.99,500,25.913591
2015-11-25,26.10,26.10,26.00,26.00,2100,25.923562
2015-11-24,26.00,26.00,26.00,26.00,1100,25.923562
2015-11-23,25.75,26.00,25.75,26.00,2800,25.923562
2015-11-20,25.709999,25.75,25.709999,25.73,1400,25.654355
2015-11-19,25.58,25.58,25.58,25.58,000,25.504796
2015-11-18,25.52,25.73,25.50,25.58,3800,25.504796
2015-11-17,25.50,25.75,25.50,25.58,2300,25.504796
2015-11-16,25.65,25.65,25.65,25.65,1000,25.57459
2015-11-13,25.459999,25.75,25.450001,25.540001,4000,25.464915
2015-11-12,25.290001,25.290001,25.290001,25.290001,100,25.21565
2015-11-11,26.00,26.00,25.75,25.75,1100,25.674297
2015-11-10,25.84,25.90,25.719999,25.74,3000,25.664326
2015-11-09,26.00,26.00,25.969999,26.00,2500,25.923562
2015-11-06,25.77,25.799999,25.77,25.799999,400,25.724149
2015-11-05,25.860001,25.860001,25.860001,25.860001,400,25.71418
2015-11-04,25.799999,25.870001,25.68,25.68,2500,25.535195
2015-11-03,25.549999,25.84,25.10,25.10,4300,24.958466
2015-11-02,25.50,25.940001,25.450001,25.549999,7100,25.405927
2015-10-30,26.190001,26.200001,25.610001,25.610001,2600,25.46559
2015-10-29,25.799999,26.00,25.799999,25.950001,11800,25.803673
2015-10-28,25.57,26.49,24.959999,26.49,6800,26.340627
2015-10-27,25.40,25.48,24.58,25.469999,2000,25.326378
2015-10-26,24.290001,25.60,23.700001,25.51,5800,25.366153
2015-10-23,24.030001,24.07,23.99,24.07,1900,23.934273
2015-10-22,23.690001,23.99,23.610001,23.610001,5500,23.476868
2015-10-21,24.00,24.07,23.959999,24.040001,3900,23.904443
2015-10-20,24.00,24.00,23.85,23.85,2500,23.715514
2015-10-19,23.799999,23.799999,23.700001,23.780001,5000,23.645909
2015-10-16,23.809999,24.00,23.809999,24.00,400,23.864668
2015-10-15,24.00,24.00,23.959999,23.98,1500,23.84478
2015-10-14,24.07,24.07,24.07,24.07,000,23.934273
