Date,Open,High,Low,Close,Volume,Adj Close
2016-04-19,5.29,5.40,5.29,5.37,469200,5.37
2016-04-18,5.32,5.38,5.25,5.26,655600,5.26
2016-04-15,5.26,5.39,5.25,5.34,376500,5.34
2016-04-14,5.30,5.38,5.27,5.30,403700,5.30
2016-04-13,5.20,5.40,5.18,5.31,698700,5.31
2016-04-12,5.19,5.33,5.18,5.26,647900,5.20
2016-04-11,5.12,5.21,5.11,5.16,423100,5.101141
2016-04-08,5.16,5.21,5.11,5.11,653900,5.051711
2016-04-07,5.16,5.21,5.12,5.12,343900,5.061597
2016-04-06,5.13,5.22,5.13,5.19,388700,5.130799
2016-04-05,5.17,5.22,5.10,5.15,377200,5.091255
2016-04-04,5.14,5.27,5.10,5.17,909700,5.111027
2016-04-01,5.00,5.17,4.98,5.14,1764300,5.081369
2016-03-31,4.93,5.08,4.92,5.02,1469400,4.962738
2016-03-30,5.05,5.10,4.93,4.95,904000,4.893536
2016-03-29,4.85,5.06,4.85,5.03,1013800,4.972624
2016-03-28,5.00,5.02,4.89,4.91,731500,4.853992
2016-03-24,4.97,5.03,4.92,5.00,441100,4.942966
2016-03-23,5.21,5.23,4.97,4.97,435600,4.913308
2016-03-22,5.09,5.24,5.04,5.19,497400,5.130799
2016-03-21,5.02,5.19,5.02,5.15,630100,5.091255
2016-03-18,4.98,5.03,4.91,5.00,548400,4.942966
2016-03-17,4.95,5.04,4.95,4.98,523400,4.923194
2016-03-16,4.89,5.00,4.88,4.97,512300,4.913308
2016-03-15,4.95,5.00,4.84,4.90,477400,4.844107
2016-03-14,4.95,5.04,4.89,4.99,450500,4.93308
2016-03-11,5.02,5.09,4.92,4.98,731400,4.923194
2016-03-10,5.02,5.08,4.97,5.05,471900,4.93308
2016-03-09,5.02,5.13,4.99,5.04,1012700,4.923311
2016-03-08,5.15,5.19,4.96,5.00,1214200,4.884237
2016-03-07,5.17,5.25,5.12,5.16,886600,5.040533
2016-03-04,5.19,5.30,5.15,5.16,1041900,5.040533
2016-03-03,5.03,5.20,5.03,5.16,1231300,5.040533
2016-03-02,4.80,5.04,4.75,5.02,1230700,4.903774
2016-03-01,5.00,5.02,4.79,4.81,1677500,4.698636
2016-02-29,4.86,4.99,4.84,4.95,1760900,4.835395
2016-02-26,4.80,4.95,4.76,4.88,1289800,4.767016
2016-02-25,4.55,4.79,4.55,4.73,1326400,4.620489
2016-02-24,4.47,4.59,4.40,4.54,1722800,4.434887
2016-02-23,4.62,4.72,4.55,4.55,1328100,4.444656
2016-02-22,4.62,4.71,4.53,4.61,2352000,4.503267
2016-02-19,4.75,4.78,4.43,4.62,2586100,4.513035
2016-02-18,4.94,4.99,4.84,4.85,380400,4.73771
2016-02-17,4.79,4.96,4.78,4.92,492100,4.80609
2016-02-16,4.74,4.88,4.66,4.74,542500,4.630257
2016-02-12,4.65,4.70,4.58,4.69,614400,4.581415
2016-02-11,4.73,4.74,4.53,4.63,804300,4.522804
2016-02-10,4.99,5.00,4.61,4.78,2028400,4.669331
2016-02-09,5.48,5.55,5.08,5.16,1111500,4.981922
2016-02-08,5.79,5.86,5.57,5.63,1051200,5.435702
2016-02-05,5.70,5.89,5.67,5.86,856900,5.657764
2016-02-04,5.85,5.94,5.70,5.74,740100,5.541905
2016-02-03,5.75,5.88,5.63,5.87,706900,5.667419
2016-02-02,5.92,5.98,5.67,5.71,880100,5.512941
2016-02-01,5.74,5.99,5.59,5.98,1257200,5.773623
2016-01-29,5.72,5.85,5.62,5.74,1539800,5.541905
2016-01-28,5.54,5.79,5.53,5.68,1433600,5.483976
2016-01-27,5.46,5.55,5.39,5.47,1294600,5.281223
2016-01-26,5.26,5.51,5.22,5.45,1160900,5.261914
2016-01-25,5.21,5.35,5.18,5.28,1267800,5.097781
2016-01-22,5.07,5.35,5.07,5.26,1477600,5.078471
2016-01-21,4.95,5.17,4.94,4.99,1117000,4.817789
2016-01-20,5.06,5.09,4.75,4.92,2355700,4.750205
2016-01-19,5.20,5.24,5.02,5.15,1256200,4.972267
2016-01-15,5.01,5.14,4.65,5.13,3874200,4.952958
2016-01-14,5.23,5.28,5.01,5.24,2168600,5.059161
2016-01-13,5.52,5.53,5.19,5.24,1525800,5.059161
2016-01-12,5.80,5.86,5.53,5.60,2270000,5.348808
2016-01-11,6.09,6.16,5.79,5.84,862400,5.578043
2016-01-08,6.22,6.22,6.06,6.06,652300,5.788174
2016-01-07,6.40,6.40,6.15,6.17,1236400,5.89324
2016-01-06,6.30,6.52,6.26,6.47,1238900,6.179783
2016-01-05,6.43,6.43,6.31,6.39,450700,6.103372
2016-01-04,6.28,6.41,6.25,6.41,663100,6.122475
2015-12-31,6.25,6.50,6.25,6.38,1650900,6.093821
2015-12-30,6.25,6.41,6.23,6.29,1338600,6.007858
2015-12-29,6.18,6.39,6.18,6.30,1290200,6.017409
2015-12-28,6.41,6.45,6.12,6.16,1782600,5.883689
2015-12-24,6.27,6.52,6.27,6.46,817700,6.170232
2015-12-23,6.07,6.36,6.01,6.29,1457100,6.007858
2015-12-22,6.12,6.14,6.05,6.07,1656900,5.797726
2015-12-21,6.03,6.17,6.02,6.14,996900,5.864586
2015-12-18,6.10,6.14,6.02,6.03,957600,5.75952
2015-12-17,6.11,6.19,6.08,6.08,1165000,5.807277
2015-12-16,6.05,6.20,6.05,6.13,1393700,5.855035
2015-12-15,5.94,6.10,5.90,6.06,1287000,5.788174
2015-12-14,6.21,6.31,5.84,5.96,3890200,5.69266
2015-12-11,6.33,6.41,6.25,6.27,1940800,5.988755
2015-12-10,6.30,6.51,6.27,6.45,1499700,6.103372
2015-12-09,6.30,6.38,6.26,6.30,1522100,5.961433
2015-12-08,6.26,6.36,6.25,6.31,1432900,5.970896
2015-12-07,6.35,6.36,6.29,6.30,1834100,5.961433
2015-12-04,6.33,6.43,6.30,6.42,1239000,6.074984
2015-12-03,6.38,6.42,6.34,6.34,1176000,5.999283
2015-12-02,6.41,6.49,6.38,6.38,1417700,6.037134
2015-12-01,6.30,6.53,6.30,6.45,1640500,6.103372
2015-11-30,6.45,6.48,6.40,6.47,1186300,6.122297
2015-11-27,6.44,6.47,6.37,6.43,512600,6.084446
2015-11-25,6.37,6.43,6.29,6.42,693900,6.074984
2015-11-24,6.34,6.42,6.32,6.36,696700,6.018209
2015-11-23,6.39,6.51,6.38,6.43,1070100,6.084446
2015-11-20,6.36,6.43,6.28,6.37,1075500,6.027671
2015-11-19,6.25,6.47,6.22,6.44,1758300,6.093909
2015-11-18,6.18,6.28,6.14,6.27,1353200,5.933045
2015-11-17,6.01,6.21,6.01,6.19,1954900,5.857345
2015-11-16,6.00,6.10,6.00,6.01,439700,5.687018
2015-11-13,6.00,6.07,5.95,6.05,732600,5.724868
2015-11-12,5.93,6.06,5.91,6.04,1005700,5.715406
2015-11-11,6.08,6.13,6.00,6.09,1015500,5.705943
2015-11-10,6.08,6.16,6.02,6.10,716100,5.715312
2015-11-09,6.15,6.16,6.08,6.11,850500,5.724682
2015-11-06,6.04,6.19,6.03,6.18,1165700,5.790267
2015-11-05,6.02,6.10,5.95,6.09,1532400,5.705943
2015-11-04,5.89,6.01,5.85,6.00,987600,5.621619
2015-11-03,5.81,5.93,5.81,5.91,933400,5.537294
2015-11-02,5.73,5.83,5.70,5.83,982000,5.462339
2015-10-30,5.71,5.73,5.63,5.73,1521900,5.368646
2015-10-29,5.68,5.71,5.65,5.68,1131600,5.321799
2015-10-28,5.62,5.68,5.59,5.68,1022500,5.321799
2015-10-27,5.64,5.64,5.56,5.63,1490200,5.274952
2015-10-26,5.64,5.69,5.60,5.67,1425900,5.31243
2015-10-23,5.54,5.66,5.54,5.64,1536100,5.284321
2015-10-22,5.65,5.74,5.53,5.55,2042200,5.199997
2015-10-21,5.88,5.90,5.65,5.69,1629000,5.331168
2015-10-20,5.98,6.05,5.88,5.90,1008300,5.527925
2015-10-19,6.00,6.08,5.99,6.00,575900,5.621619
2015-10-16,6.08,6.11,6.00,6.03,1585100,5.649727
2015-10-15,6.16,6.19,6.04,6.11,1222400,5.724682
2015-10-14,6.20,6.27,6.17,6.18,508200,5.790267
2015-10-13,6.20,6.33,6.20,6.22,418600,5.827744
2015-10-12,6.42,6.44,6.30,6.31,570500,5.855853
2015-10-09,6.45,6.45,6.39,6.40,461100,5.939375
2015-10-08,6.48,6.48,6.38,6.47,424400,6.004337
2015-10-07,6.35,6.50,6.32,6.50,724000,6.032178
2015-10-06,6.26,6.35,6.26,6.35,614100,5.892974
2015-10-05,6.30,6.32,6.24,6.28,947300,5.828012
2015-10-02,6.35,6.37,6.15,6.25,1322600,5.800171
2015-10-01,6.15,6.41,6.13,6.39,1942300,5.930095
2015-09-30,6.18,6.23,6.14,6.17,1484700,5.725929
2015-09-29,6.23,6.33,6.08,6.13,1586000,5.688808
2015-09-28,6.60,6.61,6.20,6.25,2321100,5.800171
2015-09-25,6.63,6.72,6.58,6.60,843900,6.124981
2015-09-24,6.50,6.77,6.50,6.63,1932200,6.152822
2015-09-23,6.53,6.55,6.49,6.53,1249800,6.060019
2015-09-22,6.50,6.60,6.50,6.51,863600,6.041459
2015-09-21,6.52,6.58,6.50,6.55,474400,6.07858
2015-09-18,6.47,6.54,6.46,6.51,1373200,6.041459
2015-09-17,6.53,6.58,6.48,6.50,763200,6.032178
2015-09-16,6.40,6.54,6.34,6.52,639800,6.050739
2015-09-15,6.33,6.45,6.30,6.40,523200,5.939375
2015-09-14,6.40,6.47,6.34,6.36,522100,5.902254
2015-09-11,6.41,6.47,6.35,6.41,768200,5.948655
2015-09-10,6.51,6.58,6.47,6.50,644800,5.976497
2015-09-09,6.56,6.61,6.50,6.50,759800,5.976497
2015-09-08,6.52,6.59,6.50,6.54,911600,6.013275
2015-09-04,6.53,6.57,6.44,6.46,861500,5.939718
2015-09-03,6.53,6.62,6.52,6.58,737800,6.050053
2015-09-02,6.51,6.60,6.45,6.50,1156100,5.976497
2015-09-01,6.43,6.57,6.42,6.46,873700,5.939718
2015-08-31,6.47,6.61,6.42,6.54,878400,6.013275
2015-08-28,6.38,6.49,6.29,6.45,866600,5.930523
2015-08-27,6.32,6.44,6.26,6.38,1010400,5.866161
2015-08-26,6.21,6.39,6.07,6.20,1148500,5.700658
2015-08-25,6.17,6.31,6.10,6.14,1283700,5.64549
2015-08-24,6.11,6.38,6.01,6.17,1748200,5.673075
2015-08-21,6.54,6.58,6.35,6.42,1367100,5.90294
2015-08-20,6.45,6.62,6.43,6.54,1198400,6.013275
2015-08-19,6.44,6.50,6.40,6.45,697800,5.930523
2015-08-18,6.49,6.56,6.45,6.48,961300,5.958107
2015-08-17,6.50,6.55,6.46,6.53,680800,6.004081
2015-08-14,6.52,6.57,6.52,6.54,667400,6.013275
2015-08-13,6.54,6.57,6.50,6.55,678200,6.02247
2015-08-12,6.48,6.59,6.28,6.53,2613700,6.004081
2015-08-11,6.59,6.66,6.56,6.63,2130700,6.040859
2015-08-10,6.25,6.65,6.22,6.59,2345700,6.004413
2015-08-07,6.16,6.22,6.10,6.11,1676600,5.567066
2015-08-06,6.17,6.23,6.14,6.23,600300,5.676403
2015-08-05,6.19,6.25,6.17,6.18,662000,5.630846
2015-08-04,6.17,6.21,6.16,6.18,338700,5.630846
2015-08-03,6.23,6.27,6.16,6.19,796100,5.639957
2015-07-31,6.28,6.30,6.22,6.25,811200,5.694626
2015-07-30,6.24,6.31,6.20,6.25,540300,5.694626
2015-07-29,6.25,6.29,6.20,6.26,582000,5.703737
2015-07-28,6.20,6.25,6.15,6.23,628000,5.676403
2015-07-27,6.14,6.23,6.12,6.22,968400,5.667291
2015-07-24,6.31,6.31,6.21,6.25,899300,5.694626
2015-07-23,6.35,6.39,6.27,6.33,881900,5.767517
2015-07-22,6.38,6.39,6.30,6.37,1022200,5.803962
2015-07-21,6.30,6.39,6.28,6.36,1175500,5.794851
2015-07-20,6.54,6.55,6.35,6.40,793900,5.831297
2015-07-17,6.58,6.60,6.53,6.55,529700,5.967968
2015-07-16,6.56,6.63,6.56,6.61,520500,6.022636
2015-07-15,6.57,6.59,6.52,6.57,710000,5.986191
2015-07-14,6.53,6.60,6.50,6.56,666200,5.977079
2015-07-13,6.46,6.53,6.46,6.52,501100,5.940633
