Date,Open,High,Low,Close,Volume,Adj Close
2016-04-19,7.87,7.88,7.78,7.87,41500,7.87
2016-04-18,7.90,7.99,7.81,7.85,33100,7.85
2016-04-15,7.79,7.99,7.78,7.90,59900,7.90
2016-04-14,7.82,7.88,7.79,7.82,37400,7.82
2016-04-13,7.90,7.97,7.77,7.81,35600,7.81
2016-04-12,7.96,8.35,7.83,7.93,60600,7.855
2016-04-11,7.85,8.02,7.85,8.00,85900,7.924338
2016-04-08,7.80,7.93,7.69,7.81,54300,7.736135
2016-04-07,7.88,7.88,7.72,7.76,31900,7.686608
2016-04-06,7.85,7.93,7.80,7.92,26600,7.845095
2016-04-05,7.72,7.92,7.69,7.89,67700,7.815378
2016-04-04,7.83,7.85,7.69,7.77,61100,7.696513
2016-04-01,7.86,7.94,7.79,7.80,75100,7.72623
2016-03-31,7.72,7.93,7.72,7.93,146400,7.855
2016-03-30,7.60,7.74,7.60,7.68,47800,7.607364
2016-03-29,7.46,7.68,7.44,7.65,51600,7.577648
2016-03-28,7.60,7.68,7.44,7.57,101000,7.498405
2016-03-24,7.51,7.63,7.40,7.58,79000,7.50831
2016-03-23,7.56,7.71,7.46,7.53,57000,7.458783
2016-03-22,7.52,7.60,7.51,7.60,60600,7.528121
2016-03-21,7.58,7.63,7.51,7.56,23400,7.488499
2016-03-18,7.55,7.60,7.50,7.55,37800,7.478594
2016-03-17,7.53,7.65,7.50,7.59,100400,7.518216
2016-03-16,7.58,7.65,7.51,7.53,78300,7.458783
2016-03-15,7.67,7.73,7.55,7.66,56600,7.587553
2016-03-14,7.77,7.77,7.55,7.75,82300,7.676702
2016-03-11,7.77,7.84,7.75,7.78,136600,7.706419
2016-03-10,7.75,7.92,7.75,7.89,118400,7.741087
2016-03-09,7.59,7.76,7.57,7.72,98600,7.574296
2016-03-08,7.59,7.60,7.51,7.57,47300,7.427127
2016-03-07,7.80,7.80,7.58,7.59,67900,7.44675
2016-03-04,7.68,7.84,7.65,7.79,97900,7.642975
2016-03-03,7.67,7.72,7.58,7.69,89400,7.544862
2016-03-02,7.65,7.75,7.58,7.70,74600,7.554673
2016-03-01,7.66,7.72,7.58,7.71,78300,7.564485
2016-02-29,7.47,7.71,7.36,7.65,91900,7.505617
2016-02-26,7.37,7.49,7.33,7.45,52000,7.309392
2016-02-25,7.27,7.38,7.21,7.36,91200,7.221091
2016-02-24,7.23,7.38,7.02,7.29,69200,7.152412
2016-02-23,7.28,7.46,7.26,7.31,80500,7.172034
2016-02-22,7.31,7.49,7.25,7.27,94600,7.132789
2016-02-19,7.30,7.30,7.09,7.28,61200,7.142601
2016-02-18,7.26,7.35,7.16,7.34,45300,7.201468
2016-02-17,7.05,7.30,6.80,7.21,63000,7.073922
2016-02-16,6.99,7.07,6.90,6.97,180500,6.838451
2016-02-12,6.75,7.07,6.75,6.98,110700,6.848262
2016-02-11,6.75,6.75,6.53,6.70,238900,6.573547
2016-02-10,7.19,7.19,6.86,6.97,281400,6.838451
2016-02-09,7.45,7.84,7.06,7.20,248100,7.06411
2016-02-08,7.46,7.60,7.27,7.51,367300,7.36826
2016-02-05,7.64,7.77,7.45,7.48,185200,7.338826
2016-02-04,7.53,7.75,7.49,7.66,113600,7.515428
2016-02-03,7.46,7.65,7.42,7.56,228900,7.417316
2016-02-02,7.48,7.71,7.34,7.52,193600,7.304486
2016-02-01,7.46,7.68,7.28,7.51,195300,7.294773
2016-01-29,7.44,7.79,7.43,7.53,146500,7.3142
2016-01-28,7.26,7.58,7.14,7.46,176500,7.246206
2016-01-27,7.14,7.34,7.04,7.17,210000,6.964517
2016-01-26,7.10,7.29,7.06,7.15,101000,6.94509
2016-01-25,7.35,7.44,7.07,7.09,172400,6.88681
2016-01-22,6.94,7.47,6.86,7.41,159900,7.197639
2016-01-21,6.92,7.02,6.68,6.84,134800,6.643974
2016-01-20,6.85,6.99,6.57,6.81,195600,6.614834
2016-01-19,7.15,7.15,6.80,6.96,180900,6.760535
2016-01-15,7.21,7.29,6.83,7.10,197500,6.896523
2016-01-14,7.44,7.45,7.17,7.36,289000,7.149072
2016-01-13,7.70,7.70,7.36,7.44,213500,7.226779
2016-01-12,8.19,8.19,7.68,7.78,292800,7.557035
2016-01-11,8.33,8.36,8.07,8.09,100200,7.858151
2016-01-08,8.12,8.39,8.12,8.34,61000,8.100986
2016-01-07,8.35,8.45,8.04,8.14,100200,7.906718
2016-01-06,8.44,8.55,8.31,8.45,100000,8.207833
2016-01-05,8.65,8.65,8.47,8.56,105300,8.314682
2016-01-04,8.48,8.68,8.40,8.67,51500,8.421529
2015-12-31,8.50,8.77,8.40,8.57,231000,8.324394
2015-12-30,8.25,8.76,8.25,8.58,181900,8.334108
2015-12-29,8.40,8.81,8.40,8.43,197400,8.115557
2015-12-28,8.53,8.75,8.30,8.42,156500,8.10593
2015-12-24,8.52,8.77,8.31,8.60,94900,8.279216
2015-12-23,8.15,8.54,8.11,8.52,193700,8.2022
2015-12-22,7.84,8.18,7.84,8.12,344600,7.81712
2015-12-21,7.78,7.96,7.58,7.84,189100,7.547564
2015-12-18,7.94,8.02,7.73,7.76,302500,7.470548
2015-12-17,7.80,8.07,7.80,7.85,171500,7.557191
2015-12-16,7.63,8.22,7.63,7.83,230200,7.537937
2015-12-15,7.70,7.79,7.50,7.63,736400,7.345397
2015-12-14,7.73,7.83,7.34,7.44,364800,7.162484
2015-12-11,7.94,7.96,7.56,7.76,275300,7.470548
2015-12-10,8.03,8.14,7.92,7.99,154700,7.691969
2015-12-09,8.17,8.23,7.86,8.05,318200,7.749731
2015-12-08,8.13,8.35,8.13,8.23,166700,7.850814
2015-12-07,8.42,8.48,8.15,8.23,201500,7.850814
2015-12-04,8.53,8.75,8.32,8.46,124900,8.070217
2015-12-03,8.66,8.73,8.53,8.54,105400,8.146531
2015-12-02,8.76,8.81,8.65,8.67,63200,8.270542
2015-12-01,8.85,8.88,8.72,8.80,137300,8.394552
2015-11-30,8.71,8.90,8.70,8.86,270800,8.451787
2015-11-27,8.69,8.76,8.69,8.74,24100,8.337316
2015-11-25,8.63,8.79,8.60,8.73,103000,8.327777
2015-11-24,8.72,8.72,8.60,8.71,92800,8.308699
2015-11-23,8.58,8.79,8.50,8.77,88100,8.365935
2015-11-20,8.68,8.77,8.55,8.58,85100,8.184688
2015-11-19,8.70,8.77,8.63,8.71,49000,8.308699
2015-11-18,8.75,8.79,8.69,8.73,78100,8.327777
2015-11-17,8.75,8.85,8.67,8.79,122500,8.385013
2015-11-16,8.60,8.79,8.60,8.75,113000,8.346856
2015-11-13,8.55,8.63,8.47,8.59,115100,8.194228
2015-11-12,8.63,8.73,8.58,8.59,157700,8.194228
2015-11-11,8.65,8.74,8.52,8.62,126000,8.222845
2015-11-10,8.64,8.70,8.56,8.59,69200,8.194228
2015-11-09,8.81,8.81,8.62,8.67,41900,8.270542
2015-11-06,8.52,8.90,8.52,8.79,227300,8.385013
2015-11-05,8.68,8.82,8.62,8.69,136000,8.28962
2015-11-04,8.59,8.78,8.59,8.68,122200,8.280081
2015-11-03,8.50,8.67,8.45,8.61,171300,8.213306
2015-11-02,8.55,8.70,8.52,8.56,135300,8.094066
2015-10-30,8.61,8.67,8.51,8.55,157500,8.08461
2015-10-29,8.64,8.83,8.50,8.60,163100,8.131888
2015-10-28,8.78,8.84,8.55,8.69,154600,8.216989
2015-10-27,8.70,8.80,8.69,8.76,73900,8.283179
2015-10-26,8.66,8.77,8.64,8.74,44700,8.264267
2015-10-23,8.75,8.80,8.52,8.65,57200,8.179166
2015-10-22,8.65,8.95,8.65,8.69,48200,8.216989
2015-10-21,8.87,8.90,8.65,8.69,74900,8.216989
2015-10-20,8.96,9.01,8.88,8.90,69200,8.415558
2015-10-19,8.97,9.03,8.90,8.94,49800,8.453381
2015-10-16,8.94,9.02,8.88,9.01,77100,8.519571
2015-10-15,8.97,9.00,8.85,8.97,104500,8.481749
2015-10-14,9.04,9.07,8.88,8.92,153700,8.43447
2015-10-13,9.02,9.09,8.98,9.04,88500,8.547938
2015-10-12,9.04,9.10,8.99,9.04,82600,8.547938
2015-10-09,9.00,9.04,8.94,9.02,76500,8.529027
2015-10-08,8.85,9.08,8.73,9.02,186000,8.529027
2015-10-07,8.76,8.87,8.71,8.87,155200,8.387191
2015-10-06,8.70,8.78,8.65,8.73,73700,8.254812
2015-10-05,8.70,8.78,8.62,8.69,113400,8.216989
2015-10-02,8.76,8.82,8.69,8.69,89000,8.216989
2015-10-01,8.77,8.88,8.69,8.86,77200,8.306818
2015-09-30,8.56,8.75,8.51,8.73,123300,8.184934
2015-09-29,8.70,8.79,8.32,8.51,200300,7.978671
2015-09-28,8.91,8.95,8.68,8.73,241500,8.184934
2015-09-25,8.98,9.03,8.88,8.95,90500,8.391199
2015-09-24,8.92,9.06,8.80,8.94,116000,8.381823
2015-09-23,8.97,9.04,8.94,8.96,41100,8.400575
2015-09-22,8.92,9.01,8.92,8.99,70900,8.428701
2015-09-21,8.89,9.01,8.89,8.99,105300,8.428701
2015-09-18,8.83,8.95,8.81,8.90,51600,8.34432
2015-09-17,8.95,8.95,8.78,8.89,106100,8.334945
2015-09-16,8.87,9.03,8.85,8.98,64800,8.419325
2015-09-15,8.85,8.92,8.76,8.91,82200,8.353696
2015-09-14,8.90,8.90,8.75,8.83,131700,8.278691
2015-09-11,8.86,9.01,8.83,8.95,109000,8.391199
2015-09-10,8.86,8.90,8.79,8.83,68500,8.278691
2015-09-09,8.84,8.95,8.81,8.86,70200,8.306818
2015-09-08,8.85,8.92,8.74,8.84,91200,8.288067
2015-09-04,8.79,8.92,8.72,8.80,60500,8.250565
2015-09-03,8.80,8.95,8.72,8.81,87000,8.25994
2015-09-02,8.55,8.88,8.55,8.77,170500,8.222438
2015-09-01,8.79,8.88,8.65,8.75,48000,8.133369
2015-08-31,8.84,8.94,8.80,8.84,40900,8.217027
2015-08-28,8.85,8.95,8.68,8.89,100500,8.263503
2015-08-27,8.76,8.93,8.75,8.89,103700,8.263503
2015-08-26,8.80,8.82,8.59,8.73,143600,8.114778
2015-08-25,8.69,8.94,8.65,8.75,249300,8.133369
2015-08-24,8.86,9.08,8.46,8.57,391700,7.966054
2015-08-21,9.00,9.09,8.78,8.93,253900,8.300684
2015-08-20,9.05,9.16,9.01,9.05,122200,8.412227
2015-08-19,9.10,9.12,9.01,9.05,104500,8.412227
2015-08-18,9.18,9.18,9.03,9.10,131900,8.458704
2015-08-17,9.13,9.23,9.10,9.17,168300,8.523771
2015-08-14,9.01,9.25,9.01,9.13,129300,8.48659
2015-08-13,9.00,9.20,8.98,9.02,244300,8.384342
2015-08-12,8.90,9.10,8.87,9.04,366500,8.402932
2015-08-11,9.02,9.10,8.54,8.88,816200,8.254208
2015-08-10,9.12,9.26,9.11,9.23,101300,8.579542
2015-08-07,9.11,9.14,9.09,9.13,113200,8.48659
2015-08-06,9.11,9.16,9.08,9.14,152600,8.495885
2015-08-05,9.16,9.28,9.06,9.10,110400,8.458704
2015-08-04,9.12,9.16,9.05,9.14,172100,8.495885
2015-08-03,9.13,9.17,9.02,9.12,113900,8.477294
2015-07-31,9.13,9.18,9.07,9.16,196300,8.514475
2015-07-30,9.10,9.15,9.01,9.11,169300,8.467999
2015-07-29,9.15,9.25,9.04,9.19,161300,8.449408
