Date,Open,High,Low,Close,Volume,Adj Close
2016-04-19,45.470001,45.889999,45.419998,45.630001,81200,45.630001
2016-04-18,44.849998,45.450001,44.849998,45.389999,29200,45.389999
2016-04-15,44.91,45.23,44.91,45.18,36200,45.18
2016-04-14,45.09,45.200001,44.91,45.040001,35400,45.040001
2016-04-13,44.27,45.150002,44.27,45.119999,42500,45.119999
2016-04-12,43.639999,44.240002,43.580002,44.110001,37700,44.110001
2016-04-11,43.919998,44.27,43.619999,43.66,33400,43.66
2016-04-08,43.639999,44.040001,43.540001,43.630001,22300,43.630001
2016-04-07,43.869999,43.970001,43.290001,43.459999,28400,43.459999
2016-04-06,43.93,44.279999,43.619999,44.189999,63800,44.189999
2016-04-05,44.139999,44.380001,43.860001,43.889999,20900,43.889999
2016-04-04,45.110001,45.110001,44.439999,44.450001,79500,44.450001
2016-04-01,44.75,45.169998,44.580002,45.139999,64200,45.139999
2016-03-31,45.080002,45.27,45.02,45.099998,52500,45.099998
2016-03-30,45.209999,45.25,44.91,45.049999,21300,45.049999
2016-03-29,43.700001,45.00,43.650002,44.939999,42500,44.939999
2016-03-28,43.91,44.02,43.450001,43.790001,25400,43.790001
2016-03-24,43.32,43.75,43.099998,43.75,46700,43.75
2016-03-23,44.279999,44.279999,43.509998,43.509998,44600,43.509998
2016-03-22,44.490002,44.630001,44.200001,44.470001,88400,44.400001
2016-03-21,44.740002,44.959999,44.560001,44.700001,21500,44.629639
2016-03-18,44.66,44.91,44.639999,44.84,48900,44.769418
2016-03-17,43.57,44.639999,43.490002,44.439999,55500,44.370046
2016-03-16,43.060001,43.669998,43.060001,43.560001,34500,43.491434
2016-03-15,43.68,43.68,43.16,43.18,36300,43.112031
2016-03-14,44.07,44.07,43.700001,43.939999,29400,43.870833
2016-03-11,43.580002,44.209999,43.580002,44.209999,27200,44.140408
2016-03-10,43.779999,43.869999,42.880001,43.189999,24400,43.122013
2016-03-09,43.610001,43.720001,43.310001,43.540001,31600,43.471465
2016-03-08,44.23,44.23,43.330002,43.330002,34500,43.261796
2016-03-07,43.650002,44.540001,43.650002,44.529999,94400,44.459904
2016-03-04,43.400002,44.049999,43.400002,43.73,49800,43.661164
2016-03-03,42.880001,43.419998,42.849998,43.380001,24700,43.311717
2016-03-02,42.41,42.84,42.380001,42.830002,59300,42.762583
2016-03-01,42.00,42.48,41.880001,42.48,14200,42.413132
2016-02-29,41.66,42.080002,41.599998,41.669998,32700,41.604405
2016-02-26,41.599998,41.810001,41.459999,41.669998,29900,41.604405
2016-02-25,41.32,41.490002,41.029999,41.490002,198600,41.424692
2016-02-24,40.32,41.209999,40.110001,41.189999,377200,41.125161
2016-02-23,40.880001,41.009998,40.689999,40.700001,30900,40.635935
2016-02-22,40.869999,41.220001,40.869999,40.98,52100,40.915493
2016-02-19,40.200001,40.599998,40.119999,40.41,44700,40.346391
2016-02-18,40.529999,40.580002,40.16,40.360001,86300,40.29647
2016-02-17,40.23,40.830002,40.23,40.48,53200,40.41628
2016-02-16,39.540001,39.970001,39.240002,39.939999,55100,39.877129
2016-02-12,38.720001,39.099998,38.549999,39.00,78500,38.93861
2016-02-11,38.200001,38.610001,37.900002,38.330002,477800,38.269667
2016-02-10,39.169998,39.650002,38.75,38.790001,107600,38.728942
2016-02-09,38.689999,39.299999,38.599998,38.939999,94100,38.878703
2016-02-08,39.009998,39.240002,38.509998,39.189999,142300,39.12831
2016-02-05,40.099998,40.099998,39.389999,39.450001,54100,39.387903
2016-02-04,39.91,40.73,39.880001,40.27,61300,40.206611
2016-02-03,40.23,40.23,39.279999,40.009998,82600,39.947019
2016-02-02,40.330002,40.349998,39.82,39.919998,82100,39.85716
2016-02-01,40.720001,40.990002,40.34,40.810001,91500,40.745762
2016-01-29,39.75,41.049999,39.75,41.049999,233300,40.985382
2016-01-28,39.880001,40.029999,39.50,39.630001,58500,39.56762
2016-01-27,40.00,40.27,39.349998,39.540001,44700,39.477761
2016-01-26,39.23,40.18,39.200001,40.080002,86700,40.016912
2016-01-25,39.68,39.73,38.950001,39.040001,90400,38.978548
2016-01-22,39.700001,40.049999,39.43,39.849998,42800,39.787271
2016-01-21,39.009998,39.68,38.790001,39.049999,76300,38.988531
2016-01-20,38.169998,39.41,37.41,38.990002,200600,38.928628
2016-01-19,39.650002,39.650002,38.279999,38.689999,230600,38.629097
2016-01-15,38.91,39.349998,38.369999,39.290001,257400,39.228155
2016-01-14,39.380001,40.16,38.869999,39.779999,522700,39.717381
2016-01-13,40.529999,40.73,38.919998,39.16,372900,39.098358
2016-01-12,40.630001,40.84,39.779999,40.419998,254900,40.356373
2016-01-11,40.68,40.68,40.00,40.369999,200600,40.306453
2016-01-08,41.459999,41.619999,40.48,40.509998,261000,40.446232
2016-01-07,41.740002,41.950001,41.27,41.32,116900,41.254958
2016-01-06,42.540001,42.869999,42.310001,42.540001,92200,42.473039
2016-01-05,43.32,43.32,42.880001,43.139999,46800,43.072093
2016-01-04,43.549999,43.549999,42.740002,43.139999,62300,43.072093
2015-12-31,44.66,44.709999,44.18,44.18,237300,44.110457
2015-12-30,45.220001,45.310001,44.759998,44.77,62500,44.699528
2015-12-29,45.16,45.389999,44.869999,45.330002,183900,45.258648
2015-12-28,45.02,45.09,44.560001,44.869999,94700,44.799369
2015-12-24,45.209999,45.560001,45.169998,45.27,31900,45.198741
2015-12-23,44.68,45.259998,44.68,45.189999,66500,45.118865
2015-12-22,44.209999,44.75,43.919998,44.650002,77700,44.442933
2015-12-21,43.990002,44.25,43.82,44.080002,146900,43.875576
2015-12-18,44.23,44.23,43.599998,43.75,47900,43.547105
2015-12-17,44.959999,44.970001,44.330002,44.380001,47400,44.174184
2015-12-16,44.490002,44.860001,44.299999,44.810001,52500,44.602191
2015-12-15,43.880001,44.360001,43.860001,44.189999,161700,43.985063
2015-12-14,43.990002,44.09,43.41,43.669998,72800,43.467474
2015-12-11,44.470001,44.50,43.849998,43.970001,84100,43.766086
