Date,Open,High,Low,Close,Volume,Adj Close
2016-04-19,24.90,25.35,24.84,25.26,466800,25.26
2016-04-18,24.360001,25.200001,24.299999,24.83,524600,24.83
2016-04-15,24.809999,25.209999,24.440001,24.66,545100,24.66
2016-04-14,24.450001,25.190001,24.440001,24.77,491000,24.77
2016-04-13,23.49,24.90,23.469999,24.540001,815100,24.540001
2016-04-12,22.700001,23.379999,22.66,23.290001,541400,23.290001
2016-04-11,22.48,23.18,22.469999,22.629999,666600,22.629999
2016-04-08,22.35,22.870001,22.10,22.290001,565600,22.290001
2016-04-07,22.41,22.66,21.93,22.030001,947400,22.030001
2016-04-06,22.51,22.790001,22.280001,22.66,730800,22.66
2016-04-05,22.450001,22.860001,22.290001,22.469999,776200,22.469999
2016-04-04,22.73,23.02,22.42,22.74,563500,22.74
2016-04-01,22.700001,22.85,22.16,22.690001,759000,22.690001
2016-03-31,22.809999,23.26,22.469999,22.959999,852000,22.959999
2016-03-30,22.91,23.360001,22.73,22.870001,646100,22.870001
2016-03-29,20.32,23.02,20.01,22.85,1908000,22.85
2016-03-28,23.870001,24.00,23.48,23.68,363100,23.68
2016-03-24,23.50,23.780001,23.02,23.77,332900,23.77
2016-03-23,24.290001,24.34,23.73,23.73,405000,23.73
2016-03-22,24.15,24.440001,23.77,24.370001,415100,24.370001
2016-03-21,24.59,24.92,23.82,24.33,1140700,24.33
2016-03-18,24.690001,25.559999,24.389999,24.76,2307700,24.76
2016-03-17,23.77,24.690001,23.52,24.559999,1136900,24.559999
2016-03-16,24.040001,24.50,23.459999,23.82,1221900,23.82
2016-03-15,24.91,24.91,23.969999,24.209999,925400,24.209999
2016-03-14,25.209999,25.57,24.809999,25.15,460200,25.15
2016-03-11,24.950001,25.33,24.82,25.299999,500300,25.299999
2016-03-10,24.74,25.17,23.98,24.639999,673900,24.639999
2016-03-09,25.18,25.51,24.27,24.40,537800,24.40
2016-03-08,25.34,25.57,24.76,24.959999,537500,24.959999
2016-03-07,25.43,25.84,25.290001,25.60,534900,25.60
2016-03-04,25.139999,25.66,25.129999,25.50,655200,25.50
2016-03-03,24.809999,25.549999,24.76,25.00,1095300,25.00
2016-03-02,23.58,24.82,23.32,24.809999,1025900,24.809999
2016-03-01,23.25,24.10,23.040001,23.83,729800,23.59
2016-02-29,23.629999,23.809999,23.049999,23.07,681000,22.837654
2016-02-26,23.059999,23.860001,22.809999,23.690001,729100,23.451411
2016-02-25,22.93,23.16,22.129999,22.709999,999200,22.481279
