Date,Open,High,Low,Close,Volume,Adj Close
2016-04-19,13.46,13.50,13.35,13.35,19100,13.35
2016-04-18,13.54,13.652,13.48,13.48,27300,13.48
2016-04-15,13.49,13.54,13.47,13.48,16500,13.48
2016-04-14,13.61,13.61,13.375,13.46,11200,13.46
2016-04-13,13.64,13.68,13.41,13.41,35300,13.41
2016-04-12,13.35,14.70,13.35,13.37,110600,13.37
2016-04-11,13.36,13.492,13.30,13.31,261300,13.31
2016-04-08,13.50,13.50,13.30,13.30,11400,13.30
2016-04-07,13.02,13.495,13.02,13.30,40400,13.30
2016-04-06,13.50,13.50,13.21,13.34,177100,13.34
2016-04-05,13.41,13.41,13.24,13.25,63700,13.25
2016-04-04,13.40,13.56,13.302,13.41,54500,13.41
2016-04-01,13.50,13.54,13.213,13.50,43700,13.50
2016-03-31,13.20,13.35,13.20,13.20,49600,13.20
2016-03-30,13.342,13.35,13.235,13.25,60200,13.25
2016-03-29,13.35,13.42,13.30,13.33,48000,13.33
2016-03-28,13.50,13.50,13.20,13.36,27000,13.36
2016-03-24,13.50,13.54,13.35,13.49,67700,13.49
2016-03-23,13.35,13.50,13.35,13.38,93400,13.38
2016-03-22,13.21,13.50,13.21,13.38,150100,13.38
2016-03-21,13.50,13.75,13.35,13.50,137800,13.50
2016-03-18,13.42,13.50,13.30,13.50,299500,13.50
2016-03-17,13.50,14.20,13.02,13.40,2254400,13.40
2016-03-16,13.50,13.50,13.50,13.50,000,13.50
