Date,Open,High,Low,Close,Volume,Adj Close
2016-04-19,25.535999,25.68,25.535999,25.68,600,25.68
2016-04-18,25.10,25.10,25.10,25.10,000,25.10
2016-04-15,25.08,25.129999,25.08,25.10,2800,25.10
2016-04-14,25.00,25.00,25.00,25.00,400,25.00
2016-04-13,24.959999,25.15,24.959999,25.129999,3700,25.129999
2016-04-12,24.705,24.764999,24.629999,24.75,11800,24.75
2016-04-11,24.665001,24.665001,24.540001,24.540001,5700,24.540001
2016-04-08,24.559999,24.639999,24.41,24.60,36800,24.60
2016-04-07,24.26,24.280001,24.02,24.280001,17600,24.280001
2016-04-06,24.17,24.23,24.08,24.23,3200,24.23
2016-04-05,24.049999,24.049999,23.809999,23.82,11500,23.82
2016-04-04,24.60,24.629999,24.219999,24.280001,9900,24.280001
2016-04-01,24.15,24.459,24.15,24.458,19300,24.458
2016-03-31,24.75,24.799999,24.58,24.719999,35900,24.719999
2016-03-30,24.950001,24.969999,24.950001,24.959999,1400,24.959999
2016-03-29,24.34,24.889999,24.34,24.889999,2000,24.889999
2016-03-28,24.73,24.73,24.370001,24.370001,600,24.370001
2016-03-24,24.370001,24.40,24.209999,24.219999,25300,24.219999
2016-03-23,24.34,24.52,24.275,24.275,3900,24.275
2016-03-22,24.620001,24.67,24.42,24.459999,9000,24.459999
2016-03-21,24.59,24.610001,24.43,24.43,4100,24.43
2016-03-18,24.49,24.49,24.43,24.43,1000,24.43
2016-03-17,24.385,24.450001,24.34,24.440001,2300,24.440001
2016-03-16,24.190001,24.23,24.01,24.200001,11000,24.200001
2016-03-15,24.18,24.18,24.18,24.18,400,24.18
2016-03-14,24.17,24.40,24.17,24.40,1100,24.40
2016-03-11,24.370001,24.42,24.370001,24.41,17400,24.41
2016-03-10,23.775999,23.775999,23.775999,23.775999,000,23.775999
2016-03-09,23.719999,23.775999,23.719999,23.775999,400,23.775999
2016-03-08,23.91,23.91,23.620001,23.620001,1100,23.620001
2016-03-07,23.889999,23.889999,23.84,23.84,4100,23.84
2016-03-04,24.049999,24.049999,23.889999,23.940001,23900,23.940001
2016-03-03,23.68,23.726999,23.66,23.714001,4600,23.714001
2016-03-02,23.469999,23.700001,23.469999,23.700001,11200,23.700001
2016-03-01,23.27,23.620001,23.27,23.41,2400,23.41
2016-02-29,23.08,23.08,23.08,23.08,000,23.08
2016-02-26,23.09,23.09,23.08,23.08,3700,23.08
2016-02-25,22.99,23.26,22.985001,23.26,4300,23.26
2016-02-24,22.85,23.09,22.733,23.09,9100,23.09
2016-02-23,23.055,23.18,22.940001,22.940001,46900,22.940001
2016-02-22,23.27,23.27,23.129999,23.129999,1200,23.129999
2016-02-19,23.01,23.01,23.01,23.01,000,23.01
2016-02-18,23.01,23.01,23.01,23.01,1000,23.01
2016-02-17,22.790001,22.99,22.790001,22.99,4800,22.99
2016-02-16,22.43,22.540001,22.43,22.49,6000,22.49
2016-02-12,22.209999,22.209999,22.209999,22.209999,1800,22.209999
2016-02-11,22.299999,22.299999,21.92,22.09,10100,22.09
2016-02-10,22.639999,22.639999,22.40,22.42,4400,22.42
2016-02-09,22.709999,22.780001,22.40,22.639999,14500,22.639999
2016-02-08,22.50,22.58,22.469999,22.58,1400,22.58
2016-02-05,23.459999,23.459999,23.459999,23.459999,000,23.459999
2016-02-04,23.200001,23.48,23.200001,23.459999,6000,23.459999
2016-02-03,23.07,23.17,22.879999,23.139999,29100,23.139999
2016-02-02,23.165001,23.24,22.889999,22.91,6200,22.91
2016-02-01,23.35,23.365,23.219999,23.299999,13600,23.299999
2016-01-29,23.389999,23.40,23.389999,23.40,2000,23.40
2016-01-28,23.087999,23.139999,22.860001,22.940001,9300,22.940001
2016-01-27,22.903,23.17,22.841,23.09,5800,23.09
2016-01-26,22.84,23.059999,22.84,23.059999,26200,23.059999
2016-01-25,22.649,22.76,22.620001,22.76,31500,22.76
2016-01-22,22.780001,22.93,22.68,22.93,36000,22.93
2016-01-21,22.01,22.43,22.00,22.18,7000,22.18
2016-01-20,22.10,22.16,21.780001,21.940001,17800,21.940001
2016-01-19,22.82,22.82,22.52,22.530001,5300,22.530001
2016-01-15,22.67,22.67,22.33,22.620001,2000,22.620001
2016-01-14,22.999001,23.120001,22.941,23.110001,2700,23.110001
2016-01-13,23.281,23.42,23.025999,23.17,7900,23.17
2016-01-12,23.25,23.25,23.07,23.09,1400,23.09
2016-01-11,23.34,23.34,22.98,23.10,19800,23.10
2016-01-08,23.610001,23.610001,23.01,23.01,32300,23.01
2016-01-07,23.639999,23.719999,23.25,23.559999,1100,23.559999
2016-01-06,23.889999,23.889999,23.610001,23.610001,12000,23.610001
2016-01-05,24.138,24.138,24.059999,24.059999,3200,24.059999
2016-01-04,23.799999,24.26,23.75,24.10,12800,24.10
2015-12-31,24.709999,24.74,24.629999,24.629999,500,24.629999
2015-12-30,24.813999,24.870001,24.700001,24.700001,22300,24.700001
2015-12-29,24.83,24.92,24.73,24.73,165200,24.73
2015-12-28,24.59,24.65,24.33,24.50,153100,24.50
2015-12-24,24.74,24.76,24.450001,24.459999,84600,24.459999
2015-12-23,24.575001,24.84,24.559999,24.84,207200,24.84
2015-12-22,24.379999,24.58,24.27,24.58,92700,24.58
2015-12-21,24.445,24.469999,24.209999,24.35,7900,24.35
2015-12-18,24.26,24.40,24.26,24.33,98200,24.33
2015-12-17,24.58,24.66,24.370001,24.370001,42300,24.370001
2015-12-16,24.414,25.200001,24.07,24.67,94500,24.67
2015-12-15,24.365,24.365,24.24,24.319,13500,24.319
2015-12-14,24.25,24.35,24.014999,24.35,84500,24.35
2015-12-11,24.094999,24.299999,24.030001,24.049999,76800,24.049999
2015-12-10,24.530001,24.540001,24.43,24.43,3300,24.43
2015-12-09,24.709999,24.74,24.379999,24.43,6700,24.43
2015-12-08,24.629999,24.719999,24.549999,24.57,156800,24.57
2015-12-07,24.924999,25.00,24.870001,24.870001,50800,24.870001
2015-12-04,25.01,25.15,24.98,25.030001,36500,25.030001
2015-12-03,24.969999,24.99,24.889999,24.889999,2000,24.889999
2015-12-02,25.190001,25.190001,25.000999,25.040001,17800,25.040001
2015-12-01,25.17,25.200001,25.17,25.200001,4388200,25.200001
2015-11-30,25.01,25.01,24.950001,25.00,25700,25.00
2015-11-25,24.98,25.049999,24.98,25.049999,51000,25.049999
2015-11-24,24.889999,25.049999,24.889999,25.049999,21200,25.049999
2015-11-23,25.01,25.01,25.01,25.01,400,25.01
2015-11-13,24.469999,24.469999,24.469999,24.469999,1300,24.469999
2015-11-05,25.059999,25.07,25.059999,25.07,2900,25.07
