Date,Open,High,Low,Close,Volume,Adj Close
2016-04-19,23.40,23.629999,23.40,23.52,8800,23.52
2016-04-18,23.49,23.620001,23.49,23.50,4600,23.50
2016-04-15,23.440001,23.50,23.41,23.41,6100,23.41
2016-04-14,23.50,23.50,23.370001,23.370001,2500,23.370001
2016-04-13,23.50,23.50,23.41,23.41,1300,23.41
2016-04-12,23.51,23.68,23.440001,23.459999,8000,23.459999
2016-04-11,23.540001,23.66,23.540001,23.66,1800,23.600999
2016-04-08,23.42,23.620001,23.42,23.620001,2000,23.5611
2016-04-07,23.50,23.75,23.35,23.41,10000,23.351623
2016-04-06,23.41,23.690001,23.41,23.690001,7200,23.630925
2016-04-05,23.49,23.49,23.440001,23.459999,2800,23.401497
2016-04-04,23.32,23.48,22.41,23.469999,12200,23.411473
2016-04-01,23.59,23.65,23.41,23.65,3900,23.591024
2016-03-31,23.32,23.82,23.25,23.639999,9400,23.581049
2016-03-30,23.42,23.42,23.219999,23.32,7000,23.261847
2016-03-29,23.26,23.60,23.23,23.60,39300,23.54115
2016-03-28,23.25,23.299999,23.25,23.299999,6700,23.241897
2016-03-24,23.09,23.09,23.09,23.09,600,23.032421
2016-03-23,23.299999,23.299999,23.219999,23.299999,2600,23.241897
2016-03-22,23.290001,23.360001,23.200001,23.26,8700,23.201997
2016-03-21,23.27,23.360001,23.25,23.299999,15000,23.241897
2016-03-18,23.309999,23.309999,23.18,23.26,64300,23.201997
2016-03-17,23.24,23.25,23.190001,23.23,17300,23.172071
2016-03-16,23.059999,23.25,23.01,23.200001,19900,23.142147
2016-03-15,22.99,23.200001,22.940001,23.200001,9300,23.142147
2016-03-14,23.00,23.00,22.889999,23.00,1600,22.942645
2016-03-11,22.959999,23.00,22.959999,23.00,1800,22.942645
2016-03-10,22.90,22.93,22.77,22.870001,900,22.81297
2016-03-09,22.690001,22.950001,22.690001,22.870001,3300,22.762099
2016-03-08,22.950001,22.959999,22.459999,22.709999,6400,22.602852
2016-03-07,22.74,22.74,22.610001,22.74,3500,22.632711
