Date,Open,High,Low,Close,Volume,Adj Close
2016-04-19,27.709999,27.709999,27.709999,27.709999,700,27.709999
2016-04-18,27.51,27.51,27.51,27.51,000,27.51
2016-04-15,27.51,27.51,27.51,27.51,000,27.51
2016-04-14,27.450001,27.51,27.450001,27.51,1400,27.51
2016-04-13,27.16,27.16,27.16,27.16,200,27.16
2016-04-12,26.790001,26.790001,26.77,26.77,2000,26.77
2016-04-11,26.75,26.75,26.75,26.75,000,26.75
2016-04-08,27.10,27.10,26.75,26.75,700,26.75
2016-04-07,27.01,27.01,26.575001,26.575001,400,26.575001
2016-04-06,26.709999,26.709999,26.709999,26.709999,200,26.709999
2016-04-05,27.17,27.17,27.17,27.17,000,27.17
2016-04-04,27.17,27.17,27.17,27.17,900,27.17
2016-04-01,27.059999,27.059999,27.00,27.00,5500,27.00
2016-03-31,26.99,26.99,26.99,26.99,000,26.99
2016-03-30,27.00,27.00,26.99,26.99,300,26.99
2016-03-29,26.290001,26.290001,26.290001,26.290001,000,26.290001
2016-03-28,26.290001,26.290001,26.290001,26.290001,200,26.290001
2016-03-24,26.33,26.33,26.309999,26.309999,400,26.309999
2016-03-23,26.50,26.50,26.50,26.50,200,26.50
2016-03-22,26.709999,26.709999,26.709999,26.709999,000,26.709999
2016-03-21,26.709999,26.709999,26.709999,26.709999,700,26.709999
2016-03-18,26.719999,26.82,26.719999,26.775999,1700,26.775999
2016-03-17,26.370001,26.48,26.25,26.48,1400,26.48
2016-03-16,26.110001,26.110001,26.110001,26.110001,200,26.110001
2016-03-15,26.52,26.52,26.52,26.52,000,26.52
2016-03-14,26.58,26.58,26.379999,26.52,9100,26.52
2016-03-11,26.51,26.51,26.51,26.51,700,26.51
2016-03-10,26.059999,26.059999,26.059999,26.059999,700,26.059999
2016-03-09,26.09,26.15,26.09,26.15,1800,26.15
2016-03-08,26.360001,26.360001,26.059,26.059,5600,26.059
2016-03-07,26.554001,26.610001,26.554001,26.610001,2400,26.610001
2016-03-04,26.540001,26.60,26.450001,26.450001,2600,26.450001
2016-03-03,26.27,26.290001,26.139999,26.290001,1600,26.290001
2016-03-02,25.98,26.07,25.950001,26.07,1200,26.07
2016-03-01,25.809999,25.809999,25.809999,25.809999,200,25.809999
2016-02-29,25.539,25.539,25.539,25.539,100,25.539
2016-02-26,25.90,25.90,25.441,25.469999,1600,25.469999
2016-02-25,25.299999,25.299999,25.02,25.26,2900,25.26
