Date,Open,High,Low,Close,Volume,Adj Close
2016-04-19,19.530001,19.90,19.34,19.719999,105600,19.719999
2016-04-18,19.459999,19.620001,19.41,19.440001,84300,19.440001
2016-04-15,19.32,19.59,19.24,19.530001,85500,19.530001
2016-04-14,19.34,19.450001,19.16,19.379999,55600,19.379999
2016-04-13,19.299999,19.440001,19.209999,19.41,90600,19.41
2016-04-12,18.950001,19.43,18.91,19.139999,125600,19.139999
2016-04-11,18.65,19.16,18.65,18.950001,127300,18.950001
2016-04-08,18.540001,18.690001,18.370001,18.57,98400,18.57
2016-04-07,18.360001,18.549999,18.139999,18.389999,250200,18.389999
2016-04-06,18.50,18.629999,18.200001,18.469999,102300,18.469999
2016-04-05,19.040001,19.07,18.440001,18.469999,111800,18.469999
2016-04-04,19.309999,19.360001,19.030001,19.200001,149100,19.200001
2016-04-01,18.98,19.309999,18.700001,19.219999,227600,19.219999
2016-03-31,18.68,19.73,18.68,19.120001,377100,19.120001
2016-03-30,18.25,18.68,18.24,18.60,156100,18.60
2016-03-29,17.629999,18.209999,17.59,18.209999,154400,18.209999
2016-03-28,17.620001,17.83,17.459999,17.629999,83600,17.629999
2016-03-24,17.440001,17.559999,17.17,17.559999,189200,17.559999
2016-03-23,17.59,17.65,17.33,17.469999,78900,17.469999
2016-03-22,17.620001,17.73,17.43,17.700001,61500,17.700001
2016-03-21,17.73,17.889999,17.620001,17.66,103600,17.66
2016-03-18,17.84,17.90,17.540001,17.690001,295700,17.690001
2016-03-17,17.309999,17.780001,17.16,17.75,73700,17.75
2016-03-16,16.639999,17.389999,16.639999,17.299999,116300,17.299999
2016-03-15,16.940001,16.940001,16.629999,16.799999,105900,16.799999
2016-03-14,17.10,17.15,16.969999,16.98,60900,16.98
2016-03-11,17.16,17.26,17.059999,17.200001,106700,17.200001
2016-03-10,17.66,17.719999,16.969999,17.030001,94400,17.030001
2016-03-09,17.68,17.75,17.450001,17.65,90200,17.65
2016-03-08,17.719999,17.90,17.51,17.58,72100,17.58
2016-03-07,17.60,17.889999,17.59,17.84,164400,17.84
2016-03-04,17.75,17.809999,17.559999,17.59,128300,17.59
2016-03-03,17.40,17.719999,17.35,17.700001,167500,17.700001
2016-03-02,17.459999,17.48,17.280001,17.40,82500,17.40
2016-03-01,17.450001,17.450001,17.18,17.41,116700,17.41
2016-02-29,17.549999,17.75,17.02,17.23,157100,17.23
2016-02-26,17.16,17.530001,16.959999,17.48,106400,17.48
2016-02-25,16.92,17.190001,16.889999,17.08,97700,17.03
2016-02-24,16.77,16.98,16.57,16.870001,122000,16.820615
2016-02-23,16.84,17.00,16.83,16.860001,107400,16.810644
2016-02-22,16.98,16.98,16.709999,16.809999,114500,16.760789
2016-02-19,16.639999,16.870001,16.58,16.700001,88400,16.651113
2016-02-18,16.59,16.719999,16.440001,16.67,99000,16.6212
2016-02-17,16.530001,16.790001,16.389999,16.440001,129000,16.391874
2016-02-16,16.219999,16.719999,15.99,16.379999,123000,16.332048
2016-02-12,16.040001,16.459999,16.040001,16.42,85800,16.371932
