Date,Open,High,Low,Close,Volume,Adj Close
2016-04-19,19.57,19.709999,19.09,19.34,190200,19.34
2016-04-18,19.49,19.50,19.139999,19.450001,168400,19.450001
2016-04-15,19.459999,19.57,19.32,19.459999,108900,19.459999
2016-04-14,19.690001,19.700001,19.459999,19.530001,115200,19.530001
2016-04-13,19.23,19.639999,19.23,19.629999,162600,19.629999
2016-04-12,19.00,19.34,18.77,19.15,152400,19.15
2016-04-11,19.190001,19.43,18.790001,18.90,108600,18.90
2016-04-08,19.110001,19.35,18.99,19.129999,88500,19.129999
2016-04-07,18.99,19.26,18.66,19.02,110800,19.02
2016-04-06,19.190001,19.309999,19.139999,19.139999,109300,19.139999
2016-04-05,19.50,19.50,19.10,19.24,184600,19.24
2016-04-04,19.639999,19.84,19.540001,19.59,117200,19.59
2016-04-01,19.389999,19.74,19.219999,19.709999,166200,19.709999
2016-03-31,19.389999,19.719999,19.33,19.58,117200,19.58
2016-03-30,19.25,19.620001,19.15,19.440001,149300,19.440001
2016-03-29,18.40,19.08,18.33,19.07,90900,19.07
2016-03-28,18.65,18.65,18.35,18.49,115200,18.49
2016-03-24,18.200001,18.549999,18.00,18.530001,128500,18.530001
2016-03-23,18.41,18.530001,18.18,18.200001,103600,18.200001
2016-03-22,18.190001,18.549999,18.110001,18.379999,110100,18.379999
2016-03-21,18.559999,18.559999,18.23,18.309999,112300,18.309999
2016-03-18,18.469999,18.58,18.200001,18.549999,222600,18.549999
2016-03-17,17.870001,18.440001,17.799999,18.35,92700,18.35
2016-03-16,17.50,17.940001,17.50,17.84,107800,17.84
2016-03-15,17.67,17.74,17.389999,17.610001,123900,17.610001
2016-03-14,17.719999,17.969999,17.540001,17.690001,146600,17.690001
2016-03-11,17.809999,18.10,17.73,17.83,159000,17.83
2016-03-10,18.139999,18.16,17.610001,17.700001,286000,17.700001
2016-03-09,18.08,18.360001,17.959999,18.110001,163500,18.110001
2016-03-08,18.200001,18.52,18.059999,18.15,241200,18.029999
2016-03-07,18.049999,18.379999,17.950001,18.360001,225500,18.238612
2016-03-04,17.41,18.15,17.33,18.030001,420500,17.910794
2016-03-03,16.879999,17.50,16.85,17.48,329500,17.364429
2016-03-02,16.43,16.959999,16.43,16.940001,376500,16.828
2016-03-01,16.120001,16.389999,15.88,16.370001,441400,16.261769
2016-02-29,16.139999,16.299999,15.86,15.94,280400,15.834611
2016-02-26,16.219999,16.280001,15.82,16.139999,236400,16.033288
2016-02-25,16.08,16.17,15.79,16.07,361100,15.963752
2016-02-24,15.93,16.139999,15.83,16.00,162000,15.894215
2016-02-23,16.17,16.26,16.049999,16.139999,145900,16.033288
2016-02-22,16.030001,16.35,16.02,16.17,163900,16.063091
