Date,Open,High,Low,Close,Volume,Adj Close
2016-04-19,15.07,15.34,15.00,15.21,23400,15.21
2016-04-18,15.16,15.325,15.00,15.11,13500,15.11
2016-04-15,15.50,15.509,15.11,15.15,26300,15.15
2016-04-14,15.45,15.767,15.45,15.50,14600,15.50
2016-04-13,15.34,15.50,15.34,15.456,6600,15.456
2016-04-12,15.43,15.755,15.31,15.33,25200,15.33
2016-04-11,15.61,15.695,15.46,15.50,14700,15.50
2016-04-08,15.50,15.60,15.35,15.54,19700,15.54
2016-04-07,15.30,15.57,15.23,15.50,26700,15.50
2016-04-06,15.10,15.58,15.10,15.58,33400,15.58
2016-04-05,15.09,15.40,15.00,15.21,11600,15.21
2016-04-04,14.962,15.39,14.962,15.09,47300,15.09
2016-04-01,15.00,15.22,14.92,15.16,19100,15.16
2016-03-31,14.63,15.056,14.60,15.04,27100,15.04
2016-03-30,14.60,14.87,14.59,14.74,27000,14.74
2016-03-29,14.31,14.719,14.31,14.61,25800,14.61
2016-03-28,14.57,14.64,14.36,14.64,45200,14.64
2016-03-24,14.56,14.69,14.30,14.54,28000,14.54
2016-03-23,14.50,14.68,14.275,14.46,25500,14.46
2016-03-22,14.65,14.835,14.45,14.62,63900,14.62
2016-03-21,14.72,14.955,14.61,14.65,20700,14.65
2016-03-18,14.98,15.00,14.60,14.66,39700,14.66
2016-03-17,14.90,15.15,14.71,14.909,15900,14.909
2016-03-16,15.01,15.01,14.68,14.88,31900,14.88
2016-03-15,15.17,15.18,14.87,14.92,19600,14.92
2016-03-14,15.29,15.35,15.00,15.10,26300,15.10
2016-03-11,14.85,15.32,14.81,15.23,16000,15.23
2016-03-10,15.10,15.33,14.78,14.82,17400,14.82
2016-03-09,14.97,15.20,14.76,14.95,24800,14.95
2016-03-08,15.00,15.00,14.85,14.86,20100,14.86
2016-03-07,15.08,15.147,14.89,14.99,31900,14.99
2016-03-04,14.92,15.16,14.51,14.81,43800,14.81
2016-03-03,14.11,15.08,14.11,14.96,31800,14.96
2016-03-02,14.35,14.46,14.00,14.34,23100,14.34
2016-03-01,14.57,14.60,14.07,14.20,16400,14.20
2016-02-29,14.40,14.94,14.16,14.23,33800,14.23
2016-02-26,14.54,14.60,14.01,14.15,11700,14.15
2016-02-25,13.71,14.83,13.71,14.43,24200,14.43
2016-02-24,14.70,14.72,13.80,14.45,18500,14.45
2016-02-23,14.90,14.90,14.70,14.75,14100,14.75
2016-02-22,14.70,15.71,14.70,14.76,14200,14.76
2016-02-19,14.99,15.72,14.78,14.78,34700,14.78
2016-02-18,14.71,15.177,14.70,15.03,34800,15.03
2016-02-17,14.90,15.18,14.68,14.70,26500,14.70
2016-02-16,14.03,14.93,14.03,14.85,20200,14.85
2016-02-12,15.00,15.00,13.61,13.93,30500,13.93
2016-02-11,13.46,14.95,13.11,14.95,100100,14.95
2016-02-10,14.22,14.22,13.44,13.44,12900,13.44
2016-02-09,13.60,14.249,13.60,13.76,17700,13.76
2016-02-08,13.99,14.25,13.478,13.78,12700,13.78
2016-02-05,14.15,14.25,13.70,14.02,17500,14.02
2016-02-04,13.65,14.77,13.16,14.77,12600,14.77
2016-02-03,13.661,14.41,13.661,13.74,9000,13.415
2016-02-02,13.52,14.53,13.39,13.66,14300,13.336892
2016-02-01,13.45,14.53,13.18,13.39,30600,13.073279
2016-01-29,13.60,14.32,13.42,13.42,42600,13.102569
2016-01-28,13.47,13.59,13.01,13.59,33200,13.268548
2016-01-27,13.00,13.56,12.85,13.35,12700,13.034225
2016-01-26,13.15,13.23,12.79,13.01,9800,12.702267
2016-01-25,12.95,13.11,12.55,12.93,16400,12.62416
2016-01-22,12.05,13.00,12.05,12.95,28300,12.643686
2016-01-21,13.18,13.24,11.52,12.20,53900,11.911426
2016-01-20,13.02,13.27,12.16,13.27,47400,12.956118
2016-01-19,13.31,13.31,12.85,13.15,18800,12.838955
2016-01-15,13.15,13.31,12.66,13.21,32900,12.897536
2016-01-14,13.71,13.71,13.05,13.23,50900,12.917063
2016-01-13,13.45,13.96,13.36,13.72,21800,13.395473
2016-01-12,14.01,14.03,13.43,13.45,17100,13.131859
2016-01-11,14.35,14.44,13.81,13.99,16500,13.659086
2016-01-08,14.24,14.45,14.00,14.01,24900,13.678614
2016-01-07,14.45,14.60,14.135,14.30,38100,13.961754
2016-01-06,14.57,14.78,14.48,14.68,21900,14.332766
2016-01-05,14.25,14.78,14.21,14.78,6800,14.4304
