Date,Open,High,Low,Close,Volume,Adj Close
2016-04-19,27.24,27.24,27.139999,27.23,17600,27.23
2016-04-18,27.08,27.17,27.00,27.17,9900,27.17
2016-04-15,27.059999,27.059999,26.976,27.049,54100,27.049
2016-04-14,27.09,27.09,26.92,26.959,35500,26.959
2016-04-13,26.90,26.924999,26.860001,26.924999,20300,26.924999
2016-04-12,26.690001,26.879,26.639999,26.83,39200,26.83
2016-04-11,26.790001,26.841999,26.66,26.66,7700,26.66
2016-04-08,26.77,26.77,26.618999,26.649,11000,26.649
2016-04-07,26.82,26.82,26.547001,26.59,30300,26.59
2016-04-06,26.780001,26.782,26.59,26.782,13100,26.782
2016-04-05,26.790001,26.82,26.709999,26.709999,11400,26.709999
2016-04-04,27.01,27.059,26.962999,26.962999,7900,26.962999
2016-04-01,26.860001,27.129999,26.860001,27.129999,10900,27.129999
2016-03-31,27.09,27.10,26.997,27.063,20700,27.063
2016-03-30,27.030001,27.07,26.98,26.997999,31700,26.997999
2016-03-29,26.57,26.98,26.57,26.969999,50500,26.969999
2016-03-28,28.00,28.00,26.57,26.65,31500,26.65
2016-03-24,26.719999,26.719999,26.485001,26.610001,17200,26.610001
2016-03-23,26.85,26.85,26.73,26.73,18900,26.73
2016-03-22,27.200001,27.200001,26.82,26.85,23600,26.85
2016-03-21,26.83,26.950001,26.83,26.91,10400,26.91
2016-03-18,26.893,26.98,26.860001,26.889999,35000,26.889999
2016-03-17,26.620001,26.936001,26.530001,26.90,22600,26.90
2016-03-16,26.299999,26.57,26.24,26.528,20200,26.528
2016-03-15,26.41,26.41,26.23,26.34,16100,26.34
2016-03-14,26.65,26.65,26.309999,26.43,17000,26.43
2016-03-11,26.40,26.43,26.299999,26.43,11900,26.43
2016-03-10,26.42,26.42,25.979,26.15,14000,26.15
2016-03-09,26.24,26.27,26.110001,26.150999,25100,26.150999
2016-03-08,26.120001,26.200001,26.02,26.07,11700,26.07
2016-03-07,26.068001,26.280001,26.068001,26.18,9200,26.18
2016-03-04,25.90,26.129999,25.85,26.065001,54400,26.065001
2016-03-03,25.68,25.91,25.68,25.91,11500,25.91
2016-03-02,25.82,25.82,25.403,25.687,24600,25.687
2016-03-01,25.41,25.549999,25.41,25.549999,6600,25.549999
2016-02-29,25.389999,25.540001,25.24,25.24,14000,25.24
2016-02-26,25.91,25.91,25.299999,25.34,27900,25.34
2016-02-25,25.59,25.66,25.370001,25.66,19500,25.66
2016-02-24,25.27,25.299,24.98,25.299,4800,25.299
2016-02-23,25.57,25.57,25.280001,25.290001,7100,25.290001
2016-02-22,25.33,25.436001,25.33,25.417999,4000,25.417999
2016-02-19,25.049999,25.24,25.044001,25.07,22700,25.07
2016-02-18,25.280001,25.280001,25.08,25.167,5100,25.167
2016-02-17,24.99,25.16,24.99,25.07,12400,25.07
2016-02-16,24.93,24.93,24.58,24.790001,5000,24.790001
2016-02-12,24.27,24.389999,24.27,24.389999,1200,24.389999
2016-02-11,24.200001,24.23,24.049999,24.23,3400,24.23
2016-02-10,24.51,24.51,24.51,24.51,300,24.51
2016-02-09,24.51,24.549,24.40,24.549,1700,24.549
2016-02-08,24.50,24.66,24.33,24.66,6400,24.66
2016-02-05,25.040001,25.040001,24.74,24.77,12300,24.77
2016-02-04,24.809,24.84,24.789,24.84,2700,24.84
2016-02-03,24.49,24.82,24.49,24.75,7300,24.75
2016-02-02,24.476,24.620001,24.440001,24.57,5100,24.57
2016-02-01,24.82,24.84,24.57,24.84,13600,24.84
2016-01-29,24.40,24.65,24.360001,24.65,9400,24.65
2016-01-28,24.030001,24.138,24.030001,24.138,1300,24.138
2016-01-27,24.08,24.08,23.825001,23.825001,500,23.825001
2016-01-26,23.90,23.90,23.68,23.90,1100,23.90
2016-01-25,23.799999,23.799999,23.799999,23.799999,000,23.799999
2016-01-22,23.610001,23.799999,23.591999,23.799999,1700,23.799999
2016-01-21,23.23,23.433001,23.23,23.433001,600,23.433001
2016-01-20,23.690001,23.690001,23.690001,23.690001,000,23.690001
2016-01-19,23.700001,23.700001,23.66,23.690001,1900,23.690001
2016-01-15,23.58,23.58,23.51,23.51,1300,23.51
2016-01-14,23.809999,23.809999,23.809999,23.809999,100,23.809999
2016-01-13,24.09,24.09,24.09,24.09,900,24.09
2016-01-12,25.389999,25.389999,23.98,24.00,7900,24.00
2016-01-11,24.040001,24.040001,24.040001,24.040001,4200,24.040001
2016-01-08,24.190001,24.209999,24.00,24.00,2300,24.00
2016-01-07,24.360001,24.360001,24.188999,24.188999,500,24.188999
2016-01-06,24.34,24.639999,24.34,24.60,900,24.60
2016-01-05,24.549999,24.66,24.50,24.66,5000,24.66
2016-01-04,24.50,24.52,24.42,24.42,500,24.42
