Date,Open,High,Low,Close,Volume,Adj Close
2016-04-19,24.76,24.809999,24.74,24.799999,23800,24.799999
2016-04-18,24.870001,24.870001,24.809999,24.82,2300,24.82
2016-04-15,24.85,24.879999,24.790001,24.825001,4900,24.825001
2016-04-14,24.82,24.82,24.82,24.82,1500,24.82
2016-04-13,24.780001,24.83,24.74,24.790001,1900,24.790001
2016-04-12,24.77,24.809999,24.76,24.802999,4600,24.802999
2016-04-11,24.74,24.75,24.736,24.736,5000,24.736
2016-04-08,24.700001,24.74,24.677999,24.73,4400,24.73
2016-04-07,24.75,24.757,24.73,24.75,8300,24.75
2016-04-06,24.75,24.75,24.719999,24.73,1300,24.73
2016-04-05,24.809999,24.809999,24.74,24.790001,1400,24.790001
2016-04-04,24.75,24.77,24.75,24.75,4100,24.75
2016-04-01,24.684,24.719999,24.684,24.719999,4000,24.719999
2016-03-31,24.780001,24.780001,24.73,24.77,3400,24.77
2016-03-30,24.75,24.77,24.700001,24.73,7900,24.73
2016-03-29,24.690001,24.690001,24.690001,24.690001,600,24.690001
2016-03-28,24.709999,24.719999,24.656,24.690001,10400,24.690001
2016-03-24,24.719999,24.75,24.656,24.674,25300,24.674
2016-03-23,26.389999,26.389999,24.67,24.719999,6700,24.719999
2016-03-22,24.799999,24.799999,24.799999,24.799999,1000,24.799999
2016-03-21,24.799999,24.809999,24.73,24.73,4000,24.73
2016-03-18,24.85,24.860001,24.85,24.85,1500,24.85
2016-03-17,24.84,24.84,24.809999,24.809999,3500,24.809999
2016-03-16,24.74,24.74,24.681,24.681,2200,24.681
2016-03-15,24.742001,24.790001,24.742001,24.790001,3000,24.790001
2016-03-14,24.809999,24.809999,24.790001,24.790001,2400,24.790001
2016-03-11,24.67,24.74,24.67,24.74,20000,24.74
2016-03-10,24.719999,24.719999,24.690001,24.690001,3200,24.690001
2016-03-09,24.777,24.777,24.777,24.777,1600,24.777
2016-03-08,24.809999,24.865,24.790001,24.865,8600,24.865
2016-03-07,24.82,24.82,24.82,24.82,000,24.82
2016-03-04,24.863001,24.863001,24.76,24.82,63900,24.82
2016-03-03,24.860001,24.870001,24.85,24.870001,25700,24.870001
2016-03-02,24.82,24.83,24.82,24.83,20800,24.83
2016-03-01,24.82,24.82,24.76,24.76,7000,24.76
2016-02-29,24.92,25.09,24.860001,24.886999,5100,24.886999
2016-02-26,24.959999,24.959999,24.959999,24.959999,000,24.959999
2016-02-25,24.969999,24.969999,24.90,24.959999,3200,24.959999
2016-02-24,24.940001,24.940001,24.915001,24.92,6100,24.92
2016-02-23,24.940001,24.940001,24.940001,24.940001,200,24.940001
2016-02-22,24.98,24.98,24.879999,24.879999,16100,24.879999
2016-02-19,24.90,24.90,24.83,24.860001,3400,24.860001
2016-02-18,24.860001,24.90,24.860001,24.90,1500,24.90
2016-02-17,24.790001,24.790001,24.784,24.784,4300,24.784
2016-02-16,24.940001,24.940001,24.870001,24.889999,4900,24.889999
2016-02-12,24.879999,24.879999,24.860001,24.879999,2500,24.879999
2016-02-11,24.969999,24.99,24.959999,24.98,11700,24.98
2016-02-10,25.01,25.01,24.940001,24.950001,1000,24.950001
2016-02-09,25.040001,25.040001,25.00,25.004999,6200,25.004999
2016-02-08,24.969999,25.040001,24.969999,25.01,13800,25.01
2016-02-05,25.030001,25.049999,25.030001,25.040001,1600,25.040001
2016-02-04,25.028,25.08,25.021,25.021,4000,25.021
2016-02-03,25.059999,25.059999,25.030001,25.030001,16900,25.030001
2016-02-02,24.959999,25.00,24.959999,25.00,3200,25.00
2016-02-01,24.823999,25.01,24.823999,24.91,1800,24.91
2016-01-29,24.92,24.92,24.92,24.92,1500,24.879
2016-01-28,24.889999,24.90,24.74,24.90,20800,24.859032
2016-01-27,24.85,25.02,24.85,25.00,12400,24.958868
2016-01-26,24.870001,25.32,24.870001,24.959999,15800,24.918933
2016-01-25,25.209999,25.23,25.190001,25.209999,3200,25.168522
2016-01-22,25.00,25.18,24.790001,25.02,16300,24.978836
2016-01-21,25.09,25.16,24.83,25.09,13400,25.04872
2016-01-20,25.209999,25.309999,25.01,25.309999,2500,25.268358
2016-01-19,24.82,25.27,24.82,25.030001,17800,24.98882
2016-01-15,24.76,24.91,24.76,24.84,27500,24.799132
2016-01-14,24.959999,24.959999,24.895,24.948,1700,24.906954
2016-01-13,24.76,24.92,24.76,24.915001,1800,24.874009
2016-01-12,24.74,24.870001,24.709999,24.870001,300,24.829083
2016-01-11,24.83,24.860001,24.74,24.83,4900,24.789148
2016-01-08,24.82,24.870001,24.82,24.870001,900,24.829083
2016-01-07,24.85,24.85,24.757999,24.757999,2200,24.717266
2016-01-06,24.82,24.82,24.77,24.82,1300,24.779164
2016-01-05,24.74,24.799999,24.67,24.799999,5800,24.759197
2016-01-04,24.799999,24.799999,24.68,24.68,2500,24.639395
2015-12-31,24.74,24.75,24.73,24.73,1300,24.689312
2015-12-30,24.690001,24.719999,24.690001,24.700001,4700,24.659363
2015-12-29,24.709999,24.73,24.620001,24.620001,4400,24.579494
2015-12-28,24.969999,24.99,24.969999,24.988001,2800,24.691311
2015-12-24,24.959999,24.98,24.959999,24.98,4000,24.683404
2015-12-23,24.889999,24.90,24.889999,24.90,1900,24.604354
2015-12-22,24.90,24.90,24.899,24.90,1100,24.604354
2015-12-21,24.98,24.99,24.98,24.99,2300,24.693286
2015-12-18,24.98,24.99,24.98,24.99,1000,24.693286
2015-12-17,24.93,24.950001,24.927999,24.950001,8900,24.653762
2015-12-16,24.809999,24.870001,24.799999,24.870001,4700,24.574712
2015-12-15,24.746,24.75,24.746,24.75,20100,24.456136
2015-12-14,24.959999,24.959999,24.959999,24.959999,000,24.663641
2015-12-11,24.950001,24.959999,24.950001,24.959999,900,24.663641
2015-12-10,24.85,24.85,24.84,24.85,1300,24.554949
2015-12-09,24.92,24.93,24.84,24.889999,75400,24.594473
2015-12-08,24.91,24.91,24.809999,24.870001,8400,24.574712
2015-12-07,24.799999,24.83,24.799999,24.83,1600,24.535186
2015-12-04,24.709999,24.75,24.709999,24.75,12600,24.456136
2015-12-03,24.780001,24.780001,24.700001,24.700001,500,24.40673
2015-12-02,24.83,24.83,24.82,24.82,7900,24.525304
2015-12-01,24.83,24.83,24.809999,24.83,8900,24.535186
2015-11-30,24.799999,29.08,24.77,24.799999,18800,24.501589
2015-11-27,24.809999,24.809999,24.809999,24.809999,000,24.511468
2015-11-25,24.809999,24.809999,24.809999,24.809999,500,24.511468
2015-11-24,24.799999,24.809999,24.799999,24.809999,15000,24.511468
2015-11-23,24.799999,24.799999,24.76,24.76,60100,24.462071
2015-11-20,24.83,24.83,24.82,24.82,6800,24.521348
2015-11-19,24.889999,24.889999,24.809999,24.860001,7400,24.560868
2015-11-18,24.77,24.82,24.77,24.809999,2900,24.511468
2015-11-17,24.77,24.84,24.76,24.84,1800,24.541108
2015-11-16,24.790001,24.809999,24.75,24.809999,41000,24.511468
2015-11-13,24.780001,24.799999,24.780001,24.799999,200,24.501589
2015-11-12,24.84,24.84,24.719999,24.76,2500,24.462071
2015-11-11,24.790001,24.790001,24.785,24.785,3300,24.48677
2015-11-10,24.76,24.76,24.76,24.76,000,24.462071
2015-11-09,24.76,24.76,24.76,24.76,100,24.462071
2015-11-06,24.709999,24.77,24.58,24.77,4100,24.471951
2015-11-05,24.82,24.83,24.82,24.83,1600,24.531228
2015-11-04,24.844,24.844,24.844,24.844,000,24.54506
2015-11-03,24.843,24.851999,24.843,24.844,400,24.54506
2015-11-02,24.90,24.90,24.84,24.84,600,24.541108
2015-10-30,24.90,24.91,24.886999,24.91,9800,24.549011
2015-10-29,24.85,24.965,24.85,24.92,30400,24.558866
2015-10-28,24.98,24.98,24.98,24.98,000,24.617996
2015-10-27,24.98,24.98,24.98,24.98,200,24.617996
2015-10-26,24.959999,24.959999,24.959999,24.959999,200,24.598285
2015-10-23,25.00,25.00,24.886,24.92,1400,24.558866
2015-10-22,24.98,24.98,24.98,24.98,000,24.617996
2015-10-21,24.969999,24.98,24.969999,24.98,700,24.617996
2015-10-20,24.959999,24.969999,24.959999,24.969999,400,24.608141
2015-10-19,24.98,24.98,24.98,24.98,100,24.617996
2015-10-16,24.92,24.964001,24.92,24.964001,3700,24.602229
2015-10-15,24.955,24.98,24.955,24.98,2400,24.617996
2015-10-14,24.99,24.99,24.99,24.99,2000,24.627851
2015-10-13,24.940001,24.950001,24.870001,24.936001,6800,24.574635
2015-10-12,24.93,24.950001,24.879999,24.879999,11900,24.519445
2015-10-09,24.940001,24.940001,24.860001,24.92,400,24.558866
2015-10-08,24.940001,24.959999,24.940001,24.959999,2300,24.598285
