Date,Open,High,Low,Close,Volume,Adj Close
2016-04-19,43.939999,44.279999,43.84,44.240002,940900,44.240002
2016-04-18,43.48,43.990002,43.330002,43.790001,620300,43.790001
2016-04-15,43.790001,43.799999,43.43,43.470001,1135900,43.470001
2016-04-14,43.98,44.139999,43.880001,44.029999,953400,44.029999
2016-04-13,43.82,44.150002,43.82,44.099998,1095000,44.099998
2016-04-12,42.310001,42.849998,42.029999,42.619999,526200,42.619999
2016-04-11,42.209999,42.50,42.02,42.029999,669800,42.029999
2016-04-08,41.91,42.009998,41.490002,41.57,1125100,41.57
2016-04-07,41.50,41.549999,40.98,41.189999,561900,41.189999
2016-04-06,41.18,41.91,41.119999,41.900002,689400,41.900002
2016-04-05,41.369999,41.450001,40.950001,41.00,531700,41.00
2016-04-04,42.369999,42.459999,41.810001,41.869999,556900,41.869999
2016-04-01,41.66,42.50,41.470001,42.360001,688500,42.360001
2016-03-31,42.560001,42.799999,42.41,42.509998,1044200,42.509998
2016-03-30,42.639999,42.919998,42.529999,42.57,1026500,42.57
2016-03-29,41.23,42.099998,41.139999,42.060001,471300,42.060001
2016-03-28,41.259998,41.59,41.200001,41.549999,503900,41.549999
2016-03-24,41.040001,41.25,40.77,41.240002,2437700,41.240002
2016-03-23,41.98,41.990002,41.400002,41.439999,748800,41.439999
2016-03-22,42.029999,42.290001,41.91,42.080002,609300,42.080002
2016-03-21,42.400002,42.560001,42.240002,42.380001,709800,42.380001
2016-03-18,42.150002,42.439999,42.119999,42.150002,1077300,42.150002
2016-03-17,41.400002,41.889999,41.27,41.759998,613300,41.759998
2016-03-16,40.630001,41.59,40.509998,41.490002,583600,41.490002
2016-03-15,40.900002,41.09,40.639999,41.040001,414700,41.040001
2016-03-14,41.200001,41.509998,41.189999,41.330002,501000,41.330002
2016-03-11,40.790001,41.32,40.740002,41.310001,669700,41.310001
2016-03-10,40.349998,40.50,39.470001,39.91,1079900,39.91
2016-03-09,40.32,40.459999,40.110001,40.23,857000,40.23
2016-03-08,40.529999,40.529999,40.009998,40.080002,906500,40.080002
2016-03-07,40.880001,41.209999,40.689999,41.00,949600,41.00
2016-03-04,40.830002,41.610001,40.610001,41.41,2238100,41.41
2016-03-03,39.950001,40.380001,39.91,40.32,689500,40.32
2016-03-02,39.98,40.380001,39.880001,40.34,1625500,40.34
2016-03-01,39.060001,39.779999,39.02,39.68,906400,39.68
2016-02-29,38.43,38.799999,38.330002,38.349998,1134900,38.349998
2016-02-26,38.810001,38.93,38.419998,38.43,576700,38.43
2016-02-25,37.91,38.400002,37.630001,38.389999,1956600,38.389999
2016-02-24,37.900002,38.689999,37.549999,38.549999,1156500,38.549999
2016-02-23,39.049999,39.139999,38.48,38.490002,553000,38.490002
2016-02-22,39.18,39.610001,39.169998,39.549999,371700,39.549999
2016-02-19,38.41,38.740002,38.279999,38.540001,301700,38.540001
2016-02-18,38.950001,38.990002,38.240002,38.299999,981800,38.299999
2016-02-17,38.25,38.77,38.220001,38.66,405500,38.66
2016-02-16,37.700001,38.060001,37.68,38.029999,1242700,38.029999
2016-02-12,36.00,36.59,35.93,36.560001,540500,36.560001
2016-02-11,35.389999,35.98,35.27,35.700001,774300,35.700001
2016-02-10,36.52,37.110001,36.310001,36.34,885600,36.34
2016-02-09,36.00,36.529999,35.799999,36.049999,1827000,36.049999
2016-02-08,36.799999,36.860001,36.09,36.580002,902400,36.580002
2016-02-05,37.93,37.93,37.18,37.369999,445800,37.369999
2016-02-04,37.98,38.330002,37.57,37.740002,536700,37.740002
2016-02-03,37.779999,38.169998,36.990002,38.110001,1122400,38.110001
2016-02-02,38.490002,38.490002,37.419998,37.57,3637600,37.57
2016-02-01,38.509998,38.75,38.32,38.630001,490000,38.630001
2016-01-29,38.84,39.299999,38.740002,39.279999,972700,39.279999
2016-01-28,38.540001,38.669998,37.889999,38.169998,2259500,38.169998
2016-01-27,37.959999,38.490002,37.610001,37.82,604900,37.82
2016-01-26,38.099998,38.509998,38.009998,38.41,418100,38.41
2016-01-25,38.599998,38.68,38.119999,38.150002,1067300,38.150002
2016-01-22,38.91,39.029999,38.549999,38.950001,1052000,38.950001
2016-01-21,37.48,38.18,37.119999,37.720001,964800,37.720001
2016-01-20,37.310001,37.889999,36.599998,37.540001,1957300,37.540001
2016-01-19,38.990002,39.169998,38.259998,38.66,1022500,38.66
2016-01-15,37.779999,38.029999,37.150002,37.799999,1199400,37.799999
2016-01-14,39.040001,39.75,38.619999,39.57,1649400,39.57
2016-01-13,40.040001,40.150002,38.91,39.060001,1370000,39.060001
2016-01-12,40.02,40.299999,39.59,39.919998,3808200,39.919998
