Date,Open,High,Low,Close,Volume,Adj Close
2016-04-19,2.05,2.28,2.05,2.12,797600,2.12
2016-04-18,2.06,2.15,2.03,2.05,565000,2.05
2016-04-15,2.05,2.22,2.01,2.16,896400,2.16
2016-04-14,2.27,2.30,2.12,2.16,511100,2.16
2016-04-13,2.38,2.38,2.22,2.25,485900,2.25
2016-04-12,2.15,2.47,2.12,2.39,992000,2.39
2016-04-11,2.18,2.35,2.11,2.14,650600,2.14
2016-04-08,2.15,2.28,2.10,2.17,791500,2.17
2016-04-07,2.04,2.10,2.00,2.09,489700,2.09
2016-04-06,2.10,2.20,2.06,2.06,545200,2.06
2016-04-05,2.03,2.11,2.01,2.06,305400,2.06
2016-04-04,2.03,2.13,2.01,2.05,325100,2.05
2016-04-01,2.09,2.14,2.03,2.03,381900,2.03
2016-03-31,2.11,2.16,2.01,2.13,893900,2.13
2016-03-30,2.11,2.22,2.08,2.20,390600,2.20
2016-03-29,2.00,2.09,2.00,2.09,276300,2.09
2016-03-28,2.13,2.16,2.01,2.02,395300,2.02
2016-03-24,2.02,2.20,2.01,2.13,552400,2.13
2016-03-23,2.22,2.32,2.05,2.07,484400,2.07
2016-03-22,2.22,2.34,2.20,2.31,444800,2.31
2016-03-21,2.26,2.46,2.17,2.30,841600,2.30
2016-03-18,2.55,2.73,2.36,2.44,807200,2.44
2016-03-17,2.51,2.63,2.45,2.51,496400,2.51
2016-03-16,2.35,2.62,2.32,2.49,878800,2.49
2016-03-15,2.52,2.56,2.35,2.39,464500,2.39
2016-03-14,2.60,2.62,2.42,2.58,525100,2.58
2016-03-11,2.69,2.74,2.52,2.60,595000,2.60
2016-03-10,2.75,2.75,2.35,2.52,895100,2.52
2016-03-09,2.67,2.73,2.52,2.71,694600,2.71
2016-03-08,2.96,2.98,2.42,2.44,946500,2.44
2016-03-07,2.89,3.21,2.81,2.96,1809900,2.96
2016-03-04,2.50,2.87,2.46,2.81,1909500,2.81
2016-03-03,2.15,2.63,2.15,2.32,1899400,2.32
2016-03-02,2.10,2.17,2.00,2.17,690600,2.17
2016-03-01,1.97,2.14,1.90,2.07,770600,2.07
2016-02-29,2.06,2.06,1.90,1.97,716200,1.97
2016-02-26,2.03,2.17,1.99,2.02,579600,2.02
2016-02-25,2.04,2.05,1.87,2.03,959500,2.03
2016-02-24,1.98,2.02,1.80,2.02,1732400,2.02
2016-02-23,1.99,2.02,1.85,1.95,1149300,1.95
2016-02-22,2.20,2.24,2.02,2.09,616500,2.09
2016-02-19,2.05,2.16,2.00,2.14,618200,2.14
2016-02-18,2.35,2.45,2.07,2.09,827600,2.09
2016-02-17,2.20,2.42,2.15,2.33,572800,2.33
2016-02-16,2.30,2.39,2.05,2.18,640700,2.18
2016-02-12,2.08,2.28,1.94,2.28,1291300,2.28
2016-02-11,1.85,2.00,1.85,1.91,1142000,1.91
2016-02-10,1.85,2.03,1.85,1.92,782900,1.92
2016-02-09,2.02,2.14,1.85,1.85,867500,1.85
2016-02-08,2.19,2.28,1.99,2.02,785300,2.02
2016-02-05,2.49,2.54,2.30,2.30,389000,2.30
2016-02-04,2.60,2.66,2.48,2.53,689000,2.53
2016-02-03,2.66,2.73,2.50,2.50,818400,2.50
2016-02-02,2.63,2.81,2.52,2.70,427000,2.60
2016-02-01,2.69,2.80,2.51,2.80,588700,2.696296
2016-01-29,2.60,2.89,2.60,2.73,1186000,2.628889
2016-01-28,2.32,2.74,2.25,2.59,2618700,2.494074
2016-01-27,2.13,2.26,2.02,2.02,734100,1.945185
2016-01-26,2.00,2.19,1.98,2.13,530600,2.051111
2016-01-25,2.19,2.35,1.94,1.94,479300,1.868148
2016-01-22,2.21,2.34,2.16,2.27,897700,2.185926
2016-01-21,1.83,2.19,1.83,2.01,698100,1.935556
2016-01-20,1.63,1.92,1.57,1.86,1106700,1.791111
2016-01-19,1.93,2.03,1.62,1.66,850000,1.598519
2016-01-15,1.87,2.00,1.82,1.93,773700,1.858519
2016-01-14,1.85,2.31,1.82,2.09,1143300,2.012593
2016-01-13,2.06,2.12,1.80,1.84,943100,1.771852
2016-01-12,2.30,2.45,1.95,2.01,1277000,1.935556
2016-01-11,2.36,2.41,2.20,2.29,850300,2.205185
2016-01-08,2.40,2.54,2.28,2.41,543400,2.320741
2016-01-07,2.39,2.83,2.25,2.37,1000900,2.282222
2016-01-06,2.46,2.53,2.25,2.44,907900,2.34963
2016-01-05,2.79,2.83,2.58,2.62,785400,2.522963
2016-01-04,2.65,2.95,2.57,2.89,1170900,2.782963
2015-12-31,2.22,2.65,2.22,2.64,1615000,2.542222
2015-12-30,2.21,2.34,2.05,2.29,1950900,2.205185
2015-12-29,2.67,2.73,2.39,2.42,1124400,2.33037
2015-12-28,2.87,2.95,2.27,2.53,3132100,2.436296
2015-12-24,2.71,3.25,2.70,3.08,2602700,2.965926
2015-12-23,1.85,2.75,1.85,2.74,3294500,2.638519
2015-12-22,1.63,1.96,1.57,1.81,2373300,1.742963
2015-12-21,1.67,1.70,1.61,1.61,1374900,1.55037
2015-12-18,1.80,1.85,1.64,1.64,1527900,1.579259
2015-12-17,1.94,1.96,1.77,1.82,1265800,1.752593
2015-12-16,2.03,2.03,1.79,1.96,1607800,1.887407
2015-12-15,2.06,2.19,2.01,2.03,1223700,1.954815
2015-12-14,2.10,2.18,2.01,2.06,1718000,1.983704
2015-12-11,2.04,2.17,2.00,2.12,1311000,2.041481
2015-12-10,2.15,2.50,2.02,2.03,2424300,1.954815
2015-12-09,2.20,2.61,2.16,2.17,2399400,2.08963
2015-12-08,2.35,2.47,2.18,2.20,2398800,2.118519
2015-12-07,2.75,2.80,2.35,2.48,2297400,2.388148
2015-12-04,3.14,3.19,2.80,2.91,1475200,2.802222
2015-12-03,3.17,3.30,3.12,3.21,863400,3.091111
2015-12-02,3.40,3.48,3.02,3.19,1385200,3.071852
2015-12-01,3.60,3.66,3.40,3.48,958700,3.351111
2015-11-30,3.73,3.90,3.60,3.66,611600,3.524445
2015-11-27,3.77,3.88,3.73,3.77,215600,3.63037
2015-11-25,3.75,4.06,3.66,3.92,936900,3.774815
2015-11-24,3.58,3.84,3.54,3.77,1012000,3.63037
2015-11-23,3.65,3.87,3.55,3.57,770400,3.437778
2015-11-20,3.91,3.99,3.62,3.64,1563400,3.505185
2015-11-19,4.00,4.07,3.93,3.95,872500,3.803704
2015-11-18,4.15,4.37,4.01,4.07,1315400,3.91926
2015-11-17,4.58,4.64,4.13,4.19,1674700,4.034815
2015-11-16,4.83,4.95,4.51,4.65,1095600,4.477778
