Date,Open,High,Low,Close,Volume,Adj Close
2016-04-19,9.16,9.25,8.59,8.84,278800,8.84
2016-04-18,8.60,9.43,8.50,8.95,367400,8.95
2016-04-15,8.95,8.95,8.50,8.70,463000,8.70
2016-04-14,8.42,8.949,8.32,8.74,469400,8.74
2016-04-13,7.24,8.10,7.15,8.01,357500,8.01
2016-04-12,6.88,7.27,6.88,7.08,502000,7.08
2016-04-11,7.04,7.67,6.741,6.86,275300,6.86
2016-04-08,6.24,6.95,6.01,6.87,218900,6.87
2016-04-07,6.17,6.78,6.00,6.15,224400,6.15
2016-04-06,6.692,6.92,6.12,6.22,145100,6.22
2016-04-05,6.97,7.45,6.60,6.69,190000,6.69
2016-04-04,6.15,7.33,6.15,6.96,470700,6.96
2016-04-01,5.46,6.25,5.11,6.21,498300,6.21
2016-03-31,4.56,5.50,4.55,5.41,664700,5.41
2016-03-30,4.34,4.65,4.34,4.58,240300,4.58
2016-03-29,4.45,4.55,4.17,4.41,443400,4.41
2016-03-28,4.64,4.75,4.50,4.56,431900,4.56
2016-03-24,4.56,4.94,4.56,4.64,154900,4.64
2016-03-23,5.00,5.13,4.70,4.80,371200,4.80
2016-03-22,4.79,5.39,4.79,4.95,408400,4.95
2016-03-21,4.30,5.78,4.30,4.89,1034800,4.89
2016-03-18,5.97,5.97,4.02,4.30,1542700,4.30
2016-03-17,6.36,6.89,5.91,5.97,246600,5.97
2016-03-16,7.22,7.63,6.57,6.61,359500,6.61
2016-03-15,7.34,8.20,7.19,7.43,644200,7.43
2016-03-14,10.00,11.64,7.32,7.38,1025300,7.38
