Date,Open,High,Low,Close,Volume,Adj Close
2016-04-19,12.71,12.92,12.64,12.85,971400,12.85
2016-04-18,12.46,12.70,12.45,12.65,714600,12.65
2016-04-15,12.51,12.64,12.49,12.55,779000,12.55
2016-04-14,12.45,12.73,12.40,12.55,691500,12.55
2016-04-13,12.18,12.53,12.18,12.50,955300,12.50
2016-04-12,11.85,12.07,11.85,12.05,664000,12.05
2016-04-11,11.79,12.02,11.65,11.79,681400,11.79
2016-04-08,11.74,11.94,11.67,11.72,553500,11.72
2016-04-07,11.85,12.07,11.58,11.64,997700,11.64
2016-04-06,11.94,12.01,11.84,11.96,684700,11.96
2016-04-05,12.02,12.24,11.90,11.90,881100,11.90
2016-04-04,12.25,12.30,12.11,12.16,717500,12.16
2016-04-01,12.08,12.25,11.97,12.24,831100,12.24
2016-03-31,12.26,12.37,12.12,12.19,1031000,12.19
2016-03-30,12.24,12.40,12.20,12.31,1150600,12.31
2016-03-29,12.08,12.21,11.79,12.20,1833600,12.20
2016-03-28,11.90,11.98,11.74,11.87,779500,11.87
2016-03-24,11.76,11.89,11.51,11.88,1422500,11.88
2016-03-23,12.00,12.13,11.81,11.82,945100,11.82
2016-03-22,12.07,12.21,11.95,12.05,1072700,12.05
2016-03-21,12.13,12.17,11.94,12.11,959900,12.11
2016-03-18,12.09,12.22,11.97,12.11,2148500,12.11
2016-03-17,11.71,12.05,11.54,12.00,1470300,12.00
2016-03-16,11.85,12.05,11.67,11.75,1086100,11.75
2016-03-15,12.08,12.12,11.89,11.90,1059400,11.90
2016-03-14,12.18,12.21,12.00,12.15,567700,12.15
2016-03-11,11.96,12.21,11.90,12.21,952600,12.21
2016-03-10,11.79,12.48,11.63,11.80,1161400,11.80
2016-03-09,11.88,11.94,11.74,11.80,763000,11.80
2016-03-08,11.92,12.04,11.78,11.83,1015600,11.83
2016-03-07,11.97,12.09,11.93,12.04,590200,12.04
2016-03-04,11.94,12.02,11.84,12.01,1360000,12.01
2016-03-03,11.60,11.88,11.60,11.88,746900,11.88
2016-03-02,11.51,11.63,11.43,11.62,702200,11.62
2016-03-01,11.23,11.53,11.18,11.49,781800,11.49
2016-02-29,11.40,11.50,11.16,11.16,843700,11.16
2016-02-26,11.13,11.46,11.07,11.38,974700,11.38
2016-02-25,11.14,11.22,11.00,11.20,1395800,11.07
2016-02-24,11.03,11.10,10.83,11.09,1449900,10.961277
2016-02-23,11.40,11.54,11.03,11.14,1075900,11.010696
2016-02-22,11.53,11.57,11.41,11.46,889000,11.326982
2016-02-19,11.27,11.46,11.22,11.39,884400,11.257795
2016-02-18,11.45,11.45,11.16,11.32,960100,11.188607
2016-02-17,11.57,11.67,11.33,11.37,734300,11.238026
2016-02-16,11.53,11.57,11.15,11.46,900300,11.326982
2016-02-12,11.04,11.11,10.83,11.09,1766300,10.961277
2016-02-11,10.83,11.05,10.69,10.85,1077100,10.724063
2016-02-10,11.34,11.47,11.08,11.08,734100,10.951392
2016-02-09,10.96,11.35,10.96,11.25,1111700,11.119419
2016-02-08,11.07,11.50,10.89,11.15,1241000,11.02058
2016-02-05,11.43,11.50,11.19,11.19,957600,11.060115
2016-02-04,11.27,11.56,11.25,11.41,1182900,11.277562
2016-02-03,11.45,11.60,10.95,11.27,1609600,11.139188
2016-02-02,11.49,11.75,11.22,11.33,1164000,11.198491
2016-02-01,12.22,12.26,11.66,11.67,1838700,11.534544
2016-01-29,11.94,12.35,11.91,12.32,2359200,12.176999
2016-01-28,11.88,12.10,11.86,11.94,1420900,11.80141
2016-01-27,11.60,11.98,11.53,11.76,1333800,11.6235
2016-01-26,11.31,11.67,11.31,11.66,1785000,11.52466
2016-01-25,11.61,11.68,11.25,11.29,845800,11.158955
2016-01-22,11.69,11.77,11.57,11.67,1107200,11.534544
2016-01-21,11.80,11.95,11.51,11.55,1339500,11.415937
2016-01-20,11.56,11.84,11.34,11.76,1425700,11.6235
2016-01-19,12.07,12.16,11.62,11.77,1206600,11.633384
2016-01-15,11.65,11.95,11.59,11.94,1823800,11.80141
2016-01-14,12.11,12.21,11.93,12.01,1268100,11.870598
2016-01-13,12.42,12.51,11.91,11.98,1361300,11.840946
2016-01-12,12.51,12.67,12.21,12.48,2232600,12.335142
2016-01-11,12.54,12.73,12.43,12.52,828300,12.374679
2016-01-08,12.81,12.81,12.46,12.47,739100,12.325259
2016-01-07,12.88,13.02,12.63,12.67,2005500,12.522937
2016-01-06,13.00,13.16,12.96,13.07,1004800,12.918294
2016-01-05,13.20,13.31,13.05,13.18,640200,13.027018
2016-01-04,13.35,13.50,13.08,13.14,823600,12.987482
2015-12-31,13.65,13.80,13.55,13.56,620700,13.402607
2015-12-30,13.97,13.97,13.72,13.73,626900,13.570633
2015-12-29,13.96,14.02,13.78,13.93,659800,13.768312
2015-12-28,13.85,13.85,13.58,13.82,754100,13.659589
2015-12-24,13.81,13.94,13.77,13.86,481900,13.699124
2015-12-23,13.70,13.85,13.47,13.79,679700,13.629937
2015-12-22,13.66,13.70,13.42,13.66,858900,13.501446
2015-12-21,13.61,13.74,13.48,13.61,675800,13.452026
2015-12-18,13.65,13.82,13.35,13.53,5008200,13.372955
2015-12-17,13.98,13.98,13.64,13.74,692900,13.580517
2015-12-16,13.91,14.01,13.56,13.91,825100,13.748544
2015-12-15,13.75,13.95,13.54,13.80,1020300,13.639821
2015-12-14,13.60,13.75,13.40,13.57,850300,13.41249
2015-12-11,13.58,13.72,13.49,13.59,1116600,13.432259
2015-12-10,13.75,13.99,13.70,13.82,590500,13.659589
2015-12-09,13.92,14.04,13.70,13.79,654700,13.629937
2015-12-08,14.10,14.37,13.92,13.96,828600,13.797964
2015-12-07,14.57,14.62,14.11,14.20,669100,14.035178
2015-12-04,14.36,14.64,14.34,14.56,683200,14.391
2015-12-03,14.68,14.74,14.28,14.33,739500,14.163669
2015-12-02,14.85,14.93,14.51,14.54,602100,14.371232
2015-12-01,14.84,14.93,14.71,14.78,619900,14.608446
2015-11-30,14.85,14.94,14.69,14.75,587000,14.578794
2015-11-27,14.76,14.87,14.62,14.78,313600,14.608446
2015-11-25,14.88,14.95,14.77,14.85,487100,14.559028
2015-11-24,14.70,14.91,14.68,14.87,462700,14.578635
2015-11-23,14.80,15.00,14.73,14.82,492700,14.529615
2015-11-20,14.92,14.92,14.58,14.82,1306200,14.529615
2015-11-19,14.87,14.89,14.66,14.77,489000,14.480595
2015-11-18,14.64,14.88,14.59,14.84,679400,14.549223
2015-11-17,14.55,14.86,14.48,14.68,1071900,14.392358
2015-11-16,14.23,14.52,14.20,14.52,452900,14.235494
2015-11-13,14.33,14.50,14.22,14.29,579400,14.01
2015-11-12,14.68,14.79,14.39,14.43,483100,14.147257
2015-11-11,14.90,14.98,14.69,14.79,526100,14.500203
2015-11-10,14.73,14.93,14.65,14.84,592000,14.549223
2015-11-09,15.00,15.00,14.70,14.80,836500,14.510007
2015-11-06,14.68,15.00,14.64,14.94,886900,14.647263
2015-11-05,14.42,14.63,14.33,14.54,504600,14.255101
2015-11-04,14.35,14.41,14.16,14.36,474400,14.078628
2015-11-03,14.32,14.42,14.09,14.31,641500,14.029608
2015-11-02,14.08,14.36,14.01,14.33,529900,14.049216
2015-10-30,14.36,14.46,13.98,14.00,968500,13.725682
2015-10-29,14.51,14.65,14.31,14.43,893600,14.147257
2015-10-28,13.75,14.51,13.75,14.50,1964100,14.215885
2015-10-27,13.70,14.07,13.63,13.80,1430100,13.529601
2015-10-26,14.40,14.40,13.76,13.78,1409300,13.509993
2015-10-23,14.24,14.39,14.11,14.25,1197200,13.970784
2015-10-22,13.95,14.22,13.73,14.07,2054300,13.79431
2015-10-21,13.95,14.09,13.87,13.91,1072800,13.637445
2015-10-20,13.75,13.93,13.64,13.88,584400,13.608034
2015-10-19,13.63,13.84,13.63,13.69,473900,13.421756
2015-10-16,13.78,13.83,13.64,13.72,414400,13.451169
2015-10-15,13.51,13.78,13.45,13.78,471600,13.509993
2015-10-14,13.91,13.91,13.41,13.42,534000,13.157047
2015-10-13,14.03,14.09,13.87,13.95,450200,13.676662
2015-10-12,13.78,14.07,13.70,14.06,712800,13.784507
2015-10-09,14.02,14.02,13.79,13.82,398400,13.549209
2015-10-08,13.88,13.98,13.74,13.98,776000,13.706074
2015-10-07,13.78,13.91,13.71,13.85,720500,13.578622
2015-10-06,13.71,13.82,13.63,13.68,613300,13.411953
2015-10-05,13.52,13.81,13.52,13.79,501700,13.519797
2015-10-02,13.46,13.52,13.04,13.44,1039400,13.176654
2015-10-01,13.88,13.97,13.59,13.80,656800,13.529601
2015-09-30,13.89,13.95,13.71,13.93,992600,13.657054
2015-09-29,13.69,13.76,13.62,13.74,549500,13.470776
2015-09-28,13.81,13.85,13.70,13.71,430500,13.441364
2015-09-25,13.89,14.01,13.80,13.89,637700,13.617838
2015-09-24,13.52,13.76,13.51,13.70,578000,13.43156
2015-09-23,13.59,13.71,13.48,13.65,327000,13.38254
2015-09-22,13.49,13.60,13.42,13.55,404800,13.2845
2015-09-21,13.59,13.78,13.56,13.66,593500,13.392344
2015-09-18,13.62,13.83,13.44,13.46,2113200,13.196263
2015-09-17,14.20,14.38,13.75,13.83,772200,13.559013
2015-09-16,14.20,14.24,13.99,14.20,476100,13.921763
2015-09-15,13.95,14.25,13.85,14.17,545200,13.892351
2015-09-14,13.94,14.10,13.87,13.90,542400,13.627641
2015-09-11,13.88,14.01,13.82,13.94,542100,13.666857
2015-09-10,13.81,14.05,13.77,13.98,365500,13.706074
2015-09-09,14.06,14.10,13.84,13.84,643800,13.568817
2015-09-08,13.69,13.94,13.66,13.89,675500,13.617838
2015-09-04,13.38,13.59,13.38,13.52,379200,13.255088
2015-09-03,13.51,13.66,13.42,13.56,496600,13.294304
2015-09-02,13.46,13.54,13.21,13.49,679700,13.225675
2015-09-01,13.58,13.71,13.23,13.30,808700,13.039398
2015-08-31,13.62,13.84,13.58,13.80,540000,13.529601
2015-08-28,13.60,13.79,13.59,13.69,613700,13.421756
2015-08-27,13.78,14.02,13.66,13.79,741800,13.402148
2015-08-26,13.58,13.74,13.22,13.73,624100,13.343835
2015-08-25,13.86,13.86,13.24,13.26,842100,12.887055
2015-08-24,13.57,13.98,13.47,13.47,1022200,13.091149
2015-08-21,13.83,14.29,13.78,14.14,660900,13.742305
2015-08-20,14.37,14.40,14.18,14.21,609100,13.810335
2015-08-19,14.62,14.72,14.49,14.50,433600,14.092179
2015-08-18,14.75,14.85,14.56,14.74,353600,14.325429
2015-08-17,14.64,14.87,14.45,14.76,460200,14.344867
2015-08-14,14.34,14.76,14.31,14.76,691700,14.344867
2015-08-13,14.40,14.50,14.28,14.40,308200,13.994991
2015-08-12,14.53,14.58,14.21,14.34,427300,13.936679
2015-08-11,14.67,14.85,14.44,14.58,355200,14.169929
2015-08-10,14.68,14.86,14.68,14.84,415300,14.422616
2015-08-07,14.64,14.80,14.43,14.65,440200,14.23796
2015-08-06,14.82,14.93,14.60,14.70,653400,14.286554
2015-08-05,14.67,14.90,14.61,14.83,766200,14.412898
2015-08-04,14.56,14.75,14.43,14.60,598500,14.189367
2015-08-03,14.35,14.45,14.25,14.44,357000,14.033866
2015-07-31,14.41,14.49,14.25,14.39,549900,13.985273
2015-07-30,14.32,14.43,14.22,14.40,525500,13.994991
2015-07-29,14.34,14.50,14.21,14.33,488300,13.92696
2015-07-28,14.50,14.56,14.34,14.38,574200,13.975554
2015-07-27,14.29,14.40,14.03,14.30,681600,13.897804
2015-07-24,14.32,14.47,14.21,14.28,566800,13.878366
2015-07-23,14.66,14.78,14.38,14.39,611600,13.985273
2015-07-22,14.49,14.66,14.49,14.59,610500,14.179648
2015-07-21,14.64,14.82,14.47,14.51,394000,14.101898
2015-07-20,14.60,14.69,14.53,14.63,533400,14.218523
2015-07-17,14.80,14.80,14.50,14.60,412300,14.189367
2015-07-16,14.91,14.94,14.75,14.80,538800,14.383742
2015-07-15,14.80,14.90,14.64,14.75,469900,14.335148
2015-07-14,14.61,14.79,14.60,14.76,379100,14.344867
2015-07-13,14.56,14.76,14.56,14.72,446300,14.305992
2015-07-10,14.49,14.53,14.38,14.49,389800,14.08246
2015-07-09,14.30,14.42,14.20,14.33,561900,13.92696
2015-07-08,14.09,14.19,14.05,14.15,526500,13.752023
2015-07-07,14.40,14.46,14.03,14.17,562300,13.771461
2015-07-06,14.23,14.44,14.05,14.43,515600,14.024148
2015-07-02,14.64,14.64,14.27,14.30,422100,13.897804
2015-07-01,14.60,14.78,14.51,14.64,499200,14.228242
2015-06-30,14.56,14.76,14.45,14.46,792500,14.053304
2015-06-29,14.76,14.79,14.42,14.45,465900,14.043585
2015-06-26,14.85,14.89,14.75,14.84,1125600,14.422616
2015-06-25,14.80,14.87,14.64,14.79,578900,14.374023
2015-06-24,14.80,14.85,14.68,14.71,441900,14.296273
2015-06-23,14.66,14.84,14.66,14.80,481800,14.383742
2015-06-22,14.57,14.68,14.38,14.63,470200,14.218523
2015-06-19,14.31,14.48,14.29,14.44,1110400,14.033866
2015-06-18,14.33,14.44,14.17,14.36,627000,13.956116
2015-06-17,14.68,14.68,14.24,14.28,506100,13.878366
2015-06-16,14.36,14.62,14.31,14.62,755500,14.208804
2015-06-15,14.41,14.50,14.19,14.43,685500,14.024148
2015-06-12,14.36,14.48,14.29,14.44,470700,14.033866
2015-06-11,14.43,14.43,14.22,14.43,349200,14.024148
2015-06-10,14.33,14.53,14.12,14.42,374400,14.014429
2015-06-09,14.09,14.35,13.99,14.21,353000,13.810335
2015-06-08,14.19,14.26,14.02,14.06,508500,13.664555
2015-06-05,13.97,14.18,13.91,14.18,483800,13.78118
2015-06-04,13.91,14.00,13.84,13.86,528200,13.470179
2015-06-03,13.89,14.05,13.82,14.00,412400,13.606242
2015-06-02,13.55,13.88,13.50,13.79,496500,13.402148
2015-06-01,13.66,13.69,13.43,13.55,372200,13.168899
2015-05-29,13.75,13.76,13.54,13.61,317300,13.22721
2015-05-28,13.70,13.81,13.65,13.80,411500,13.411867
2015-05-27,13.71,13.86,13.58,13.86,375700,13.353554
2015-05-26,13.75,13.76,13.56,13.67,414200,13.170497
2015-05-22,13.97,14.01,13.80,13.81,406000,13.305382
2015-05-21,14.04,14.10,13.96,13.98,346500,13.469169
2015-05-20,14.10,14.10,13.95,14.02,467400,13.507708
2015-05-19,14.05,14.12,13.95,14.07,792200,13.555881
2015-05-18,13.69,14.04,13.66,14.00,1012300,13.488439
2015-05-15,13.84,13.90,13.61,13.68,615500,13.180132
2015-05-14,13.93,13.99,13.78,13.88,697100,13.372824
2015-05-13,13.93,13.97,13.76,13.90,573900,13.392092
2015-05-12,13.79,14.01,13.71,13.92,603300,13.411362
2015-05-11,13.76,13.92,13.73,13.85,459900,13.34392
2015-05-08,13.72,13.79,13.60,13.73,466600,13.228304
2015-05-07,13.64,13.79,13.56,13.67,518500,13.170497
2015-05-06,13.58,13.73,13.51,13.71,816100,13.209035
2015-05-05,13.54,13.71,13.52,13.53,787900,13.035612
