Date,Open,High,Low,Close,Volume,Adj Close
2016-04-19,18.84,18.889999,18.780001,18.889999,1300,18.889999
2016-04-18,18.809999,19.049999,18.790001,18.790001,3900,18.790001
2016-04-15,18.889999,19.299999,18.809999,18.90,40300,18.90
2016-04-14,18.790001,18.790001,18.790001,18.790001,000,18.790001
2016-04-13,18.790001,18.790001,18.790001,18.790001,400,18.790001
2016-04-12,18.91,18.91,18.91,18.91,000,18.91
2016-04-11,18.82,19.309999,18.82,18.91,900,18.91
2016-04-08,18.870001,18.870001,18.870001,18.870001,000,18.870001
2016-04-07,18.870001,18.870001,18.870001,18.870001,300,18.870001
2016-04-06,18.809999,18.91,18.809999,18.91,400,18.91
2016-04-05,18.809999,19.120001,18.809999,18.90,800,18.90
2016-04-04,18.700001,19.450001,18.68,19.299999,10900,19.299999
2016-04-01,18.700001,18.700001,18.620001,18.620001,300,18.620001
2016-03-31,18.73,18.73,18.60,18.60,500,18.60
2016-03-30,18.610001,18.73,18.60,18.73,1700,18.73
2016-03-29,18.65,18.65,18.610001,18.610001,600,18.610001
2016-03-28,18.60,18.68,18.60,18.68,300,18.68
2016-03-24,18.60,18.65,18.60,18.65,9000,18.65
2016-03-23,18.610001,18.610001,18.610001,18.610001,200,18.610001
2016-03-22,18.73,18.780001,18.60,18.60,3700,18.60
2016-03-21,18.90,19.16,18.73,19.049999,1900,19.049999
2016-03-18,18.959999,19.00,18.610001,18.610001,2800,18.610001
2016-03-17,18.74,18.74,18.74,18.74,000,18.74
2016-03-16,18.74,18.74,18.74,18.74,500,18.74
2016-03-15,18.809999,19.00,18.690001,18.82,3000,18.82
2016-03-14,18.610001,18.629999,18.610001,18.629999,900,18.629999
2016-03-11,18.549999,18.700001,18.549999,18.68,2300,18.68
2016-03-10,18.57,18.57,18.549999,18.549999,1500,18.549999
2016-03-09,18.57,18.57,18.57,18.57,600,18.57
2016-03-08,18.76,18.76,18.76,18.76,500,18.76
2016-03-07,18.68,18.790001,18.68,18.700001,2300,18.700001
2016-03-04,18.57,18.57,18.57,18.57,100,18.57
2016-03-03,18.799999,18.799999,18.549999,18.57,2000,18.57
2016-03-02,18.799999,18.799999,18.799999,18.799999,600,18.799999
2016-03-01,18.549999,18.60,18.549999,18.559999,1400,18.559999
2016-02-29,18.700001,18.799999,18.559999,18.709999,3500,18.629999
2016-02-26,18.799999,18.799999,18.629999,18.700001,11200,18.620043
2016-02-25,18.57,18.57,18.57,18.57,100,18.490598
2016-02-24,18.530001,18.799999,18.530001,18.799999,4600,18.719614
2016-02-23,18.690001,18.690001,18.690001,18.690001,600,18.610086
2016-02-22,18.549999,18.74,18.549999,18.690001,3200,18.610086
2016-02-19,18.540001,18.540001,18.540001,18.540001,300,18.460728
2016-02-18,18.60,18.60,18.60,18.60,4400,18.520471
2016-02-17,18.76,18.76,18.60,18.60,1800,18.520471
2016-02-16,18.790001,18.790001,18.60,18.60,2000,18.520471
2016-02-12,18.610001,18.719999,18.60,18.60,2100,18.520471
2016-02-11,18.60,18.60,18.50,18.50,1500,18.420898
2016-02-10,18.799999,18.799999,18.50,18.65,7200,18.570256
2016-02-09,18.790001,18.790001,18.790001,18.790001,000,18.709659
2016-02-08,18.790001,18.790001,18.790001,18.790001,400,18.709659
2016-02-05,18.799999,18.799999,18.799999,18.799999,500,18.719614
2016-02-04,18.60,18.799999,18.60,18.799999,1600,18.719614
2016-02-03,18.60,18.60,18.60,18.60,500,18.520471
2016-02-02,18.85,18.85,18.60,18.799999,3800,18.719614
2016-02-01,18.85,19.00,18.85,18.860001,2100,18.779359
2016-01-29,18.799999,19.26,18.799999,19.16,3500,19.078076
2016-01-28,18.799999,19.049999,18.799999,19.049999,1600,18.968545
