Date,Open,High,Low,Close,Volume,Adj Close
2016-04-19,47.119999,47.27,45.060001,45.360001,122700,45.360001
2016-04-18,45.939999,46.98,45.939999,46.93,95400,46.93
2016-04-15,46.98,47.139999,46.099998,46.110001,178200,46.110001
2016-04-14,48.439999,48.439999,47.110001,47.25,115500,47.25
2016-04-13,47.360001,48.639999,45.599998,48.639999,156600,48.639999
2016-04-12,47.080002,48.799999,46.57,47.040001,122300,47.040001
2016-04-11,47.66,47.91,47.009998,47.110001,74200,47.110001
2016-04-08,47.650002,47.669998,46.790001,47.419998,148700,47.419998
2016-04-07,48.18,48.200001,47.02,47.119999,155600,47.119999
2016-04-06,48.619999,48.779999,47.849998,48.389999,129500,48.389999
2016-04-05,48.189999,49.200001,48.189999,48.639999,110400,48.639999
2016-04-04,48.57,49.68,48.09,48.599998,139000,48.599998
2016-04-01,49.150002,50.00,48.810001,49.970001,110500,49.970001
2016-03-31,49.77,49.93,49.27,49.66,106000,49.66
2016-03-30,49.98,49.98,49.459999,49.75,77500,49.75
2016-03-29,48.119999,49.740002,47.73,49.630001,166200,49.630001
2016-03-28,48.630001,48.630001,47.68,48.029999,55200,48.029999
2016-03-24,47.700001,48.400002,47.369999,48.389999,87600,48.389999
2016-03-23,48.900002,49.110001,48.049999,48.049999,100800,48.049999
2016-03-22,49.009998,49.419998,48.529999,49.049999,70300,49.049999
2016-03-21,49.330002,49.540001,48.060001,49.279999,124900,49.279999
2016-03-18,49.59,49.869999,49.310001,49.66,197600,49.66
2016-03-17,48.990002,49.490002,47.66,49.330002,113800,49.330002
2016-03-16,48.110001,49.369999,48.110001,49.060001,150800,49.060001
2016-03-15,48.029999,48.380001,47.950001,48.299999,83100,48.299999
2016-03-14,48.330002,48.459999,47.889999,48.25,92900,48.25
2016-03-11,47.470001,48.43,47.080002,48.43,86600,48.43
2016-03-10,47.759998,48.990002,46.52,47.00,69600,47.00
2016-03-09,48.23,48.380001,47.290001,47.52,73300,47.52
2016-03-08,48.049999,48.619999,46.16,47.990002,136400,47.990002
2016-03-07,48.599998,48.880001,47.73,48.439999,118600,48.439999
2016-03-04,48.43,49.32,47.50,48.869999,137500,48.869999
2016-03-03,47.849998,48.540001,47.299999,48.380001,169500,48.380001
2016-03-02,47.189999,47.860001,46.779999,47.77,129900,47.77
2016-03-01,46.400002,47.34,45.689999,47.330002,120600,47.330002
2016-02-29,45.75,47.07,45.73,45.830002,212800,45.830002
2016-02-26,45.529999,46.349998,45.169998,45.75,116100,45.75
2016-02-25,44.50,45.380001,44.169998,45.310001,72500,45.310001
2016-02-24,44.200001,44.540001,43.720001,44.419998,152300,44.289999
2016-02-23,45.060001,45.490002,44.720001,44.73,76400,44.599093
2016-02-22,45.77,46.18,45.18,45.389999,109800,45.257162
2016-02-19,45.110001,46.119999,41.50,45.400002,99100,45.267134
2016-02-18,46.049999,46.400002,45.060001,45.16,93800,45.027835
2016-02-17,45.77,46.59,45.25,46.080002,163600,45.945145
2016-02-16,44.07,45.73,43.669998,45.50,177600,45.36684
2016-02-12,44.00,44.00,42.32,43.580002,124000,43.452461
2016-02-11,41.810001,43.970001,41.490002,43.560001,205200,43.432519
2016-02-10,41.77,43.43,41.029999,43.00,221500,42.874157
2016-02-09,41.50,42.349998,41.240002,41.630001,170000,41.508167
2016-02-08,42.630001,42.84,40.830002,42.130001,253900,42.006704
2016-02-05,40.00,44.66,39.529999,43.369999,471500,43.243073
2016-02-04,44.330002,44.790001,43.830002,44.419998,179000,44.289999
2016-02-03,45.110001,45.389999,43.470001,44.41,131700,44.28003
2016-02-02,46.18,46.48,44.150002,44.52,121700,44.389709
2016-02-01,46.630001,47.00,45.84,46.779999,163000,46.643093
2016-01-29,45.220001,47.139999,44.860001,47.130001,199900,46.992071
2016-01-28,44.240002,45.450001,44.18,44.990002,109600,44.858334
2016-01-27,44.459999,44.82,43.73,43.830002,155400,43.701729
2016-01-26,44.27,45.400002,44.02,44.790001,111700,44.658919
2016-01-25,44.029999,44.720001,43.830002,44.009998,132600,43.881199
