Date,Open,High,Low,Close,Volume,Adj Close
2016-04-19,9.69,9.75,9.446,9.69,11200,9.69
2016-04-18,10.04,10.22,9.80,9.99,18200,9.99
2016-04-15,9.86,10.20,9.86,10.20,27200,10.20
2016-04-14,10.17,10.20,9.85,10.00,33600,10.00
2016-04-13,10.20,10.20,9.61,10.00,21000,10.00
2016-04-12,9.542,9.84,9.50,9.82,14400,9.82
2016-04-11,10.21,10.25,9.53,9.59,19800,9.59
2016-04-08,9.22,10.069,9.22,10.00,47600,10.00
2016-04-07,9.37,9.40,9.05,9.40,16500,9.40
2016-04-06,9.13,9.40,8.97,9.31,17500,9.31
2016-04-05,9.34,9.38,9.01,9.07,16700,9.07
2016-04-04,9.75,9.75,8.965,9.11,19300,9.11
2016-04-01,9.80,9.80,8.80,9.33,18600,9.33
2016-03-31,9.57,9.698,9.26,9.64,41000,9.64
2016-03-30,9.04,9.49,8.98,9.48,15200,9.48
2016-03-29,10.08,10.12,8.70,9.10,18300,9.10
2016-03-28,9.84,10.30,8.32,8.72,63600,8.72
2016-03-24,10.00,10.76,9.60,9.83,47600,9.83
2016-03-23,11.03,11.31,10.15,10.38,22600,10.38
2016-03-22,9.603,11.04,9.57,10.85,60100,10.85
2016-03-21,9.75,10.00,9.54,9.87,52500,9.87
2016-03-18,9.96,10.19,9.489,9.58,159900,9.58
2016-03-17,9.55,10.051,9.55,9.84,40300,9.84
2016-03-16,9.99,9.99,9.37,9.55,56900,9.55
2016-03-15,9.38,10.15,9.06,9.98,41500,9.98
2016-03-14,8.87,10.252,8.87,9.72,80700,9.72
2016-03-11,9.47,9.91,8.62,8.96,65900,8.96
2016-03-10,11.87,12.80,9.40,9.54,245700,9.54
2016-03-09,8.30,13.99,8.30,11.75,357500,11.75
2016-03-08,7.38,8.49,6.75,8.32,90400,8.32
2016-03-07,5.94,8.13,5.90,7.24,231500,7.24
2016-03-04,5.66,5.799,5.53,5.56,23900,5.56
2016-03-03,5.72,5.72,5.35,5.55,28500,5.55
2016-03-02,5.80,5.80,5.45,5.66,79700,5.66
2016-03-01,6.00,6.30,5.70,5.85,232100,5.85
2016-02-29,6.10,6.45,5.91,6.00,60600,6.00
2016-02-26,6.02,6.475,5.78,6.08,60700,6.08
2016-02-25,6.29,6.35,6.00,6.00,13000,6.00
2016-02-24,6.16,6.30,5.70,6.115,181600,6.115
2016-02-23,6.50,6.50,6.17,6.50,11700,6.50
2016-02-22,6.10,6.72,5.63,6.38,261500,6.38
2016-02-19,5.75,6.255,5.67,5.92,211800,5.92
2016-02-18,5.55,5.948,5.55,5.65,9500,5.65
2016-02-17,5.69,5.75,5.55,5.75,77800,5.75
2016-02-16,5.93,5.98,5.65,5.75,273800,5.75
2016-02-12,6.55,6.55,5.85,6.18,191600,6.18
2016-02-11,8.00,8.00,5.27,6.64,2110500,6.64
