Date,Open,High,Low,Close,Volume,Adj Close
2016-04-19,10.38,10.597,10.22,10.47,70900,10.47
2016-04-18,9.94,10.55,9.94,10.24,26600,10.24
2016-04-15,10.34,10.50,9.95,9.99,50600,9.99
2016-04-14,10.38,10.75,10.25,10.25,53500,10.25
2016-04-13,10.15,10.75,10.15,10.30,168800,10.30
2016-04-12,10.10,10.30,9.95,10.15,66400,10.15
2016-04-11,10.32,10.838,10.00,10.04,114000,10.04
2016-04-08,10.10,10.35,9.60,9.99,53900,9.99
2016-04-07,9.80,9.99,9.44,9.94,51000,9.94
2016-04-06,9.37,10.03,9.37,9.91,18300,9.91
2016-04-05,9.36,9.37,9.01,9.37,13800,9.37
2016-04-04,9.81,9.90,9.19,9.39,43600,9.39
2016-04-01,9.95,10.20,9.66,9.84,18600,9.84
2016-03-31,10.15,10.46,10.00,10.14,189900,10.14
2016-03-30,9.94,10.90,9.94,10.15,118500,10.15
2016-03-29,9.94,10.15,9.79,10.15,71300,10.15
2016-03-28,9.73,10.00,9.58,10.00,95300,10.00
2016-03-24,9.91,9.95,9.63,9.63,23200,9.63
2016-03-23,9.82,10.30,9.71,9.71,126500,9.71
2016-03-22,9.94,10.30,9.85,9.90,134200,9.90
2016-03-21,9.89,10.47,9.75,10.11,88900,10.11
2016-03-18,9.51,9.95,9.37,9.83,152300,9.83
2016-03-17,9.65,10.16,9.36,9.36,81800,9.36
2016-03-16,9.43,9.70,9.43,9.69,61600,9.69
2016-03-15,9.95,9.95,9.25,9.27,18800,9.27
2016-03-14,9.416,9.84,9.416,9.50,20700,9.50
2016-03-11,10.30,10.30,9.50,9.76,32400,9.76
2016-03-10,9.90,10.163,9.70,9.75,6300,9.75
2016-03-09,10.55,10.55,9.70,9.76,12800,9.76
2016-03-08,10.26,10.81,9.55,9.89,33100,9.89
2016-03-07,10.56,11.40,10.00,10.39,73200,10.39
2016-03-04,10.48,11.655,9.61,10.36,57400,10.36
2016-03-03,10.475,10.70,10.30,10.30,9800,10.30
2016-03-02,10.53,10.805,10.22,10.51,20900,10.51
2016-03-01,10.80,10.90,9.90,10.50,51800,10.50
2016-02-29,9.53,11.11,9.53,10.21,24800,10.21
2016-02-26,8.91,9.90,8.91,9.53,42200,9.53
2016-02-25,9.20,9.42,8.54,9.10,117900,9.10
2016-02-24,9.47,9.508,9.02,9.19,50100,9.19
2016-02-23,9.88,9.93,9.49,9.51,11300,9.51
2016-02-22,9.83,10.04,9.55,10.00,41900,10.00
2016-02-19,11.97,12.05,9.56,9.79,21100,9.79
2016-02-18,10.00,10.00,9.80,9.88,25000,9.88
2016-02-17,9.96,10.03,9.68,10.00,60100,10.00
2016-02-16,10.00,10.00,9.52,9.715,22000,9.715
2016-02-12,9.50,9.875,9.37,9.51,17000,9.51
2016-02-11,9.25,9.74,9.20,9.27,132900,9.27
2016-02-10,9.42,9.98,9.21,9.56,5700,9.56
2016-02-09,10.00,10.00,9.24,9.545,39200,9.545
2016-02-08,10.03,10.125,9.70,9.84,27100,9.84
2016-02-05,10.44,11.01,10.10,10.25,18200,10.25
2016-02-04,10.50,11.15,10.23,10.50,29300,10.50
2016-02-03,10.90,10.90,10.47,10.71,20700,10.71
2016-02-02,11.02,11.36,10.89,10.93,13500,10.93
2016-02-01,11.56,11.56,10.67,11.14,9600,11.14
2016-01-29,11.61,12.01,11.27,11.47,37700,11.47
2016-01-28,11.93,12.58,11.58,11.85,66900,11.575
2016-01-27,12.05,12.11,11.65,11.70,19500,11.428481
2016-01-26,11.82,12.792,11.413,12.23,55100,11.946181
2016-01-25,11.88,12.55,11.41,11.70,8600,11.428481
2016-01-22,11.18,12.99,11.18,12.19,17400,11.907109
2016-01-21,10.18,11.42,10.09,10.96,90400,10.705654
2016-01-20,10.207,10.63,9.66,10.26,137300,10.021899
2016-01-19,11.83,12.217,10.06,10.20,83400,9.963291
2016-01-15,10.83,11.88,10.75,11.68,70400,11.408945
2016-01-14,11.10,11.83,10.70,11.81,44300,11.535928
2016-01-13,12.11,12.22,11.07,11.32,127000,11.057299
2016-01-12,12.77,12.77,11.86,12.00,50600,11.721519
2016-01-11,13.30,13.30,12.11,12.52,79200,12.229452
2016-01-08,12.64,13.00,12.21,12.70,19100,12.405274
2016-01-07,13.10,13.20,12.20,12.57,25100,12.278291
2016-01-06,13.10,13.19,13.06,13.19,52200,12.883902
2016-01-05,13.05,13.20,12.93,13.15,16300,12.844831
2016-01-04,12.81,13.21,12.22,13.15,27600,12.844831
2015-12-31,12.21,13.22,12.21,12.93,38400,12.629937
2015-12-30,12.38,12.55,12.16,12.39,51900,12.102468
2015-12-29,12.25,13.60,12.20,12.38,164600,12.0927
2015-12-28,13.23,13.409,12.10,12.22,75900,11.936414
2015-12-24,13.56,13.59,13.25,13.33,52500,13.020654
2015-12-23,13.51,13.73,13.21,13.40,53700,13.089029
2015-12-22,12.97,13.47,12.62,13.44,737200,13.128101
2015-12-21,12.99,13.66,12.62,12.91,25200,12.6104
2015-12-18,12.36,13.85,12.21,13.08,31400,12.776455
2015-12-17,12.57,12.57,12.094,12.31,22500,12.024325
2015-12-16,12.89,12.94,12.38,12.38,76200,12.0927
2015-12-15,13.05,13.21,12.60,12.60,17200,12.307595
2015-12-14,13.09,13.20,12.725,12.83,14200,12.532257
2015-12-11,13.70,13.75,12.92,13.06,27900,12.75692
2015-12-10,13.48,13.786,13.374,13.53,18800,13.216012
2015-12-09,13.05,13.90,12.75,13.27,72800,12.962047
2015-12-08,13.49,13.49,12.75,12.95,17500,12.649472
2015-12-07,13.23,13.23,12.50,12.60,123100,12.307595
2015-12-04,13.50,14.091,12.68,13.62,48100,13.303924
2015-12-03,14.61,15.14,13.91,14.08,36800,13.753249
2015-12-02,14.178,14.93,13.21,14.11,233300,13.782552
2015-12-01,14.51,14.64,13.94,14.23,22800,13.899767
2015-11-30,14.06,14.70,13.23,14.28,36500,13.948607
2015-11-27,14.29,14.55,13.49,14.17,41500,13.84116
2015-11-25,14.33,14.45,14.16,14.16,24300,13.831392
2015-11-24,14.38,15.06,14.19,14.40,42700,14.065822
2015-11-23,14.84,15.00,13.93,14.40,113600,14.065822
2015-11-20,15.50,15.51,14.75,14.76,52300,14.417468
2015-11-19,15.84,16.190001,15.35,15.52,36400,15.159831
2015-11-18,15.82,16.049999,15.58,16.00,32800,15.628692
2015-11-17,15.90,16.049999,15.50,15.89,44400,15.521245
2015-11-16,15.68,15.93,15.50,15.89,47600,15.521245
2015-11-13,15.85,16.049999,15.56,15.74,28500,15.374725
2015-11-12,15.98,16.049999,15.22,16.00,34500,15.628692
2015-11-11,16.00,16.08,15.81,15.95,47300,15.579852
2015-11-10,16.469999,16.690001,15.86,16.01,134300,15.63846
2015-11-09,16.799999,16.85,16.195,16.41,92600,16.029177
2015-11-06,17.15,17.15,15.77,16.799999,69500,16.410126
2015-11-05,17.10,17.50,16.66,16.809999,195500,16.419894
2015-11-04,17.85,18.50,16.66,17.200001,159400,16.800844
2015-11-03,17.360001,18.60,17.129999,17.85,59300,17.43576
2015-11-02,17.809999,19.360001,17.219999,17.620001,76100,17.211098
2015-10-30,17.559999,18.610001,17.23,17.90,65800,17.484598
2015-10-29,17.120001,18.15,17.02,17.83,45300,17.147606
2015-10-28,18.01,18.51,16.83,17.10,68400,16.445545
2015-10-27,17.200001,18.299999,16.549999,17.85,43700,17.16684
2015-10-26,18.10,18.85,17.549999,17.735001,114200,17.056242
2015-10-23,18.25,18.950001,17.568001,18.16,49100,17.464976
