Date,Open,High,Low,Close,Volume,Adj Close
2016-04-19,16.200001,16.50,16.16,16.309999,17900,16.309999
2016-04-18,16.200001,16.450001,16.02,16.440001,39600,16.440001
2016-04-15,16.00,16.35,15.99,16.280001,43800,16.280001
2016-04-14,15.99,16.00,15.56,15.99,100300,15.99
2016-04-13,15.95,16.00,15.87,16.00,14300,16.00
2016-04-12,15.75,15.94,15.55,15.88,55600,15.88
2016-04-11,15.75,15.80,15.64,15.74,22400,15.74
2016-04-08,15.66,15.75,15.41,15.72,14700,15.72
2016-04-07,15.93,15.95,15.72,15.74,6500,15.74
2016-04-06,15.86,15.95,15.836,15.92,5300,15.92
2016-04-05,15.75,15.975,15.66,15.83,13200,15.83
2016-04-04,15.90,16.00,15.75,15.78,9500,15.78
2016-04-01,15.75,16.00,15.68,15.98,17500,15.98
2016-03-31,15.75,15.85,15.71,15.83,8600,15.83
2016-03-30,15.97,15.97,15.70,15.89,8100,15.89
2016-03-29,16.00,16.00,15.20,15.73,33600,15.73
2016-03-28,16.15,16.23,15.86,16.23,27000,16.23
2016-03-24,16.17,16.309999,15.80,16.030001,27800,16.030001
2016-03-23,15.87,16.32,15.87,16.139999,23800,16.139999
2016-03-22,15.86,16.440001,15.86,16.27,16100,16.27
2016-03-21,16.18,16.50,15.84,16.440001,25800,16.440001
2016-03-18,15.32,16.49,14.73,16.360001,262900,16.360001
2016-03-17,15.59,15.99,14.92,15.22,34000,15.22
2016-03-16,15.86,16.09,15.32,15.54,21100,15.54
2016-03-15,15.40,16.16,15.40,15.78,13500,15.78
2016-03-14,16.10,16.110001,15.93,16.08,20800,16.08
2016-03-11,16.219999,16.49,15.82,16.110001,24700,16.110001
2016-03-10,16.50,16.50,15.93,16.18,15800,16.18
2016-03-09,16.40,16.40,16.059999,16.16,14700,16.16
2016-03-08,16.450001,16.459999,15.91,16.059999,15300,16.059999
2016-03-07,16.459999,16.50,16.10,16.450001,22600,16.450001
2016-03-04,15.97,16.110001,15.97,16.049999,18600,16.049999
2016-03-03,15.28,16.049999,15.28,15.97,17100,15.97
2016-03-02,15.49,15.69,15.18,15.65,19700,15.65
2016-03-01,15.03,15.552,14.98,15.28,13400,15.28
2016-02-29,14.847,15.33,14.847,15.20,8800,15.20
2016-02-26,15.00,15.20,15.00,15.12,9800,15.12
2016-02-25,15.00,15.05,14.69,15.05,10400,15.05
2016-02-24,14.44,14.96,14.44,14.93,26500,14.93
2016-02-23,14.58,14.96,14.41,14.70,8900,14.70
2016-02-22,14.61,14.71,14.57,14.59,4500,14.59
2016-02-19,14.43,14.56,14.16,14.56,20600,14.56
2016-02-18,14.30,14.39,14.26,14.39,8700,14.39
2016-02-17,14.68,14.68,14.36,14.52,13300,14.52
2016-02-16,14.64,14.72,14.41,14.72,9100,14.72
2016-02-12,14.734,14.734,14.31,14.50,2400,14.50
2016-02-11,14.31,14.49,14.31,14.33,9500,14.33
2016-02-10,14.78,14.78,14.57,14.65,4000,14.65
2016-02-09,14.45,14.70,14.45,14.65,6100,14.65
2016-02-08,14.69,14.69,14.45,14.63,8800,14.63
2016-02-05,14.84,14.88,14.61,14.65,41800,14.65
2016-02-04,14.87,14.87,14.78,14.86,1900,14.86
2016-02-03,15.00,15.00,14.76,14.84,12600,14.84
2016-02-02,15.30,15.47,14.90,14.97,23100,14.97
2016-02-01,15.25,15.51,15.14,15.41,17500,15.41
2016-01-29,14.98,15.46,14.96,15.46,11200,15.46
2016-01-28,15.03,15.06,14.86,14.94,6500,14.94
2016-01-27,16.129999,16.129999,15.037,15.25,17600,15.18
2016-01-26,16.00,16.26,15.00,15.13,14600,15.060551
2016-01-25,15.57,15.57,14.91,14.98,11500,14.911239
2016-01-22,15.83,17.459999,15.32,15.50,12300,15.428853
2016-01-21,15.59,15.96,15.59,15.68,5900,15.608027
2016-01-20,15.71,16.76,15.56,15.72,30300,15.647843
2016-01-19,15.92,16.00,15.65,15.75,7600,15.677705
2016-01-15,15.85,16.25,15.66,15.82,13900,15.747383
2016-01-14,16.26,16.26,16.059999,16.129999,3300,16.05596
2016-01-13,16.360001,16.43,15.89,15.99,9900,15.916603
2016-01-12,16.50,16.50,16.120001,16.290001,17600,16.215227
2016-01-11,16.809999,16.809999,16.25,16.51,4400,16.434217
2016-01-08,17.01,17.01,16.43,16.57,7400,16.493941
2016-01-07,17.059999,17.110001,16.690001,16.90,11200,16.822426
2016-01-06,16.90,17.25,16.90,17.23,7800,17.150911
2016-01-05,17.00,17.08,16.875,17.07,10300,16.991646
2016-01-04,17.129999,17.15,16.690001,17.030001,22600,16.95183
2015-12-31,17.309999,17.370001,17.145,17.209999,7500,17.131003
2015-12-30,17.440001,17.49,17.139999,17.18,13000,17.101141
2015-12-29,17.370001,17.48,17.18,17.440001,7200,17.359948
2015-12-28,17.24,17.360001,17.08,17.23,5200,17.150911
2015-12-24,17.32,17.389999,17.24,17.33,2300,17.250453
2015-12-23,17.40,17.40,17.27,17.389999,10700,17.310177
2015-12-22,17.34,17.40,17.219999,17.370001,3400,17.29027
2015-12-21,17.27,17.459999,17.209999,17.40,13400,17.320131
2015-12-18,17.17,17.48,17.02,17.309999,47200,17.230544
2015-12-17,17.10,17.200001,17.040001,17.17,6100,17.091187
2015-12-16,17.059999,17.17,16.85,17.10,7700,17.021509
2015-12-15,16.98,17.00,16.67,17.00,17300,16.921967
2015-12-14,16.700001,17.110001,16.700001,16.92,17100,16.842335
2015-12-11,16.48,16.790001,16.48,16.700001,13400,16.623345
2015-12-10,16.65,16.790001,16.40,16.58,19800,16.503895
2015-12-09,16.370001,16.860001,16.290001,16.68,30600,16.603437
2015-12-08,16.709999,16.780001,16.26,16.469999,17900,16.394399
2015-12-07,16.690001,17.049999,16.50,16.780001,32100,16.702978
2015-12-04,16.82,17.040001,16.610001,16.719999,18700,16.643252
2015-12-03,16.84,16.85,16.50,16.629999,26000,16.553665
2015-12-02,16.84,16.93,16.77,16.799999,6300,16.722885
2015-12-01,16.950001,16.969999,16.809999,16.959999,9300,16.88215
2015-11-30,17.209999,17.209999,16.92,17.01,8900,16.931922
2015-11-27,17.200001,17.200001,17.07,17.18,3700,17.101141
2015-11-25,17.18,17.200001,17.129999,17.18,4200,17.101141
2015-11-24,17.25,17.26,17.139999,17.18,3600,17.101141
2015-11-23,17.200001,17.34,17.18,17.25,7600,17.17082
2015-11-20,17.25,17.41,17.219999,17.299999,23100,17.22059
2015-11-19,17.139999,17.219999,16.959999,17.200001,16700,17.12105
2015-11-18,17.200001,17.24,17.030001,17.200001,15200,17.12105
2015-11-17,17.10,17.25,17.01,17.200001,15700,17.12105
2015-11-16,17.00,17.24,16.809999,17.129999,73700,17.05137
2015-11-13,17.00,17.129999,17.00,17.00,46900,16.921967
2015-11-12,17.00,17.049999,17.00,17.00,12800,16.921967
2015-11-11,16.90,17.07,16.719999,17.00,37100,16.921967
2015-11-10,16.84,16.84,16.694,16.799999,5800,16.722885
2015-11-09,16.67,16.90,16.67,16.85,14700,16.772656
2015-11-06,16.969999,16.969999,16.639999,16.719999,42200,16.643252
2015-11-05,16.65,16.90,16.65,16.870001,12000,16.792565
2015-11-04,16.50,16.674999,16.440001,16.65,38500,16.573574
2015-11-03,16.40,16.700001,16.40,16.459999,58500,16.384445
2015-11-02,16.90,16.90,15.95,16.40,37500,16.324721
2015-10-30,16.43,16.50,16.09,16.459999,140000,16.384445
2015-10-29,16.549999,16.549999,15.80,16.50,24800,16.424262
2015-10-28,15.96,16.719999,15.82,16.719999,36200,16.643252
2015-10-27,16.15,16.15,15.75,15.82,22700,15.687659
2015-10-26,16.459999,16.50,16.07,16.200001,12200,16.064481
2015-10-23,16.389999,16.67,16.379999,16.59,25000,16.451218
2015-10-22,16.40,16.440001,16.389999,16.389999,5200,16.252891
2015-10-21,16.280001,16.40,16.280001,16.33,5600,16.193393
2015-10-20,16.379999,16.40,16.33,16.379999,4900,16.242974
2015-10-19,16.379999,16.40,16.379999,16.389999,4500,16.252891
2015-10-16,16.25,16.65,16.25,16.459999,9400,16.322305
2015-10-15,16.10,16.25,16.10,16.25,17200,16.114062
2015-10-14,16.27,16.27,16.08,16.129999,11000,15.995065
2015-10-13,16.41,16.50,16.334999,16.34,9100,16.20331
2015-10-12,16.440001,16.440001,16.32,16.41,3500,16.272724
2015-10-09,16.27,16.50,16.27,16.42,6600,16.28264
2015-10-08,16.23,16.48,16.23,16.35,3900,16.213226
2015-10-07,16.25,16.540001,16.09,16.50,32000,16.361971
2015-10-06,16.15,16.450001,16.110001,16.200001,10400,16.064481
2015-10-05,15.95,16.469999,15.95,16.290001,16700,16.153729
2015-10-02,16.290001,16.370001,15.85,16.09,38800,15.955401
2015-10-01,16.799999,16.799999,15.76,16.43,38600,16.292557
2015-09-30,16.870001,16.879999,16.139999,16.309999,329600,16.17356
2015-09-29,16.809999,17.01,16.629999,16.809999,24700,16.669377
2015-09-28,16.51,16.99,16.26,16.709999,68900,16.570213
2015-09-25,16.52,16.74,16.440001,16.559999,15200,16.421469
2015-09-24,16.440001,16.629999,16.26,16.440001,23000,16.302473
2015-09-23,16.50,16.52,16.368,16.52,10800,16.381804
2015-09-22,16.26,16.549999,16.25,16.51,9800,16.371888
2015-09-21,16.15,16.610001,16.15,16.370001,26700,16.233059
2015-09-18,17.450001,17.450001,15.52,15.97,158400,15.836405
2015-09-17,17.360001,17.469999,17.26,17.379999,20700,17.234609
2015-09-16,17.389999,17.50,17.280001,17.469999,23500,17.323856
2015-09-15,17.219999,17.40,17.139999,17.40,15900,17.254442
2015-09-14,17.190001,17.290001,17.09,17.26,10100,17.115614
2015-09-11,16.98,17.469999,16.969999,17.17,19900,17.026366
2015-09-10,16.92,17.00,16.700001,16.959999,11200,16.818122
2015-09-09,17.00,17.00,16.639999,16.870001,5700,16.728877
2015-09-08,17.00,17.00,16.809999,17.00,23900,16.857788
2015-09-04,16.709999,16.969999,16.709999,16.809999,4600,16.669377
2015-09-03,16.99,17.00,16.76,16.98,10800,16.837955
2015-09-02,17.00,17.43,16.90,16.91,7500,16.768541
