Date,Open,High,Low,Close,Volume,Adj Close
2016-04-19,27.57,28.24,27.559999,28.209999,37200,28.209999
2016-04-18,28.00,28.049999,27.860001,27.969999,51600,27.969999
2016-04-15,28.08,28.309999,27.940001,28.08,27900,28.08
2016-04-14,28.110001,28.559999,27.82,28.219999,56800,28.219999
2016-04-13,27.42,28.120001,26.93,28.08,176200,28.08
2016-04-12,26.93,27.48,26.809999,27.299999,33500,27.299999
2016-04-11,26.91,27.209999,26.549999,26.85,52800,26.85
2016-04-08,26.83,27.129999,26.610001,26.77,31600,26.77
2016-04-07,27.129999,27.129999,26.379999,26.690001,46800,26.690001
2016-04-06,27.559999,27.559999,27.10,27.360001,58900,27.360001
2016-04-05,27.58,27.799999,27.190001,27.219999,54700,27.219999
2016-04-04,27.809999,28.08,27.59,27.67,39500,27.67
2016-04-01,27.709999,27.950001,27.469999,27.879999,29100,27.879999
2016-03-31,28.139999,28.280001,27.799999,27.83,54400,27.83
2016-03-30,27.940001,28.280001,27.940001,28.09,47500,28.09
2016-03-29,27.530001,27.959999,27.290001,27.959999,73400,27.959999
2016-03-28,27.68,27.83,27.299999,27.52,35900,27.52
2016-03-24,27.389999,27.639999,27.25,27.540001,31500,27.540001
2016-03-23,27.940001,28.049999,27.57,27.59,36600,27.59
2016-03-22,28.200001,28.200001,27.59,28.059999,33200,28.059999
2016-03-21,28.059999,28.25,27.85,28.120001,45300,28.120001
2016-03-18,28.00,28.290001,27.75,28.049999,82800,28.049999
2016-03-17,27.129999,27.99,27.040001,27.84,48600,27.84
2016-03-16,27.09,27.780001,27.09,27.200001,60300,27.200001
2016-03-15,27.50,27.68,27.290001,27.459999,42600,27.459999
2016-03-14,27.690001,27.73,27.530001,27.60,42400,27.60
2016-03-11,27.34,27.75,27.309999,27.719999,32400,27.719999
2016-03-10,27.219999,27.50,26.870001,27.15,35300,27.15
2016-03-09,27.27,27.459999,26.969999,27.09,106700,27.09
2016-03-08,27.15,27.530001,26.469999,27.18,91800,27.18
2016-03-07,27.07,27.41,27.07,27.40,32300,27.40
2016-03-04,27.030001,27.32,26.74,27.17,58300,27.17
2016-03-03,26.83,27.32,26.83,27.18,66900,27.18
2016-03-02,26.709999,26.940001,26.52,26.90,77500,26.90
2016-03-01,26.10,26.870001,26.00,26.77,51000,26.77
2016-02-29,26.02,26.15,25.790001,25.98,82500,25.98
2016-02-26,25.940001,26.299999,25.84,26.08,31800,26.08
2016-02-25,25.450001,25.92,25.450001,25.82,35800,25.82
2016-02-24,24.93,25.49,24.17,25.450001,113800,25.450001
2016-02-23,25.440001,25.530001,25.10,25.139999,82800,25.139999
2016-02-22,25.780001,25.84,25.469999,25.52,96100,25.52
2016-02-19,25.48,25.969999,25.32,25.469999,70400,25.469999
2016-02-18,25.879999,26.02,25.48,25.559999,84900,25.559999
2016-02-17,26.00,26.379999,25.610001,25.66,99600,25.66
2016-02-16,25.700001,25.91,25.27,25.68,172200,25.68
2016-02-12,25.23,25.75,25.040001,25.40,107500,25.40
2016-02-11,24.799999,25.41,24.57,24.98,76100,24.98
2016-02-10,25.85,25.940001,25.23,25.26,62900,25.26
2016-02-09,25.549999,25.799999,25.280001,25.57,60900,25.57
2016-02-08,25.08,25.68,24.75,25.530001,73600,25.530001
2016-02-05,26.00,26.24,25.549999,25.549999,94100,25.31
