Date,Open,High,Low,Close,Volume,Adj Close
2016-04-19,37.029999,37.310001,36.709999,37.169998,249800,37.169998
2016-04-18,36.779999,37.240002,36.709999,36.98,105300,36.98
2016-04-15,37.130001,37.310001,36.810001,37.00,133600,37.00
2016-04-14,37.610001,37.68,37.169998,37.299999,154500,37.299999
2016-04-13,37.279999,37.73,37.00,37.57,145600,37.57
2016-04-12,36.73,37.32,36.57,37.09,92700,37.09
2016-04-11,36.68,37.18,36.549999,36.759998,83100,36.759998
2016-04-08,36.490002,36.799999,36.290001,36.509998,75700,36.509998
2016-04-07,36.259998,36.490002,36.16,36.400002,179700,36.400002
2016-04-06,36.41,36.93,36.310001,36.549999,81900,36.549999
2016-04-05,36.860001,36.860001,36.310001,36.459999,148600,36.459999
2016-04-04,37.799999,38.00,36.959999,36.98,127900,36.98
2016-04-01,37.18,38.09,37.02,38.009998,149900,38.009998
2016-03-31,37.82,38.049999,37.290001,37.369999,190900,37.369999
2016-03-30,38.009998,38.66,37.66,37.740002,137800,37.740002
2016-03-29,37.119999,38.009998,37.119999,37.98,210500,37.98
2016-03-28,35.959999,37.369999,35.830002,37.279999,290900,37.279999
2016-03-24,35.810001,36.060001,34.759998,35.990002,183300,35.990002
2016-03-23,36.040001,36.049999,35.68,35.810001,178600,35.810001
2016-03-22,35.950001,36.209999,35.389999,36.200001,121700,36.200001
2016-03-21,36.240002,36.439999,36.040001,36.18,161200,36.18
2016-03-18,36.099998,36.419998,35.830002,36.380001,285900,36.380001
2016-03-17,35.66,35.93,35.27,35.919998,176200,35.919998
2016-03-16,35.099998,35.779999,35.099998,35.700001,107200,35.700001
2016-03-15,35.610001,35.610001,35.080002,35.080002,70900,35.080002
2016-03-14,35.59,35.950001,35.369999,35.779999,93100,35.779999
2016-03-11,35.110001,35.700001,35.040001,35.700001,127800,35.700001
2016-03-10,35.23,35.560001,34.82,34.98,181500,34.98
2016-03-09,35.110001,35.360001,35.07,35.139999,117400,35.139999
