Date,Open,High,Low,Close,Volume,Adj Close
2016-04-19,50.639999,50.689999,50.610001,50.669998,12800,50.669998
2016-04-18,50.669998,50.689999,50.599998,50.66,4700,50.66
2016-04-15,50.59,50.68,50.59,50.610001,7000,50.610001
2016-04-14,50.509998,50.630001,50.509998,50.630001,9500,50.630001
2016-04-13,50.59,50.619999,50.549999,50.619999,3300,50.619999
2016-04-12,50.599998,50.66,50.560001,50.59,15400,50.59
2016-04-11,50.599998,50.599998,50.509998,50.540001,5600,50.540001
2016-04-08,50.630001,50.630001,50.560001,50.560001,5000,50.560001
2016-04-07,50.599998,50.630001,50.549999,50.610001,19800,50.610001
2016-04-06,50.57,50.610001,50.509998,50.580002,4200,50.580002
2016-04-05,50.470001,50.57,50.470001,50.57,13100,50.57
2016-04-04,50.52,50.549999,50.419998,50.529999,13500,50.529999
2016-04-01,50.450001,50.529999,50.43,50.48,31900,50.48
2016-03-31,50.459999,50.560001,50.459999,50.50,6100,50.50
2016-03-30,50.43,50.529999,50.43,50.470001,19900,50.470001
2016-03-29,50.369999,50.50,50.349998,50.439999,33600,50.439999
2016-03-28,50.290001,50.34,50.240002,50.330002,7200,50.330002
2016-03-24,50.23,50.310001,50.209999,50.27,33200,50.27
2016-03-23,50.23,50.290001,50.220001,50.290001,8900,50.290001
2016-03-22,50.25,50.299999,50.200001,50.220001,10100,50.220001
2016-03-21,50.259998,50.279999,50.189999,50.259998,9400,50.259998
2016-03-18,50.220001,50.279999,50.209999,50.209999,35200,50.209999
2016-03-17,50.299999,50.360001,50.169998,50.209999,116800,50.209999
2016-03-16,50.23,50.400002,50.060001,50.360001,33800,50.360001
2016-03-15,50.23,50.279999,50.189999,50.23,9000,50.23
2016-03-14,50.209999,50.25,50.130001,50.189999,8900,50.189999
2016-03-11,50.139999,50.200001,50.09,50.189999,6300,50.189999
2016-03-10,50.060001,50.220001,50.060001,50.099998,7600,50.099998
2016-03-09,50.099998,50.220001,50.07,50.150002,11300,50.150002
2016-03-08,50.169998,50.220001,50.049999,50.150002,7000,50.150002
2016-03-07,50.09,50.130001,50.00,50.07,37600,50.07
2016-03-04,49.98,50.110001,49.98,50.110001,9200,50.110001
2016-03-03,50.009998,50.09,49.990002,50.09,28500,50.09
2016-03-02,49.91,50.029999,49.91,50.02,9100,50.02
2016-03-01,50.07,50.07,49.959999,49.990002,18300,49.990002
2016-02-29,49.939999,50.150002,49.939999,50.099998,57900,50.099998
2016-02-26,49.919998,50.110001,49.869999,50.110001,45500,50.110001
2016-02-25,49.849998,50.07,49.849998,50.049999,8500,50.049999
2016-02-24,49.860001,50.00,49.790001,50.00,49600,50.00
2016-02-23,49.93,49.93,49.630001,49.799999,214400,49.799999
2016-02-22,50.080002,50.080002,49.84,49.93,109300,49.93
2016-02-19,49.990002,50.09,49.889999,50.009998,71200,50.009998
2016-02-18,49.849998,50.060001,49.84,49.959999,64600,49.959999
2016-02-17,50.02,50.07,49.779999,49.869999,204900,49.869999
2016-02-16,50.09,50.110001,49.84,50.02,223900,50.02
2016-02-12,50.00,50.02,49.860001,49.880001,88200,49.880001
2016-02-11,50.049999,50.080002,49.93,50.049999,600700,50.049999
2016-02-10,50.18,50.200001,49.689999,49.98,132700,49.98
2016-02-09,50.330002,50.330002,50.139999,50.169998,585900,50.169998
2016-02-08,50.220001,50.279999,50.139999,50.150002,12000,50.150002
2016-02-05,50.349998,50.349998,50.099998,50.209999,96300,50.209999
2016-02-04,50.169998,50.240002,50.130001,50.23,21400,50.23
2016-02-03,50.099998,50.200001,50.099998,50.110001,22500,50.110001
2016-02-02,50.240002,50.240002,50.130001,50.23,40000,50.23
2016-02-01,50.209999,50.209999,50.119999,50.150002,3500,50.150002
2016-01-29,50.299999,50.330002,50.200001,50.299999,3000,50.228
2016-01-28,50.139999,50.369999,50.119999,50.290001,92800,50.218016
2016-01-27,50.130001,50.169998,50.09,50.169998,6000,50.098185
2016-01-26,50.139999,50.200001,50.07,50.16,11900,50.088201
2016-01-25,50.080002,50.150002,50.060001,50.099998,3500,50.028285
2016-01-22,50.099998,50.150002,50.029999,50.139999,27600,50.068229
2016-01-21,50.119999,50.16,50.060001,50.07,10000,49.998329
2016-01-20,50.09,50.169998,50.060001,50.150002,51500,50.078217
2016-01-19,50.16,50.169998,50.07,50.099998,13600,50.028285
2016-01-15,50.18,50.220001,50.130001,50.189999,5000,50.118156
2016-01-14,50.130001,50.25,50.130001,50.25,3500,50.178072
2016-01-13,50.099998,50.240002,50.09,50.200001,8600,50.128144
2016-01-12,50.23,50.23,50.119999,50.209999,24100,50.138128
2016-01-11,50.220001,50.240002,50.119999,50.240002,381800,50.168088
2016-01-08,50.209999,50.290001,50.130001,50.150002,35700,50.078217
2016-01-07,50.169998,50.34,50.16,50.240002,35600,50.168088
2016-01-06,50.290001,50.360001,50.169998,50.169998,19500,50.098185
2016-01-05,50.110001,50.279999,50.099998,50.099998,28700,50.028285
2016-01-04,50.200001,50.23,50.080002,50.200001,42900,50.128144
2015-12-31,50.23,50.240002,50.060001,50.240002,15200,50.168088
2015-12-30,50.169998,50.240002,49.970001,50.16,22100,50.088201
2015-12-29,50.150002,50.209999,50.150002,50.200001,21200,50.128144
2015-12-28,50.189999,50.209999,50.150002,50.200001,8500,50.128144
2015-12-24,50.189999,50.23,50.16,50.23,7600,50.1581
2015-12-23,50.27,50.310001,50.099998,50.220001,40900,50.082212
2015-12-22,50.279999,50.299999,50.09,50.290001,60800,50.152019
2015-12-21,50.23,50.259998,50.119999,50.259998,21300,50.122099
2015-12-18,50.200001,50.220001,50.110001,50.209999,8300,50.072237
2015-12-17,50.169998,50.189999,50.07,50.18,34100,50.04232
2015-12-16,50.060001,50.209999,50.00,50.00,21500,49.862814
2015-12-15,50.110001,50.23,50.110001,50.200001,5200,50.062266
2015-12-14,50.279999,50.279999,50.119999,50.209999,3300,50.072237
2015-12-11,50.299999,50.32,50.299999,50.299999,2200,50.16199
2015-12-10,50.349998,50.349998,50.240002,50.32,5900,50.181936
2015-12-09,50.310001,50.330002,50.200001,50.25,8500,50.112128
2015-12-08,50.349998,50.349998,50.220001,50.220001,6300,50.082212
2015-12-07,50.299999,50.360001,50.25,50.299999,7800,50.16199
2015-12-04,50.200001,50.34,50.200001,50.32,65600,50.181936
2015-12-03,50.34,50.360001,50.18,50.290001,26400,50.152019
2015-12-02,50.389999,50.389999,50.349998,50.369999,7500,50.231798
2015-12-01,50.419998,50.439999,50.400002,50.400002,5800,50.261718
2015-11-30,50.419998,50.419998,50.32,50.369999,1700,50.164979
2015-11-27,50.439999,50.439999,50.369999,50.41,22400,50.204817
2015-11-25,50.400002,50.41,50.310001,50.330002,11200,50.125145
2015-11-24,50.400002,50.41,50.299999,50.299999,7900,50.095264
2015-11-23,50.349998,50.389999,50.330002,50.330002,11700,50.125145
2015-11-20,50.389999,50.389999,50.290001,50.290001,1500,50.085306
2015-11-19,50.389999,50.41,50.299999,50.369999,13300,50.164979
2015-11-18,50.389999,50.389999,50.32,50.349998,19200,50.14506
