Date,Open,High,Low,Close,Volume,Adj Close
2016-04-19,10.12,10.16,10.03,10.05,49600,10.05
2016-04-18,9.95,9.96,9.90,9.91,5300,9.91
2016-04-15,9.95,10.05,9.95,10.01,17900,9.929
2016-04-14,10.00,10.00,9.92,9.94,13600,9.859566
2016-04-13,10.07,10.07,9.96,9.99,20300,9.909161
2016-04-12,9.95,10.00,9.90,10.00,10100,9.919081
2016-04-11,9.85,9.92,9.54,9.89,31300,9.809971
2016-04-08,9.60,9.65,9.54,9.65,4700,9.571913
2016-04-07,9.49,9.62,9.49,9.56,43000,9.482642
2016-04-06,9.51,9.56,9.41,9.50,14200,9.423127
2016-04-05,9.50,9.54,9.48,9.52,7400,9.442965
2016-04-04,9.50,9.50,9.41,9.42,7900,9.343774
2016-04-01,9.46,9.49,9.32,9.47,32400,9.39337
2016-03-31,9.69,9.69,9.63,9.63,13200,9.552075
2016-03-30,9.61,9.64,9.52,9.53,11200,9.452884
2016-03-29,9.62,9.62,9.45,9.62,16300,9.542156
2016-03-28,9.69,9.69,9.49,9.53,22000,9.452884
2016-03-24,9.60,9.60,9.52,9.53,26100,9.452884
2016-03-23,9.69,9.69,9.53,9.53,24000,9.452884
2016-03-22,9.86,9.87,9.83,9.85,9600,9.770295
2016-03-21,9.74,9.84,9.74,9.83,12000,9.750456
2016-03-18,9.88,9.88,9.77,9.80,12400,9.720699
2016-03-17,9.90,10.09,9.90,10.00,17600,9.763351
2016-03-16,9.70,9.91,9.65,9.88,13900,9.646191
2016-03-15,9.70,9.72,9.67,9.69,3900,9.460687
2016-03-14,9.87,9.96,9.74,9.74,11100,9.509504
2016-03-11,9.85,9.88,9.78,9.80,11400,9.568084
2016-03-10,9.82,9.88,9.80,9.83,20900,9.597374
2016-03-09,9.70,9.75,9.62,9.70,8800,9.47045
2016-03-08,9.90,9.90,9.73,9.75,13100,9.519267
2016-03-07,9.79,9.87,9.79,9.86,4400,9.626664
2016-03-04,9.68,9.90,9.68,9.78,22200,9.548557
2016-03-03,9.55,9.60,9.55,9.60,8500,9.372817
2016-03-02,9.40,9.52,9.40,9.51,1600,9.284947
2016-03-01,9.53,9.53,9.37,9.45,4000,9.226367
2016-02-29,9.40,9.50,9.39,9.48,9400,9.255656
2016-02-26,9.59,9.59,9.33,9.36,11000,9.138496
2016-02-25,9.60,9.60,9.55,9.55,4200,9.324
2016-02-24,9.68,9.74,9.57,9.57,13000,9.343527
2016-02-23,9.63,9.63,9.56,9.61,17300,9.38258
2016-02-22,9.50,9.61,9.48,9.59,6200,9.363054
2016-02-19,9.65,9.71,9.55,9.61,8000,9.38258
2016-02-18,9.69,9.76,9.63,9.71,19900,9.480214
2016-02-17,9.71,9.78,9.71,9.78,2500,9.42261
2016-02-16,10.00,10.00,9.70,9.72,21100,9.364803
2016-02-12,9.78,9.93,9.78,9.87,15100,9.509322
2016-02-11,9.80,9.95,9.80,9.83,24300,9.470783
2016-02-10,9.78,9.78,9.72,9.77,18800,9.412976
2016-02-09,9.82,9.83,9.75,9.76,14900,9.403342
2016-02-08,9.75,9.80,9.70,9.78,10100,9.42261
2016-02-05,9.58,9.69,9.58,9.69,22100,9.335899
2016-02-04,9.69,9.74,9.68,9.72,8800,9.364803
2016-02-03,9.52,9.68,9.52,9.65,15200,9.297361
2016-02-02,9.53,9.53,9.44,9.44,2200,9.095035
2016-02-01,9.47,9.53,9.47,9.53,5800,9.181746
2016-01-29,9.47,9.48,9.42,9.43,7300,9.085401
2016-01-28,9.45,9.53,9.35,9.40,7500,9.056496
2016-01-27,9.57,9.57,9.50,9.55,3000,9.201016
2016-01-26,9.43,9.57,9.43,9.57,13100,9.220284
2016-01-25,9.43,9.43,9.35,9.42,5100,9.075766
2016-01-22,9.35,9.44,9.32,9.32,4500,8.97942
2016-01-21,9.25,9.34,9.24,9.34,12700,8.99869
2016-01-20,9.39,9.39,9.31,9.35,25700,9.008324
2016-01-19,9.24,9.36,9.24,9.32,16700,8.97942
2016-01-15,9.30,9.30,9.20,9.23,5000,8.892709
2016-01-14,9.31,9.31,9.18,9.26,11600,8.891746
2016-01-13,9.30,9.42,9.26,9.39,26500,9.016576
2016-01-12,9.30,9.30,9.20,9.20,5000,8.834132
2016-01-11,9.36,9.41,9.24,9.41,11300,9.03578
2016-01-08,9.41,9.41,9.25,9.30,14000,8.930155
2016-01-07,9.35,9.55,9.33,9.50,101700,9.122201
2016-01-06,9.35,9.36,9.27,9.33,24700,8.958962
2016-01-05,9.21,9.33,9.21,9.32,3800,8.949359
2016-01-04,9.39,9.42,9.20,9.20,18300,8.834132
2015-12-31,9.18,9.34,9.18,9.34,6900,8.968564
2015-12-30,9.23,9.23,9.18,9.20,22400,8.834132
2015-12-29,9.32,9.34,9.26,9.27,14300,8.901348
2015-12-28,9.58,9.58,9.21,9.25,43500,8.882143
2015-12-24,9.54,9.55,9.52,9.54,7200,9.160611
2015-12-23,9.49,9.54,9.42,9.52,8900,9.141406
2015-12-22,9.38,9.50,9.38,9.48,5300,9.102996
2015-12-21,9.53,9.53,9.40,9.48,7900,9.102996
2015-12-18,9.21,9.40,9.21,9.40,13200,9.026178
2015-12-17,9.32,9.32,9.15,9.22,40700,8.803405
2015-12-16,9.42,9.53,9.33,9.44,24100,9.013464
2015-12-15,9.21,9.25,9.16,9.20,9000,8.784308
2015-12-14,9.25,9.26,9.13,9.15,8900,8.736567
2015-12-11,9.30,9.37,9.25,9.30,20100,8.87979
2015-12-10,9.52,9.52,9.43,9.43,7300,9.003916
2015-12-09,9.54,9.63,9.41,9.44,7500,9.013464
2015-12-08,9.48,9.51,9.42,9.48,348500,9.051656
2015-12-07,9.55,9.61,9.48,9.48,15800,9.051656
2015-12-04,9.52,9.75,9.52,9.70,24500,9.261716
2015-12-03,9.45,9.45,9.32,9.42,35200,8.994368
2015-12-02,9.46,9.46,9.32,9.37,16300,8.946627
2015-12-01,9.40,9.45,9.40,9.45,10000,9.023012
2015-11-30,9.44,9.47,9.37,9.41,23100,8.984819
2015-11-27,9.43,9.48,9.40,9.44,11300,9.013464
2015-11-25,9.46,9.46,9.38,9.43,8700,9.003916
2015-11-24,9.46,9.53,9.42,9.42,10500,8.994368
2015-11-23,9.43,9.47,9.38,9.42,6300,8.994368
2015-11-20,9.47,9.47,9.40,9.40,14900,8.975271
2015-11-19,9.45,9.59,9.45,9.50,22600,9.070753
2015-11-18,9.57,9.58,9.38,9.44,21300,9.013464
