Date,Open,High,Low,Close,Volume,Adj Close
2016-04-19,21.17,21.450001,21.01,21.129999,29300,21.129999
2016-04-18,21.40,21.549999,20.790001,21.26,38200,21.26
2016-04-15,21.379999,21.68,21.370001,21.48,22200,21.48
2016-04-14,21.389999,21.799999,21.32,21.50,37400,21.50
2016-04-13,21.59,21.969999,21.33,21.620001,48600,21.620001
2016-04-12,21.309999,21.700001,21.110001,21.52,41700,21.52
2016-04-11,21.48,21.75,21.25,21.360001,25400,21.360001
2016-04-08,21.549999,21.76,21.09,21.50,67100,21.50
2016-04-07,21.43,21.540001,21.27,21.51,31500,21.51
2016-04-06,21.48,21.719999,21.32,21.51,27200,21.51
2016-04-05,21.469999,21.83,21.360001,21.530001,32800,21.530001
2016-04-04,21.969999,21.969999,21.530001,21.610001,28500,21.610001
2016-04-01,21.870001,22.07,21.49,21.950001,21900,21.950001
2016-03-31,21.98,22.16,21.68,22.059999,42600,22.059999
2016-03-30,22.74,22.74,22.040001,22.129999,24900,22.129999
2016-03-29,22.450001,22.73,22.15,22.709999,30700,22.709999
2016-03-28,21.559999,22.280001,21.559999,22.17,25300,22.17
2016-03-24,21.92,21.92,21.200001,21.700001,23700,21.700001
2016-03-23,22.49,22.530001,21.93,21.950001,24100,21.950001
2016-03-22,22.67,22.76,22.209999,22.51,32400,22.51
2016-03-21,22.610001,22.780001,22.60,22.66,28800,22.66
2016-03-18,22.50,22.74,22.08,22.559999,57800,22.559999
2016-03-17,21.610001,22.620001,21.52,22.41,24900,22.41
2016-03-16,21.540001,21.780001,21.40,21.68,12200,21.68
2016-03-15,21.49,22.059999,21.40,21.50,54700,21.50
2016-03-14,21.629999,21.790001,21.440001,21.690001,42300,21.690001
2016-03-11,21.469999,21.68,21.27,21.629999,21400,21.629999
2016-03-10,21.65,21.700001,21.18,21.530001,54500,21.43
2016-03-09,21.530001,21.690001,21.450001,21.610001,35900,21.509629
2016-03-08,21.540001,21.68,21.459999,21.50,41200,21.400139
2016-03-07,21.530001,21.67,21.40,21.610001,50700,21.509629
2016-03-04,21.43,21.82,21.26,21.540001,71100,21.439954
2016-03-03,21.92,21.93,21.49,21.540001,31300,21.439954
2016-03-02,22.23,22.440001,21.60,21.91,26600,21.808235
2016-03-01,21.59,22.450001,21.59,22.09,69000,21.987399
2016-02-29,21.48,22.049999,21.370001,21.52,72700,21.420047
2016-02-26,21.60,21.74,21.440001,21.530001,22200,21.43
2016-02-25,21.43,21.450001,21.129999,21.379999,22500,21.280696
2016-02-24,21.16,21.50,20.83,21.469999,32800,21.370278
2016-02-23,21.50,21.709999,21.030001,21.280001,52100,21.181162
2016-02-22,21.33,21.709999,21.309999,21.51,41900,21.410093
2016-02-19,20.84,21.459999,19.809999,21.280001,46400,21.181162
2016-02-18,21.40,21.559999,20.709999,20.799999,64900,20.70339
2016-02-17,22.16,22.200001,21.379999,21.77,59400,21.668886
2016-02-16,21.940001,22.83,21.940001,22.139999,46500,22.037166
2016-02-12,21.870001,22.50,21.870001,22.32,38300,22.21633
2016-02-11,21.23,22.00,21.23,21.76,24900,21.658932
2016-02-10,21.610001,22.01,21.41,21.67,47300,21.56935
2016-02-09,21.15,21.940001,21.15,21.620001,23800,21.519583
2016-02-08,20.82,21.52,20.74,21.309999,30500,21.211021
2016-02-05,21.530001,21.709999,21.059999,21.18,43900,21.081626
2016-02-04,21.370001,21.950001,21.219999,21.58,18300,21.479767
2016-02-03,21.860001,22.10,20.77,21.40,37500,21.300603
2016-02-02,21.530001,22.040001,21.34,21.74,35200,21.639024
2016-02-01,21.50,22.200001,21.030001,21.860001,89900,21.758468
2016-01-29,20.879999,21.83,20.879999,21.83,58700,21.728606
2016-01-28,20.549999,20.889999,20.549999,20.82,18000,20.723297
2016-01-27,20.370001,20.620001,20.290001,20.42,48300,20.325155
2016-01-26,19.809999,20.440001,19.639999,20.389999,35800,20.295294
2016-01-25,19.73,19.860001,19.35,19.639999,28300,19.548778
2016-01-22,19.389999,19.870001,19.219999,19.73,32700,19.63836
2016-01-21,18.700001,19.309999,18.530001,19.10,34200,19.011287
2016-01-20,17.93,19.00,17.84,18.700001,34600,18.613145
2016-01-19,18.60,18.809999,18.110001,18.389999,25600,18.304584
2016-01-15,18.75,19.10,17.93,18.48,73100,18.394166
2016-01-14,19.34,19.51,19.01,19.219999,40700,19.130728
2016-01-13,19.91,20.15,18.99,19.139999,38600,19.0511
2016-01-12,20.379999,20.43,19.50,19.870001,54600,19.777711
2016-01-11,19.75,20.309999,19.559999,20.08,31300,19.986735
2016-01-08,19.879999,20.16,19.65,19.75,38300,19.658267
2016-01-07,19.629999,19.98,19.59,19.83,32600,19.737896
2016-01-06,19.50,20.09,19.50,19.99,39800,19.897152
2016-01-05,19.68,20.15,19.530001,19.690001,18800,19.598547
2016-01-04,20.34,20.34,19.51,19.68,34000,19.588593
2015-12-31,20.67,20.959999,20.530001,20.59,28100,20.494366
2015-12-30,21.24,21.290001,20.440001,20.690001,46400,20.593902
2015-12-29,21.33,21.60,21.040001,21.32,20400,21.220975
2015-12-28,21.17,21.610001,20.940001,21.110001,27100,21.011951
2015-12-24,21.25,21.43,21.190001,21.26,8500,21.161254
2015-12-23,21.190001,21.299999,20.860001,21.25,11400,21.1513
2015-12-22,20.74,21.15,20.40,21.10,18600,21.001997
2015-12-21,20.719999,20.82,20.26,20.67,19200,20.573994
2015-12-18,20.360001,20.889999,20.01,20.50,110300,20.404784
2015-12-17,21.370001,21.389999,20.49,20.58,37100,20.484412
2015-12-16,21.26,21.559999,20.90,21.27,29700,21.171208
2015-12-15,21.190001,21.60,20.91,21.200001,40000,21.101533
2015-12-14,21.33,21.49,21.030001,21.15,35900,21.051764
2015-12-11,22.059999,22.299999,21.34,21.49,39500,21.390185
2015-12-10,22.690001,22.83,22.15,22.450001,30800,22.345727
2015-12-09,23.00,23.33,22.690001,22.809999,24800,22.704054
2015-12-08,23.540001,23.92,23.33,23.51,16700,23.400804
2015-12-07,23.99,23.99,23.49,23.73,25900,23.520246
2015-12-04,23.16,23.83,23.139999,23.82,16600,23.60945
2015-12-03,23.700001,23.85,23.110001,23.18,28700,22.975108
2015-12-02,23.379999,23.790001,23.25,23.700001,24500,23.490512
2015-12-01,22.940001,23.35,22.780001,23.280001,23100,23.074224
2015-11-30,23.26,23.34,22.90,23.209999,42700,23.004841
2015-11-27,23.26,23.40,23.18,23.290001,9700,23.084136
2015-11-25,23.50,23.50,23.049999,23.26,22000,23.054401
2015-11-24,23.389999,23.58,23.110001,23.559999,15000,23.351748
2015-11-23,23.43,23.51,23.25,23.33,19200,23.123782
2015-11-20,23.42,23.690001,23.120001,23.51,25300,23.302191
2015-11-19,23.450001,23.49,22.629999,23.27,26600,23.064313
2015-11-18,23.74,23.75,23.370001,23.530001,37600,23.322015
2015-11-17,23.950001,23.98,23.65,23.74,24000,23.530157
2015-11-16,23.98,24.030001,23.59,23.879999,22000,23.668919
2015-11-13,23.90,24.200001,23.440001,24.09,17000,23.877064
2015-11-12,24.290001,24.440001,23.93,24.120001,13300,23.9068
2015-11-11,24.799999,25.00,24.33,24.40,24300,24.184323
2015-11-10,24.23,25.030001,24.09,25.030001,24400,24.808756
2015-11-09,24.83,25.00,24.26,24.52,25600,24.303264
2015-11-06,25.040001,25.35,24.709999,25.129999,39700,24.90787
2015-11-05,24.67,25.690001,24.51,25.32,64700,25.096191
2015-11-04,24.440001,24.950001,24.08,24.84,43000,24.620435
2015-11-03,23.41,24.77,23.360001,24.450001,24700,24.233883
2015-11-02,24.200001,24.23,23.66,24.190001,23300,23.976181
2015-10-30,24.50,24.52,23.77,23.85,12800,23.639186
2015-10-29,24.32,24.58,24.219999,24.540001,20000,24.323087
2015-10-28,23.030001,24.50,23.030001,24.50,33900,24.28344
2015-10-27,23.23,23.49,22.83,23.040001,29400,22.836346
2015-10-26,24.450001,24.450001,23.02,23.219999,73600,23.014753
2015-10-23,24.110001,24.610001,23.74,24.50,41400,24.28344
2015-10-22,24.00,24.299999,23.870001,24.00,31300,23.787859
2015-10-21,24.200001,24.200001,23.82,23.889999,19200,23.678831
2015-10-20,24.059999,24.34,23.959999,24.190001,32100,23.976181
2015-10-19,24.309999,24.370001,23.969999,24.120001,17200,23.9068
2015-10-16,24.32,24.50,23.82,24.450001,31800,24.233883
2015-10-15,23.799999,24.23,23.450001,24.23,20900,24.015826
2015-10-14,24.15,24.219999,23.25,23.34,19000,23.133693
2015-10-13,24.24,24.700001,24.10,24.120001,20700,23.9068
2015-10-12,24.219999,24.950001,23.780001,24.51,50100,24.293352
2015-10-09,24.01,24.35,23.98,24.129999,15000,23.91671
2015-10-08,23.790001,24.17,23.790001,24.139999,20300,23.926621
2015-10-07,22.809999,23.889999,22.809999,23.77,28200,23.559893
2015-10-06,23.360001,23.459999,22.65,22.780001,34000,22.578644
2015-10-05,22.66,23.549999,22.57,23.24,35400,23.034577
2015-10-02,22.60,22.610001,21.940001,22.43,34500,22.231737
2015-10-01,22.90,22.959999,22.379999,22.84,34400,22.638113
2015-09-30,23.790001,23.90,22.74,22.809999,140800,22.608378
2015-09-29,24.33,24.33,23.450001,23.540001,56900,23.331926
2015-09-28,23.780001,24.42,23.43,24.17,61700,23.956357
2015-09-25,24.51,24.51,23.92,23.93,32800,23.718478
2015-09-24,24.040001,24.959999,23.85,24.24,52100,24.025738
2015-09-23,23.559999,24.49,23.559999,24.120001,88000,23.9068
2015-09-22,23.809999,23.860001,23.559999,23.60,22600,23.391395
2015-09-21,23.98,24.35,23.25,24.09,27300,23.877064
2015-09-18,24.42,24.469999,23.50,23.889999,96100,23.678831
2015-09-17,24.379999,24.82,24.25,24.60,36700,24.382556
2015-09-16,24.32,24.450001,24.18,24.26,31700,24.045561
2015-09-15,24.15,24.549999,24.15,24.27,28200,24.055473
2015-09-14,24.299999,24.440001,24.07,24.200001,17500,23.986092
2015-09-11,24.10,24.299999,24.01,24.26,28200,24.045561
2015-09-10,24.08,24.209999,23.98,24.129999,30500,23.91671
2015-09-09,24.469999,24.540001,24.10,24.209999,34600,23.996002
2015-09-08,24.23,24.33,24.120001,24.299999,51800,24.085207
2015-09-04,23.610001,24.17,23.610001,24.030001,46200,23.718478
2015-09-03,23.299999,24.040001,23.280001,23.99,76500,23.678996
2015-09-02,23.129999,23.41,22.16,23.40,49200,23.096645
2015-09-01,21.549999,23.41,21.549999,22.58,71100,22.287275
2015-08-31,22.799999,24.10,21.690001,21.90,132800,21.61609
2015-08-28,23.00,23.07,22.83,22.98,31300,22.682089
2015-08-27,22.68,23.35,22.540001,23.059999,50900,22.761052
2015-08-26,22.469999,23.34,22.139999,22.58,41800,22.287275
2015-08-25,23.24,23.24,21.610001,21.950001,56800,21.665443
2015-08-24,22.940001,23.26,22.57,22.60,58200,22.307016
2015-08-21,23.379999,23.969999,23.209999,23.530001,56100,23.22496
2015-08-20,23.66,24.09,23.620001,23.73,39200,23.422366
2015-08-19,23.809999,24.02,23.32,23.879999,32400,23.570421
2015-08-18,23.700001,23.969999,23.700001,23.85,22200,23.540812
2015-08-17,23.75,23.969999,23.309999,23.870001,31000,23.560553
2015-08-14,23.33,23.82,23.25,23.790001,20000,23.48159
2015-08-13,23.26,23.799999,23.129999,23.50,22700,23.195349
2015-08-12,23.09,23.41,22.91,23.34,26500,23.037423
2015-08-11,23.10,23.52,23.10,23.41,19300,23.106515
2015-08-10,23.51,23.82,23.35,23.379999,33000,23.076903
2015-08-07,23.52,23.809999,23.24,23.49,19500,23.185478
2015-08-06,24.25,24.35,23.65,23.68,37200,23.373015
2015-08-05,24.35,24.65,22.629999,24.25,27300,23.935626
2015-08-04,24.00,24.93,23.75,24.17,39600,23.856663
2015-08-03,24.16,24.200001,23.809999,24.01,72500,23.698737
2015-07-31,23.84,24.50,23.83,24.200001,184800,23.886275
2015-07-30,24.75,24.75,22.60,23.83,92900,23.52107
2015-07-29,26.049999,26.969999,26.00,26.780001,41200,26.432828
2015-07-28,26.709999,26.709999,26.02,26.02,29100,25.68268
2015-07-27,26.059999,26.799999,26.059999,26.66,30200,26.314383
2015-07-24,26.200001,26.469999,25.889999,26.370001,50100,26.028143
2015-07-23,26.98,27.18,26.139999,26.299999,43200,25.959049
2015-07-22,27.040001,27.26,26.860001,27.01,25800,26.659846
2015-07-21,26.82,27.18,26.82,27.040001,16700,26.689457
2015-07-20,27.370001,27.370001,26.709999,26.950001,38600,26.600624
2015-07-17,27.190001,27.370001,26.91,27.120001,47100,26.76842
2015-07-16,26.629999,27.25,26.629999,27.139999,54100,26.788159
2015-07-15,26.450001,26.68,26.25,26.629999,44500,26.284771
2015-07-14,25.98,26.50,25.98,26.41,33900,26.067623
2015-07-13,25.93,26.50,25.92,26.16,79700,25.820864
2015-07-10,25.299999,25.74,25.299999,25.68,79000,25.347088
2015-07-09,25.540001,25.540001,24.58,24.950001,45200,24.626552
2015-07-08,25.190001,25.41,24.700001,25.15,45100,24.823958
2015-07-07,25.799999,25.90,25.209999,25.379999,61000,25.050976
2015-07-06,24.969999,25.59,24.969999,25.440001,35800,25.110199
2015-07-02,24.58,25.440001,24.57,25.26,67300,24.932532
2015-07-01,24.059999,24.629999,24.00,24.58,36000,24.261347
2015-06-30,23.610001,24.34,23.27,23.950001,105400,23.639516
2015-06-29,23.559999,23.719999,23.25,23.459999,47400,23.155866
2015-06-26,23.32,23.959999,22.98,23.690001,145300,23.382886
2015-06-25,23.41,23.700001,23.18,23.24,47000,22.938719
2015-06-24,23.530001,23.780001,23.09,23.219999,48600,22.918978
2015-06-23,23.25,23.709999,23.25,23.700001,22000,23.392757
2015-06-22,23.200001,23.43,22.959999,23.389999,23500,23.086774
2015-06-19,22.74,23.370001,22.59,22.99,49500,22.69196
2015-06-18,22.219999,22.719999,22.219999,22.68,39500,22.385979
2015-06-17,22.379999,22.48,22.110001,22.209999,22900,21.922071
2015-06-16,22.00,22.41,21.870001,22.33,26500,22.040516
2015-06-15,22.41,22.49,21.940001,22.15,38800,21.862849
2015-06-12,22.65,23.08,22.530001,22.67,43000,22.376109
2015-06-11,22.43,22.98,22.43,22.85,17900,22.553775
2015-06-10,21.83,22.620001,21.83,22.530001,29400,22.237924
2015-06-09,21.360001,21.73,21.209999,21.59,30600,21.31011
2015-06-08,21.16,21.76,20.99,21.52,30200,21.142314
2015-06-05,21.16,21.379999,20.74,21.129999,49700,20.759158
2015-06-04,21.10,21.50,21.08,21.09,46500,20.719861
2015-06-03,21.59,21.59,21.25,21.35,44600,20.975298
2015-06-02,21.219999,21.48,21.059999,21.34,46200,20.965473
2015-06-01,21.450001,21.549999,20.629999,21.370001,36400,20.994947
2015-05-29,21.23,21.549999,20.719999,21.25,40800,20.877053
2015-05-28,21.059999,21.40,21.030001,21.200001,23600,20.827931
2015-05-27,20.940001,21.370001,20.940001,21.00,41100,20.63144
2015-05-26,21.440001,21.50,20.959999,20.959999,52200,20.592141
2015-05-22,22.27,22.27,21.50,21.530001,16400,21.152139
2015-05-21,22.50,22.60,22.280001,22.280001,12600,21.888976
2015-05-20,22.57,22.719999,22.370001,22.60,17100,22.20336
2015-05-19,22.91,22.91,22.48,22.58,16900,22.18371
2015-05-18,22.43,22.959999,22.23,22.809999,26600,22.409673
2015-05-15,22.82,23.08,22.469999,22.620001,27800,22.223009
2015-05-14,22.66,23.15,22.620001,22.93,19800,22.527568
2015-05-13,23.00,23.00,22.549999,22.60,15400,22.20336
2015-05-12,23.139999,23.450001,22.76,22.940001,23300,22.537393
2015-05-11,23.18,23.43,23.09,23.27,22800,22.861601
2015-05-08,23.360001,23.799999,23.190001,23.280001,22300,22.871426
2015-05-07,23.08,23.540001,22.98,23.01,16500,22.606164
2015-05-06,23.379999,23.379999,22.879999,23.200001,35100,22.79283
2015-05-05,23.469999,23.84,22.950001,23.139999,36100,22.733882
2015-05-04,23.799999,24.200001,23.610001,23.639999,36700,23.225106
2015-05-01,23.610001,24.00,23.379999,23.68,39800,23.264405
2015-04-30,23.59,24.48,23.40,23.620001,69000,23.205459
2015-04-29,23.23,24.00,23.23,23.75,42100,23.333176
2015-04-28,23.889999,24.879999,23.42,23.860001,28500,23.441246
2015-04-27,23.83,24.450001,23.57,23.719999,34600,23.303702
2015-04-24,23.879999,24.00,23.58,23.91,25000,23.490368
2015-04-23,23.639999,24.030001,23.629999,23.91,13900,23.490368
2015-04-22,23.940001,23.959999,23.379999,23.83,13300,23.411772
2015-04-21,24.290001,24.59,23.780001,23.84,12200,23.421597
2015-04-20,24.280001,24.549999,24.190001,24.299999,18700,23.873523
2015-04-17,24.450001,24.549999,23.940001,24.049999,31000,23.62791
2015-04-16,24.780001,24.809999,24.49,24.639999,11300,24.207556
2015-04-15,25.120001,25.120001,24.129999,24.719999,90600,24.286152
2015-04-14,24.700001,25.07,24.49,24.959999,18700,24.521939
2015-04-13,24.629999,25.059999,24.530001,24.879999,21600,24.443344
2015-04-10,25.18,25.18,24.629999,24.74,23700,24.305801
2015-04-09,25.26,25.26,24.68,24.98,24500,24.541589
2015-04-08,25.25,25.51,25.24,25.360001,22300,24.914921
2015-04-07,25.59,25.700001,25.34,25.35,39000,24.905096
2015-04-06,25.26,25.690001,24.879999,25.530001,23200,25.081937
2015-04-02,25.00,25.50,24.92,25.49,30300,25.042638
2015-04-01,24.129999,24.98,24.030001,24.889999,26900,24.453168
2015-03-31,24.01,24.540001,23.870001,24.290001,25000,23.8637
2015-03-30,24.16,24.469999,23.620001,24.290001,54500,23.8637
2015-03-27,24.059999,24.280001,23.90,23.969999,36100,23.549315
2015-03-26,23.98,24.33,23.76,24.139999,38800,23.716331
2015-03-25,24.290001,24.290001,23.860001,23.969999,26200,23.549315
2015-03-24,23.709999,24.209999,23.65,24.190001,22800,23.765455
2015-03-23,23.690001,23.98,23.60,23.75,26800,23.333176
2015-03-20,23.60,24.040001,23.389999,23.84,76000,23.421597
2015-03-19,23.50,23.549999,22.700001,23.42,16000,23.008968
2015-03-18,23.530001,23.83,23.50,23.58,13100,23.16616
2015-03-17,23.60,23.719999,23.219999,23.65,12600,23.234931
2015-03-16,23.73,23.73,23.41,23.540001,13800,23.028618
2015-03-13,23.639999,23.690001,23.030001,23.639999,12500,23.126444
2015-03-12,22.959999,23.709999,22.950001,23.690001,29100,23.175359
2015-03-11,22.360001,22.77,22.280001,22.75,29000,22.255779
2015-03-10,22.190001,22.870001,22.01,22.26,36900,21.776424
2015-03-09,22.50,22.639999,22.17,22.57,22000,22.079689
