Date,Open,High,Low,Close,Volume,Adj Close
2016-04-19,14.77,14.81,14.70,14.75,15400,14.75
2016-04-18,14.90,14.90,14.78,14.78,27600,14.662
2016-04-15,14.72,14.90,14.71,14.89,31400,14.771122
2016-04-14,14.79,14.79,14.70,14.72,10200,14.60248
2016-04-13,14.67,14.74,14.52,14.72,32200,14.60248
2016-04-12,14.44,14.65,14.38,14.54,17500,14.423916
2016-04-11,14.55,14.63,14.31,14.31,21900,14.195753
2016-04-08,14.63,14.63,14.41,14.47,10800,14.354475
2016-04-07,14.61,14.77,14.41,14.56,23700,14.443757
2016-04-06,14.57,14.80,14.57,14.60,32200,14.483438
2016-04-05,14.49,14.74,14.36,14.60,19100,14.483438
2016-04-04,14.70,14.76,14.40,14.54,28300,14.423916
2016-04-01,14.60,14.71,14.54,14.70,16000,14.582639
2016-03-31,14.37,14.68,14.37,14.58,26000,14.463597
2016-03-30,14.59,14.62,14.17,14.35,30500,14.235434
2016-03-29,14.10,14.72,14.10,14.58,20300,14.463597
2016-03-28,14.18,14.19,14.02,14.06,40000,13.947749
2016-03-24,14.19,14.39,14.02,14.11,35400,13.997349
2016-03-23,14.55,14.65,14.23,14.26,25200,14.146152
2016-03-22,14.21,14.50,14.18,14.50,20700,14.384236
2016-03-21,14.03,14.30,14.00,14.29,45000,14.058855
2016-03-18,14.17,14.21,13.85,13.97,121200,13.744031
2016-03-17,14.12,14.14,13.92,14.05,56000,13.822737
2016-03-16,14.04,14.07,13.97,14.02,26000,13.793222
2016-03-15,13.99,14.05,13.78,14.00,36600,13.773545
2016-03-14,13.94,14.05,13.85,14.03,14300,13.80306
2016-03-11,14.08,14.10,13.84,14.00,22300,13.773545
2016-03-10,14.03,14.14,13.90,14.05,18800,13.822737
2016-03-09,13.86,14.09,13.78,14.00,9400,13.773545
2016-03-08,14.01,14.05,13.77,13.79,28700,13.566942
2016-03-07,13.89,14.16,13.89,14.12,40500,13.891604
2016-03-04,14.03,14.15,14.01,14.01,24700,13.783384
2016-03-03,14.06,14.19,14.00,14.09,22700,13.86209
2016-03-02,14.07,14.19,13.93,14.12,8600,13.891604
2016-03-01,14.18,14.28,14.06,14.15,34400,13.921119
2016-02-29,13.72,14.16,13.69,14.10,29700,13.871928
2016-02-26,13.65,13.77,13.59,13.69,15300,13.468559
2016-02-25,13.49,13.81,13.40,13.70,11700,13.478398
2016-02-24,13.25,13.50,13.25,13.37,6600,13.153736
2016-02-23,13.48,13.53,13.31,13.40,12100,13.18325
2016-02-22,13.28,13.49,13.04,13.46,21600,13.24228
2016-02-19,13.32,13.37,13.06,13.24,15500,13.025838
2016-02-18,13.23,13.35,13.23,13.35,16700,13.13406
