Date,Open,High,Low,Close,Volume,Adj Close
2016-04-19,18.190001,18.309999,17.59,17.99,497000,17.99
2016-04-18,17.92,18.15,17.34,18.110001,335600,18.110001
2016-04-15,18.01,18.25,17.950001,18.110001,307000,18.110001
2016-04-14,18.40,18.559999,17.940001,18.08,518600,18.08
2016-04-13,17.74,18.540001,17.74,18.33,1443800,18.33
2016-04-12,17.530001,17.74,17.450001,17.620001,1325300,17.620001
2016-04-11,17.84,18.00,17.469999,17.57,299600,17.57
2016-04-08,18.209999,18.209999,17.59,17.690001,584100,17.690001
2016-04-07,17.59,18.15,17.379999,18.02,1156700,18.02
2016-04-06,17.940001,18.709999,17.870001,18.48,740900,18.48
2016-04-05,17.870001,18.16,17.65,17.870001,1515000,17.870001
2016-04-04,18.27,18.27,17.879999,18.00,493400,18.00
2016-04-01,18.370001,18.51,18.139999,18.24,539800,18.24
2016-03-31,18.57,18.67,18.35,18.540001,636000,18.540001
2016-03-30,18.440001,18.67,18.00,18.59,678100,18.59
2016-03-29,17.879999,18.41,17.809999,18.41,1025800,18.41
2016-03-28,17.450001,18.040001,17.440001,17.860001,433400,17.860001
2016-03-24,17.40,17.90,17.01,17.85,699700,17.85
2016-03-23,17.780001,17.870001,17.52,17.59,401800,17.59
2016-03-22,17.85,18.52,17.51,17.879999,444200,17.879999
2016-03-21,18.35,18.35,17.719999,17.90,545300,17.90
2016-03-18,17.709999,18.57,17.639999,18.35,1002800,18.35
2016-03-17,16.84,17.639999,16.84,17.59,541800,17.59
2016-03-16,16.40,16.84,16.26,16.84,628200,16.84
2016-03-15,16.360001,16.51,16.18,16.41,406500,16.41
2016-03-14,16.75,16.780001,16.280001,16.43,241400,16.43
2016-03-11,16.66,16.85,16.620001,16.790001,279700,16.790001
2016-03-10,16.940001,16.940001,16.34,16.540001,464100,16.540001
2016-03-09,16.43,16.83,16.34,16.809999,359100,16.809999
2016-03-08,16.780001,16.870001,16.24,16.35,386100,16.300001
2016-03-07,16.790001,17.280001,16.709999,16.92,311400,16.868257
2016-03-04,16.530001,16.950001,16.459999,16.799999,399400,16.748624
2016-03-03,16.24,16.51,16.08,16.49,569200,16.439572
2016-03-02,15.98,16.219999,15.76,16.18,529500,16.130521
2016-03-01,16.00,16.10,15.86,16.049999,611600,16.000917
2016-02-29,15.71,16.10,15.44,15.90,999400,15.851376
2016-02-26,15.41,16.950001,15.35,15.65,1523800,15.602141
2016-02-25,15.44,15.81,13.70,15.31,1891400,15.263181
2016-02-24,16.799999,17.50,16.60,17.40,680500,17.346789
2016-02-23,17.18,17.549999,16.83,16.889999,687200,16.838348
2016-02-22,17.040001,17.280001,16.959999,17.24,325500,17.187279
2016-02-19,16.940001,17.33,16.82,16.91,391600,16.858288
2016-02-18,16.799999,17.040001,16.700001,17.02,401400,16.967952
2016-02-17,16.639999,17.52,16.48,16.74,496200,16.688808
2016-02-16,16.34,16.60,16.10,16.530001,577200,16.479451
2016-02-12,15.66,16.10,15.54,16.10,440200,16.050765
2016-02-11,15.57,16.110001,15.30,15.53,319500,15.482508
2016-02-10,15.71,16.129999,15.63,15.89,338000,15.841408
2016-02-09,15.63,16.07,15.48,15.55,659900,15.502447
2016-02-08,15.79,16.040001,15.56,15.84,409300,15.79156
2016-02-05,16.719999,16.74,15.92,15.92,342400,15.871316
2016-02-04,16.440001,16.809999,16.280001,16.77,306700,16.718717
2016-02-03,16.50,16.709999,15.91,16.469999,323600,16.419633
2016-02-02,16.74,16.790001,16.200001,16.35,459300,16.300001
2016-02-01,16.82,17.030001,16.51,16.93,377000,16.878227
2016-01-29,16.50,16.889999,16.450001,16.889999,546600,16.838348
2016-01-28,16.190001,16.690001,15.99,16.469999,284300,16.419633
2016-01-27,16.309999,16.32,15.36,16.059999,575200,16.010887
2016-01-26,15.90,16.379999,15.78,16.309999,568400,16.260122
2016-01-25,15.82,16.049999,15.62,15.86,1144200,15.811499
2016-01-22,15.99,16.629999,15.76,15.95,689200,15.901223
2016-01-21,16.00,16.18,15.66,15.71,461500,15.661958
2016-01-20,15.81,16.25,15.32,16.10,840100,16.050765
2016-01-19,16.52,16.52,15.96,16.10,312100,16.050765
2016-01-15,16.440001,16.559999,15.88,16.35,438100,16.300001
2016-01-14,16.639999,17.15,16.459999,16.90,324800,16.848318
2016-01-13,17.32,17.540001,16.559999,16.59,460100,16.539267
2016-01-12,17.33,17.559999,17.07,17.219999,533400,17.167339
2016-01-11,17.129999,17.26,16.93,17.16,342500,17.107523
2016-01-08,16.709999,17.27,16.690001,17.00,541900,16.948013
2016-01-07,17.549999,17.719999,16.73,16.75,646300,16.698777
2016-01-06,18.26,18.370001,17.700001,17.93,682300,17.875169
2016-01-05,18.58,18.65,18.27,18.50,353500,18.443426
2016-01-04,18.85,18.99,18.459999,18.52,506600,18.463365
2015-12-31,19.549999,19.610001,19.129999,19.139999,462100,19.081468
