Date,Open,High,Low,Close,Volume,Adj Close
2016-04-19,25.809999,25.860001,25.809999,25.860001,1100,25.860001
2016-04-18,25.66,25.66,25.66,25.66,000,25.66
2016-04-15,25.66,25.66,25.66,25.66,200,25.66
2016-04-14,25.58,25.58,25.58,25.58,500,25.58
2016-04-13,25.530001,25.610001,25.52,25.610001,4900,25.610001
2016-04-12,25.379999,25.379999,25.35,25.379999,11300,25.379999
2016-04-11,25.360001,25.360001,25.309999,25.32,900,25.32
2016-04-08,25.424999,25.450001,25.299999,25.33,40900,25.33
2016-04-07,25.27,25.34,25.120001,25.139999,19200,25.139999
2016-04-06,25.35,25.405001,25.35,25.379999,1200,25.379999
2016-04-05,25.450001,25.450001,25.34,25.35,10100,25.35
2016-04-04,25.715,25.715,25.57,25.57,12500,25.57
2016-04-01,25.51,25.629999,25.43,25.549999,4600,25.549999
2016-03-31,25.610001,25.629999,25.549999,25.60,22100,25.60
2016-03-30,25.639999,25.643,25.639999,25.643,1900,25.643
2016-03-29,25.23,25.24,25.23,25.24,1300,25.24
2016-03-28,25.280001,25.280001,25.18,25.27,1600,25.27
2016-03-24,25.125,25.209999,25.07,25.209999,26600,25.209999
2016-03-23,25.24,25.33,25.219999,25.26,4400,25.26
2016-03-22,25.33,25.462999,25.32,25.462999,12500,25.462999
2016-03-21,25.389999,25.389999,25.389,25.389,1400,25.389
2016-03-18,25.40,25.40,25.389999,25.40,1000,25.40
2016-03-17,25.200001,25.370001,25.200001,25.370001,8600,25.308
2016-03-16,24.940001,25.120001,24.940001,25.120001,18000,25.058611
2016-03-15,24.965,25.049999,24.965,25.049999,1400,24.988781
2016-03-14,25.040001,25.139999,25.040001,25.139999,3600,25.078561
2016-03-11,25.129999,25.129999,25.049999,25.129999,16200,25.068585
2016-03-10,24.719999,24.719999,24.719999,24.719999,000,24.659587
2016-03-09,24.719999,24.719999,24.719999,24.719999,200,24.659587
2016-03-08,24.639999,24.719999,24.639999,24.719999,1000,24.659587
2016-03-07,24.77,24.799999,24.77,24.799999,2000,24.739392
2016-03-04,24.844999,24.870001,24.700001,24.775,25800,24.714453
2016-03-03,24.59,24.67,24.549999,24.615999,7800,24.555841
2016-03-02,24.385,24.57,24.385,24.565001,19900,24.504967
2016-03-01,24.174999,24.459999,24.174999,24.459999,4200,24.400223
2016-02-29,24.17,24.17,24.17,24.17,400,24.110932
