Date,Open,High,Low,Close,Volume,Adj Close
2016-04-19,29.719999,29.719999,29.719999,29.719999,000,29.719999
2016-04-18,29.719999,29.719999,29.719999,29.719999,800,29.719999
2016-04-15,29.60,29.66,29.60,29.66,800,29.66
2016-04-14,29.395,29.395,29.395,29.395,400,29.395
2016-04-13,29.58,29.58,29.368999,29.368999,600,29.368999
2016-04-12,29.610001,29.629999,29.610001,29.629999,400,29.629999
2016-04-11,29.709999,29.709999,29.559999,29.559999,1200,29.559999
2016-04-08,29.778999,29.778999,29.778999,29.778999,200,29.778999
2016-04-07,29.67,29.67,29.427999,29.450001,400,29.450001
2016-04-06,29.59,29.59,29.59,29.59,000,29.59
2016-04-05,29.57,29.60,29.57,29.59,700,29.59
2016-04-04,29.99,30.01,29.948,30.01,1600,30.01
2016-04-01,30.120001,30.120001,30.120001,30.120001,200,30.120001
2016-03-31,29.870001,29.98,29.870001,29.98,400,29.98
2016-03-30,29.75,29.908001,29.75,29.844999,3200,29.844999
2016-03-29,29.50,29.68,29.50,29.68,2400,29.68
2016-03-28,29.42,29.50,29.41,29.50,1500,29.50
2016-03-24,29.58,29.60,29.516001,29.60,700,29.60
2016-03-23,29.440001,29.51,29.440001,29.48,1100,29.48
2016-03-22,29.76,29.76,29.50,29.50,1200,29.50
2016-03-21,29.226999,29.559999,29.226999,29.549999,1900,29.549999
2016-03-18,29.700001,29.700001,29.66,29.66,2100,29.66
2016-03-17,29.42,29.809999,29.42,29.809999,1100,29.809999
2016-03-16,30.00,30.00,28.945,29.440001,1900,29.440001
2016-03-15,29.15,29.190001,29.139999,29.190001,3000,29.190001
2016-03-14,28.99,28.99,28.99,28.99,300,28.99
2016-03-11,28.99,28.99,28.99,28.99,000,28.99
2016-03-10,28.99,28.99,28.986,28.99,400,28.99
2016-03-09,29.00,29.040001,28.966,29.040001,2000,29.040001
2016-03-08,28.700001,28.889,28.700001,28.889,900,28.889
2016-03-07,28.472,28.472,28.472,28.472,000,28.472
2016-03-04,28.50,28.57,28.472,28.472,1900,28.472
2016-03-03,28.113001,28.139999,27.959999,28.139999,2200,28.139999
2016-03-02,27.959999,28.120001,27.959999,28.120001,1600,28.120001
2016-03-01,28.15,28.18,27.91,27.950001,3500,27.950001
2016-02-29,28.18,28.379999,28.110001,28.18,2000,28.18
2016-02-26,28.65,28.65,28.65,28.65,800,28.65
2016-02-25,28.860001,28.870001,28.75,28.799999,1700,28.799999
2016-02-24,28.559999,28.559999,28.559999,28.559999,1400,28.559999
2016-02-23,28.514999,28.518999,28.43,28.43,800,28.43
2016-02-22,29.57,29.57,28.190001,28.34,2400,28.34
2016-02-19,28.25,28.26,28.25,28.26,400,28.26
2016-02-18,29.23,29.23,28.200001,28.290001,1800,28.290001
2016-02-17,27.90,27.90,27.90,27.90,300,27.90
2016-02-16,27.77,27.77,27.77,27.77,000,27.77
2016-02-12,29.60,29.60,27.77,27.77,800,27.77
2016-02-11,28.32,28.32,28.32,28.32,000,28.32
