Date,Open,High,Low,Close,Volume,Adj Close
2016-04-19,4.50,4.70,4.43,4.50,7500,4.50
2016-04-18,4.50,4.77,4.374,4.48,94700,4.48
2016-04-15,5.00,5.00,4.50,4.80,119300,4.80
2016-04-14,4.65,4.70,4.50,4.65,13800,4.65
2016-04-13,4.40,4.65,4.31,4.65,64400,4.65
2016-04-12,4.47,4.47,4.29,4.40,55600,4.40
2016-04-11,4.49,4.49,4.42,4.45,11600,4.45
2016-04-08,4.50,4.50,4.35,4.50,16900,4.50
2016-04-07,4.55,4.55,4.49,4.55,15300,4.55
2016-04-06,4.40,4.55,4.265,4.55,80700,4.55
2016-04-05,4.20,4.20,4.20,4.20,200,4.20
2016-04-04,4.40,4.40,4.113,4.25,26800,4.25
2016-04-01,4.29,4.29,4.29,4.29,2600,4.29
2016-03-31,4.40,4.51,3.69,4.30,7200,4.30
2016-03-30,4.14,4.30,4.00,4.10,10200,4.10
2016-03-29,4.05,4.25,4.00,4.15,15100,4.15
2016-03-28,4.30,4.30,3.52,3.83,27500,3.83
2016-03-24,4.20,4.20,4.15,4.17,4100,4.17
2016-03-23,4.20,4.30,4.15,4.15,7300,4.15
2016-03-22,4.39,4.39,4.39,4.39,200,4.39
2016-03-21,4.58,4.59,4.50,4.50,8800,4.50
2016-03-18,4.55,4.55,4.55,4.55,1000,4.55
2016-03-17,4.80,4.80,4.74,4.79,2200,4.79
2016-03-16,4.775,4.775,4.715,4.72,2600,4.72
2016-03-15,4.80,4.80,4.80,4.80,200,4.80
2016-03-14,4.69,4.80,4.69,4.69,2900,4.69
2016-03-11,4.65,4.75,4.65,4.75,1400,4.75
2016-03-10,4.65,4.78,4.65,4.70,4000,4.70
2016-03-09,4.766,4.80,4.65,4.80,2800,4.80
2016-03-08,4.80,4.80,4.55,4.65,1000,4.65
2016-03-07,4.79,4.80,4.75,4.75,5000,4.75
2016-03-04,4.79,4.80,4.71,4.80,2100,4.80
2016-03-03,4.72,4.83,4.25,4.51,34400,4.51
2016-03-02,4.60,4.72,4.41,4.72,13200,4.72
2016-03-01,4.60,4.80,4.12,4.56,9000,4.56
2016-02-29,4.80,4.80,4.70,4.80,16600,4.80
2016-02-26,4.60,4.85,4.60,4.80,7300,4.80
2016-02-25,4.85,4.85,4.14,4.50,8800,4.50
2016-02-24,4.30,4.80,4.30,4.80,4200,4.80
2016-02-23,4.95,4.95,4.10,4.12,12900,4.12
2016-02-22,5.00,5.00,4.50,4.95,18500,4.95
2016-02-19,4.90,8.00,4.60,4.94,283800,4.94
