Date,Open,High,Low,Close,Volume,Adj Close
2016-04-19,34.310001,34.330002,33.900002,34.25,48000,34.25
2016-04-18,33.32,34.16,33.290001,34.080002,173600,34.080002
2016-04-15,33.080002,33.439999,33.080002,33.310001,103700,33.310001
2016-04-14,33.330002,33.43,33.080002,33.27,219000,33.27
2016-04-13,33.279999,33.419998,33.080002,33.369999,129800,33.369999
2016-04-12,32.540001,33.32,32.380001,33.169998,103900,33.169998
2016-04-11,32.66,33.139999,32.389999,32.48,73100,32.48
2016-04-08,32.169998,32.669998,31.889999,32.610001,183100,32.610001
2016-04-07,32.610001,32.73,31.67,31.91,134200,31.91
2016-04-06,32.50,33.00,32.349998,32.889999,130700,32.889999
2016-04-05,32.470001,32.790001,32.290001,32.50,110200,32.50
2016-04-04,33.02,33.310001,32.630001,32.639999,61200,32.639999
2016-04-01,32.27,33.139999,32.27,33.119999,79900,33.119999
2016-03-31,33.009998,33.189999,32.48,32.52,110300,32.52
2016-03-30,33.380001,33.400002,32.849998,33.009998,83300,33.009998
2016-03-29,32.459999,33.32,32.369999,33.279999,78900,33.279999
2016-03-28,32.720001,32.790001,32.34,32.599998,87600,32.599998
2016-03-24,32.419998,32.580002,31.889999,32.50,86900,32.50
2016-03-23,33.240002,33.27,32.450001,32.450001,88100,32.450001
2016-03-22,32.889999,33.709999,32.869999,33.369999,108100,33.369999
2016-03-21,33.48,33.549999,33.049999,33.189999,99300,33.189999
2016-03-18,32.700001,33.619999,31.92,33.52,243700,33.52
2016-03-17,31.75,32.549999,31.290001,32.48,244600,32.48
2016-03-16,31.73,32.360001,31.450001,31.83,199700,31.83
2016-03-15,31.620001,32.25,31.540001,31.889999,119300,31.889999
2016-03-14,32.41,32.41,31.75,31.889999,77100,31.889999
2016-03-11,32.029999,32.419998,31.67,32.380001,86200,32.380001
2016-03-10,31.780001,31.91,31.379999,31.799999,63100,31.799999
2016-03-09,32.110001,32.23,31.559999,31.799999,68200,31.799999
2016-03-08,32.139999,32.470001,31.879999,31.940001,94200,31.940001
2016-03-07,32.119999,32.939999,32.02,32.400002,90900,32.400002
2016-03-04,32.400002,32.580002,31.870001,32.41,133700,32.41
2016-03-03,32.43,32.43,32.00,32.27,121600,32.27
2016-03-02,32.00,32.580002,31.66,32.459999,168800,32.459999
2016-03-01,30.700001,31.969999,30.60,31.93,153600,31.93
2016-02-29,30.709999,30.709999,28.01,30.299999,155800,30.299999
2016-02-26,29.98,30.90,29.40,30.790001,154400,30.790001
2016-02-25,29.23,29.860001,29.23,29.860001,96100,29.860001
2016-02-24,28.59,29.25,28.360001,29.200001,96000,29.200001
2016-02-23,28.73,29.10,28.40,28.879999,122300,28.879999
2016-02-22,28.370001,28.959999,28.370001,28.780001,102900,28.780001
2016-02-19,27.57,28.389999,27.26,28.27,109500,28.27
2016-02-18,27.74,28.07,27.59,27.66,76500,27.66
2016-02-17,28.440001,28.51,27.549999,27.75,117300,27.75
2016-02-16,27.950001,28.299999,27.299999,28.17,70100,28.17
2016-02-12,26.85,27.969999,26.52,27.620001,114300,27.620001
2016-02-11,26.76,27.799999,26.40,26.91,88800,26.91
2016-02-10,27.719999,28.24,27.34,27.40,78900,27.40
2016-02-09,27.620001,28.049999,27.16,27.799999,102100,27.739999
2016-02-08,27.52,28.07,27.280001,27.92,100100,27.859741
2016-02-05,28.530001,30.620001,27.879999,27.879999,173900,27.819826
2016-02-04,28.530001,29.00,28.25,28.60,120200,28.538273
2016-02-03,29.040001,29.040001,27.889999,28.52,102900,28.458446
2016-02-02,29.01,29.440001,28.459999,28.889999,104100,28.827647
2016-02-01,28.780001,30.209999,28.690001,29.49,243800,29.426352
2016-01-29,31.67,31.780001,28.190001,29.059999,213400,28.99728
2016-01-28,28.860001,29.059999,28.540001,28.639999,60400,28.578186
2016-01-27,28.530001,29.15,28.280001,28.60,103900,28.538273
2016-01-26,27.959999,28.65,27.950001,28.57,85300,28.508338
2016-01-25,28.530001,28.74,27.82,27.870001,81600,27.809849
2016-01-22,28.58,28.809999,28.07,28.68,93400,28.618101
2016-01-21,28.90,29.219999,28.290001,28.299999,92500,28.23892
2016-01-20,28.34,29.17,28.07,28.889999,106000,28.827647
