Date,Open,High,Low,Close,Volume,Adj Close
2016-04-19,12.84,13.20,12.76,13.18,84400,13.18
2016-04-18,13.30,13.30,12.43,12.61,8700,12.61
2016-04-15,12.80,13.39,12.45,12.87,29100,12.87
2016-04-14,12.78,13.98,11.99,12.66,15800,12.66
2016-04-13,13.20,13.20,12.44,12.96,55000,12.96
2016-04-12,12.90,13.11,12.45,12.76,56300,12.76
2016-04-11,12.60,13.17,12.60,12.98,14700,12.98
2016-04-08,13.21,13.31,12.97,13.03,14700,13.03
2016-04-07,13.02,13.29,12.89,12.97,31100,12.97
2016-04-06,12.80,13.70,12.61,13.13,55600,13.13
2016-04-05,13.98,13.98,12.27,12.56,30300,12.56
2016-04-04,13.63,14.47,13.37,13.72,18300,13.72
2016-04-01,13.80,14.28,12.86,13.70,34100,13.70
2016-03-31,14.20,14.34,12.94,13.88,32300,13.88
2016-03-30,14.46,14.78,14.12,14.35,6000,14.35
2016-03-29,14.50,15.50,14.25,14.33,14900,14.33
2016-03-28,14.50,15.18,14.03,14.49,7700,14.49
2016-03-24,15.10,15.20,13.90,14.51,73500,14.51
2016-03-23,14.06,14.48,13.99,14.00,9500,14.00
2016-03-22,14.90,15.80,12.90,13.95,44000,13.95
2016-03-21,14.47,15.47,13.41,13.94,30600,13.94
2016-03-18,17.60,19.17,14.46,14.59,56700,14.59
2016-03-17,20.00,20.68,17.440001,18.969999,28700,18.969999
2016-03-16,20.16,21.49,18.75,19.799999,80300,19.799999
2016-03-15,16.809999,19.950001,15.59,19.450001,32300,19.450001
2016-03-14,14.09,17.43,13.92,16.950001,26000,16.950001
2016-03-11,14.69,15.13,13.58,14.27,10400,14.27
2016-03-10,14.50,15.72,14.00,14.70,13700,14.70
2016-03-09,14.36,14.71,13.56,14.15,7700,14.15
2016-03-08,14.30,15.39,13.88,14.11,18200,14.11
2016-03-07,15.15,15.25,14.69,14.74,10100,14.74
2016-03-04,15.50,15.50,15.03,15.12,6700,15.12
2016-03-03,15.42,15.50,15.28,15.30,1500,15.30
2016-03-02,14.00,15.61,13.90,14.82,12800,14.82
2016-03-01,15.06,15.36,13.57,14.10,27500,14.10
2016-02-29,14.81,15.23,14.81,15.05,1400,15.05
2016-02-26,13.01,14.99,13.01,14.80,7200,14.80
2016-02-25,12.96,14.80,12.88,14.70,5600,14.70
2016-02-24,15.22,15.22,13.45,14.18,15100,14.18
2016-02-23,13.01,15.48,12.81,15.48,6800,15.48
2016-02-22,14.59,14.59,13.76,14.29,13900,14.29
2016-02-19,13.11,14.30,13.11,13.59,5300,13.59
2016-02-18,16.57,16.57,11.54,13.29,14600,13.29
2016-02-17,9.73,10.53,9.18,10.12,23800,10.12
2016-02-16,10.00,10.49,9.40,9.60,8500,9.60
2016-02-12,10.00,10.27,8.95,9.96,41300,9.96
2016-02-11,8.96,10.10,8.96,10.08,1200,10.08
2016-02-10,9.80,10.50,9.59,9.72,2800,9.72
2016-02-09,11.20,11.80,11.10,11.11,3800,11.11
2016-02-08,12.31,12.31,11.04,11.04,3900,11.04
2016-02-05,12.90,12.90,12.59,12.59,2000,12.59
2016-02-04,12.85,13.15,12.24,12.75,8700,12.75
2016-02-03,13.10,13.10,12.04,12.59,6900,12.59
2016-02-02,13.15,13.25,12.75,12.75,13100,12.75
2016-02-01,13.37,13.46,12.75,12.96,17700,12.96
2016-01-29,14.35,14.97,13.53,13.53,4400,13.53
2016-01-28,14.40,14.40,13.37,13.77,2300,13.77
2016-01-27,13.00,13.22,12.01,13.22,13400,13.22
2016-01-26,13.40,14.30,13.00,13.47,8500,13.47
2016-01-25,15.20,15.40,14.27,14.27,13200,14.27
2016-01-22,15.48,16.40,15.06,15.21,9600,15.21
2016-01-21,15.46,16.68,15.00,15.20,27200,15.20
2016-01-20,15.17,16.33,14.59,15.92,37400,15.92
2016-01-19,14.21,15.77,14.03,15.31,9800,15.31
2016-01-15,12.98,14.35,12.67,13.98,38000,13.98
2016-01-14,14.48,14.48,12.90,13.10,30000,13.10
2016-01-13,13.10,14.31,13.04,13.25,27100,13.25
2016-01-12,13.56,13.90,12.31,13.23,30200,13.23
2016-01-11,13.57,14.84,13.19,13.36,24800,13.36
2016-01-08,14.05,14.91,12.88,13.20,50900,13.20
2016-01-07,14.21,14.51,14.06,14.06,14900,14.06
