Date,Open,High,Low,Close,Volume,Adj Close
2016-04-19,19.41,19.75,19.07,19.35,77800,19.35
2016-04-18,18.52,19.40,18.379999,19.23,62400,19.23
2016-04-15,18.129999,18.85,17.91,18.709999,82000,18.709999
2016-04-14,17.559999,18.35,17.360001,18.26,65700,18.26
2016-04-13,17.34,17.879999,17.23,17.559999,86800,17.559999
2016-04-12,17.18,17.92,16.969999,17.16,74500,17.16
2016-04-11,17.040001,17.76,16.940001,17.139999,81900,17.139999
2016-04-08,15.97,16.959999,15.97,16.93,97300,16.93
2016-04-07,15.80,16.299999,15.53,15.70,97700,15.70
2016-04-06,16.190001,16.389999,15.41,16.02,92900,16.02
2016-04-05,16.549999,16.58,16.040001,16.24,94900,16.24
2016-04-04,17.68,17.68,16.58,16.73,75700,16.73
2016-04-01,17.17,17.60,17.10,17.52,77900,17.52
2016-03-31,16.940001,17.50,16.799999,17.309999,137400,17.309999
2016-03-30,17.00,17.50,16.709999,16.959999,84400,16.959999
2016-03-29,16.24,17.049999,15.91,16.98,104600,16.98
2016-03-28,16.68,16.76,15.86,16.370001,36500,16.370001
2016-03-24,15.54,16.73,15.50,16.68,61800,16.68
2016-03-23,16.18,16.559999,15.77,15.78,52400,15.78
2016-03-22,16.040001,16.530001,15.97,16.309999,44900,16.309999
2016-03-21,16.540001,16.91,15.92,16.25,96000,16.25
2016-03-18,16.190001,16.90,16.190001,16.879999,128200,16.879999
2016-03-17,15.26,16.27,14.79,16.049999,99400,16.049999
2016-03-16,14.81,15.43,14.70,15.19,55700,15.19
2016-03-15,15.19,15.19,14.67,14.84,49800,14.84
2016-03-14,14.86,16.00,14.41,15.43,58700,15.43
2016-03-11,14.89,14.98,14.53,14.81,42600,14.81
2016-03-10,14.26,14.90,13.61,14.68,72200,14.68
2016-03-09,14.91,14.97,13.50,14.24,58100,14.24
2016-03-08,15.27,15.40,14.51,14.88,132500,14.88
2016-03-07,13.64,15.51,13.64,15.36,193300,15.36
2016-03-04,13.39,14.37,13.35,13.57,115000,13.57
2016-03-03,12.47,13.75,12.47,13.25,66800,13.25
2016-03-02,11.39,12.95,11.39,12.51,59600,12.51
2016-03-01,10.84,11.39,10.65,11.37,63900,11.37
2016-02-29,10.91,10.97,10.62,10.72,81300,10.72
2016-02-26,10.48,10.97,10.42,10.83,50200,10.83
2016-02-25,9.79,10.48,9.51,10.32,86400,10.30
2016-02-24,10.74,11.05,10.14,10.70,83500,10.679263
2016-02-23,10.87,11.48,10.48,10.74,177600,10.719186
2016-02-22,11.25,11.84,10.87,10.88,76300,10.858915
2016-02-19,10.83,11.30,10.76,11.07,44400,11.048546
2016-02-18,11.17,11.46,10.64,10.92,39200,10.898837
2016-02-17,11.15,11.64,11.13,11.14,36800,11.118411
2016-02-16,10.83,11.14,10.63,11.01,26200,10.988663
2016-02-12,10.23,11.22,10.23,10.79,52100,10.769089
2016-02-11,9.42,10.37,9.42,10.04,38900,10.020543
2016-02-10,9.89,10.21,9.57,9.59,28400,9.571415
2016-02-09,10.00,10.18,9.51,9.85,26800,9.830911
2016-02-08,10.36,10.39,9.80,10.14,29100,10.120349
2016-02-05,10.72,10.92,10.21,10.43,48900,10.409787
2016-02-04,9.69,11.10,9.69,10.70,43800,10.679263
2016-02-03,9.22,9.84,9.13,9.63,89600,9.611337
2016-02-02,9.06,9.29,8.43,9.07,44900,9.052422
2016-02-01,9.19,9.37,8.72,9.24,39800,9.222093
2016-01-29,8.40,9.46,8.40,9.34,75500,9.321899
2016-01-28,8.42,8.48,8.23,8.44,44100,8.423643
2016-01-27,8.52,8.70,8.19,8.28,51000,8.263953
2016-01-26,8.41,8.59,8.07,8.56,118200,8.543411
2016-01-25,8.58,8.67,8.26,8.29,52300,8.273934
2016-01-22,8.63,8.75,8.42,8.53,46700,8.513469
2016-01-21,8.77,8.95,8.35,8.39,80200,8.373741
2016-01-20,8.49,8.82,7.98,8.73,87700,8.713081
2016-01-19,9.28,9.28,8.40,8.67,90300,8.653198
2016-01-15,9.01,9.27,8.86,9.27,123100,9.252035
2016-01-14,9.41,9.59,9.07,9.21,61300,9.192151
2016-01-13,9.76,10.04,9.34,9.44,74500,9.421705
2016-01-12,9.84,9.90,9.09,9.61,116600,9.591376
2016-01-11,10.65,10.65,9.59,9.68,93300,9.661241
2016-01-08,11.00,11.24,10.56,10.63,55100,10.609399
2016-01-07,11.38,11.60,10.87,10.99,60500,10.968701
2016-01-06,11.35,11.97,11.35,11.66,56600,11.637403
2016-01-05,11.63,11.73,11.42,11.66,44400,11.637403
2016-01-04,11.21,11.83,10.72,11.73,74600,11.707267
2015-12-31,11.45,11.89,11.30,11.58,72300,11.557558
2015-12-30,11.24,11.56,11.14,11.41,36000,11.387887
2015-12-29,10.82,11.32,10.72,11.27,42000,11.248159
2015-12-28,11.10,11.22,10.62,10.72,49800,10.699225
2015-12-24,11.44,11.84,11.25,11.25,34500,11.228198
2015-12-23,11.33,11.77,11.16,11.44,106300,11.417829
2015-12-22,10.48,11.26,10.38,11.25,53600,11.228198
2015-12-21,9.51,10.44,9.38,10.43,112500,10.409787
2015-12-18,9.64,9.89,9.39,9.55,270900,9.531492
2015-12-17,9.48,9.69,9.26,9.65,75100,9.631298
2015-12-16,9.04,9.58,8.98,9.55,165300,9.531492
2015-12-15,10.17,10.32,9.08,9.24,81700,9.222093
2015-12-14,10.09,10.50,9.99,10.07,77500,10.050484
2015-12-11,10.26,10.40,10.01,10.14,64800,10.120349
2015-12-10,10.27,10.67,10.17,10.50,111200,10.479651
2015-12-09,10.12,10.74,10.04,10.28,66900,10.260077
2015-12-08,10.58,10.58,9.99,10.12,63300,10.100387
2015-12-07,11.34,11.41,10.61,10.70,49700,10.679263
2015-12-04,11.20,11.49,11.04,11.47,44600,11.447772
2015-12-03,11.40,11.50,10.92,11.22,59400,11.198256
2015-12-02,11.29,11.49,11.01,11.32,46100,11.298062
2015-12-01,11.23,11.58,11.12,11.33,81700,11.308043
2015-11-30,11.08,11.48,11.00,11.26,50400,11.238179
2015-11-27,11.18,11.20,10.93,11.04,24500,11.018605
2015-11-25,11.19,11.35,11.00,11.23,22500,11.188275
2015-11-24,10.72,11.19,10.47,11.18,31100,11.138462
2015-11-23,10.78,11.12,10.63,10.71,59600,10.670208
2015-11-20,11.07,11.08,10.69,10.74,64100,10.700096
2015-11-19,11.33,11.68,10.99,11.01,76900,10.969093
2015-11-18,11.06,11.51,10.97,11.42,65200,11.37757
2015-11-17,10.92,11.30,10.52,10.94,100800,10.899352
2015-11-16,10.75,10.95,10.42,10.91,51900,10.869464
2015-11-13,10.58,11.05,10.51,10.80,49500,10.759873
2015-11-12,10.84,10.86,10.51,10.62,65400,10.580542
2015-11-11,11.44,12.00,10.86,11.00,46400,10.95913
2015-11-10,10.97,11.59,10.79,11.40,103000,11.357643
2015-11-09,10.50,11.10,10.41,10.97,88000,10.929242
2015-11-06,9.59,10.55,9.57,10.50,120300,10.460988
2015-11-05,10.47,10.47,9.50,9.67,122300,9.634072
2015-11-04,10.74,10.74,10.21,10.47,81200,10.431099
2015-11-03,9.81,10.68,9.81,10.62,128100,10.580542
2015-11-02,9.57,9.94,9.57,9.81,41000,9.773552
2015-10-30,9.82,9.82,9.37,9.57,42100,9.534443
2015-10-29,9.91,10.20,9.39,9.75,29100,9.713774
2015-10-28,9.45,10.02,9.29,9.99,138500,9.952882
2015-10-27,9.91,9.91,9.28,9.46,111400,9.424852
2015-10-26,10.48,10.54,9.94,9.95,63200,9.913031
2015-10-23,10.11,10.65,10.11,10.51,69900,10.470951
2015-10-22,10.07,10.62,9.85,10.03,120100,9.992734
2015-10-21,9.57,10.08,9.45,10.01,118500,9.972809
2015-10-20,9.83,9.90,9.44,9.50,48700,9.464703
2015-10-19,10.65,10.65,9.75,9.83,123000,9.793477
2015-10-16,11.63,11.63,10.58,10.65,75100,10.61043
2015-10-15,11.10,11.74,10.91,11.65,46200,11.606715
2015-10-14,11.36,11.48,10.97,11.10,83100,11.058759
2015-10-13,11.15,11.48,10.87,11.39,75100,11.347681
2015-10-12,12.07,12.07,11.14,11.23,58700,11.188275
2015-10-09,12.09,12.40,11.99,12.04,117200,11.995266
2015-10-08,12.39,12.41,11.88,12.19,65300,12.144708
2015-10-07,12.31,12.60,11.91,12.43,187200,12.383817
2015-10-06,11.61,12.42,11.35,12.23,112800,12.18456
2015-10-05,10.51,12.12,10.51,11.55,144100,11.507087
2015-10-02,9.90,10.38,9.79,10.32,72700,10.281656
2015-10-01,10.06,10.47,9.70,9.95,123900,9.913031
2015-09-30,9.90,10.09,9.70,9.95,92500,9.913031
2015-09-29,9.92,10.07,9.62,9.80,105800,9.763589
2015-09-28,9.99,9.99,9.72,9.83,108400,9.793477
2015-09-25,9.99,10.18,9.39,9.98,187300,9.942919
2015-09-24,9.46,10.02,9.27,9.87,157400,9.833328
2015-09-23,10.14,10.14,9.27,9.51,196200,9.474666
2015-09-22,10.26,10.29,9.76,10.15,182000,10.112288
2015-09-21,11.06,11.10,10.04,10.28,139800,10.241805
2015-09-18,12.23,12.36,11.01,11.31,112700,11.267979
2015-09-17,12.18,12.93,12.00,12.40,90600,12.353928
2015-09-16,11.82,12.19,11.75,12.15,35300,12.104857
2015-09-15,11.62,11.80,11.09,11.74,48400,11.69638
2015-09-14,11.57,11.76,11.40,11.54,148800,11.497124
2015-09-11,11.69,12.01,11.39,11.54,79500,11.497124
2015-09-10,12.12,12.13,11.58,11.70,89300,11.656529
2015-09-09,12.67,12.68,11.92,12.16,87200,12.11482
2015-09-08,12.81,12.85,12.27,12.44,75100,12.393779
2015-09-04,12.76,12.76,12.15,12.48,54800,12.433631
2015-09-03,12.87,13.30,12.63,12.85,50300,12.802257
2015-09-02,12.50,12.97,12.35,12.81,91900,12.762405
2015-09-01,12.75,12.95,12.34,12.50,101500,12.453557
2015-08-31,12.79,13.15,12.51,12.95,58100,12.901885
2015-08-28,12.46,13.18,12.46,12.80,69800,12.752442
2015-08-27,12.62,12.87,12.39,12.54,84800,12.473482
2015-08-26,12.50,13.19,12.20,12.50,93900,12.433694
2015-08-25,13.12,13.12,12.12,12.23,106000,12.165126
2015-08-24,11.59,13.05,11.17,12.56,175200,12.493376
2015-08-21,11.74,11.95,11.44,11.81,63300,11.747355
2015-08-20,12.30,12.30,11.78,11.94,90700,11.876664
2015-08-19,12.71,12.71,12.06,12.32,54600,12.254649
2015-08-18,12.91,12.99,12.73,12.76,51500,12.692315
2015-08-17,12.93,13.06,12.56,12.98,49400,12.911148
2015-08-14,12.05,13.03,12.05,12.91,66600,12.841519
2015-08-13,12.89,12.97,11.89,12.13,67000,12.065657
2015-08-12,12.83,13.20,12.43,12.98,87400,12.911148
2015-08-11,12.73,13.04,12.15,12.94,73100,12.87136
2015-08-10,12.65,13.12,12.29,12.98,140300,12.911148
2015-08-07,12.05,13.10,12.05,12.66,208500,12.592845
2015-08-06,6.43,12.50,6.40,12.25,366500,12.18502
2015-08-05,12.10,12.57,11.88,12.05,109800,11.986081
2015-08-04,11.96,12.22,11.85,12.09,150100,12.025869
2015-08-03,12.08,12.20,11.86,12.04,74100,11.976134
2015-07-31,12.17,12.34,11.83,12.12,83700,12.05571
2015-07-30,12.75,12.91,11.92,12.09,91500,12.025869
2015-07-29,12.45,12.99,12.43,12.86,64900,12.791784
2015-07-28,11.99,12.81,11.81,12.55,120000,12.483429
2015-07-27,12.00,12.29,11.79,11.90,88600,11.836877
2015-07-24,12.27,12.45,12.00,12.11,102700,12.045763
2015-07-23,12.64,12.90,12.01,12.34,116000,12.274543
2015-07-22,13.98,13.98,12.62,12.68,169400,12.61274
2015-07-21,13.64,14.31,13.53,14.01,71800,13.935685
2015-07-20,14.36,14.36,13.57,13.65,132100,13.577594
2015-07-17,14.43,14.51,14.10,14.43,59600,14.353457
2015-07-16,14.68,14.94,14.43,14.47,51200,14.393245
2015-07-15,15.24,15.86,14.40,14.53,59900,14.452926
2015-07-14,15.09,15.42,14.64,15.29,90600,15.208895
2015-07-13,14.61,15.25,14.54,15.16,72900,15.079584
2015-07-10,14.92,15.10,14.46,14.58,49900,14.502661
2015-07-09,14.81,15.04,14.57,14.82,73300,14.741388
2015-07-08,15.09,15.20,14.26,14.62,112300,14.542449
2015-07-07,16.610001,16.610001,15.06,15.33,182200,15.248683
2015-07-06,16.49,16.83,16.040001,16.67,74800,16.581575
2015-07-02,17.290001,17.42,16.40,16.75,107400,16.66115
2015-07-01,17.549999,17.92,17.27,17.280001,73900,17.18834
2015-06-30,18.58,18.58,17.34,17.440001,95700,17.347491
2015-06-29,18.530001,18.719999,18.280001,18.459999,68100,18.362079
2015-06-26,18.959999,19.09,18.52,18.75,138800,18.650541
2015-06-25,19.02,19.379999,18.66,18.860001,63600,18.759959
2015-06-24,18.93,19.309999,18.58,19.02,80100,18.91911
2015-06-23,18.360001,19.09,18.01,19.040001,58200,18.939004
2015-06-22,18.219999,18.48,18.02,18.40,77200,18.302398
2015-06-19,18.459999,18.77,18.059999,18.16,132300,18.063671
2015-06-18,18.26,18.68,18.01,18.40,84000,18.302398
2015-06-17,18.860001,18.860001,18.07,18.17,51200,18.073618
2015-06-16,18.76,19.219999,18.459999,18.860001,116300,18.759959
2015-06-15,18.940001,19.450001,18.82,18.870001,149600,18.769906
2015-06-12,19.049999,19.25,18.780001,19.07,61800,18.968844
2015-06-11,18.780001,19.280001,18.629999,19.18,65200,19.078261
2015-06-10,18.99,19.59,18.690001,18.780001,93100,18.680383
2015-06-09,19.040001,19.360001,18.00,18.959999,68100,18.859427
2015-06-08,19.60,19.98,18.200001,18.99,184500,18.889268
2015-06-05,19.709999,19.99,19.16,19.93,119700,19.824283
2015-06-04,19.49,19.85,19.280001,19.76,95100,19.655184
2015-06-03,18.90,19.799999,18.889999,19.67,177500,19.565661
2015-06-02,17.48,18.959999,17.48,18.91,206900,18.809693
2015-06-01,17.50,18.059999,17.370001,17.610001,142000,17.516589
2015-05-29,18.91,19.040001,17.440001,17.540001,236700,17.446961
2015-05-28,19.629999,19.629999,18.870001,18.90,112800,18.799745
2015-05-27,19.870001,19.870001,19.10,19.629999,173100,19.505979
2015-05-26,20.00,20.08,19.610001,19.889999,159300,19.764336
2015-05-22,20.00,20.129999,19.58,19.93,99400,19.804084
2015-05-21,20.040001,20.25,19.799999,20.00,99600,19.873642
2015-05-20,20.049999,20.360001,19.799999,19.98,100200,19.853768
2015-05-19,20.549999,20.76,19.549999,20.01,138700,19.883579
2015-05-18,19.309999,20.93,19.309999,20.389999,483800,20.261177
