Date,Open,High,Low,Close,Volume,Adj Close
2016-04-19,38.889999,38.900002,38.490002,38.549999,104600,38.549999
2016-04-18,38.689999,39.029999,38.509998,38.759998,145400,38.759998
2016-04-15,38.349998,38.799999,38.349998,38.549999,166000,38.549999
2016-04-14,38.52,38.52,38.07,38.380001,137800,38.380001
2016-04-13,38.68,38.68,38.060001,38.299999,185800,38.299999
2016-04-12,38.599998,38.740002,38.400002,38.549999,214900,38.549999
2016-04-11,38.73,39.07,38.470001,38.529999,144700,38.529999
2016-04-08,38.549999,38.799999,38.380001,38.650002,121400,38.650002
2016-04-07,38.439999,38.720001,38.139999,38.389999,149900,38.389999
2016-04-06,38.880001,38.939999,38.509998,38.700001,135200,38.700001
2016-04-05,39.509998,39.720001,38.860001,38.93,140600,38.93
2016-04-04,39.540001,39.77,39.369999,39.740002,151500,39.740002
2016-04-01,39.630001,39.799999,39.34,39.560001,201600,39.560001
2016-03-31,39.470001,39.950001,39.18,39.919998,181100,39.919998
2016-03-30,39.419998,39.630001,39.150002,39.57,107800,39.57
2016-03-29,38.369999,39.419998,38.279999,39.400002,132300,39.400002
2016-03-28,38.34,38.599998,38.200001,38.459999,74200,38.459999
2016-03-24,37.650002,38.330002,37.540001,38.259998,129600,38.259998
2016-03-23,37.900002,38.150002,37.689999,37.77,96500,37.77
2016-03-22,37.630001,38.139999,37.259998,38.07,97300,38.07
2016-03-21,38.09,38.099998,37.509998,37.709999,168100,37.709999
2016-03-18,38.869999,38.990002,38.299999,38.330002,264600,38.330002
2016-03-17,38.189999,38.849998,37.959999,38.720001,179500,38.720001
2016-03-16,37.630001,38.400002,37.200001,38.189999,73500,38.189999
2016-03-15,38.00,38.02,37.299999,37.82,128500,37.82
2016-03-14,38.189999,38.23,37.939999,38.02,89400,38.02
2016-03-11,37.860001,38.290001,37.860001,38.279999,135700,38.279999
2016-03-10,37.93,38.290001,37.299999,37.57,142900,37.57
2016-03-09,37.75,38.099998,37.560001,37.759998,83100,37.759998
2016-03-08,38.009998,38.330002,37.799999,37.849998,128200,37.599998
2016-03-07,37.84,38.119999,37.759998,38.09,151600,37.838415
2016-03-04,38.060001,38.130001,37.630001,37.939999,204900,37.689404
2016-03-03,37.860001,37.919998,37.490002,37.799999,179300,37.550329
2016-03-02,37.43,37.990002,37.32,37.830002,115300,37.580134
2016-03-01,37.32,37.59,37.27,37.580002,175700,37.331785
2016-02-29,37.209999,37.650002,37.029999,37.09,209800,36.84502
2016-02-26,37.779999,37.990002,37.169998,37.18,211400,36.934425
2016-02-25,37.02,38.09,36.98,37.759998,372500,37.510592
2016-02-24,36.02,37.02,36.02,36.889999,157000,36.64634
2016-02-23,36.369999,36.759998,36.23,36.400002,113400,36.159578
2016-02-22,36.27,36.689999,36.049999,36.41,144900,36.169511
2016-02-19,36.25,37.16,36.009998,36.02,127800,35.782087
2016-02-18,35.990002,36.50,35.490002,36.299999,224100,36.060237
2016-02-17,35.950001,36.27,35.66,36.009998,299000,35.772151
2016-02-16,35.240002,35.290001,34.790001,35.25,261400,35.017173
2016-02-12,34.84,35.099998,34.610001,34.939999,137000,34.709219
2016-02-11,34.34,35.080002,34.07,34.700001,110000,34.470806
2016-02-10,34.77,35.619999,34.77,34.830002,236400,34.599949
2016-02-09,35.349998,35.970001,34.509998,34.610001,305100,34.381401
2016-02-08,36.470001,36.470001,35.169998,35.68,198100,35.444333
2016-02-05,37.00,37.029999,36.540001,36.73,235900,36.487397
2016-02-04,36.919998,37.59,36.919998,37.279999,179500,37.033763
2016-02-03,37.290001,37.400002,36.709999,37.099998,264800,36.854952
2016-02-02,37.169998,37.66,36.75,37.09,215800,36.84502
2016-02-01,37.27,37.650002,36.990002,37.290001,180500,37.043699
2016-01-29,37.099998,37.41,36.919998,37.389999,499800,37.143037
2016-01-28,37.07,37.139999,36.52,36.849998,223600,36.606603
2016-01-27,37.580002,37.599998,36.709999,37.049999,196500,36.805283
2016-01-26,37.099998,37.799999,37.029999,37.669998,266700,37.421187
2016-01-25,37.169998,37.669998,36.560001,36.970001,126400,36.725813
2016-01-22,36.66,37.27,36.400002,37.209999,133100,36.964226
2016-01-21,36.23,36.689999,35.900002,36.400002,171100,36.159578
2016-01-20,36.830002,36.830002,34.869999,36.02,352900,35.782087
2016-01-19,36.93,37.290001,36.740002,37.09,177700,36.84502
2016-01-15,36.290001,36.700001,35.91,36.66,227500,36.417859
2016-01-14,37.349998,37.59,36.759998,37.080002,206700,36.835087
2016-01-13,37.529999,38.07,37.009998,37.279999,226500,37.033763
2016-01-12,37.990002,37.990002,37.169998,37.529999,196500,37.282112
2016-01-11,37.700001,38.049999,37.549999,37.810001,142900,37.560265
2016-01-08,38.09,38.16,37.389999,37.560001,248800,37.311916
2016-01-07,38.23,38.470001,37.779999,37.900002,249900,37.649671
2016-01-06,38.450001,38.830002,38.299999,38.73,212400,38.474187
2016-01-05,37.720001,38.959999,37.66,38.77,231700,38.513923
2016-01-04,38.310001,38.740002,37.369999,37.599998,216700,37.351649
2015-12-31,39.23,39.23,38.200001,38.349998,320600,38.096696
2015-12-30,39.380001,39.470001,39.00,39.09,155500,38.83181
2015-12-29,39.02,39.389999,39.00,39.369999,89800,39.109959
2015-12-28,38.790001,38.939999,38.639999,38.93,68000,38.672867
2015-12-24,38.599998,39.009998,38.470001,38.849998,52700,38.593393
2015-12-23,38.59,38.619999,38.25,38.59,266400,38.335112
2015-12-22,38.50,38.709999,38.279999,38.43,385900,38.176169
2015-12-21,38.459999,38.720001,38.16,38.41,158400,38.156301
2015-12-18,39.110001,39.790001,38.189999,38.259998,663900,38.00729
2015-12-17,39.700001,39.82,39.130001,39.240002,193500,38.98082
2015-12-16,39.130001,39.779999,38.959999,39.68,156200,39.417913
2015-12-15,38.50,39.209999,38.299999,38.98,170900,38.722536
2015-12-14,38.220001,38.470001,37.849998,38.139999,230100,37.888084
2015-12-11,38.049999,38.509998,37.77,38.279999,203800,38.027158
2015-12-10,38.759998,39.07,38.419998,38.48,101800,38.225838
2015-12-09,39.119999,39.189999,38.419998,38.779999,118200,38.523856
2015-12-08,38.91,39.150002,38.669998,38.939999,78700,38.682799
2015-12-07,38.810001,39.09,38.77,39.00,120600,38.742404
2015-12-04,38.50,39.459999,38.50,39.130001,169400,38.623197
2015-12-03,38.919998,39.07,38.049999,38.310001,311400,37.813818
2015-12-02,40.009998,40.110001,38.869999,38.950001,239000,38.445528
2015-12-01,39.900002,40.150002,39.790001,40.110001,147800,39.590504
2015-11-30,40.380001,40.380001,39.700001,39.810001,158500,39.294391
2015-11-27,39.990002,40.290001,39.810001,40.240002,138500,39.718822
2015-11-25,39.93,40.09,39.77,40.009998,76300,39.491797
2015-11-24,39.91,40.040001,39.439999,39.959999,105300,39.442446
2015-11-23,40.150002,40.360001,39.970001,40.139999,58000,39.620114
2015-11-20,40.119999,40.540001,39.779999,40.25,133300,39.72869
2015-11-19,39.98,40.169998,39.669998,39.849998,113900,39.33387
2015-11-18,39.360001,40.009998,39.110001,40.00,131500,39.481928
2015-11-17,39.25,39.939999,39.25,39.299999,156300,38.790994
2015-11-16,39.450001,39.580002,39.00,39.32,186400,38.810735
2015-11-13,39.68,39.84,39.029999,39.099998,273400,38.593583
2015-11-12,39.779999,39.889999,39.50,39.709999,127600,39.195683
2015-11-11,39.540001,40.009998,39.400002,39.880001,111300,39.363484
2015-11-10,39.150002,39.84,39.150002,39.529999,133900,39.018014
2015-11-09,39.610001,39.830002,38.939999,39.169998,173200,38.662677
2015-11-06,40.830002,41.490002,39.84,39.900002,420800,39.383225
2015-11-05,40.869999,41.360001,40.849998,41.310001,197900,40.774963
2015-11-04,42.130001,42.169998,40.790001,40.950001,439300,40.419625
2015-11-03,42.52,42.639999,42.099998,42.18,179400,41.633694
2015-11-02,42.169998,42.84,42.169998,42.689999,282100,42.137087
2015-10-30,42.470001,42.639999,42.040001,42.16,169100,41.613952
2015-10-29,42.73,43.279999,42.080002,42.560001,142300,42.008773
2015-10-28,43.119999,43.549999,42.119999,42.849998,277800,42.295014
2015-10-27,43.23,43.540001,43.00,43.099998,225000,42.541776
2015-10-26,43.50,43.639999,43.110001,43.34,79500,42.77867
2015-10-23,43.400002,43.700001,43.07,43.50,208200,42.936597
2015-10-22,43.16,43.549999,43.099998,43.240002,295400,42.679966
2015-10-21,43.41,43.68,42.59,43.060001,139300,42.502297
2015-10-20,43.450001,43.790001,43.349998,43.380001,109500,42.818152
2015-10-19,43.07,43.720001,43.07,43.529999,153200,42.966207
2015-10-16,43.029999,43.41,42.790001,43.169998,136600,42.610869
2015-10-15,42.220001,42.830002,41.990002,42.82,138300,42.265404
2015-10-14,42.360001,42.779999,41.939999,41.970001,326300,41.426415
2015-10-13,42.220001,42.50,42.080002,42.349998,186700,41.80149
2015-10-12,42.130001,42.610001,42.040001,42.349998,186900,41.80149
2015-10-09,42.220001,42.32,41.91,42.09,117800,41.544859
2015-10-08,41.860001,42.400002,41.689999,42.16,201500,41.613952
2015-10-07,41.459999,41.959999,41.369999,41.959999,339900,41.416542
2015-10-06,41.610001,41.900002,41.290001,41.349998,344700,40.814442
2015-10-05,41.599998,41.950001,41.32,41.599998,199000,41.061204
2015-10-02,41.18,41.439999,40.619999,41.439999,172200,40.903276
2015-10-01,41.009998,41.360001,40.790001,41.349998,309800,40.814442
2015-09-30,41.02,41.310001,40.52,40.860001,486200,40.33079
2015-09-29,40.709999,40.950001,40.380001,40.84,245900,40.311049
2015-09-28,40.459999,40.669998,39.93,40.599998,305900,40.074156
2015-09-25,40.080002,40.779999,39.900002,40.599998,199300,40.074156
2015-09-24,39.610001,39.990002,39.330002,39.919998,329200,39.402963
2015-09-23,39.669998,40.00,39.540001,39.830002,296300,39.314132
2015-09-22,39.939999,40.209999,39.470001,39.639999,284500,39.12659
2015-09-21,39.700001,40.389999,39.610001,40.200001,137900,39.679339
2015-09-18,39.650002,40.50,39.52,39.580002,419300,39.06737
2015-09-17,39.16,40.459999,39.09,40.029999,242300,39.511539
2015-09-16,39.049999,39.369999,39.00,39.25,165500,38.741642
2015-09-15,38.889999,39.150002,38.66,39.029999,127800,38.52449
