Date,Open,High,Low,Close,Volume,Adj Close
2016-04-19,44.00,44.009998,43.490002,43.849998,7786600,43.849998
2016-04-18,43.18,44.009998,43.18,43.950001,4268800,43.950001
2016-04-15,43.529999,43.549999,43.18,43.41,3620400,43.41
2016-04-14,43.380001,43.66,43.279999,43.509998,3118700,43.509998
2016-04-13,42.869999,43.419998,42.68,43.349998,4140700,43.349998
2016-04-12,42.360001,43.07,42.360001,42.82,5100200,42.56
2016-04-11,42.470001,42.880001,42.459999,42.48,3948800,42.222064
2016-04-08,42.779999,42.93,42.119999,42.369999,4920300,42.112731
2016-04-07,42.669998,42.91,42.240002,42.610001,4901300,42.351276
2016-04-06,41.98,43.16,41.98,43.049999,6261000,42.788603
2016-04-05,42.009998,42.259998,41.889999,42.040001,6582700,41.784737
2016-04-04,42.34,42.669998,42.16,42.32,4407800,42.063036
2016-04-01,41.529999,42.259998,41.360001,42.189999,3972900,41.933824
2016-03-31,41.650002,42.00,41.509998,41.830002,5168400,41.576013
2016-03-30,41.599998,41.939999,41.490002,41.650002,3433000,41.397106
2016-03-29,40.75,41.529999,40.709999,41.470001,4127000,41.218198
2016-03-28,40.77,41.00,40.610001,40.880001,3328000,40.631781
2016-03-24,40.639999,40.900002,40.360001,40.75,4261000,40.502569
2016-03-23,40.84,41.34,40.689999,40.779999,4087600,40.532386
2016-03-22,40.50,41.16,40.34,41.029999,6652300,40.780868
2016-03-21,40.580002,40.77,40.439999,40.759998,4054800,40.512507
2016-03-18,40.360001,40.939999,40.139999,40.790001,10143900,40.542327
2016-03-17,40.200001,40.41,39.529999,40.290001,6089900,40.045363
2016-03-16,40.139999,40.32,39.779999,40.18,5393000,39.93603
2016-03-15,40.16,40.34,39.549999,39.900002,5309200,39.657732
2016-03-14,40.310001,40.68,39.990002,40.50,5707800,40.254087
2016-03-11,39.25,40.450001,39.080002,40.369999,11786400,40.124875
2016-03-10,39.41,39.880001,38.82,39.029999,8716900,38.793012
2016-03-09,39.259998,39.389999,39.009998,39.279999,6196000,39.041494
2016-03-08,38.950001,39.490002,38.880001,39.169998,7704200,38.932161
2016-03-07,39.00,39.389999,38.919998,39.18,5955800,38.942102
2016-03-04,38.849998,39.369999,38.799999,39.18,7419200,38.942102
2016-03-03,38.560001,38.889999,38.09,38.82,13516200,38.584288
2016-03-02,39.349998,39.57,39.099998,39.34,7498100,39.101131
2016-03-01,38.91,39.459999,38.799999,39.330002,9693900,39.091193
2016-02-29,39.34,39.84,38.740002,38.740002,8463400,38.504775
2016-02-26,39.48,39.880001,39.220001,39.52,8741400,39.280038
2016-02-25,39.220001,39.639999,38.970001,39.630001,7608300,39.389371
2016-02-24,38.18,39.32,37.970001,39.200001,7054800,38.961981
2016-02-23,38.91,39.049999,38.299999,38.389999,6144300,38.156898
2016-02-22,38.529999,39.240002,38.529999,39.16,4946300,38.922223
2016-02-19,38.32,38.650002,38.139999,38.529999,5735000,38.296048
2016-02-18,38.34,38.889999,38.220001,38.310001,5617800,38.077386
2016-02-17,38.369999,38.560001,38.240002,38.450001,6358900,38.216535
2016-02-16,37.130001,38.009998,37.119999,37.990002,7960200,37.759329
2016-02-12,36.700001,37.150002,36.400002,37.130001,6424800,36.90455
2016-02-11,36.439999,36.849998,36.02,36.34,7724000,36.119346
2016-02-10,37.580002,38.18,37.119999,37.209999,7909400,36.984063
2016-02-09,36.959999,37.779999,36.869999,37.00,8691600,36.775339
2016-02-08,37.189999,37.639999,36.689999,37.459999,7802000,37.232545
2016-02-05,38.23,38.349998,37.119999,37.41,5750200,37.182849
2016-02-04,37.779999,38.220001,37.529999,38.009998,5103800,37.779204
2016-02-03,38.23,38.41,37.099998,38.02,6914000,37.789146
2016-02-02,38.00,38.73,37.82,37.880001,9632400,37.649997
2016-02-01,36.169998,38.709999,36.169998,38.450001,14252500,38.216535
2016-01-29,36.689999,37.869999,36.68,37.849998,16124300,37.620176
2016-01-28,38.41,38.50,36.00,36.709999,23544400,36.487099
2016-01-27,39.950001,41.490002,39.900002,40.470001,10530700,40.22427
2016-01-26,39.860001,40.439999,39.650002,40.16,5360400,39.916151
2016-01-25,40.029999,40.16,39.580002,39.66,5304600,39.419187
2016-01-22,40.200001,40.200001,39.740002,40.029999,8854600,39.78694
2016-01-21,40.18,40.18,39.240002,39.48,10089500,39.24028
2016-01-20,39.73,40.279999,39.080002,39.959999,11279900,39.717365
2016-01-19,41.099998,41.32,40.130001,40.43,7997300,40.184512
2016-01-15,39.849998,40.919998,39.75,40.540001,10464800,40.293845
2016-01-14,40.34,41.32,40.139999,41.099998,7326800,40.850442
2016-01-13,41.48,41.689999,40.16,40.279999,5754400,40.035422
2016-01-12,40.990002,41.610001,40.869999,41.459999,7328900,40.949835
2016-01-11,40.77,40.900002,40.099998,40.73,7839700,40.228818
2016-01-08,41.860001,41.900002,40.540001,40.669998,7477700,40.169555
2016-01-07,41.68,42.18,41.400002,41.540001,7151400,41.028853
2016-01-06,42.310001,42.98,42.209999,42.560001,5906000,42.036302
2016-01-05,42.959999,43.200001,42.610001,42.919998,8245200,42.391869
2016-01-04,43.939999,44.049999,42.50,42.93,12227500,42.401748
2015-12-31,45.110001,45.50,44.900002,44.91,4192400,44.357384
2015-12-30,45.849998,46.029999,45.209999,45.27,4912000,44.712955
2015-12-29,45.279999,45.950001,45.169998,45.82,4071200,45.256186
2015-12-28,44.919998,45.130001,44.82,45.029999,2742900,44.475906
2015-12-24,44.939999,45.299999,44.939999,45.099998,1462900,44.545045
2015-12-23,44.73,45.18,44.630001,45.099998,4353000,44.545045
2015-12-22,44.23,44.560001,43.970001,44.48,4367300,43.932675
2015-12-21,44.049999,44.189999,43.57,44.040001,5453300,43.49809
2015-12-18,44.959999,45.040001,43.700001,43.700001,13044400,43.162274
2015-12-17,46.09,46.220001,45.25,45.259998,5792200,44.703076
2015-12-16,45.77,46.139999,45.25,46.049999,7576500,45.483356
2015-12-15,45.200001,45.919998,45.150002,45.59,5748700,45.029017
2015-12-14,44.450001,44.830002,43.959999,44.810001,6173500,44.258616
2015-12-11,44.77,44.869999,44.290001,44.360001,5236400,43.814153
2015-12-10,45.080002,45.639999,45.00,45.310001,4953200,44.752464
2015-12-09,45.389999,45.700001,44.810001,44.959999,5544400,44.406768
2015-12-08,45.32,45.75,45.16,45.549999,5199000,44.989508
2015-12-07,45.57,45.73,45.290001,45.560001,5559900,44.999387
2015-12-04,44.41,45.360001,44.279999,45.299999,6438500,44.742584
2015-12-03,45.360001,45.470001,44.009998,44.150002,6857400,43.606737
2015-12-02,45.43,45.720001,45.119999,45.220001,4840400,44.663571
2015-12-01,45.220001,45.52,44.939999,45.459999,5593200,44.900616
2015-11-30,45.439999,45.540001,44.919998,44.919998,7827000,44.367259
2015-11-27,45.419998,45.599998,45.310001,45.419998,1678000,44.861107
2015-11-25,45.380001,45.650002,45.279999,45.41,3080700,44.851232
2015-11-24,45.110001,45.580002,45.029999,45.450001,4638600,44.89074
2015-11-23,46.029999,46.099998,45.259998,45.439999,4593800,44.880861
2015-11-20,46.029999,46.380001,45.84,46.009998,7140700,45.443847
2015-11-19,45.720001,46.07,45.470001,45.73,6830300,45.167294
2015-11-18,44.970001,45.869999,44.959999,45.799999,5691000,45.236432
2015-11-17,44.889999,45.169998,44.610001,44.77,5794300,44.219107
2015-11-16,43.900002,44.889999,43.799999,44.880001,6362900,44.327754
2015-11-13,43.450001,44.360001,43.450001,43.959999,6797500,43.419073
2015-11-12,44.810001,44.959999,44.16,44.189999,6013900,43.646242
2015-11-11,45.860001,45.869999,45.040001,45.07,4298600,44.515415
2015-11-10,45.09,45.849998,45.060001,45.759998,5520600,45.196923
2015-11-09,45.470001,45.470001,44.869999,45.049999,5946000,44.495661
2015-11-06,44.889999,45.669998,44.650002,45.630001,6586300,45.068526
2015-11-05,45.09,45.509998,44.889999,45.18,5107000,44.624062
2015-11-04,45.720001,45.720001,45.049999,45.18,6506600,44.624062
2015-11-03,45.360001,45.639999,45.040001,45.509998,3933800,44.95
2015-11-02,44.880001,45.50,44.599998,45.43,5477800,44.870986
2015-10-30,45.189999,45.34,44.759998,44.799999,8442300,44.248737
2015-10-29,44.93,45.34,44.799999,45.240002,6887700,44.683325
2015-10-28,43.959999,44.77,43.639999,44.759998,6158300,44.209228
2015-10-27,43.540001,43.98,43.50,43.880001,5743600,43.340059
2015-10-26,43.580002,43.82,43.419998,43.610001,5716400,43.073381
2015-10-23,43.52,43.860001,43.189999,43.599998,9582700,43.063502
2015-10-22,42.41,43.57,41.759998,43.50,12440000,42.964734
2015-10-21,42.540001,42.849998,41.619999,42.200001,8858800,41.680731
2015-10-20,42.080002,42.220001,41.57,41.740002,5882700,41.226393
2015-10-19,42.110001,42.369999,41.84,42.150002,5531200,41.631347
2015-10-16,42.200001,42.27,41.66,42.220001,6141300,41.700486
2015-10-15,41.07,42.029999,40.91,41.869999,7822000,41.35479
2015-10-14,40.970001,41.34,40.66,40.720001,6417200,40.218943
2015-10-13,40.970001,41.389999,40.810001,40.919998,5527100,40.416479
2015-10-12,41.630001,41.75,41.299999,41.57,6067700,40.821435
2015-10-09,41.07,41.98,40.939999,41.889999,10400200,41.135672
2015-10-08,40.349998,41.220001,40.049999,41.16,9859100,40.418818
2015-10-07,40.529999,40.91,40.009998,40.630001,9158500,39.898363
2015-10-06,41.25,41.34,39.279999,39.889999,11689300,39.171687
2015-10-05,41.619999,41.779999,41.02,41.389999,8789300,40.644676
2015-10-02,40.25,41.41,40.169998,41.380001,8457500,40.634857
2015-10-01,40.349998,40.799999,40.18,40.759998,7897000,40.026019
2015-09-30,39.84,40.43,39.549999,40.220001,10750300,39.495746
2015-09-29,39.259998,40.150002,39.029999,39.50,12287500,38.78871
2015-09-28,40.740002,40.740002,39.00,39.060001,17219300,38.356635
2015-09-25,42.23,42.490002,40.419998,40.860001,10025100,40.124221
2015-09-24,42.00,42.150002,41.439999,41.939999,7322100,41.184771
2015-09-23,42.50,42.68,42.099998,42.200001,6280300,41.440091
2015-09-22,42.830002,42.849998,41.950001,42.48,7283400,41.715048
2015-09-21,43.650002,43.82,43.00,43.299999,5052100,42.520282
2015-09-18,43.639999,44.110001,43.240002,43.330002,9063900,42.549744
2015-09-17,43.849998,45.150002,43.790001,44.240002,7323700,43.443357
2015-09-16,43.779999,44.09,43.560001,43.860001,4982300,43.070199
2015-09-15,43.279999,43.919998,43.110001,43.810001,5105600,43.0211
2015-09-14,43.599998,43.610001,42.900002,43.169998,4461300,42.392621
2015-09-11,43.130001,43.439999,42.740002,43.41,5699500,42.628301
2015-09-10,43.02,43.48,42.68,43.119999,6952400,42.343523
2015-09-09,44.360001,44.509998,43.119999,43.23,5251200,42.451542
2015-09-08,43.66,44.060001,43.50,44.040001,5452400,43.246958
2015-09-04,43.50,43.709999,42.720001,43.07,7057100,42.294424
2015-09-03,44.52,44.779999,43.950001,44.139999,6426200,43.345155
2015-09-02,44.310001,44.439999,43.619999,44.240002,7517600,43.443357
2015-09-01,44.220001,44.50,43.369999,43.57,9000500,42.78542
