Date,Open,High,Low,Close,Volume,Adj Close
2016-04-19,69.790001,70.160004,69.370003,69.669998,173200,69.669998
2016-04-18,69.07,69.510002,69.07,69.510002,197500,69.510002
2016-04-15,68.82,69.260002,68.669998,69.230003,348700,69.230003
2016-04-14,68.889999,69.239998,68.75,68.879997,334300,68.879997
2016-04-13,68.269997,68.910004,68.099998,68.910004,392200,68.910004
2016-04-12,67.419998,67.900002,67.120003,67.860001,482700,67.580001
2016-04-11,67.370003,68.089996,67.059998,67.300003,411000,67.022314
2016-04-08,67.57,67.900002,66.779999,67.290001,587500,67.012354
2016-04-07,67.25,67.720001,67.07,67.220001,476500,66.942643
2016-04-06,69.129997,69.889999,67.43,67.730003,933100,67.45054
2016-04-05,70.010002,70.489998,69.370003,69.449997,259000,69.163437
2016-04-04,71.57,71.57,70.389999,70.459999,293300,70.169272
2016-04-01,69.900002,71.57,69.900002,71.480003,297700,71.185067
2016-03-31,71.18,71.32,70.25,70.370003,279400,70.079647
2016-03-30,71.300003,71.660004,70.970001,71.120003,207700,70.826552
2016-03-29,70.599998,71.230003,70.099998,70.870003,306800,70.577584
2016-03-28,70.360001,71.029999,70.360001,70.589996,259400,70.298733
2016-03-24,70.400002,70.519997,69.879997,70.209999,194000,69.920303
2016-03-23,70.760002,71.410004,70.620003,70.980003,181200,70.687131
2016-03-22,70.150002,71.419998,70.019997,70.769997,315400,70.47799
2016-03-21,70.489998,70.879997,70.07,70.68,291900,70.388365
2016-03-18,71.169998,71.50,70.589996,70.610001,1113200,70.318654
2016-03-17,71.010002,71.370003,70.730003,71.239998,380100,70.946052
2016-03-16,70.230003,71.269997,70.230003,70.919998,218000,70.627373
2016-03-15,69.980003,70.809998,69.709999,70.589996,257800,70.298733
2016-03-14,69.940002,70.620003,69.790001,70.43,321300,70.139397
2016-03-11,69.43,70.300003,69.110001,70.150002,234300,69.860553
2016-03-10,68.93,69.389999,68.139999,68.93,390600,68.645586
2016-03-09,68.889999,69.150002,68.519997,68.669998,354300,68.386657
2016-03-08,68.129997,68.879997,68.00,68.709999,233000,68.426493
2016-03-07,68.300003,69.00,68.279999,68.629997,284500,68.346821
2016-03-04,68.790001,68.959999,68.040001,68.900002,243700,68.615711
2016-03-03,67.919998,68.860001,67.620003,68.790001,253600,68.506164
2016-03-02,68.550003,68.599998,67.559998,68.129997,244500,67.848884
2016-03-01,67.519997,68.580002,67.110001,68.510002,208900,68.227321
2016-02-29,67.529999,67.720001,67.010002,67.080002,262600,66.803221
2016-02-26,67.720001,67.970001,67.190002,67.449997,195400,67.171689
2016-02-25,66.709999,67.400002,66.709999,67.370003,261200,67.092025
2016-02-24,66.00,66.68,65.919998,66.519997,271800,66.245526
2016-02-23,66.980003,67.330002,66.599998,66.790001,179400,66.514417
2016-02-22,67.800003,67.910004,67.080002,67.160004,262700,66.882893
2016-02-19,66.709999,67.220001,66.470001,67.139999,209500,66.862971
2016-02-18,66.639999,67.059998,66.18,66.959999,237000,66.683713
2016-02-17,67.629997,67.830002,66.43,66.559998,568900,66.285362
2016-02-16,67.580002,67.739998,66.739998,67.150002,263000,66.872932
2016-02-12,65.769997,67.129997,65.379997,66.980003,194600,66.703635
2016-02-11,65.110001,65.68,64.870003,65.139999,317300,64.871223
2016-02-10,67.059998,67.32,66.150002,66.160004,207000,65.887019
2016-02-09,65.379997,66.849998,65.379997,66.489998,346000,66.215651
2016-02-08,66.080002,66.330002,65.220001,66.099998,384100,65.827261
2016-02-05,67.300003,67.879997,66.470001,66.629997,418600,66.355073
2016-02-04,68.690002,69.150002,66.949997,67.349998,644000,67.072104
