Date,Open,High,Low,Close,Volume,Adj Close
2016-04-19,15.52,15.54,15.48,15.48,33200,15.48
2016-04-18,15.30,15.63,15.28,15.43,85700,15.43
2016-04-15,15.33,15.34,15.21,15.30,81100,15.30
2016-04-14,15.45,15.46,15.38,15.46,72800,15.37
2016-04-13,15.36,15.46,15.36,15.41,35300,15.320291
2016-04-12,15.38,15.39,15.34,15.37,35000,15.280524
2016-04-11,15.29,15.39,15.29,15.39,74100,15.300408
2016-04-08,15.44,15.49,15.21,15.21,67100,15.121456
2016-04-07,15.31,15.33,15.24,15.28,28500,15.191048
2016-04-06,15.10,15.33,15.10,15.33,69800,15.240757
2016-04-05,15.14,15.16,15.08,15.13,67100,15.041921
2016-04-04,15.20,15.24,15.07,15.17,76900,15.081688
2016-04-01,15.19,15.24,15.03,15.17,115400,15.081688
2016-03-31,15.10,15.28,15.08,15.20,41700,15.111514
2016-03-30,15.12,15.13,15.10,15.12,33800,15.031979
2016-03-29,15.04,15.08,15.01,15.06,48300,14.972329
2016-03-28,14.95,15.03,14.95,15.01,80500,14.92262
2016-03-24,15.05,15.08,14.96,14.99,36800,14.902736
2016-03-23,15.15,15.20,15.04,15.08,62700,14.992212
2016-03-22,15.14,15.23,15.03,15.17,85400,15.081688
2016-03-21,15.17,15.17,15.11,15.17,28500,15.081688
2016-03-18,15.06,15.19,15.05,15.15,56300,15.061804
2016-03-17,15.07,15.08,15.04,15.07,59600,14.98227
2016-03-16,14.98,15.04,14.93,15.01,65800,14.92262
2016-03-15,14.93,15.05,14.86,15.02,68900,14.843086
2016-03-14,14.84,14.98,14.84,14.96,74000,14.783792
2016-03-11,14.70,14.87,14.70,14.82,70000,14.645441
2016-03-10,14.70,14.75,14.61,14.69,92800,14.516972
2016-03-09,14.66,14.75,14.57,14.60,75200,14.428033
2016-03-08,14.53,14.60,14.53,14.57,29000,14.398386
2016-03-07,14.47,14.59,14.47,14.55,61300,14.378622
2016-03-04,14.41,14.51,14.38,14.50,94600,14.32921
2016-03-03,14.22,14.41,14.22,14.41,87200,14.24027
2016-03-02,14.23,14.27,14.19,14.27,39400,14.10192
2016-03-01,14.10,14.22,14.05,14.22,78500,14.052509
2016-02-29,13.96,14.07,13.96,14.03,55700,13.864746
2016-02-26,14.00,14.00,13.94,13.95,99700,13.785688
2016-02-25,13.88,14.00,13.86,13.98,68200,13.815335
2016-02-24,13.76,13.92,13.75,13.91,59000,13.74616
2016-02-23,13.88,13.88,13.80,13.83,68700,13.667102
2016-02-22,13.86,13.91,13.84,13.85,103900,13.686867
2016-02-19,13.78,13.86,13.76,13.86,88200,13.696748
