Date,Open,High,Low,Close,Volume,Adj Close
2016-04-19,11.05,11.08,10.73,10.95,199000,10.95
2016-04-18,11.26,11.33,10.85,11.00,221100,11.00
2016-04-15,11.05,11.47,11.02,11.35,236400,11.35
2016-04-14,10.94,11.09,10.46,11.06,373600,11.06
2016-04-13,11.31,11.32,10.88,10.90,176500,10.90
2016-04-12,11.34,11.44,11.13,11.21,361300,11.21
2016-04-11,11.28,11.51,11.04,11.31,180300,11.31
2016-04-08,11.30,11.62,10.65,11.04,692900,11.04
2016-04-07,11.08,11.18,10.78,10.89,172500,10.89
2016-04-06,11.13,11.36,10.84,11.22,226700,11.22
2016-04-05,11.41,11.45,10.96,11.11,156500,11.11
2016-04-04,11.65,12.05,11.48,11.53,189000,11.53
2016-04-01,11.56,11.90,11.40,11.71,357800,11.71
2016-03-31,11.42,11.77,11.29,11.67,122300,11.67
2016-03-30,11.58,11.69,11.34,11.42,214000,11.42
2016-03-29,10.53,11.61,10.48,11.47,267800,11.47
2016-03-28,10.26,10.33,10.03,10.32,70200,10.22
2016-03-24,10.04,10.21,9.94,10.04,82400,9.942713
2016-03-23,10.28,10.38,9.97,10.15,129600,10.051647
2016-03-22,10.42,10.50,10.16,10.28,88800,10.180387
2016-03-21,10.73,10.79,10.41,10.50,69700,10.398256
2016-03-18,10.40,10.88,10.36,10.72,395700,10.616124
2016-03-17,10.23,10.38,9.99,10.29,165400,10.190291
2016-03-16,10.40,10.41,10.01,10.23,113400,10.130872
2016-03-15,10.37,10.44,10.12,10.36,70900,10.259612
2016-03-14,10.44,10.64,10.43,10.51,100200,10.408159
2016-03-11,10.04,10.47,9.92,10.44,189300,10.338837
2016-03-10,10.03,10.06,9.66,9.92,82800,9.823876
2016-03-09,10.35,10.40,9.93,9.98,115700,9.883294
2016-03-08,10.74,10.74,10.25,10.34,106000,10.239806
2016-03-07,11.22,11.28,10.76,10.80,215200,10.695349
2016-03-04,10.99,11.26,10.97,11.22,148700,11.111279
2016-03-03,10.64,10.97,10.53,10.97,168400,10.863702
2016-03-02,9.92,10.61,9.92,10.59,132500,10.487384
2016-03-01,9.83,9.99,9.72,9.95,130600,9.853585
2016-02-29,9.89,10.21,9.74,9.83,212900,9.734748
2016-02-26,10.13,10.47,9.90,9.96,118500,9.863488
2016-02-25,10.38,10.67,10.09,10.50,175200,10.398256
2016-02-24,10.08,10.38,9.73,10.31,178300,10.210097
2016-02-23,10.16,10.42,10.11,10.22,106200,10.120969
2016-02-22,10.27,10.36,10.14,10.28,152600,10.180387
2016-02-19,10.35,10.40,10.13,10.20,175800,10.101163
2016-02-18,10.49,10.49,10.24,10.38,125500,10.279419
2016-02-17,10.24,10.64,10.10,10.53,306900,10.427965
2016-02-16,9.88,10.15,9.71,10.15,123700,10.051647
2016-02-12,9.78,9.91,9.65,9.83,93800,9.734748
2016-02-11,9.58,9.87,9.52,9.68,121700,9.586202
2016-02-10,9.79,10.02,9.68,9.77,154400,9.67533
2016-02-09,9.60,9.91,9.53,9.69,136100,9.596104
2016-02-08,9.70,9.84,9.37,9.76,236100,9.665427
2016-02-05,9.50,9.90,8.37,9.76,445000,9.665427
2016-02-04,10.02,10.39,9.90,10.15,219500,10.051647
2016-02-03,10.18,10.24,9.94,10.05,232500,9.952616
2016-02-02,10.53,10.53,9.73,10.05,372100,9.952616
2016-02-01,10.65,10.78,10.31,10.62,280500,10.517093
