Date,Open,High,Low,Close,Volume,Adj Close
2016-04-19,19.32,19.389999,19.32,19.389999,900,19.389999
2016-04-18,19.91,19.92,19.90,19.90,3300,19.90
2016-04-15,19.469999,20.299999,19.469999,20.299999,600,20.299999
2016-04-14,20.190001,20.190001,20.190001,20.190001,200,20.190001
2016-04-13,20.709999,20.77,20.34,20.50,6500,20.50
2016-04-12,20.67,20.809999,20.559999,20.74,4700,20.326
2016-04-11,19.309999,20.709999,19.299999,20.700001,4500,20.286799
2016-04-08,19.18,19.18,19.18,19.18,1200,18.79714
2016-04-07,19.48,19.48,19.049999,19.049999,500,18.669734
2016-04-06,19.50,19.57,19.40,19.40,700,19.012748
2016-04-05,18.90,19.49,18.90,19.18,16000,18.79714
2016-04-04,19.48,19.50,18.889999,18.99,1800,18.610932
2016-04-01,18.68,18.68,18.68,18.68,000,18.307121
2016-03-31,18.68,18.68,18.68,18.68,000,18.307121
2016-03-30,18.66,18.68,18.66,18.68,600,18.307121
2016-03-29,18.66,18.66,18.66,18.66,000,18.28752
2016-03-28,18.709999,18.90,18.66,18.66,2000,18.28752
2016-03-24,19.200001,19.40,18.66,18.700001,4600,18.326722
2016-03-23,18.950001,19.18,18.950001,19.18,600,18.79714
2016-03-22,19.60,19.60,19.60,19.60,300,19.208757
2016-03-21,18.82,18.82,18.82,18.82,000,18.444326
2016-03-18,18.85,18.85,18.82,18.82,1500,18.444326
2016-03-17,18.879999,19.049999,18.879999,18.98,1700,18.601132
2016-03-16,18.889999,18.889999,18.889999,18.889999,000,18.512928
2016-03-15,19.00,19.00,18.700001,18.889999,16900,18.512928
2016-03-14,18.559999,18.90,18.559999,18.90,600,18.522729
2016-03-11,18.469999,18.469999,18.469999,18.469999,200,18.101312
2016-03-10,18.67,19.00,18.51,18.52,2800,18.150315
2016-03-09,18.52,19.139999,18.52,19.00,2700,18.620733
2016-03-08,18.90,18.90,18.90,18.90,000,18.522729
2016-03-07,19.040001,19.040001,18.90,18.90,4300,18.522729
2016-03-04,19.10,19.370001,18.76,18.90,38400,18.522729
2016-03-03,19.049999,19.129999,18.76,19.10,4200,18.718737
2016-03-02,19.110001,19.110001,19.00,19.040001,1800,18.659936
2016-03-01,19.00,19.34,19.00,19.07,3600,18.689335
2016-02-29,18.25,18.25,18.25,18.25,000,17.885704
2016-02-26,18.25,18.25,18.25,18.25,000,17.885704
2016-02-25,18.25,18.25,18.25,18.25,100,17.885704
2016-02-24,18.219999,19.00,18.17,19.00,9200,18.620733
2016-02-23,18.200001,18.700001,18.16,18.299999,1500,17.934705
2016-02-22,19.129999,19.129999,18.51,19.110001,1200,18.728538
2016-02-19,19.35,19.379999,17.68,19.379999,5200,18.993147
2016-02-18,19.610001,19.610001,19.610001,19.610001,1300,19.218557
2016-02-17,18.73,18.73,18.73,18.73,000,18.356122
2016-02-16,17.879999,18.73,17.790001,18.73,4800,18.356122
2016-02-12,18.02,18.02,18.02,18.02,600,17.660296
2016-02-11,18.57,18.57,18.57,18.57,000,18.199316
2016-02-10,18.450001,19.52,18.42,18.57,6500,18.199316
2016-02-09,18.90,19.780001,18.389999,19.309999,2300,18.924545
2016-02-08,19.549999,19.57,18.700001,19.35,5100,18.963747
2016-02-05,19.75,19.799999,19.09,19.09,8600,18.708937
2016-02-04,18.690001,19.74,18.690001,19.50,45500,19.110752
2016-02-03,18.299999,20.059999,18.299999,19.219999,43200,18.836341
2016-02-02,18.700001,18.700001,18.700001,18.700001,000,18.326722
2016-02-01,18.35,19.030001,18.35,18.700001,3200,18.326722
2016-01-29,17.91,18.700001,17.860001,18.690001,2300,18.316922
2016-01-28,17.50,18.26,17.299999,17.82,50000,17.464287
2016-01-27,17.09,17.17,17.09,17.17,700,16.827263
2016-01-26,17.27,17.27,16.440001,17.00,3900,16.660656
2016-01-25,17.15,17.85,17.049999,17.48,38700,17.131074
2016-01-22,17.18,17.65,16.709999,17.10,7100,16.75866
2016-01-21,17.50,17.50,17.50,17.50,100,17.150675
2016-01-20,18.82,19.059999,17.450001,17.450001,3000,17.101674
2016-01-19,19.01,19.01,19.01,19.01,200,18.630534
2016-01-15,19.200001,19.200001,19.200001,19.200001,600,18.816742
2016-01-14,19.07,19.07,19.07,19.07,200,18.689335
2016-01-13,19.77,19.77,19.77,19.77,300,19.375363
2016-01-12,19.65,19.66,19.65,19.65,1100,18.852021
2016-01-11,19.90,20.15,19.780001,20.15,3000,19.331716
2016-01-08,19.530001,19.530001,19.530001,19.530001,200,18.736895
2016-01-07,19.860001,19.860001,19.860001,19.860001,200,19.053494
2016-01-06,19.93,19.93,19.93,19.93,400,19.120651
2016-01-05,20.00,20.209999,20.00,20.139999,12100,19.322122
2016-01-04,20.33,20.33,19.809999,20.01,4100,19.197402
2015-12-31,19.700001,20.01,19.700001,20.00,900,19.187808
2015-12-30,19.879999,20.10,19.879999,20.00,40400,19.187808
2015-12-29,19.59,19.85,19.59,19.85,2500,19.0439
2015-12-28,19.43,19.969999,19.40,19.969999,3100,19.159026
2015-12-24,20.120001,20.120001,20.120001,20.120001,000,19.302936
2015-12-23,20.120001,20.120001,20.120001,20.120001,100,19.302936
2015-12-22,19.65,19.65,19.639999,19.65,4200,18.852021
2015-12-21,19.370001,20.07,19.370001,19.65,10500,18.852021
2015-12-18,18.84,19.40,18.84,19.059999,9000,18.285981
2015-12-17,18.65,18.65,18.65,18.65,300,17.892631
2015-12-16,18.77,18.879999,18.540001,18.610001,4800,17.854256
2015-12-15,18.52,18.75,18.40,18.75,1300,17.98857
2015-12-14,19.49,19.49,18.700001,18.75,1400,17.98857
2015-12-11,19.66,19.66,19.66,19.66,100,18.861615
2015-12-10,19.98,19.99,19.700001,19.700001,23500,18.899992
2015-12-09,19.73,19.940001,19.719999,19.940001,5000,19.130245
2015-12-08,20.049999,20.40,20.049999,20.40,3300,19.571564
2015-12-07,20.15,20.15,19.73,20.00,2300,19.187808
2015-12-04,20.15,20.15,20.15,20.15,600,19.331716
2015-12-03,21.00,21.00,20.10,20.10,1800,19.283747
2015-12-02,21.469999,21.469999,21.200001,21.200001,2300,20.339077
2015-12-01,21.40,21.540001,21.40,21.540001,3200,20.66527
2015-11-30,20.60,20.99,20.60,20.93,3100,20.080041
2015-11-27,20.00,20.65,20.00,20.559999,600,19.725066
2015-11-25,19.969999,20.18,19.969999,20.09,3700,19.274153
2015-11-24,19.99,20.00,19.98,20.00,5800,19.187808
2015-11-23,19.950001,19.950001,19.950001,19.950001,000,19.139839
2015-11-20,19.73,19.950001,19.73,19.950001,1000,19.139839
2015-11-19,20.049999,20.049999,19.90,19.90,1000,19.091869
2015-11-18,19.959999,19.959999,19.73,19.75,8300,18.94796
2015-11-17,20.00,20.07,20.00,20.059999,2800,19.245371
2015-11-16,20.00,20.00,20.00,20.00,500,19.187808
2015-11-13,19.950001,19.950001,19.950001,19.950001,000,19.139839
2015-11-12,20.030001,20.040001,19.65,19.950001,6100,19.139839
2015-11-11,20.120001,20.35,19.52,20.35,9600,19.523595
2015-11-10,20.959999,20.959999,19.459999,20.110001,5800,19.293342
2015-11-09,21.559999,21.559999,20.700001,20.709999,5000,19.868974
2015-11-06,21.870001,21.889999,20.93,20.93,3200,20.080041
2015-11-05,22.18,22.290001,21.559999,21.57,6500,20.694051
2015-11-04,22.33,22.60,21.82,21.860001,23700,20.972275
2015-11-03,22.99,22.99,22.99,22.99,000,22.056385
2015-11-02,22.49,22.99,22.49,22.99,500,22.056385
2015-10-30,22.65,22.65,22.620001,22.65,1500,21.730192
2015-10-29,22.35,22.379999,22.35,22.379999,1200,21.471156
2015-10-28,22.41,22.41,22.41,22.41,000,21.499939
2015-10-27,22.40,22.709999,22.370001,22.41,1800,21.499939
2015-10-26,23.25,23.25,23.25,23.25,000,22.305827
2015-10-23,23.00,23.25,22.85,23.25,1700,22.305827
2015-10-22,23.25,23.25,23.25,23.25,000,22.305827
2015-10-21,23.25,23.25,23.25,23.25,1300,22.305827
2015-10-20,23.42,23.43,23.42,23.42,700,22.468923
2015-10-19,23.00,23.91,23.00,23.440001,1600,22.488112
2015-10-16,23.120001,23.25,22.799999,23.00,1500,22.065979
2015-10-15,22.809999,23.209999,22.799999,23.209999,700,22.26745
2015-10-14,23.25,23.25,22.799999,22.799999,2000,21.8741
2015-10-13,22.889999,23.25,22.879999,23.25,2500,22.305827
2015-10-12,22.870001,22.870001,22.870001,22.870001,100,21.941259
2015-10-09,22.50,22.50,22.50,22.50,1200,21.586284
2015-10-08,22.549999,22.549999,22.50,22.50,800,21.586284
2015-10-07,22.75,22.75,22.75,22.75,000,21.826132
2015-10-06,22.75,22.75,22.50,22.75,2400,21.826132
2015-10-05,22.10,22.35,22.10,22.10,1600,21.202528
2015-10-02,22.65,22.65,22.280001,22.309999,5100,21.403999
2015-10-01,23.27,23.27,23.27,23.27,000,22.325015
2015-09-30,23.09,23.27,23.09,23.27,300,22.325015
2015-09-29,22.85,22.959999,22.85,22.90,1500,21.97004
2015-09-28,22.82,22.82,22.549999,22.549999,800,21.634253
2015-09-25,22.530001,22.809999,22.379999,22.809999,1400,21.883695
2015-09-24,22.549999,22.559999,22.379999,22.51,3000,21.595878
2015-09-23,22.65,22.85,22.40,22.629999,3200,21.711004
2015-09-22,22.700001,22.700001,22.65,22.65,1100,21.730192
2015-09-21,22.77,22.799999,22.66,22.73,5000,21.806943
2015-09-18,22.48,22.73,22.48,22.73,1000,21.806943
2015-09-17,22.379999,22.50,22.370001,22.50,700,21.586284
2015-09-16,22.360001,22.389999,22.34,22.370001,3300,21.461564
2015-09-15,22.74,22.74,22.33,22.43,2100,21.519127
2015-09-14,22.799999,22.799999,22.799999,22.799999,200,21.8741
2015-09-11,22.799999,23.16,22.709999,22.790001,2000,21.864508
2015-09-10,21.440001,22.68,21.440001,22.16,7600,21.260091
2015-09-09,22.200001,22.200001,22.07,22.07,300,21.173746
2015-09-08,22.09,22.09,22.09,22.09,100,21.192934
2015-09-04,22.66,22.799999,22.51,22.66,3100,21.739786
2015-09-03,22.200001,22.200001,22.200001,22.200001,000,21.298468
2015-09-02,22.700001,22.75,21.809999,22.200001,5700,21.298468
2015-09-01,22.73,22.73,22.73,22.73,000,21.806943
2015-08-31,23.10,23.50,22.65,22.73,13300,21.806943
2015-08-28,23.40,23.41,22.950001,23.26,5300,22.315421
2015-08-27,23.60,23.73,23.110001,23.40,10300,22.449735
2015-08-26,23.120001,23.799999,23.120001,23.799999,300,22.833491
2015-08-25,24.07,24.07,24.07,24.07,300,23.092527
2015-08-24,24.200001,24.200001,24.02,24.190001,1000,23.207654
2015-08-21,24.200001,24.200001,24.02,24.02,600,23.044558
2015-08-20,24.35,24.35,24.27,24.27,900,23.284405
2015-08-19,24.299999,24.35,24.00,24.35,2100,23.361157
2015-08-18,24.049999,24.35,24.049999,24.35,500,23.361157
2015-08-17,24.32,24.32,23.84,24.00,1000,23.02537
2015-08-14,24.200001,24.200001,24.200001,24.200001,300,23.217248
2015-08-13,24.299999,24.40,24.17,24.17,5800,23.188466
2015-08-12,24.48,24.50,24.16,24.280001,2100,23.294
2015-08-11,24.379999,24.530001,24.379999,24.50,900,23.505065
2015-08-10,24.860001,24.860001,24.860001,24.860001,100,23.850446
2015-08-07,24.50,24.50,24.370001,24.370001,3900,23.380345
2015-08-06,24.23,24.50,24.219999,24.24,2200,23.255623
2015-08-05,24.68,24.77,24.450001,24.450001,2700,23.457096
2015-08-04,24.49,25.00,24.49,25.00,4900,23.98476
2015-08-03,24.50,24.50,24.50,24.50,1800,23.505065
2015-07-31,24.50,24.50,24.50,24.50,100,23.505065
2015-07-30,24.50,24.50,24.50,24.50,300,23.505065
2015-07-29,24.799999,24.799999,24.450001,24.50,1400,23.505065
2015-07-28,24.90,24.90,24.77,24.799999,1300,23.792881
2015-07-27,24.85,24.85,24.84,24.85,500,23.840852
2015-07-24,25.00,25.00,24.90,24.99,600,23.975166
2015-07-23,25.00,25.00,24.85,24.99,1200,23.975166
2015-07-22,24.959999,24.969999,24.950001,24.969999,400,23.955978
2015-07-21,24.950001,24.950001,24.610001,24.940001,2100,23.927197
2015-07-20,24.91,24.91,24.91,24.91,000,23.898415
2015-07-17,24.889999,25.139999,24.860001,24.91,1700,23.898415
2015-07-16,24.870001,24.969999,24.870001,24.91,500,23.898415
2015-07-15,25.030001,25.030001,24.450001,24.50,4700,23.505065
2015-07-14,25.24,25.24,25.190001,25.219999,800,24.195825
2015-07-13,24.92,25.24,24.43,25.23,1200,24.205419
2015-07-10,25.10,25.200001,25.00,25.200001,7400,24.176639
2015-07-09,25.10,25.10,25.10,25.10,100,24.080699
2015-07-08,24.950001,24.950001,24.950001,24.950001,100,23.936791
2015-07-07,25.24,25.24,25.10,25.15,600,24.128668
2015-07-06,24.870001,25.25,24.75,25.25,2000,24.224608
2015-07-02,24.870001,24.870001,24.870001,24.870001,000,23.86004
2015-07-01,24.870001,24.870001,24.870001,24.870001,000,23.86004
2015-06-30,24.360001,24.870001,24.35,24.870001,2600,23.86004
2015-06-29,24.870001,24.870001,24.870001,24.870001,100,23.86004
2015-06-26,24.879999,24.879999,24.40,24.40,700,23.409125
2015-06-25,24.690001,24.690001,23.780001,24.299999,5800,23.313186
2015-06-24,25.049999,25.049999,25.049999,25.049999,000,24.032729
2015-06-23,25.049999,25.049999,25.049999,25.049999,500,24.032729
2015-06-22,25.030001,25.030001,25.030001,25.030001,100,24.013542
2015-06-19,24.950001,24.950001,24.950001,24.950001,300,23.936791
2015-06-18,24.950001,24.950001,24.950001,24.950001,000,23.936791
2015-06-17,24.950001,24.950001,24.950001,24.950001,500,23.936791
2015-06-16,24.98,24.98,24.98,24.98,000,23.965572
2015-06-15,24.98,24.98,24.98,24.98,000,23.965572
2015-06-12,24.98,24.98,24.98,24.98,400,23.965572
2015-06-11,24.950001,24.99,24.950001,24.959999,1000,23.946384
2015-06-10,24.99,24.99,24.99,24.99,200,23.975166
2015-06-09,24.99,24.99,24.889999,24.99,900,23.975166
2015-06-08,24.99,24.99,24.99,24.99,600,23.975166
2015-06-05,24.889999,24.950001,24.889999,24.950001,500,23.936791
2015-06-04,24.870001,24.870001,24.870001,24.870001,200,23.86004
2015-06-03,24.50,24.950001,24.50,24.90,900,23.888821
2015-06-02,24.60,24.60,24.60,24.60,1000,23.601004
2015-06-01,24.50,24.50,24.50,24.50,000,23.505065
2015-05-29,24.90,24.950001,24.50,24.50,2100,23.505065
2015-05-28,24.950001,24.950001,24.950001,24.950001,400,23.936791
2015-05-27,24.950001,24.950001,24.90,24.90,700,23.888821
2015-05-26,25.00,25.01,25.00,25.01,900,23.994354
2015-05-22,25.00,25.00,25.00,25.00,800,23.98476
2015-05-21,24.799999,24.85,24.799999,24.85,1500,23.840852
2015-05-20,24.83,24.84,24.799999,24.84,900,23.831258
2015-05-19,24.83,24.83,24.83,24.83,700,23.821664
2015-05-18,24.73,24.85,24.690001,24.85,2100,23.840852
2015-05-15,24.85,24.85,24.50,24.50,3400,23.505065
2015-05-14,24.75,24.799999,24.75,24.799999,1200,23.792881
2015-05-13,24.74,24.74,24.74,24.74,600,23.735318
2015-05-12,24.65,24.709999,24.65,24.65,600,23.648973
2015-05-11,24.68,24.68,24.68,24.68,500,23.677755
2015-05-08,24.73,24.73,24.73,24.73,000,23.725724
2015-05-07,24.51,24.74,24.51,24.73,1400,23.725724
2015-05-06,24.60,24.75,24.50,24.690001,3200,23.68735
2015-05-05,24.700001,24.75,24.610001,24.700001,1100,23.696944
2015-05-04,24.799999,24.799999,24.68,24.790001,3900,23.783289
2015-05-01,24.700001,24.700001,24.60,24.65,1300,23.648973
2015-04-30,24.530001,24.799999,24.530001,24.799999,700,23.792881
2015-04-29,24.780001,24.790001,24.65,24.76,1800,23.754507
2015-04-28,24.860001,24.860001,24.60,24.84,4100,23.831258
2015-04-27,25.02,25.02,25.02,25.02,600,24.003948
2015-04-24,25.02,25.02,25.02,25.02,100,24.003948
2015-04-23,25.200001,25.200001,24.799999,24.950001,1600,23.936791
2015-04-22,25.10,25.200001,24.76,25.17,5000,24.147856
2015-04-21,24.99,25.10,24.809999,25.10,1200,24.080699
2015-04-20,25.00,25.00,24.889999,25.00,1800,23.98476
2015-04-17,25.24,25.24,25.00,25.030001,1900,24.013542
2015-04-16,25.129999,25.129999,25.129999,25.129999,000,24.10948
2015-04-15,25.129999,25.129999,25.129999,25.129999,000,24.10948
2015-04-14,24.940001,25.129999,24.90,25.129999,1000,24.10948
2015-04-13,24.75,24.82,24.75,24.82,700,23.812069
2015-04-10,24.90,25.299999,24.90,24.92,2200,23.908009
2015-04-09,24.799999,24.85,24.700001,24.85,3900,23.840852
2015-04-08,24.90,24.90,24.700001,24.700001,1200,23.696944
2015-04-07,24.889999,24.90,24.889999,24.90,3400,23.888821
2015-04-06,24.91,25.01,24.879999,24.879999,3200,23.869632
2015-04-02,24.85,24.85,24.85,24.85,000,23.840852
2015-04-01,24.700001,24.85,24.700001,24.85,700,23.840852
2015-03-31,24.700001,24.700001,24.700001,24.700001,000,23.696944
2015-03-30,24.440001,24.860001,24.42,24.700001,2900,23.696944
2015-03-27,24.90,24.90,24.90,24.90,000,23.888821
2015-03-26,24.41,24.90,24.41,24.90,500,23.888821
2015-03-25,24.90,24.90,24.90,24.90,300,23.888821
2015-03-24,24.85,24.85,24.290001,24.60,10800,23.601004
2015-03-23,24.959999,25.00,24.65,24.90,3300,23.888821
2015-03-20,24.90,24.940001,24.90,24.940001,600,23.927197
2015-03-19,24.950001,25.00,24.950001,25.00,900,23.98476
2015-03-18,24.90,24.90,24.82,24.90,4400,23.888821
2015-03-17,24.959999,25.40,24.940001,25.00,3100,23.98476
2015-03-16,24.629999,24.98,24.629999,24.950001,6400,23.936791
2015-03-13,24.35,24.540001,24.299999,24.540001,2700,23.543441
2015-03-12,24.549999,24.549999,24.35,24.50,1700,23.505065
2015-03-11,24.200001,24.299999,24.00,24.299999,9700,23.313186
2015-03-10,24.309999,24.33,24.059999,24.200001,7400,23.217248
2015-03-09,24.10,24.200001,24.10,24.15,2700,23.169278
2015-03-06,24.190001,24.27,24.10,24.10,2000,23.121309
2015-03-05,24.200001,24.200001,24.18,24.18,1400,23.19806
2015-03-04,24.110001,24.219999,24.110001,24.219999,800,23.236435
2015-03-03,24.25,24.25,24.10,24.10,2400,23.121309
2015-03-02,24.24,24.24,24.10,24.10,600,23.121309
2015-02-27,24.280001,24.299999,24.049999,24.049999,4100,23.073338
2015-02-26,24.18,24.18,24.18,24.18,000,23.19806
2015-02-25,24.18,24.18,24.18,24.18,100,23.19806
2015-02-24,24.24,24.40,24.18,24.18,4200,23.19806
2015-02-23,24.379999,24.379999,24.32,24.32,800,23.332374
2015-02-20,24.10,24.200001,24.10,24.120001,500,23.140497
2015-02-19,24.110001,24.200001,24.01,24.059999,1100,23.082933
2015-02-18,24.190001,24.33,24.110001,24.110001,7500,23.130903
2015-02-17,24.35,24.35,24.15,24.27,5100,23.284405
2015-02-13,24.200001,24.200001,24.15,24.200001,6300,23.217248
2015-02-12,24.34,24.34,24.190001,24.190001,6100,23.207654
2015-02-11,24.299999,24.32,24.299999,24.32,700,23.332374
2015-02-10,24.25,24.26,24.25,24.26,500,23.274811
