Date,Open,High,Low,Close,Volume,Adj Close
2016-04-19,7.68,7.85,7.61,7.66,80000,7.66
2016-04-18,7.65,7.92,7.59,7.70,68900,7.70
2016-04-15,7.49,7.79,7.42,7.75,99300,7.75
2016-04-14,7.74,7.84,7.51,7.58,59600,7.58
2016-04-13,7.30,7.75,7.30,7.71,174400,7.71
2016-04-12,7.30,7.46,7.22,7.27,154800,7.27
2016-04-11,7.41,7.55,7.28,7.29,85200,7.29
2016-04-08,7.00,7.49,7.00,7.44,158200,7.44
2016-04-07,7.27,7.34,6.98,6.99,171900,6.99
2016-04-06,7.34,7.50,7.21,7.35,100400,7.35
2016-04-05,7.26,7.37,7.14,7.32,75500,7.32
2016-04-04,7.28,7.48,7.26,7.27,194600,7.27
2016-04-01,7.53,7.56,7.30,7.32,97300,7.32
2016-03-31,7.55,7.78,7.50,7.57,325200,7.57
2016-03-30,7.59,7.76,7.49,7.58,242100,7.58
2016-03-29,7.24,7.68,7.13,7.63,217100,7.63
2016-03-28,7.29,7.44,7.18,7.34,79700,7.34
2016-03-24,7.10,7.64,7.10,7.50,161000,7.48
2016-03-23,7.45,7.56,7.17,7.23,91500,7.21072
2016-03-22,7.31,7.57,7.23,7.56,120300,7.53984
2016-03-21,7.57,7.60,7.27,7.40,218100,7.380267
2016-03-18,7.92,7.94,7.36,7.62,454700,7.59968
2016-03-17,7.63,8.41,7.58,7.92,1023500,7.89888
2016-03-16,7.54,7.58,7.23,7.28,192600,7.260587
2016-03-15,7.41,7.54,7.20,7.50,108700,7.48
2016-03-14,7.66,7.75,7.35,7.43,101300,7.410187
2016-03-11,7.40,7.76,7.40,7.64,188700,7.619627
2016-03-10,7.17,7.46,7.09,7.40,102900,7.380267
2016-03-09,7.37,7.43,7.19,7.20,108500,7.1808
2016-03-08,7.46,7.53,7.11,7.33,251000,7.310453
2016-03-07,7.44,7.96,7.41,7.55,194300,7.529867
2016-03-04,7.44,7.63,7.35,7.44,147900,7.42016
2016-03-03,7.58,7.92,7.44,7.44,140900,7.42016
2016-03-02,7.30,7.73,7.17,7.56,216400,7.53984
2016-03-01,7.21,7.54,7.17,7.40,237400,7.380267
2016-02-29,7.12,7.32,7.10,7.17,245400,7.15088
2016-02-26,6.46,7.33,6.44,7.14,204700,7.12096
2016-02-25,6.43,6.61,6.38,6.40,141500,6.382934
2016-02-24,6.31,6.38,6.04,6.35,534100,6.333067
2016-02-23,6.67,6.69,6.35,6.37,87100,6.353013
2016-02-22,7.02,7.30,6.61,6.68,224500,6.662187
2016-02-19,6.77,7.07,6.55,6.98,69100,6.961387
2016-02-18,6.97,7.10,6.79,6.88,57800,6.861654
2016-02-17,6.87,7.09,6.81,6.97,148500,6.951413
2016-02-16,6.73,6.89,6.52,6.81,194100,6.79184
2016-02-12,6.44,6.80,6.44,6.63,119900,6.61232
2016-02-11,6.40,6.59,6.32,6.38,147300,6.362987
2016-02-10,6.82,6.88,6.55,6.55,39800,6.532534
2016-02-09,6.83,6.99,6.55,6.78,74600,6.76192
2016-02-08,6.90,7.07,6.81,7.02,73600,7.00128
2016-02-05,7.16,7.31,6.99,7.09,137800,7.071094
2016-02-04,6.72,7.45,6.72,7.23,174000,7.21072
2016-02-03,6.98,6.98,6.38,6.72,214300,6.70208
2016-02-02,6.79,7.00,6.75,6.90,122000,6.8816
2016-02-01,7.03,7.12,6.76,6.90,138600,6.8816
2016-01-29,6.85,7.29,6.80,7.12,186100,7.101013
2016-01-28,7.11,7.18,6.78,6.85,76900,6.831733
2016-01-27,7.04,7.27,6.83,6.93,81300,6.91152
2016-01-26,6.65,7.12,6.55,7.10,100300,7.081067
2016-01-25,6.81,6.96,6.56,6.59,134100,6.572427
2016-01-22,6.87,7.22,6.80,6.90,242700,6.8816
2016-01-21,6.20,6.87,6.20,6.66,215700,6.64224
2016-01-20,6.10,6.24,5.52,6.19,395500,6.173493
2016-01-19,6.60,6.65,6.19,6.25,123000,6.233333
2016-01-15,6.27,6.62,6.11,6.60,181000,6.5824
2016-01-14,6.42,6.62,6.23,6.50,176400,6.482667
2016-01-13,6.77,6.86,6.24,6.36,170400,6.34304
2016-01-12,6.91,6.92,6.53,6.65,157200,6.632267
2016-01-11,7.07,7.15,6.81,6.83,159900,6.811787
2016-01-08,7.37,7.37,7.06,7.09,179900,7.071094
2016-01-07,7.54,7.54,7.25,7.37,192200,7.350347
2016-01-06,7.71,7.90,7.54,7.66,111200,7.639573
2016-01-05,8.29,8.29,7.79,7.83,180800,7.80912
2016-01-04,8.18,8.36,7.90,8.29,350200,8.267893
2015-12-31,8.06,8.39,8.06,8.36,87500,8.337706
2015-12-30,8.20,8.38,7.98,8.08,108100,8.058453
2015-12-29,7.84,8.32,7.84,8.28,112800,8.25792
2015-12-28,8.20,8.26,7.71,7.84,191000,7.819094
2015-12-24,8.30,8.40,8.16,8.29,109400,8.267893
2015-12-23,8.12,8.50,8.06,8.33,224100,8.307787
2015-12-22,7.97,8.10,7.92,8.02,179600,7.998614
2015-12-21,8.35,8.42,7.86,8.01,245600,7.98864
2015-12-18,8.68,8.72,8.31,8.35,249200,8.327734
2015-12-17,8.90,9.06,8.51,8.72,163500,8.696747
2015-12-16,8.51,9.16,8.49,8.89,659500,8.866294
2015-12-15,8.56,8.69,8.18,8.51,466600,8.487307
2015-12-14,8.66,8.91,8.30,8.51,202800,8.487307
2015-12-11,8.90,8.91,8.62,8.78,119900,8.756587
2015-12-10,9.14,9.27,8.96,8.97,124400,8.94608
2015-12-09,8.97,9.46,8.97,9.05,121400,9.025867
2015-12-08,8.96,9.15,8.87,8.96,166500,8.936107
2015-12-07,9.27,9.56,8.90,9.07,316800,9.045813
2015-12-04,9.44,9.49,8.90,9.21,183600,9.18544
2015-12-03,9.57,9.73,9.41,9.44,254100,9.414826
2015-12-02,9.46,9.63,9.45,9.53,283300,9.504587
2015-12-01,9.42,9.67,9.40,9.45,139300,9.4248
2015-11-30,9.37,9.68,9.36,9.42,188000,9.374933
2015-11-27,9.25,9.68,9.19,9.34,72400,9.295316
2015-11-25,9.23,9.45,9.18,9.26,167400,9.215699
2015-11-24,8.75,9.43,8.73,9.29,262800,9.245555
2015-11-23,8.66,8.85,8.55,8.73,203000,8.688234
2015-11-20,7.52,9.62,7.52,8.66,1143500,8.618569
2015-11-19,7.29,7.49,7.09,7.19,297700,7.155602
2015-11-18,7.34,7.51,7.12,7.33,74200,7.294932
2015-11-17,7.41,7.50,7.22,7.33,75200,7.294932
2015-11-16,7.43,7.55,7.28,7.43,131800,7.394453
2015-11-13,7.41,7.52,7.15,7.43,54800,7.394453
2015-11-12,7.52,7.53,7.32,7.43,151700,7.394453
2015-11-11,7.77,7.79,7.52,7.66,141400,7.623353
2015-11-10,7.70,7.90,7.56,7.81,68400,7.772636
2015-11-09,7.87,8.02,7.68,7.72,85400,7.683066
2015-11-06,7.72,8.00,7.65,7.93,80300,7.892061
2015-11-05,7.62,7.93,7.37,7.79,251200,7.752731
2015-11-04,7.80,7.80,7.46,7.65,211600,7.613401
2015-11-03,7.86,8.08,7.77,7.87,67000,7.832348
2015-11-02,7.82,8.08,7.79,7.89,47000,7.852253
