Date,Open,High,Low,Close,Volume,Adj Close
2016-04-19,7.59,7.65,7.57,7.65,300100,7.65
2016-04-18,7.52,7.59,7.48,7.57,475000,7.57
2016-04-15,7.50,7.54,7.48,7.52,351500,7.52
2016-04-14,7.53,7.53,7.47,7.50,388000,7.50
2016-04-13,7.45,7.51,7.45,7.51,300400,7.51
2016-04-12,7.34,7.41,7.32,7.41,466900,7.41
2016-04-11,7.32,7.37,7.31,7.32,292100,7.32
2016-04-08,7.32,7.37,7.28,7.30,454000,7.30
2016-04-07,7.33,7.35,7.26,7.28,583500,7.28
2016-04-06,7.26,7.37,7.24,7.35,585700,7.35
2016-04-05,7.35,7.36,7.24,7.26,1044500,7.26
2016-04-04,7.51,7.51,7.38,7.40,646300,7.40
2016-04-01,7.45,7.51,7.41,7.51,278300,7.51
2016-03-31,7.50,7.52,7.46,7.50,504500,7.50
2016-03-30,7.43,7.49,7.43,7.47,290200,7.47
2016-03-29,7.31,7.41,7.30,7.40,346400,7.40
2016-03-28,7.33,7.35,7.31,7.31,398700,7.31
2016-03-24,7.29,7.33,7.25,7.33,532400,7.33
2016-03-23,7.42,7.43,7.36,7.38,393300,7.38
2016-03-22,7.44,7.46,7.40,7.42,194800,7.42
2016-03-21,7.45,7.45,7.41,7.44,254900,7.44
2016-03-18,7.48,7.51,7.47,7.50,202500,7.442
2016-03-17,7.39,7.48,7.38,7.47,158700,7.412232
2016-03-16,7.30,7.39,7.29,7.38,184300,7.322928
2016-03-15,7.34,7.35,7.30,7.30,243700,7.243547
2016-03-14,7.36,7.39,7.34,7.36,167800,7.303083
2016-03-11,7.27,7.37,7.27,7.36,236000,7.303083
2016-03-10,7.25,7.28,7.18,7.23,352100,7.174088
2016-03-09,7.23,7.27,7.21,7.21,356800,7.154243
2016-03-08,7.23,7.23,7.17,7.19,301100,7.134397
2016-03-07,7.21,7.29,7.19,7.25,512600,7.193933
2016-03-04,7.21,7.26,7.19,7.23,281100,7.174088
2016-03-03,7.12,7.19,7.10,7.19,250100,7.134397
2016-03-02,7.07,7.16,7.06,7.14,329100,7.084784
2016-03-01,7.02,7.12,7.01,7.11,450000,7.055016
2016-02-29,7.01,7.04,6.96,6.96,317700,6.906176
2016-02-26,6.99,7.01,6.97,7.00,315000,6.945867
2016-02-25,6.91,6.97,6.86,6.97,231900,6.916098
2016-02-24,6.82,6.90,6.76,6.88,501200,6.826795
2016-02-23,6.90,6.93,6.83,6.87,346500,6.816872
2016-02-22,6.97,6.97,6.89,6.90,567000,6.84664
2016-02-19,6.85,6.93,6.82,6.92,325400,6.808934
2016-02-18,6.89,6.96,6.87,6.89,661900,6.779415
2016-02-17,6.76,6.92,6.76,6.87,427600,6.759736
2016-02-16,6.70,6.73,6.63,6.72,518900,6.612144
2016-02-12,6.60,6.67,6.54,6.65,382400,6.543267
2016-02-11,6.52,6.62,6.52,6.56,458400,6.454712
2016-02-10,6.67,6.74,6.65,6.65,241300,6.543267
2016-02-09,6.63,6.70,6.54,6.64,812400,6.533428
2016-02-08,6.88,6.88,6.68,6.75,754300,6.641662
2016-02-05,7.05,7.07,6.91,6.95,296700,6.838452
2016-02-04,7.03,7.13,7.02,7.10,324200,6.986045
2016-02-03,7.04,7.10,6.92,7.04,410500,6.927008
2016-02-02,7.09,7.09,6.98,7.02,417700,6.907329
2016-02-01,7.10,7.16,7.07,7.13,340300,7.015563
2016-01-29,7.05,7.15,7.01,7.12,437200,7.005724
2016-01-28,7.00,7.02,6.93,7.02,443800,6.907329
2016-01-27,6.93,7.00,6.86,6.94,285900,6.828613
2016-01-26,6.90,6.99,6.88,6.96,437300,6.848292
2016-01-25,6.93,6.94,6.88,6.88,517000,6.769576
2016-01-22,6.80,6.97,6.80,6.97,391900,6.858131
2016-01-21,6.70,6.81,6.67,6.75,362200,6.641662
2016-01-20,6.75,6.75,6.52,6.66,854200,6.553107
2016-01-19,6.97,6.98,6.83,6.88,561000,6.712507
2016-01-15,6.97,6.98,6.87,6.87,952000,6.70275
2016-01-14,7.08,7.18,7.01,7.13,831600,6.956421
2016-01-13,7.28,7.28,7.08,7.10,1036700,6.927151
2016-01-12,7.22,7.27,7.15,7.22,569200,7.044229
2016-01-11,7.33,7.34,7.13,7.18,868800,7.005203
2016-01-08,7.43,7.44,7.28,7.29,549700,7.112525
2016-01-07,7.44,7.46,7.36,7.41,855500,7.229604
2016-01-06,7.55,7.56,7.49,7.53,663300,7.346683
2016-01-05,7.64,7.65,7.59,7.62,537700,7.434492
2016-01-04,7.54,7.63,7.45,7.61,861100,7.424735
2015-12-31,7.71,7.72,7.67,7.68,612200,7.493031
2015-12-30,7.71,7.75,7.71,7.72,803500,7.532057
2015-12-29,7.72,7.76,7.72,7.74,528300,7.55157
2015-12-28,7.69,7.71,7.67,7.68,686800,7.493031
2015-12-24,7.72,7.78,7.71,7.73,336800,7.541814
2015-12-23,7.64,7.73,7.64,7.71,854100,7.522301
2015-12-22,7.57,7.63,7.56,7.61,621800,7.424735
2015-12-21,7.58,7.61,7.54,7.57,427900,7.385709
2015-12-18,7.63,7.63,7.58,7.59,825600,7.348634
2015-12-17,7.69,7.69,7.61,7.64,647600,7.397044
2015-12-16,7.56,7.67,7.56,7.65,431800,7.406726
2015-12-15,7.49,7.55,7.49,7.55,611400,7.309906
2015-12-14,7.49,7.52,7.42,7.47,672200,7.23245
2015-12-11,7.62,7.62,7.50,7.51,722700,7.271178
2015-12-10,7.70,7.74,7.68,7.68,581300,7.435771
2015-12-09,7.73,7.78,7.66,7.69,479100,7.445454
2015-12-08,7.69,7.75,7.64,7.73,350300,7.484182
2015-12-07,7.86,7.87,7.76,7.77,271700,7.52291
2015-12-04,7.83,7.90,7.82,7.89,227200,7.639093
2015-12-03,7.93,7.94,7.81,7.81,329000,7.561638
2015-12-02,7.98,8.00,7.92,7.92,373900,7.66814
2015-12-01,7.96,8.02,7.95,8.01,354100,7.755278
2015-11-30,7.98,7.98,7.91,7.92,348400,7.66814
2015-11-27,7.91,7.95,7.90,7.95,164000,7.697185
2015-11-25,7.93,7.95,7.91,7.92,226500,7.66814
2015-11-24,7.87,7.93,7.86,7.93,228900,7.677821
2015-11-23,7.94,7.95,7.89,7.92,310000,7.66814
2015-11-20,7.96,7.97,7.89,7.94,312400,7.687504
2015-11-19,7.88,7.92,7.87,7.92,231100,7.66814
2015-11-18,7.81,7.88,7.81,7.88,346100,7.629412
2015-11-17,7.82,7.89,7.81,7.83,348600,7.524846
2015-11-16,7.70,7.81,7.70,7.81,379400,7.505626
2015-11-13,7.79,7.81,7.70,7.71,492000,7.409523
2015-11-12,7.91,7.92,7.80,7.82,351300,7.515236
2015-11-11,8.04,8.04,7.95,7.95,241600,7.640169
2015-11-10,8.00,8.03,7.97,8.01,206500,7.697831
2015-11-09,8.09,8.10,7.98,8.01,408400,7.697831
2015-11-06,8.10,8.14,8.04,8.12,250100,7.803544
2015-11-05,8.15,8.15,8.10,8.14,375000,7.822765
2015-11-04,8.17,8.18,8.10,8.13,172900,7.813155
2015-11-03,8.09,8.17,8.08,8.15,201100,7.832375
2015-11-02,8.05,8.12,8.04,8.12,345300,7.803544
2015-10-30,7.99,8.06,7.98,8.01,636000,7.697831
2015-10-29,7.99,8.01,7.95,7.95,342100,7.640169
2015-10-28,7.94,7.99,7.93,7.99,354400,7.67861
2015-10-27,7.97,7.98,7.91,7.93,323300,7.620949
2015-10-26,8.02,8.04,7.97,7.98,179600,7.669
2015-10-23,8.05,8.08,8.02,8.04,241300,7.726662
2015-10-22,7.96,8.02,7.96,8.00,335500,7.688221
2015-10-21,7.99,7.99,7.90,7.91,269900,7.601728
2015-10-20,7.99,8.04,7.98,8.01,308500,7.642092
2015-10-19,7.97,8.02,7.95,7.98,449300,7.613469
2015-10-16,7.94,7.99,7.93,7.98,346000,7.613469
2015-10-15,7.90,7.94,7.88,7.93,399500,7.565766
2015-10-14,7.90,7.95,7.84,7.86,429100,7.498981
2015-10-13,7.94,7.98,7.90,7.91,335200,7.546684
2015-10-12,7.97,8.00,7.95,7.98,166300,7.613469
2015-10-09,7.93,7.99,7.91,7.96,418100,7.594388
2015-10-08,7.82,7.93,7.80,7.93,403100,7.565766
2015-10-07,7.83,7.84,7.79,7.83,343700,7.470359
2015-10-06,7.77,7.81,7.77,7.77,381800,7.413115
2015-10-05,7.70,7.82,7.70,7.79,360100,7.432196
2015-10-02,7.48,7.66,7.43,7.66,461700,7.308167
2015-10-01,7.55,7.58,7.47,7.58,474800,7.231842
2015-09-30,7.55,7.57,7.50,7.50,430000,7.155516
2015-09-29,7.51,7.55,7.42,7.46,385300,7.117354
2015-09-28,7.72,7.72,7.51,7.51,485100,7.165057
2015-09-25,7.83,7.85,7.73,7.75,264200,7.394034
2015-09-24,7.75,7.78,7.68,7.77,625600,7.413115
2015-09-23,7.80,7.83,7.75,7.80,243400,7.441737
2015-09-22,7.79,7.83,7.70,7.80,389200,7.441737
2015-09-21,7.91,7.94,7.87,7.90,283700,7.537144
2015-09-18,7.92,8.00,7.89,7.93,164200,7.51043
2015-09-17,7.95,8.09,7.93,8.02,264600,7.595669
2015-09-16,7.89,7.99,7.89,7.99,255500,7.567255
2015-09-15,7.83,7.91,7.82,7.89,201500,7.472546
2015-09-14,7.93,7.93,7.81,7.81,246600,7.396779
2015-09-11,7.88,7.93,7.86,7.93,88800,7.51043
2015-09-10,7.90,7.98,7.88,7.92,241300,7.500959
2015-09-09,8.05,8.07,7.90,7.91,225900,7.491488
2015-09-08,7.92,7.98,7.91,7.98,231000,7.557785
2015-09-04,7.83,7.85,7.77,7.82,316300,7.40625
2015-09-03,7.91,7.96,7.88,7.91,213000,7.491488
2015-09-02,7.89,7.91,7.81,7.88,226600,7.463076
2015-09-01,7.80,7.88,7.76,7.80,293500,7.387308
2015-08-31,8.07,8.07,7.99,8.00,485300,7.576726
2015-08-28,8.00,8.09,7.98,8.09,455900,7.661965
2015-08-27,7.96,8.05,7.93,8.03,497400,7.605139
