Date,Open,High,Low,Close,Volume,Adj Close
2016-04-19,18.15,18.889999,18.08,18.200001,51200,18.200001
2016-04-18,18.17,18.209999,17.799999,18.09,41900,18.09
2016-04-15,18.00,18.23,17.75,18.17,88500,18.17
2016-04-14,17.01,18.469999,16.85,18.09,164300,18.09
2016-04-13,16.860001,17.43,16.780001,17.190001,79200,17.190001
2016-04-12,15.85,17.030001,15.81,16.73,79200,16.64
2016-04-11,15.54,16.01,15.54,15.80,42700,15.715003
2016-04-08,15.20,15.48,15.04,15.24,47700,15.158015
2016-04-07,14.87,15.20,14.81,15.20,35900,15.118231
2016-04-06,14.34,14.98,14.30,14.86,34100,14.780059
2016-04-05,13.84,14.34,13.84,14.34,106200,14.262857
2016-04-04,13.85,14.26,13.81,13.93,33900,13.855063
2016-04-01,13.84,14.15,13.83,13.95,26700,13.874955
2016-03-31,14.00,14.38,13.90,13.91,30700,13.83517
2016-03-30,14.40,14.40,13.97,14.02,31100,13.944579
2016-03-29,13.98,14.68,13.89,14.45,80100,14.372265
2016-03-28,13.50,14.21,13.50,14.04,54600,13.964471
2016-03-24,13.09,13.66,12.97,13.61,32100,13.536784
2016-03-23,12.91,13.20,12.91,13.17,23200,13.099151
2016-03-22,12.53,13.20,12.53,13.19,41500,13.119043
2016-03-21,12.59,13.15,12.50,12.87,35200,12.800765
2016-03-18,13.40,13.49,12.56,12.64,45300,12.572003
2016-03-17,13.25,13.49,13.18,13.43,23300,13.357753
2016-03-16,12.96,13.36,12.86,13.22,14600,13.148883
2016-03-15,12.74,12.90,12.57,12.66,13300,12.591895
2016-03-14,12.73,13.03,12.55,12.91,15800,12.84055
2016-03-11,12.81,12.81,12.59,12.71,25300,12.641626
2016-03-10,12.74,12.84,12.57,12.76,23000,12.691357
2016-03-09,12.75,12.93,12.75,12.77,24200,12.701304
2016-03-08,12.50,12.64,12.50,12.59,12600,12.522272
2016-03-07,12.49,12.78,12.40,12.51,26000,12.442702
2016-03-04,12.20,12.85,11.80,12.33,64300,12.26367
2016-03-03,12.61,12.94,12.43,12.46,10500,12.392971
2016-03-02,12.50,12.87,12.38,12.70,35600,12.631679
2016-03-01,12.18,12.57,12.01,12.50,64500,12.432756
