Date,Open,High,Low,Close,Volume,Adj Close
2016-04-19,19.18,19.389999,19.10,19.299999,713900,19.299999
2016-04-18,19.309999,19.40,19.09,19.16,435400,19.16
2016-04-15,19.299999,19.43,19.209999,19.280001,411000,19.280001
2016-04-14,19.02,19.27,18.790001,19.26,623300,19.26
2016-04-13,18.98,19.24,18.690001,19.23,437500,19.23
2016-04-12,19.00,19.16,18.799999,18.870001,367900,18.870001
2016-04-11,18.84,19.09,18.84,18.99,310200,18.99
2016-04-08,18.879999,19.10,18.780001,18.950001,275900,18.950001
2016-04-07,18.959999,19.02,18.66,18.780001,340900,18.780001
2016-04-06,19.32,19.32,18.940001,19.02,372300,19.02
2016-04-05,19.459999,19.530001,19.09,19.280001,867900,19.280001
2016-04-04,19.65,19.66,19.360001,19.58,574000,19.58
2016-04-01,19.67,19.780001,19.52,19.620001,596300,19.620001
2016-03-31,19.65,19.809999,19.57,19.809999,597300,19.809999
2016-03-30,19.629999,19.855,19.485001,19.709999,552200,19.709999
2016-03-29,19.360001,19.67,19.360001,19.629999,677800,19.529999
2016-03-28,19.35,19.49,19.309999,19.459999,418700,19.360865
2016-03-24,19.23,19.389999,19.07,19.32,489200,19.221579
2016-03-23,19.49,19.559999,19.200001,19.27,521400,19.171835
2016-03-22,19.459999,19.535,19.290001,19.49,660500,19.390713
2016-03-21,19.52,19.82,19.17,19.60,810700,19.500153
2016-03-18,19.879999,19.99,19.360001,19.559999,1764000,19.460356
2016-03-17,19.77,19.969999,19.709999,19.91,997000,19.808574
2016-03-16,19.59,19.780001,19.52,19.709999,497300,19.609592
2016-03-15,19.950001,19.950001,19.575001,19.59,371900,19.490204
2016-03-14,19.950001,19.99,19.82,19.969999,543900,19.868268
2016-03-11,19.93,19.98,19.83,19.969999,549500,19.868268
2016-03-10,19.90,19.950001,19.610001,19.93,893500,19.828472
2016-03-09,19.60,19.879999,19.540001,19.879999,521100,19.778726
2016-03-08,19.719999,19.940001,19.639999,19.68,498700,19.579746
2016-03-07,19.860001,19.969999,19.76,19.90,511500,19.798624
2016-03-04,19.83,19.969999,19.77,19.959999,802800,19.858318
2016-03-03,19.66,19.90,19.58,19.85,575000,19.74888
2016-03-02,19.34,19.780001,19.27,19.709999,1131100,19.609592
2016-03-01,19.17,19.299999,18.92,19.299999,528600,19.201681
2016-02-29,18.969999,19.525,18.90,19.01,1027300,18.913159
2016-02-26,19.780001,19.950001,18.940001,19.00,910500,18.803718
2016-02-25,19.90,20.00,19.705,19.99,915200,19.783491
2016-02-24,19.469999,19.969999,19.32,19.870001,544800,19.664731
2016-02-23,19.60,19.91,19.50,19.59,493500,19.387623
2016-02-22,19.799999,19.92,19.530001,19.610001,462800,19.407417
2016-02-19,19.889999,20.530001,19.60,19.66,622400,19.4569
2016-02-18,19.879999,19.91,19.50,19.870001,897700,19.664731
2016-02-17,19.35,19.84,19.110001,19.77,796700,19.565764
2016-02-16,19.35,19.49,19.124001,19.309999,498600,19.110515
2016-02-12,19.02,19.440001,18.84,19.309999,571500,19.110515
2016-02-11,19.299999,19.40,18.549999,18.92,541600,18.724545
2016-02-10,19.379999,19.459999,19.219999,19.41,693300,19.209483
2016-02-09,18.75,19.610001,18.469999,19.299999,1092300,19.100618
2016-02-08,18.940001,18.99,18.17,18.93,610200,18.734442
2016-02-05,18.82,19.00,18.67,18.959999,545400,18.764131
2016-02-04,18.51,18.92,18.440001,18.860001,404800,18.665165
2016-02-03,18.49,18.575001,18.110001,18.50,440500,18.308884
2016-02-02,18.360001,18.530001,18.02,18.34,672800,18.150537
2016-02-01,18.26,18.549999,18.00,18.41,679700,18.219813
2016-01-29,17.66,18.33,17.66,18.290001,754300,18.101054
2016-01-28,17.75,17.92,17.559999,17.74,323000,17.457769
2016-01-27,17.559999,17.780001,17.379999,17.59,530000,17.310155
2016-01-26,17.450001,17.83,17.25,17.690001,625500,17.408565
2016-01-25,17.60,17.950001,17.32,17.41,487800,17.133019
2016-01-22,18.09,18.17,17.379999,17.58,645000,17.300314
2016-01-21,17.709999,18.110001,17.299999,17.82,899200,17.536496
2016-01-20,16.940001,17.76,16.35,17.60,1208600,17.319996
2016-01-19,18.110001,18.166,17.10,17.26,1462200,16.985405
2016-01-15,18.379999,18.389999,17.99,18.280001,625400,17.989178
2016-01-14,19.139999,19.219999,18.49,18.690001,814300,18.392655
2016-01-13,19.40,19.40,18.92,19.08,908700,18.77645
2016-01-12,19.49,19.75,19.129999,19.34,923100,19.032314
2016-01-11,19.18,19.389999,19.120001,19.32,487000,19.012632
2016-01-08,19.58,19.757999,19.08,19.17,1092800,18.865019
2016-01-07,19.549999,19.92,19.52,19.620001,800500,19.30786
2016-01-06,19.700001,20.09,19.620001,20.08,734100,19.760541
2016-01-05,19.639999,20.00,19.59,19.889999,739000,19.573563
2016-01-04,19.700001,19.870001,19.41,19.76,799600,19.445632
2015-12-31,20.530001,20.530001,19.969999,19.969999,770000,19.65229
2015-12-30,20.48,20.629999,20.41,20.52,525500,20.193541
2015-12-29,20.450001,20.620001,20.35,20.610001,586400,20.1837
2015-12-28,19.959999,20.389999,19.870001,20.379999,629900,19.958456
2015-12-24,20.209999,20.280001,19.91,19.940001,623900,19.527558
2015-12-23,20.049999,20.219999,19.82,20.190001,566800,19.772387
2015-12-22,20.209999,20.25,19.84,19.879999,1061700,19.468798
2015-12-21,20.66,20.67,19.99,20.040001,1289400,19.62549
2015-12-18,20.610001,20.969999,20.450001,20.59,9042400,20.164113
2015-12-17,20.51,20.75,20.41,20.68,1528100,20.252251
2015-12-16,20.48,20.719999,20.290001,20.51,3656000,20.085768
2015-12-15,20.15,20.50,20.059999,20.50,3163900,20.075974
2015-12-14,19.309999,20.299999,19.209999,20.129999,3703200,19.713627
2015-12-11,19.290001,19.42,19.02,19.190001,1172900,18.793071
2015-12-10,19.200001,19.49,19.16,19.35,1068800,18.949761
2015-12-09,19.32,19.389999,19.15,19.200001,1315100,18.802864
2015-12-08,19.49,19.535,19.290001,19.389999,1262400,18.988933
2015-12-07,20.15,20.15,19.450001,19.50,1877200,19.096658
2015-12-04,19.110001,20.26,19.07,20.23,4096400,19.811559
2015-12-03,19.379999,19.40,18.90,19.040001,1680000,18.646174
2015-12-02,19.66,19.67,19.110001,19.35,1650800,18.949761
2015-12-01,19.530001,19.700001,19.48,19.58,1576000,19.175004
2015-11-30,19.48,19.75,19.35,19.50,14059800,19.096658
2015-11-27,19.440001,19.60,19.370001,19.42,613100,19.018313
2015-11-25,19.860001,19.860001,19.32,19.389999,931200,18.988933
2015-11-24,19.459999,19.60,19.389999,19.530001,821800,19.028107
2015-11-23,19.370001,19.610001,19.214001,19.549999,885900,19.047592
2015-11-20,19.58,19.73,19.200001,19.290001,1277700,18.794275
2015-11-19,19.49,19.59,19.459999,19.51,1013800,19.00862
2015-11-18,19.559999,19.684999,19.51,19.549999,1463600,19.047592
2015-11-17,19.92,19.99,19.59,19.59,1798300,19.086565
2015-11-16,19.540001,19.90,19.540001,19.84,1498800,19.33014
2015-11-13,19.709999,20.16,19.58,19.65,2157200,19.145022
2015-11-12,19.98,20.049999,19.60,19.639999,1182900,19.135279
2015-11-11,20.32,20.370001,19.865,20.00,1779900,19.486028
2015-11-10,20.40,20.48,20.17,20.48,1380400,19.953692
2015-11-09,20.18,20.50,20.129999,20.48,2329100,19.953692
2015-11-06,19.82,20.35,19.610001,20.35,2896500,19.827034
2015-11-05,19.93,19.93,19.73,19.92,1251700,19.408084
2015-11-04,19.959999,19.959999,19.799999,19.889999,974300,19.378854
2015-11-03,19.950001,19.99,19.889999,19.98,1071200,19.466541
2015-11-02,19.790001,19.99,19.68,19.99,1377600,19.476285
2015-10-30,19.82,19.879999,19.709999,19.719999,689200,19.213223
2015-10-29,19.65,19.90,19.639999,19.870001,1043700,19.35937
2015-10-28,19.389999,19.85,19.360001,19.84,1308800,19.33014
2015-10-27,19.459999,19.59,19.285,19.450001,888100,18.852733
2015-10-26,19.469999,19.59,19.18,19.43,1063700,18.833347
2015-10-23,19.690001,19.700001,19.030001,19.290001,1234300,18.697647
2015-10-22,19.469999,19.700001,19.43,19.700001,1554700,19.095056
2015-10-21,19.469999,19.50,19.290001,19.50,974800,18.901197
2015-10-20,19.129999,19.49,19.049999,19.48,984700,18.881811
2015-10-19,18.85,19.389999,18.809999,19.379999,1261900,18.784881
2015-10-16,18.940001,19.00,18.82,18.98,945500,18.397165
2015-10-15,18.77,18.950001,18.639999,18.950001,701300,18.368087
2015-10-14,18.82,18.959999,18.780001,18.83,806600,18.251771
2015-10-13,18.809999,18.91,18.74,18.84,730400,18.261465
2015-10-12,18.870001,18.98,18.77,18.90,533600,18.319622
2015-10-09,18.93,18.99,18.709999,18.92,690600,18.339008
2015-10-08,18.92,18.99,18.83,18.93,706000,18.348701
2015-10-07,18.82,18.99,18.709999,18.99,1005800,18.406858
2015-10-06,18.799999,18.879999,18.639999,18.83,592600,18.251771
2015-10-05,18.700001,18.93,18.65,18.90,1415300,18.319622
2015-10-02,18.540001,18.65,18.209999,18.629999,454800,18.057912
2015-10-01,18.540001,18.700001,18.299999,18.690001,884000,18.116071
2015-09-30,18.43,18.709999,18.16,18.57,1460400,17.999755
2015-09-29,18.540001,18.75,18.24,18.280001,1395000,17.718661
2015-09-28,18.549999,18.76,18.395,18.59,1616900,18.019141
2015-09-25,18.76,18.879999,18.360001,18.879999,1017400,18.203306
2015-09-24,18.82,18.940001,18.360001,18.60,811800,17.933342
2015-09-23,18.65,18.950001,18.530001,18.889999,1210000,18.212947
2015-09-22,18.77,18.809999,18.355,18.52,1414600,17.85621
2015-09-21,19.01,19.07,18.67,18.950001,1737400,18.270798
2015-09-18,19.73,19.75,18.83,18.91,19763600,18.232231
2015-09-17,19.25,19.84,19.25,19.77,3381800,19.061408
2015-09-16,19.280001,19.40,18.98,19.360001,1859600,18.666103
2015-09-15,19.360001,19.42,18.969999,19.219999,1964700,18.53112
2015-09-14,19.129999,19.445,19.129999,19.379999,1755300,18.685385
2015-09-11,18.969999,19.25,18.889999,19.25,2604900,18.560045
2015-09-10,18.74,18.99,18.74,18.99,2551100,18.309364
2015-09-09,18.889999,18.969999,18.75,18.860001,1586900,18.184024
2015-09-08,18.00,18.98,17.99,18.969999,3744200,18.29008
2015-09-04,17.76,18.00,17.66,17.950001,1274600,17.30664
2015-09-03,17.76,18.00,17.735001,17.91,973200,17.268073
2015-09-02,17.530001,17.92,17.50,17.889999,554500,17.248789
2015-09-01,17.65,17.66,17.26,17.41,1126600,16.785994
2015-08-31,17.77,17.77,17.41,17.709999,959500,17.07524
2015-08-28,17.50,17.940001,17.49,17.790001,1125100,17.152375
2015-08-27,16.879999,17.459999,16.620001,17.440001,662600,16.814919
2015-08-26,16.57,17.00,16.27,16.959999,600100,16.255707
2015-08-25,16.85,17.08,16.379999,16.379999,557900,15.699792
2015-08-24,16.719999,17.00,13.82,16.610001,914300,15.920243
2015-08-21,17.74,17.879999,17.24,17.32,615900,16.600758
2015-08-20,17.889999,18.00,17.809999,17.82,781900,17.079994
2015-08-19,18.02,18.02,17.809999,17.92,550700,17.175842
2015-08-18,18.01,18.15,17.90,17.969999,515500,17.223765
2015-08-17,17.85,18.200001,17.84,18.10,681500,17.348368
2015-08-14,17.700001,18.00,17.60,17.969999,781100,17.223765
2015-08-13,17.77,17.879999,17.67,17.790001,539300,17.051241
2015-08-12,17.84,18.24,17.549999,17.940001,1342900,17.195012
2015-08-11,17.83,18.049999,17.52,17.969999,521400,17.223765
2015-08-10,18.059999,18.17,17.84,17.950001,445500,17.204597
2015-08-07,17.799999,18.17,17.799999,18.09,384400,17.338783
2015-08-06,17.99,18.16,17.77,17.92,814600,17.175842
2015-08-05,18.139999,18.25,18.02,18.09,485100,17.338783
2015-08-04,18.10,18.25,18.01,18.02,341700,17.27169
2015-08-03,18.200001,18.25,18.08,18.17,308200,17.41546
2015-07-31,18.10,18.25,17.99,18.139999,316200,17.386706
2015-07-30,17.85,18.15,17.68,18.02,1000400,17.27169
2015-07-29,17.530001,18.129999,17.530001,17.969999,656800,17.223765
2015-07-28,17.50,17.93,17.379999,17.91,734800,17.07041
2015-07-27,17.450001,17.75,17.40,17.57,655500,16.746348
2015-07-24,17.889999,17.959999,17.34,17.549999,590200,16.727285
2015-07-23,18.280001,18.33,17.73,17.83,704800,16.99416
2015-07-22,18.32,18.40,18.110001,18.23,386800,17.375409
2015-07-21,18.530001,18.639999,18.02,18.33,739000,17.470721
2015-07-20,18.92,18.92,18.610001,18.629999,373800,17.756657
2015-07-17,18.90,18.950001,18.790001,18.93,513000,18.042594
2015-07-16,18.870001,19.00,18.860001,18.950001,781300,18.061657
2015-07-15,18.870001,18.969999,18.780001,18.950001,510500,18.061657
2015-07-14,18.809999,18.99,18.709999,18.950001,463100,18.061657
2015-07-13,18.889999,18.950001,18.65,18.76,340900,17.880564
2015-07-10,18.65,18.99,18.58,18.98,700700,18.09025
2015-07-09,18.73,18.73,18.469999,18.68,353900,17.804314
2015-07-08,18.639999,18.77,18.450001,18.60,423000,17.728064
2015-07-07,18.73,18.959999,18.60,18.629999,448500,17.756657
2015-07-06,18.74,18.889999,18.65,18.799999,422500,17.918688
2015-07-02,18.90,18.955,18.82,18.82,341500,17.937751
2015-07-01,18.870001,18.950001,18.790001,18.90,652200,18.014
2015-06-30,19.10,19.17,18.85,18.870001,492800,17.985408
2015-06-29,19.02,19.17,18.860001,18.860001,722900,17.975876
2015-06-26,19.040001,19.450001,18.950001,19.16,8790200,18.261812
2015-06-25,19.00,19.139999,18.91,18.950001,1194200,17.966345
2015-06-24,18.74,19.24,18.615999,19.00,742700,18.013749
2015-06-23,18.450001,19.00,18.370001,18.76,972200,17.786207
2015-06-22,18.85,18.99,18.690001,18.690001,646200,17.719841
2015-06-19,19.08,19.10,18.83,18.85,440600,17.871535
2015-06-18,18.99,19.200001,18.950001,19.10,998200,18.108558
2015-06-17,18.82,19.040001,18.809999,19.030001,1459800,18.042192
2015-06-16,18.790001,18.940001,18.620001,18.889999,1251100,17.909458
2015-06-15,18.68,18.855,18.58,18.799999,776300,17.82413
2015-06-12,18.780001,18.860001,18.66,18.709999,911600,17.738801
2015-06-11,18.860001,18.90,18.83,18.860001,860800,17.881017
2015-06-10,18.90,18.940001,18.85,18.860001,1091800,17.881017
2015-06-09,18.90,18.93,18.82,18.90,959300,17.918939
2015-06-08,18.700001,18.90,18.629999,18.870001,787200,17.890498
2015-06-05,18.879999,18.90,18.629999,18.860001,711900,17.881017
2015-06-04,18.91,18.93,18.73,18.91,928000,17.92842
2015-06-03,18.700001,18.950001,18.51,18.93,1165000,17.947383
2015-06-02,18.33,18.700001,18.33,18.67,922000,17.700879
2015-06-01,18.33,18.50,18.25,18.48,1014500,17.520741
