Date,Open,High,Low,Close,Volume,Adj Close
2016-04-19,13.36,13.44,13.34,13.42,57000,13.42
2016-04-18,13.35,13.46,13.34,13.41,96000,13.30
2016-04-15,13.45,13.45,13.33,13.37,74800,13.260328
2016-04-14,13.44,13.46,13.39,13.43,114100,13.319836
2016-04-13,13.41,13.42,13.38,13.40,65100,13.290081
2016-04-12,13.39,13.42,13.36,13.36,61200,13.25041
2016-04-11,13.35,13.44,13.34,13.36,57900,13.25041
2016-04-08,13.46,13.46,13.33,13.34,152500,13.230574
2016-04-07,13.47,13.47,13.37,13.42,47000,13.309918
2016-04-06,13.65,13.65,13.32,13.45,108900,13.339671
2016-04-05,13.32,13.32,13.25,13.28,42500,13.171066
2016-04-04,13.46,13.47,13.26,13.31,63900,13.20082
2016-04-01,13.34,13.55,13.33,13.43,98700,13.319836
2016-03-31,13.32,13.40,13.28,13.38,72800,13.270246
2016-03-30,13.22,13.32,13.22,13.31,35100,13.20082
2016-03-29,13.22,13.28,13.07,13.17,41000,13.061969
2016-03-28,13.27,13.29,13.18,13.18,51800,13.071887
2016-03-24,13.27,13.33,13.19,13.25,56400,13.141312
2016-03-23,13.36,13.42,13.33,13.40,85400,13.290081
2016-03-22,13.32,13.39,13.31,13.35,100400,13.240492
2016-03-21,13.20,13.30,13.20,13.28,58300,13.171066
2016-03-18,13.18,13.32,13.18,13.22,135400,13.111559
2016-03-17,13.09,13.19,13.05,13.16,44900,13.05205
2016-03-16,12.84,13.05,12.84,13.05,58900,12.942953
2016-03-15,12.79,12.87,12.77,12.84,49100,12.734676
2016-03-14,12.93,12.99,12.83,12.94,60500,12.724757
2016-03-11,12.76,12.91,12.76,12.91,92200,12.695257
2016-03-10,12.75,12.78,12.69,12.74,44100,12.528084
2016-03-09,12.64,12.71,12.55,12.70,64400,12.48875
2016-03-08,12.58,12.60,12.50,12.58,32200,12.370746
2016-03-07,12.60,12.66,12.56,12.58,54000,12.370746
2016-03-04,12.62,12.63,12.56,12.63,47300,12.419914
2016-03-03,12.43,12.54,12.35,12.51,96800,12.301911
2016-03-02,12.33,12.37,12.29,12.37,37400,12.164239
2016-03-01,12.27,12.33,12.24,12.30,90400,12.095404
2016-02-29,12.22,12.28,12.19,12.23,63600,12.026567
2016-02-26,12.35,12.36,12.20,12.21,158700,12.006901
2016-02-25,12.30,12.75,12.27,12.39,20800,12.183907
2016-02-24,12.32,12.38,12.12,12.38,123400,12.174073
2016-02-23,12.28,12.30,12.23,12.29,84100,12.08557
2016-02-22,12.32,12.32,12.22,12.26,49700,12.056069
2016-02-19,12.12,12.22,12.12,12.17,93500,11.967566
2016-02-18,12.26,12.26,12.16,12.21,117700,12.006901
2016-02-17,12.08,12.19,12.08,12.15,30900,11.947898
2016-02-16,12.17,12.17,12.01,12.04,61800,11.839728
2016-02-12,12.13,12.20,12.08,12.17,78300,11.859395
2016-02-11,11.86,12.19,11.86,12.08,66400,11.771692
2016-02-10,12.27,12.32,12.06,12.06,48600,11.752203
2016-02-09,12.19,12.29,12.15,12.24,59600,11.927608
2016-02-08,12.55,12.55,12.32,12.32,53700,12.005567
2016-02-05,12.75,12.75,12.52,12.59,86100,12.268676
2016-02-04,12.74,12.80,12.72,12.74,46200,12.414847
2016-02-03,12.83,12.85,12.70,12.76,111500,12.434337
2016-02-02,12.73,12.87,12.69,12.75,70200,12.424592
2016-02-01,12.62,12.77,12.60,12.77,48900,12.444082
2016-01-29,12.78,12.87,12.61,12.64,96900,12.3174
2016-01-28,12.78,12.80,12.60,12.80,181600,12.473316
2016-01-27,12.50,12.59,12.44,12.59,92600,12.268676
2016-01-26,12.26,12.50,12.26,12.41,72100,12.09327
2016-01-25,12.44,12.44,12.28,12.30,106400,11.986077
2016-01-22,12.42,12.51,12.33,12.44,94300,12.122504
2016-01-21,12.35,12.43,12.21,12.33,157200,12.015312
2016-01-20,12.44,12.44,12.15,12.37,117700,11.947098
2016-01-19,12.77,12.77,12.46,12.53,140600,12.101628
2016-01-15,12.81,12.81,12.41,12.75,96900,12.314107
2016-01-14,13.10,13.10,12.82,12.96,92400,12.516928
2016-01-13,13.23,13.23,13.04,13.13,119400,12.681116
2016-01-12,13.29,13.29,13.14,13.23,45900,12.777697
2016-01-11,13.31,13.32,13.17,13.21,74600,12.758381
2016-01-08,13.29,13.45,13.29,13.34,69700,12.883937
2016-01-07,13.25,13.39,13.25,13.33,64500,12.874278
2016-01-06,13.29,13.48,13.29,13.39,88000,12.932227
2016-01-05,13.34,13.41,13.34,13.38,93900,12.922569
2016-01-04,13.30,13.38,13.18,13.35,116400,12.893595
2015-12-31,13.40,13.50,13.33,13.36,151300,12.903252
2015-12-30,13.41,13.52,13.41,13.42,104500,12.961201
2015-12-29,13.37,13.51,13.37,13.51,132500,13.048125
2015-12-28,13.41,13.49,13.33,13.35,115400,12.893595
2015-12-24,13.40,13.47,13.39,13.43,241600,12.97086
2015-12-23,13.32,13.48,13.32,13.45,218100,12.990176
2015-12-22,13.19,13.31,13.17,13.26,76100,12.806672
2015-12-21,13.27,13.32,13.15,13.19,136000,12.739064
2015-12-18,13.25,13.37,13.25,13.28,144600,12.825987
2015-12-17,13.16,13.32,13.16,13.29,159300,12.835646
2015-12-16,13.09,13.26,13.09,13.18,138400,12.729407
2015-12-15,12.90,13.10,12.90,13.09,180300,12.642483
2015-12-14,13.07,13.07,12.90,13.02,135100,12.461877
2015-12-11,13.32,13.32,13.00,13.08,186000,12.519304
2015-12-10,13.43,13.43,13.30,13.32,86000,12.749016
2015-12-09,13.46,13.47,13.35,13.37,138500,12.796873
2015-12-08,13.37,13.43,13.32,13.41,76400,12.835158
2015-12-07,13.61,13.61,13.40,13.42,213600,12.84473
2015-12-04,13.58,13.62,13.54,13.62,100500,13.036156
2015-12-03,13.58,13.59,13.55,13.56,88400,12.978729
2015-12-02,13.54,13.69,13.54,13.57,56500,12.988299
2015-12-01,13.58,13.67,13.54,13.64,130000,13.055299
2015-11-30,13.60,13.60,13.49,13.55,67400,12.969157
2015-11-27,13.63,13.63,13.50,13.54,83900,12.959586
2015-11-25,13.63,13.66,13.56,13.62,135300,13.036156
2015-11-24,13.53,13.64,13.49,13.63,152100,13.045728
2015-11-23,13.64,13.70,13.56,13.61,78700,13.026585
2015-11-20,13.74,13.74,13.66,13.67,63300,13.084013
2015-11-19,13.74,13.78,13.70,13.75,102200,13.160584
2015-11-18,13.75,13.76,13.69,13.75,74100,13.160584
2015-11-17,13.71,13.77,13.71,13.75,78000,13.160584
2015-11-16,13.72,13.83,13.71,13.83,55400,13.125169
2015-11-13,13.83,13.83,13.71,13.74,74900,13.039756
2015-11-12,13.89,13.90,13.79,13.84,117700,13.13466
2015-11-11,13.96,13.97,13.90,13.90,36300,13.191602
2015-11-10,14.07,14.07,13.91,14.00,39400,13.286506
2015-11-09,14.23,14.25,14.05,14.07,61800,13.352938
2015-11-06,14.30,14.30,14.20,14.25,43000,13.523765
2015-11-05,14.41,14.41,14.32,14.36,130800,13.628158
2015-11-04,14.35,14.38,14.33,14.37,29100,13.637649
2015-11-03,14.46,14.46,14.30,14.38,40800,13.64714
2015-11-02,14.39,14.45,14.31,14.45,70300,13.713572
2015-10-30,14.34,14.37,14.31,14.37,44000,13.637649
2015-10-29,14.32,14.34,14.28,14.34,37300,13.609178
2015-10-28,14.32,14.37,14.30,14.36,57900,13.628158
2015-10-27,14.27,14.32,14.22,14.32,62100,13.590197
2015-10-26,14.34,14.35,14.25,14.30,47100,13.571217
2015-10-23,14.40,14.41,14.27,14.31,44700,13.580707
2015-10-22,14.30,14.36,14.22,14.36,77900,13.628158
2015-10-21,14.39,14.39,14.32,14.35,28300,13.507632
2015-10-20,14.28,14.36,14.28,14.35,55100,13.507632
2015-10-19,14.37,14.40,14.26,14.33,45300,13.488806
2015-10-16,14.22,14.34,14.22,14.34,31100,13.498219
2015-10-15,14.32,14.32,14.20,14.31,59500,13.46998
2015-10-14,14.46,14.46,14.26,14.33,38000,13.488806
2015-10-13,14.19,14.44,14.19,14.43,83300,13.582936
2015-10-12,14.33,14.33,14.26,14.29,20500,13.451154
2015-10-09,14.23,14.38,14.23,14.33,49600,13.488806
